"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.046118967","-0.33207184","0.20028155"
"4","-1.2314391","-1.1015234","-1.0699835","null","null","null"
"5","null","null","null","-0.048562355","-0.33146098","0.19722731"
"6","null","null","null","-0.049784053","-0.33329353","0.19661646"
"7","-1.2209907","-1.0919209","-1.3290279","null","null","null"
"8","null","null","null","-0.0503949","-0.3326827","0.19600561"
"8","-1.2710993","-1.0515251","-1.4849954","null","null","null"
"9","null","null","null","-0.04795151","-0.32840675","0.19539477"
"13","null","null","null","-0.04123219","-0.32718506","0.19295138"
"13","null","null","null","-0.03634541","-0.32596338","0.19172968"
"14","-1.2826264","-0.93547153","-1.5038216","null","null","null"
"15","null","null","null","-0.028404398","-0.32962844","0.1868429"
"20","null","null","null","-0.017409148","-0.33756948","0.18256697"
"21","-1.222476","-0.8310089","-1.5099714","null","null","null"
"21","null","null","null","-0.008857286","-0.35039726","0.1776802"
"23","null","null","null","0.0076355906","-0.36811182","0.16546325"
"24","-1.1527312","-0.7462959","-1.5093807","null","null","null"
"25","null","null","null","0.04734066","-0.4206447","0.13431004"
"28","-0.7917924","-0.3674631","-1.5208107","null","null","null"
"29","null","null","null","0.08460235","-0.4542413","0.11354123"
"31","null","null","null","0.09071082","-0.4359159","0.099491745"
"33","-0.33518052","-0.18500614","-1.0367498","null","null","null"
"35","null","null","null","0.10720369","-0.4243098","0.09093989"
"35","null","null","null","0.096208446","-0.43041825","0.093383275"
"38","null","null","null","0.06688777","-0.44874367","0.0988809"
"38","-0.9519589","-0.728179","-0.7641593","null","null","null"
"41","null","null","null","0.024739314","-0.46645823","0.10682192"
"42","null","null","null","-0.027182704","-0.47012332","0.12026055"
"43","-1.417198","-1.2645721","-1.8547313","null","null","null"
"45","null","null","null","-0.08460235","-0.47012332","0.13431004"
"48","-1.6744518","-1.6127248","-2.5483541","null","null","null"
"49","null","null","null","-0.1395786","-0.46767992","0.14897038"
"50","null","null","null","-0.18600298","-0.46401486","0.16363071"
"52","null","null","null","-0.22448637","-0.45485213","0.18073443"
"53","-1.860873","-1.752883","-2.4924753","null","null","null"
"54","null","null","null","-0.25258535","-0.44446772","0.19722731"
"57","-1.9997361","-1.6001773","-1.9705789","null","null","null"
"57","null","null","null","-0.2727433","-0.4359159","0.21372019"
"60","null","null","null","-0.28496024","-0.4298074","0.23143476"
"62","null","null","null","-0.28679278","-0.42675316","0.25098187"
"62","-2.0974917","-1.2532387","-1.4207155","null","null","null"
"65","null","null","null","-0.28679278","-0.4285857","0.26991814"
"71","-2.1450965","-0.90364456","-1.0927466","null","null","null"
"72","null","null","null","-0.28618193","-0.43652672","0.28770906"
"73","null","null","null","-0.28496024","-0.4517979","0.30420193"
"75","-2.0929182","-0.6059694","-1.0561965","null","null","null"
"75","null","null","null","-0.2855711","-0.46829078","0.31947312"
"76","null","null","null","-0.28984702","-0.48967043","0.33291176"
"77","null","null","null","-0.29839888","-0.5134935","0.343907"
"78","-1.9047258","-0.38226223","-1.2629542","null","null","null"
"80","null","null","null","-0.30939415","-0.5367057","0.35306972"
"83","null","null","null","-0.31977853","-0.5611396","0.36101073"
"83","-1.6596389","-0.23774433","-1.6177835","null","null","null"
"85","null","null","null","-0.32955208","-0.5898494","0.3683409"
"88","null","null","null","-0.34054735","-0.62650025","0.37261683"
"88","-1.4291434","-0.13846302","-1.7480266","null","null","null"
"89","null","null","null","-0.3478775","-0.66864866","0.37506023"
"92","null","null","null","-0.35337514","-0.7126297","0.37261683"
"93","-1.2554104","-0.025761604","-1.8336129","null","null","null"
"95","null","null","null","-0.36131614","-0.7566107","0.3671192"
"97","null","null","null","-0.36681378","-0.79753745","0.3591782"
"98","-1.0530758","0.14312744","-1.7597204","null","null","null"
"100","null","null","null","-0.37170056","-0.83296657","0.34940463"
"102","null","null","null","-0.37780902","-0.867174","0.33718768"
"102","-0.85638165","0.34528065","-1.6306672","null","null","null"
"105","null","null","null","-0.38086328","-0.9019923","0.32558158"
"108","-0.74463964","0.58521366","-1.5511843","null","null","null"
"108","null","null","null","-0.38025242","-0.9478059","0.31214294"
"110","null","null","null","-0.36498123","-1.0247726","0.27976805"
"112","-0.5638418","1.0053511","-1.5069457","null","null","null"
"112","null","null","null","-0.3478775","-1.0766946","0.24670593"
"114","null","null","null","-0.36131614","-1.0669211","0.23143476"
"117","null","null","null","-0.3747548","-1.0424871","0.22838052"
"118","-0.10133076","1.5580683","-1.2851892","null","null","null"
"120","null","null","null","-0.39735615","-1.0266051","0.23571068"
"122","null","null","null","-0.41934663","-1.0217184","0.24731678"
"125","-1.1488194","1.1655989","-1.0627885","null","null","null"
"125","null","null","null","-0.43645036","-1.0259943","0.2564795"
"132","null","null","null","-0.44500223","-1.031492","0.2619771"
"133","null","null","null","-0.44316968","-1.0351571","0.26503137"
"133","-1.7081819","1.0377731","-1.5487236","null","null","null"
"134","-1.7148962","1.2616205","-1.3620925","null","null","null"
"134","null","null","null","-0.43461782","-1.039433","0.26380965"
"135","null","null","null","-0.42056835","-1.0461522","0.26136628"
