"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.7504259","-1.5345247","1.3165286"
"4","null","null","null","-0.7901309","-1.6487532","1.3434058"
"4","0.9552622","0.8852725","-5.3575816","null","null","null"
"7","null","null","null","-0.813954","-1.7196114","1.3568444"
"8","null","null","null","-0.8243384","-1.7568731","1.3556228"
"8","2.8085217","0.52386236","-4.3747606","null","null","null"
"10","null","null","null","-0.8182299","-1.7764202","1.3403516"
"13","null","null","null","-0.8029587","-1.7642032","1.3043116"
"13","4.5802116","0.024065495","-2.6240826","null","null","null"
"15","null","null","null","-0.76875126","-1.7287741","1.2395618"
"20","null","null","null","-0.7174401","-1.6701328","1.1534324"
"21","6.463125","-0.27315474","-0.95105714","null","null","null"
"22","null","null","null","-0.65513366","-1.5803382","1.0501992"
"23","null","null","null","-0.5793886","-1.4667206","0.93658155"
"24","8.429295","-0.2430296","1.2454705","null","null","null"
"29","null","null","null","-0.49692425","-1.3274474","0.81868804"
"30","null","null","null","-0.40407547","-1.1674055","0.7032379"
"30","9.488748","-0.26484776","2.96076","null","null","null"
"31","null","null","null","-0.30695075","-0.98903805","0.59633964"
"33","9.380146","-0.32359982","4.3612432","null","null","null"
"34","null","null","null","-0.2043284","-0.80150795","0.49921492"
"36","null","null","null","-0.105982","-0.6048151","0.41797224"
"38","null","null","null","-0.014965758","-0.4007158","0.36299598"
"41","8.36018","-0.1654315","4.9993677","null","null","null"
"41","null","null","null","0.067498624","-0.19974706","0.3361187"
"45","6.518022","0.24992466","4.940843","null","null","null"
"46","null","null","null","0.1408003","0.0012216945","0.3257343"
"46","null","null","null","0.2055501","0.20768806","0.32634515"
"48","null","null","null","0.266024","0.41659784","0.3324536"
"48","4.1183567","0.58516407","4.1771226","null","null","null"
"49","null","null","null","0.31244838","0.62245333","0.3422272"
"54","2.1248975","0.745121","3.5302837","null","null","null"
"54","null","null","null","0.35337514","0.8215896","0.35200074"
"55","null","null","null","0.38819343","0.9975136","0.35627666"
"58","null","null","null","0.41568157","1.1422844","0.3538333"
"59","0.47120142","0.7434573","2.8290498","null","null","null"
"60","null","null","null","0.43706122","1.2583454","0.34344888"
"64","null","null","null","0.45294324","1.3371446","0.33123192"
"65","-0.37497044","0.7402458","2.0986607","null","null","null"
"66","null","null","null","0.46332765","1.383569","0.3153499"
"68","null","null","null","0.46882528","1.3939534","0.29824618"
"69","-0.85456705","0.52548933","1.452","null","null","null"
"70","null","null","null","0.46821442","1.3658545","0.27503398"
"73","null","null","null","0.46088424","1.2974396","0.24510247"
"74","-1.0959053","0.2577715","0.93688166","null","null","null"
"75","null","null","null","0.44011545","1.1929847","0.20722993"
"78","-0.8316231","0.15553617","0.08864099","null","null","null"
"79","null","null","null","0.40896225","1.0622634","0.16752486"
"79","null","null","null","0.369868","0.91749257","0.12904148"
"84","null","null","null","0.32588702","0.77333266","0.097277425"
"86","-0.18391705","0.21127796","-1.2398944","null","null","null"
"88","null","null","null","0.28007346","0.6383354","0.072232686"
"89","null","null","null","0.2403684","0.51494426","0.05451812"
"90","0.106268406","0.22298622","-1.9605663","null","null","null"
"92","null","null","null","0.20677179","0.39521816","0.045966256"
"93","null","null","null","0.17806198","0.27976805","0.04352287"
"94","0.1012373","0.09519577","-1.748467","null","null","null"
"95","null","null","null","0.15423894","0.1655396","0.047798797"
"98","0.25519848","-0.09863806","-1.2168274","null","null","null"
"98","null","null","null","0.13163759","0.06536066","0.05451812"
"99","null","null","null","0.10964708","-0.014049487","0.06429167"
"104","null","null","null","0.08704574","-0.0684149","0.07773031"
"106","0.44374704","-0.17718458","-0.889857","null","null","null"
"107","null","null","null","0.065055236","-0.099568106","0.0917798"
"113","null","null","null","0.046118967","-0.10384403","0.10766183"
"114","0.39768124","-0.1313386","-0.7327616","null","null","null"
"115","null","null","null","0.029626092","-0.083075225","0.1253764"
"116","null","null","null","0.018019995","-0.038483378","0.14248012"
"117","0.09429979","-0.2901864","-0.4215613","null","null","null"
"117","null","null","null","0.010689827","0.021379653","0.15591876"
"118","null","null","null","0.008857286","0.09101624","0.16508147"
"119","-0.4463234","-0.8181","0.27892184","null","null","null"
"120","null","null","null","0.008857286","0.16370706","0.17057909"
"123","null","null","null","0.012522369","0.23456535","0.17241164"
"124","-0.9423337","-1.3636913","0.9562327","null","null","null"
"125","null","null","null","0.009468133","0.2858765","0.17241164"
"128","null","null","null","0.030847786","0.4459185","0.17057909"
"129","-1.419352","-1.7017288","1.1782229","null","null","null"
"129","null","null","null","0.079715565","0.61573404","0.19012621"
"132","-2.5150447","-1.8731136","1.9930035","null","null","null"
"134","null","null","null","0.118198946","0.6426113","0.23471805"
"134","null","null","null","0.12736166","0.5906893","0.29946786"
"137","null","null","null","0.10903624","0.5015056","0.36910444"
"137","-3.4283814","-2.204082","1.6924877","null","null","null"
"140","null","null","null","0.06810947","0.387888","0.42957833"
"142","null","null","null","0.009468133","0.25289077","0.47661358"
"143","-3.8804412","-2.1771407","-1.1444602","null","null","null"
"144","null","null","null","-0.06688777","0.098957255","0.5089885"
"147","null","null","null","-0.149963","-0.06536066","0.5248705"
"148","-3.7595372","-2.0206041","-3.3114405","null","null","null"
"149","null","null","null","-0.23059484","-0.24372806","0.530979"
"151","null","null","null","-0.3063399","-0.42705858","0.52914643"
"151","-2.963664","-1.836875","-4.5298223","null","null","null"
"154","null","null","null","-0.37964156","-0.60603684","0.51876205"
"156","null","null","null","-0.44744563","-0.7673005","0.5120427"
"157","-2.3170743","-1.6308484","-4.807291","null","null","null"
"158","null","null","null","-0.5085303","-0.90351945","0.51509696"
"161","null","null","null","-0.5586198","-1.0354625","0.5279247"
"163","-2.0416865","-1.3123317","-4.5056033","null","null","null"
"164","null","null","null","-0.59221643","-1.153356","0.546861"
"167","-2.3012614","-1.0762768","-3.756299","null","null","null"
"168","null","null","null","-0.6221479","-1.2345986","0.582901"
"169","null","null","null","-0.64047337","-1.2981268","0.6293254"
"172","null","null","null","-0.6569662","-1.3305017","0.68185824"
"173","-2.8671117","-0.8644314","-2.7077575","null","null","null"
"174","null","null","null","-0.6734591","-1.3463837","0.74111044"
"176","null","null","null","-0.6887303","-1.3427186","0.8040277"
"177","-3.5771666","-0.82715654","-1.9921471","null","null","null"
"177","null","null","null","-0.7033906","-1.3262258","0.8620582"
"183","-3.8098555","-0.73116064","-1.7575195","null","null","null"
"184","null","null","null","-0.72171605","-1.3024027","0.91703445"
"185","null","null","null","-0.7504259","-1.2608651","0.97139984"
"190","null","null","null","-0.79929364","-1.1997803","1.0257653"
"191","-3.5949798","-0.5154033","-1.8855758","null","null","null"
"192","null","null","null","-0.8640435","-1.1356415","1.074633"
"193","null","null","null","-0.95086014","-1.0580639","1.1192249"
"193","-3.4644198","-0.3605256","-2.7174795","null","null","null"
"194","null","null","null","-1.0663103","-0.97071266","1.1558757"
"196","null","null","null","-1.1897014","-0.9096279","1.1742011"
"197","-2.8870296","0.15633392","-4.35056","null","null","null"
"198","null","null","null","-1.3002647","-0.881529","1.1674818"
"205","null","null","null","-1.407163","-0.8705337","1.1393828"
