"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.0917798","-0.010689827","0.026419144"
"5","-0.30375123","0.1853323","0.31394386","null","null","null"
"6","null","null","null","-0.08506048","-0.012522369","0.026419144"
"8","null","null","null","-0.07834116","-0.018019995","0.025808297"
"10","null","null","null","-0.06795676","-0.025961008","0.027029991"
"11","-0.31604028","0.18622541","0.4195814","null","null","null"
"12","null","null","null","-0.058794048","-0.035734564","0.027029991"
"15","-0.33490396","0.16260076","0.48285484","null","null","null"
"17","null","null","null","-0.04963134","-0.044286426","0.030695075"
"18","null","null","null","-0.039857782","-0.053449135","0.033138465"
"19","null","null","null","-0.028251685","-0.06261184","0.037414394"
"20","-0.35192132","0.13960958","0.5385237","null","null","null"
"21","null","null","null","-0.020310672","-0.06933116","0.041079476"
"21","null","null","null","-0.01175881","-0.07543964","0.04535541"
"22","-0.39542103","0.09718561","0.55337524","null","null","null"
"24","null","null","null","-0.00503949","-0.08154811","0.050853033"
"26","-0.41277933","0.08559036","0.5325079","null","null","null"
"27","null","null","null","-7.635591E-4","-0.08521319","0.055128966"
"28","null","null","null","0.0029015245","-0.09071082","0.06062659"
"30","-0.4254868","0.070342064","0.45368576","null","null","null"
"31","null","null","null","0.0077883024","-0.09315421","0.06368083"
"33","null","null","null","0.010842538","-0.09681929","0.07040015"
"35","null","null","null","0.01267508","-0.098651834","0.074676074"
"36","-0.41563916","0.053944588","0.39927864","null","null","null"
"39","null","null","null","0.0151184695","-0.10109522","0.07650862"
"40","null","null","null","0.016951011","-0.101706065","0.07956286"
"41","-0.3798411","0.063714504","0.35838795","null","null","null"
"44","null","null","null","0.018783553","-0.10414946","0.08078455"
"45","-0.343256","0.08754873","0.3344679","null","null","null"
"46","null","null","null","0.021226943","-0.105982","0.08322794"
"48","null","null","null","0.024281178","-0.105371155","0.08383878"
"50","null","null","null","0.026724568","-0.10048437","0.08567133"
"50","-0.30091143","0.09793949","0.34505844","null","null","null"
"53","null","null","null","0.028557109","-0.0943759","0.08872557"
"55","-0.30219054","0.08562493","0.40749645","null","null","null"
"55","null","null","null","0.029778805","-0.08460235","0.091168955"
"58","null","null","null","0.03283304","-0.07910472","0.09605573"
"60","null","null","null","0.03771982","-0.074217945","0.100331664"
"60","-0.31703758","0.070925","0.4548521","null","null","null"
"62","null","null","null","0.040774055","-0.070552856","0.10460759"
"65","null","null","null","0.045049984","-0.06933116","0.10827268"
"66","-0.29455757","0.06328821","0.4303608","null","null","null"
"67","null","null","null","0.049325917","-0.06933116","0.11071607"
"70","null","null","null","0.052991","-0.06566608","0.11438115"
"71","-0.27088857","0.028166533","0.41541004","null","null","null"
