"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.3660502","0.40239564","0.2216612"
"1","0.42545843","0.7432971","0.05335045","null","null","null"
"1","null","null","null","0.36116344","0.41583428","0.21494187"
"4","null","null","null","0.3581092","0.42866206","0.20883341"
"4","0.28650808","0.67882943","-0.07456684","null","null","null"
"5","null","null","null","0.35261157","0.43904647","0.20394664"
"9","0.17876363","0.6291418","-0.2337246","null","null","null"
"10","null","null","null","0.34589225","0.44882002","0.1996707"
"10","null","null","null","0.33917293","0.45676103","0.19783816"
"13","null","null","null","0.33123192","0.46653458","0.19539477"
"13","0.10192537","0.59445167","-0.36431217","null","null","null"
"15","null","null","null","0.31901497","0.47875154","0.19234054"
"18","null","null","null","0.31046313","0.48913595","0.19356222"
"18","0.004753828","0.56428957","-0.4473667","null","null","null"
"19","null","null","null","0.3013004","0.500742","0.19478393"
"23","null","null","null","0.29030517","0.50990474","0.19722731"
"23","-0.10808873","0.51952934","-0.55225754","null","null","null"
"25","null","null","null","0.27992076","0.5196783","0.20089239"
"29","null","null","null","0.26831466","0.5282302","0.20455748"
"29","-0.24391961","0.50697446","-0.6299448","null","null","null"
"30","null","null","null","0.25670856","0.53739285","0.20944425"
"33","null","null","null","0.24388076","0.5477773","0.21494187"
"33","-0.36450362","0.49563384","-0.72950745","null","null","null"
"35","null","null","null","0.23166382","0.55266404","0.22043951"
"39","null","null","null","0.21883602","0.5587725","0.22838052"
"39","-0.46416163","0.5118861","-0.8245745","null","null","null"
"40","null","null","null","0.2041757","0.56182677","0.23571068"
"42","-0.5157013","0.51641893","-0.9151392","null","null","null"
"42","null","null","null","0.18951537","0.56549186","0.24059746"
"45","null","null","null","0.17363334","0.5636593","0.24670593"
"48","null","null","null","0.15836215","0.56121594","0.25159273"
"48","-0.53988314","0.5344331","-1.0119133","null","null","null"
"52","null","null","null","0.14186928","0.55755085","0.2577012"
"53","-0.5453861","0.56833696","-1.0753889","null","null","null"
"53","null","null","null","0.12720895","0.55388576","0.26319882"
"56","null","null","null","0.11132691","0.5508315","0.26686388"
"57","-0.55254626","0.5989208","-1.0948391","null","null","null"
"57","null","null","null","0.09605573","0.54533386","0.27113983"
"60","null","null","null","0.082006246","0.54166883","0.27419406"
"63","-0.5315397","0.6332364","-1.0882025","null","null","null"
"63","null","null","null","0.068567604","0.5361712","0.27846998"
"65","null","null","null","0.05390727","0.5312844","0.27908084"
"68","null","null","null","0.041690327","0.5239542","0.28030252"
"69","-0.4824313","0.6831517","-1.0638561","null","null","null"
"70","null","null","null","0.03130592","0.5172349","0.2796917"
"73","null","null","null","0.019699825","0.5092939","0.2772483"
"74","-0.4125216","0.72086143","-1.0372639","null","null","null"
"75","null","null","null","0.008704574","0.49952033","0.2735832"
"77","-0.33027446","0.76899433","-0.99882317","null","null","null"
"78","null","null","null","-4.5813544E-4","0.4909685","0.2680856"
"81","null","null","null","-0.010231691","0.47630814","0.26319882"
"83","null","null","null","-0.016951011","0.4640912","0.2552578"
"83","-0.20371318","0.833307","-0.9579992","null","null","null"
"85","null","null","null","-0.024892027","0.45065257","0.24548425"
"88","-0.11660683","0.8848553","-0.902771","null","null","null"
"88","null","null","null","-0.030389652","0.4341597","0.23632154"
"90","null","null","null","-0.037108973","0.41705596","0.22715883"
"93","null","null","null","-0.040774055","0.39873055","0.21799612"
