"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.042859554","0.034179688","0.07274461","null","null","null"
"2","null","null","null","-0.0015271181","0.008551862","-0.0047340663"
"3","null","null","null","-3.0542363E-4","0.007941014","-0.0022906773"
"7","null","null","null","0.0015271181","0.007941014","-0.00167983"
"8","-0.06882918","0.03269863","-0.031237364","null","null","null"
"9","null","null","null","3.0542363E-4","0.007941014","1.5271181E-4"
"10","null","null","null","0.0021379655","0.005497625","0.0013744063"
"10","-0.10631299","0.03245163","-0.0037901402","null","null","null"
"13","null","null","null","0.0051922016","0.005497625","0.003206948"
"14","null","null","null","0.0045813546","0.0030542363","0.0038177953"
"15","-0.11720979","0.044160843","0.11944294","null","null","null"
"16","null","null","null","0.005803049","6.1084726E-4","0.006872032"
"20","-0.13375545","0.046331406","0.0777936","null","null","null"
"21","null","null","null","0.0070247436","0.0018325418","0.006872032"
"21","null","null","null","0.01007898","-0.0018325418","0.007482879"
"25","null","null","null","0.010689827","-0.0030542363","0.008704574"
"26","-0.11206603","0.037873268","0.03160262","null","null","null"
"30","null","null","null","0.010689827","-0.004275931","0.008704574"
"31","null","null","null","0.014354911","-0.00671932","0.009926268"
"31","-0.084520936","0.028341293","0.17210174","null","null","null"
"32","null","null","null","0.014965758","-0.008551862","0.009315421"
"35","null","null","null","0.016798299","-0.008551862","0.009315421"
"35","-0.04053855","0.028438568","0.2958784","null","null","null"
"37","null","null","null","0.018019995","-0.009162709","0.009926268"
"40","null","null","null","0.016798299","-0.009773556","0.008093726"
"41","0.0018905401","0.01787281","0.15384746","null","null","null"
"42","null","null","null","0.017409148","-0.010384403","0.008704574"
"44","null","null","null","0.018019995","-0.012216945","0.009315421"
"45","0.05467844","0.009774208","0.12696218","null","null","null"
"46","null","null","null","0.016187452","-0.011606098","0.007482879"
"48","null","null","null","0.012522369","-0.01343864","0.008093726"
"49","0.08681083","0.004052162","0.21916842","null","null","null"
"51","null","null","null","0.011300675","-0.015271181","0.006872032"
"54","null","null","null","0.009468133","-0.014660334","0.004428643"
"54","0.096065044","0.0042324066","0.08051133","null","null","null"
"55","null","null","null","0.008246438","-0.016492875","0.0038177953"
"59","null","null","null","0.0070247436","-0.017714571","0.0038177953"
"61","0.11943889","-0.021763802","-0.096022606","null","null","null"
"61","null","null","null","0.0076355906","-0.018936265","0.0038177953"
"63","0.108225584","-0.019046783","0.014997244","null","null","null"
"64","null","null","null","0.008246438","-0.017714571","0.004428643"
"67","null","null","null","0.0076355906","-0.017103724","0.0013744063"
"69","null","null","null","0.0070247436","-0.014049487","0.0025961008"
"69","0.09696877","-0.03537464","0.07167506","null","null","null"
"71","null","null","null","0.0070247436","-0.012827792","0.0038177953"
"73","null","null","null","0.006413896","-0.009162709","0.0019852535"
"74","0.06559515","-0.045632362","-0.058506012","null","null","null"
"76","null","null","null","0.0070247436","-0.007330167","0.0019852535"
"79","0.049789667","-0.04752636","-0.04276824","null","null","null"
"79","null","null","null","0.003970507","-0.005497625","0.0013744063"
"81","null","null","null","0.0051922016","-0.004275931","7.635591E-4"
"85","null","null","null","0.003970507","-0.0030542363","0.0019852535"
"85","0.017441273","-0.029240608","0.023897648","null","null","null"
"86","null","null","null","0.0045813546","-6.1084726E-4","7.635591E-4"
"89","null","null","null","0.0027488125","0.0018325418","0.0019852535"
"89","0.007850528","-0.019431114","-0.07499528","null","null","null"
"90","null","null","null","0.003970507","0.0036650836","0.0025961008"
"93","-0.019465566","0.011683464","-0.050848722","null","null","null"
"93","null","null","null","0.003970507","0.0061084726","0.003206948"
"96","null","null","null","0.0045813546","0.009162709","0.00503949"
"99","-0.032300115","0.02831459","0.05732751","null","null","null"
"100","null","null","null","0.00335966","0.011606098","0.00503949"
"103","null","null","null","0.00335966","0.012216945","0.004428643"
"104","null","null","null","0.0027488125","0.014660334","0.00503949"
"104","-0.01422441","0.05072403","-0.032439947","null","null","null"
"107","null","null","null","-0.0021379655","0.014660334","0.00503949"
"108","null","null","null","-0.0015271181","0.015271181","0.0038177953"
"109","-0.02720058","0.07405567","-0.10463929","null","null","null"
"112","null","null","null","-0.003970507","0.016492875","0.003206948"
"114","2.1851063E-4","0.09359074","-0.013533592","null","null","null"
"115","null","null","null","-0.003970507","0.017714571","0.0038177953"
"117","null","null","null","-0.003970507","0.019547112","0.0056503373"
"118","null","null","null","-0.0045813546","0.02260135","0.0062611843"
"118","0.012023091","0.11416721","-0.04191804","null","null","null"
"121","null","null","null","-0.005803049","0.02260135","0.006872032"
"123","null","null","null","-0.006413896","0.023823043","0.006872032"
"124","0.018988132","0.123869896","-0.055760622","null","null","null"
"124","null","null","null","-0.005803049","0.026266431","0.006872032"
"127","0.03654492","0.12517548","0.07058549","null","null","null"
"128","null","null","null","-0.0076355906","0.026266431","0.007482879"
"129","null","null","null","-0.0076355906","0.025655584","0.0062611843"
