"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-2.1896584","-0.32703236","-0.49806958"
"3","null","null","null","-2.2293634","-0.30076593","-0.48463094"
"3","0.68511856","-2.8346033","-1.4033977","null","null","null"
"4","null","null","null","-2.2660143","-0.2848839","-0.46691638"
"7","null","null","null","-2.3044977","-0.2696127","-0.44431502"
"7","-0.22455168","-2.9146109","-0.98920155","null","null","null"
"9","null","null","null","-2.346646","-0.2641151","-0.41621605"
"12","null","null","null","-2.3900163","-0.26533678","-0.38628453"
"12","-1.2200469","-2.984293","-0.66345763","null","null","null"
"14","null","null","null","-2.4394948","-0.27083442","-0.35329878"
"17","null","null","null","-2.4938602","-0.2799971","-0.31970218"
"17","-2.2015474","-3.0510454","-0.7626361","null","null","null"
"19","null","null","null","-2.5531125","-0.29465744","-0.28671643"
"21","null","null","null","-2.616106","-0.31664795","-0.25311983"
"22","-3.1055667","-3.0995226","-1.0715481","null","null","null"
"24","null","null","null","-2.6778016","-0.33191913","-0.22135578"
"27","null","null","null","-2.7370539","-0.3459686","-0.18959172"
"27","-3.7863994","-3.0319042","-0.95244616","null","null","null"
"29","null","null","null","-2.7883651","-0.34780115","-0.15904936"
"31","null","null","null","-2.8329568","-0.340471","-0.12911785"
"32","-4.271967","-2.8652163","-0.41383317","null","null","null"
"34","null","null","null","-2.8671644","-0.31909135","-0.10101887"
"36","null","null","null","-2.887933","-0.28305134","-0.07780667"
"36","-4.5270844","-2.6187363","0.5580518","null","null","null"
"39","null","null","null","-2.8983176","-0.23235102","-0.058870405"
"42","null","null","null","-2.8946524","-0.16576867","-0.041155834"
"42","-4.5936604","-2.34976","2.1245816","null","null","null"
"44","null","null","null","-2.881214","-0.08635853","-0.024052111"
"46","null","null","null","-2.8549473","0.004046863","-0.008170082"
"46","-4.522765","-2.1035223","3.8302093","null","null","null"
"49","null","null","null","-2.8182964","0.10300412","0.0077119465"
"52","null","null","null","-2.772483","0.20868069","0.022983128"
