"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.014354911","-0.43469417","0.09093989"
"4","-2.1017566","1.8374557","-1.738574","null","null","null"
"5","null","null","null","0.015576605","-0.44874367","0.06711684"
"7","null","null","null","0.044286426","-0.4530196","0.039017867"
"8","-1.9343646","2.0752497","-1.8945769","null","null","null"
"9","null","null","null","0.07605048","-0.45057622","0.012751437"
"10","-1.5721672","2.4157667","-1.5978857","null","null","null"
"11","null","null","null","0.10720369","-0.44568944","-0.011682454"
"12","null","null","null","0.13530266","-0.43163994","-0.038559735"
"14","null","null","null","0.16401249","-0.4145362","-0.062382776"
"15","-1.4339163","2.6926947","-1.5150769","null","null","null"
"16","null","null","null","0.18966807","-0.39437827","-0.08620582"
"20","-1.4908395","2.8487186","-1.4309165","null","null","null"
"21","null","null","null","0.21349111","-0.36933354","-0.10819632"
"22","null","null","null","0.22692975","-0.3406237","-0.12896512"
"23","null","null","null","0.23548162","-0.30580541","-0.14790139"
"25","-1.649699","2.9162607","-1.4193312","null","null","null"
"27","null","null","null","0.23120569","-0.2618244","-0.16500512"
"29","-1.971806","2.8439894","-1.7029432","null","null","null"
"30","null","null","null","0.22265382","-0.22028679","-0.17538951"
"36","null","null","null","0.21288027","-0.17569494","-0.18333054"
"37","null","null","null","0.1951657","-0.13293563","-0.1918824"
"38","-2.4672153","2.5794172","-2.124436","null","null","null"
"38","null","null","null","0.18233791","-0.09139802","-0.20165595"
"38","-2.866682","2.3439627","-2.1472225","null","null","null"
"39","null","null","null","0.16401249","-0.048638713","-0.21020782"
"42","null","null","null","0.14507623","0.005726693","-0.21814883"
"45","null","null","null","0.120642334","0.058259558","-0.2230356"
"46","-2.968461","2.2224588","-2.0854023","null","null","null"
"46","null","null","null","0.09987353","0.10895988","-0.22547899"
"49","null","null","null","0.083380654","0.16393614","-0.22975492"
"49","-3.2108805","2.0353909","-2.1016996","null","null","null"
"50","null","null","null","0.065055236","0.22074492","-0.22975492"
"53","null","null","null","0.046729814","0.28007346","-0.22792238"
"53","-3.3322208","1.8736792","-1.7903994","null","null","null"
"56","null","null","null","0.030847786","0.34115818","-0.22547899"
"58","null","null","null","0.011911522","0.4010212","-0.22486815"
"59","-3.4404843","1.6978111","-1.3861367","null","null","null"
"60","null","null","null","0.00335966","0.4523324","-0.22608984"
"63","null","null","null","-0.0070247436","0.5054761","-0.2242573"
"63","-3.3561678","1.5867338","-1.192194","null","null","null"
"67","null","null","null","-0.014965758","0.5635066","-0.22486815"
"69","null","null","null","-0.02107423","0.62092626","-0.22181392"
"69","-3.1704748","1.5833969","-0.8624157","null","null","null"
"71","null","null","null","-0.026571855","0.68628687","-0.21814883"
"73","-2.944757","1.6732941","-0.3476301","null","null","null"
"74","null","null","null","-0.032069482","0.7553126","-0.21448374"
"76","null","null","null","-0.048562355","0.8249492","-0.20776442"
"79","null","null","null","-0.06810947","0.8951967","-0.2022668"
"79","-2.694823","1.8562813","-0.14142445","null","null","null"
"81","null","null","null","-0.095597595","0.9654441","-0.19676918"
"83","-2.4709058","2.078433","-0.043462276","null","null","null"
"83","null","null","null","-0.11697725","1.0314156","-0.1906607"
"86","null","null","null","-0.14324369","1.0992197","-0.18577392"
"88","-2.1510215","2.3062172","0.2653903","null","null","null"
"88","null","null","null","-0.17378604","1.1664128","-0.1790546"
"92","null","null","null","-0.20249587","1.2262759","-0.17233528"
"93","-1.9134326","2.4643097","0.6770946","null","null","null"
"93","null","null","null","-0.22509721","1.2940799","-0.16867019"
"96","null","null","null","-0.24464433","1.3582189","-0.15950748"
"98","null","null","null","-0.26480228","1.4211361","-0.14790139"
"99","-1.5538188","2.5121279","1.384716","null","null","null"
"101","null","null","null","-0.28251687","1.4785558","-0.13568445"
"103","null","null","null","-0.3014531","1.5408622","-0.1259109"
"103","-1.384637","2.2895803","2.1309676","null","null","null"
"106","null","null","null","-0.33443886","1.6123314","-0.116748184"
"108","null","null","null","-0.36803547","1.6941849","-0.10941801"
"108","-1.0347593","1.9500589","2.6566243","null","null","null"
"110","null","null","null","-0.42117918","1.7784818","-0.110639706"
"114","null","null","null","-0.47859883","1.8670547","-0.12102412"
"115","-0.25350976","1.6623945","2.7569487","null","null","null"
"116","null","null","null","-0.5354076","1.9470756","-0.14057122"
"118","null","null","null","-0.58488625","2.0154905","-0.17233528"
"119","1.0501276","1.4159803","2.264497","null","null","null"
"120","null","null","null","-0.6142069","2.05825","-0.20776442"
"122","null","null","null","-0.6270347","2.0869596","-0.24808034"
"122","2.3282938","1.153574","2.3608909","null","null","null"
"126","null","null","null","-0.61481774","2.0924573","-0.2835095"
"131","null","null","null","-0.5842754","2.0802402","-0.31160846"
"132","3.136198","0.8190079","3.0585272","null","null","null"
"133","null","null","null","-0.5402944","2.061915","-0.3378749"
"133","3.2930708","0.41585732","4.1455855","null","null","null"
"134","null","null","null","-0.48531815","2.0448112","-0.36291963"
"136","null","null","null","-0.4199575","2.0246532","-0.3910186"
"138","3.5015304","0.18928051","5.0174193","null","null","null"
"139","null","null","null","-0.34909922","1.9983869","-0.41850674"
"139","null","null","null","-0.27335414","1.9721204","-0.44477317"
"143","null","null","null","-0.19699824","1.9562384","-0.46615282"
"144","3.8892064","0.106734276","5.5605216","null","null","null"
"145","null","null","null","-0.12247488","1.9525733","-0.48631078"
"148","null","null","null","-0.051616594","1.9513515","-0.49913856"
"148","3.9171572","0.019709587","5.7897935","null","null","null"
"150","null","null","null","0.02107423","1.9263068","-0.5064687"
"152","3.712763","-0.056344032","5.9863296","null","null","null"
"153","null","null","null","0.09987353","1.8707197","-0.5150206"
"154","null","null","null","0.1835596","1.8041373","-0.52418333"
"158","null","null","null","0.27091077","1.7332791","-0.53212434"
"158","3.9612365","-0.1848011","5.60188","null","null","null"
"159","null","null","null","0.36070532","1.6557015","-0.53517854"
"163","null","null","null","0.4535541","1.5750697","-0.53517854"
"163","4.1868334","-0.25084782","5.472147","null","null","null"
"165","null","null","null","0.5470137","1.4956595","-0.533346"
"167","4.1356335","-0.22706318","5.43093","null","null","null"
"167","null","null","null","0.64352757","1.4162494","-0.53273517"
"170","null","null","null","0.7388198","1.3398935","-0.53273517"
"173","null","null","null","0.83472276","1.265981","-0.53151345"
"174","4.1236706","-0.050107956","5.3802676","null","null","null"
"175","null","null","null","0.92573905","1.1920685","-0.5296809"
"178","null","null","null","1.0124793","1.1205993","-0.52479416"
"179","4.047875","0.16513062","5.2850285","null","null","null"
"180","null","null","null","1.0955546","1.0472976","-0.5211291"
"182","null","null","null","1.1719105","0.97521764","-0.51318806"
"183","3.857902","0.36607838","4.8646655","null","null","null"
"185","null","null","null","1.2422342","0.9037485","-0.5034145"
"187","null","null","null","1.3051516","0.829836","-0.49180838"
"188","3.5881371","0.5276842","4.2868943","null","null","null"
"188","null","null","null","1.3631821","0.7589777","-0.4777589"
"192","null","null","null","1.4096065","0.6881194","-0.46248773"
