"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.007482879","0.011911522","-4.5813544E-4"
"3","null","null","null","-0.007482879","0.012522369","0.0025961008"
"4","-0.024272442","0.050585747","-0.006925851","null","null","null"
"5","null","null","null","-0.0062611843","0.010689827","0.0013744063"
"6","-0.04663396","0.045407295","-0.032796055","null","null","null"
"7","null","null","null","-0.007482879","0.011911522","-0.0010689828"
"8","null","null","null","-0.008093726","0.011300675","-0.0010689828"
"13","-0.04034686","0.03788662","-0.031031102","null","null","null"
"14","null","null","null","-0.010537115","0.010689827","1.5271181E-4"
"15","null","null","null","-0.010537115","0.011300675","-4.5813544E-4"
"16","null","null","null","-0.011147963","0.011911522","1.5271181E-4"
"16","-0.04478264","0.03399086","-0.04227513","null","null","null"
"18","null","null","null","-0.01175881","0.011911522","1.5271181E-4"
"21","-0.044435024","0.03250122","-0.027277976","null","null","null"
"21","null","null","null","-0.01175881","0.013133216","-4.5813544E-4"
"24","null","null","null","-0.012980504","0.012522369","0.0013744063"
"26","null","null","null","-0.013591352","0.015576605","0.0019852535"
"27","-0.039259672","0.015609741","-0.014727116","null","null","null"
"29","null","null","null","-0.012980504","0.015576605","0.0019852535"
"32","-0.03411579","-0.0035085678","0.0024073124","null","null","null"
"33","null","null","null","-0.01175881","0.015576605","0.0019852535"
"34","null","null","null","-0.011147963","0.014965758","0.0025961008"
"36","-0.026626587","-0.0010957718","0.01697874","null","null","null"
"38","null","null","null","-0.01175881","0.016798299","0.0019852535"
"40","null","null","null","-0.01175881","0.017409148","0.0013744063"
"41","null","null","null","-0.010537115","0.017409148","0.0025961008"
"41","-0.02752614","-0.023635864","0.043267637","null","null","null"
"44","null","null","null","-0.009315421","0.016187452","0.0025961008"
"45","-0.03192091","-0.025791168","0.049097","null","null","null"
"46","null","null","null","-0.009926268","0.016798299","0.0038177953"
"49","null","null","null","-0.008093726","0.016798299","0.004428643"
"51","null","null","null","-0.008093726","0.017409148","0.004428643"
"51","-0.027914286","-0.010105133","0.047677606","null","null","null"
"54","null","null","null","-0.008093726","0.018019995","0.003206948"
"55","-0.022797585","-0.02067566","0.04029569","null","null","null"
"55","null","null","null","-0.006872032","0.018019995","0.0038177953"
"58","null","null","null","-0.004428643","0.016798299","0.004428643"
"60","null","null","null","-0.00503949","0.018630842","0.00503949"
"60","-0.036659718","-0.02283001","0.03522566","null","null","null"
"63","null","null","null","-0.00503949","0.017409148","0.00503949"
"66","null","null","null","-0.003206948","0.015576605","0.00503949"
"66","-0.014777899","-0.010716438","0.01831308","null","null","null"
"68","null","null","null","-0.0038177953","0.016187452","0.006872032"
"70","null","null","null","-0.004428643","0.013744064","0.0062611843"
"71","-0.015559435","-0.004620552","0.007494718","null","null","null"
"73","null","null","null","-0.0038177953","0.014965758","0.007482879"
"75","-0.017535686","0.0026082993","3.171265E-4","null","null","null"
"75","null","null","null","-0.0038177953","0.014354911","0.00503949"
"78","null","null","null","-0.0056503373","0.014965758","0.00503949"
"80","null","null","null","-0.004428643","0.012522369","0.00503949"
"81","0.003004074","0.0061998367","-0.030474782","null","null","null"
"84","null","null","null","-0.007482879","0.012522369","0.0038177953"
"85","null","null","null","-0.007482879","0.012522369","0.0038177953"
"85","0.0078856945","0.010928154","-0.03239289","null","null","null"
"88","null","null","null","-0.008093726","0.011300675","0.004428643"
"91","null","null","null","-0.008093726","0.011300675","0.0025961008"
"92","0.012714624","0.012052536","-0.036626518","null","null","null"
"97","null","null","null","-0.008093726","0.012522369","0.0038177953"
"98","0.01508522","0.0012845993","-0.018252969","null","null","null"
"99","null","null","null","-0.009315421","0.011911522","0.0013744063"
"99","null","null","null","-0.011147963","0.011300675","0.0019852535"
"100","0.016193867","0.008396149","-0.0070592165","null","null","null"
"100","null","null","null","-0.009926268","0.011300675","7.635591E-4"
"103","null","null","null","-0.009315421","0.011911522","-4.5813544E-4"
"105","null","null","null","-0.009926268","0.012522369","7.635591E-4"
"106","0.007738352","0.007124901","0.003987968","null","null","null"
"109","null","null","null","-0.008704574","0.013133216","1.5271181E-4"
