"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.013209572","-0.017485503","-0.13980767"
"4","null","null","null","-0.010766183","-0.023593975","-0.13919681"
"6","0.6954918","0.1598196","-0.105997026","null","null","null"
"7","null","null","null","-0.010766183","-0.028480753","-0.13797513"
"8","0.5872433","0.102044106","-0.10181415","null","null","null"
"10","null","null","null","-0.01137703","-0.032145835","-0.13553174"
"11","null","null","null","-0.01137703","-0.034589227","-0.13431004"
"13","null","null","null","-0.010766183","-0.032756682","-0.13308835"
"14","0.48359132","0.049533844","-0.086934745","null","null","null"
"16","null","null","null","-0.009544488","-0.032145835","-0.13186665"
"18","null","null","null","-0.01137703","-0.0290916","-0.13308835"
"19","0.38917756","0.020022392","-0.062751174","null","null","null"
"20","null","null","null","-0.013209572","-0.025426516","-0.1336992"
"23","null","null","null","-0.016263809","-0.020539738","-0.13431004"
"25","0.31212735","-0.010443687","-0.016125083","null","null","null"
"28","null","null","null","-0.017485503","-0.016263809","-0.13431004"
"29","null","null","null","-0.015042114","0.0051158457","-0.14958122"
"30","0.24728155","-0.020588875","-0.005672753","null","null","null"
"30","null","null","null","-0.01137703","0.059481252","-0.17157172"
"34","null","null","null","-0.009544488","0.068033114","-0.17401512"
"35","0.4097066","-0.06315708","0.21712619","null","null","null"
"36","null","null","null","-0.011987877","0.05276193","-0.16485241"
"37","null","null","null","-0.014431266","0.03260397","-0.15507884"
"38","0.19618201","-0.153862","0.21531796","null","null","null"
"40","null","null","null","-0.014431266","0.023441264","-0.15202461"
"43","null","null","null","-0.011987877","0.049707696","-0.16179816"
"43","-0.17688227","-0.007546425","-0.25409776","null","null","null"
"47","null","null","null","-0.01137703","0.06192464","-0.16240901"
"48","null","null","null","-0.013209572","0.058870405","-0.15752223"
"49","0.077498436","-0.008509636","0.17032295","null","null","null"
"50","null","null","null","-0.016263809","0.052151084","-0.15202461"
"54","-0.11842561","0.058382034","0.0039735436","null","null","null"
"55","null","null","null","-0.01809635","0.047875155","-0.14347275"
"56","null","null","null","-0.019928891","0.050318543","-0.13797513"
"57","null","null","null","-0.021150587","0.058259558","-0.13308835"
"58","-0.22192907","0.15457249","-0.07780355","null","null","null"
"59","null","null","null","-0.020539738","0.06681142","-0.13064496"
"62","null","null","null","-0.019928891","0.080860905","-0.12820157"
"62","-0.18177652","0.19662762","0.05922842","null","null","null"
"65","null","null","null","-0.01809635","0.09796463","-0.13064496"
"68","-0.12315583","0.19666767","0.13022089","null","null","null"
"68","null","null","null","-0.013209572","0.13156123","-0.14225106"
"70","null","null","null","-0.008322794","0.14194563","-0.14041851"
"73","null","null","null","-0.008322794","0.13033953","-0.1312558"
"73","0.039539576","0.12546349","0.29138404","null","null","null"
"76","null","null","null","-0.009544488","0.11323581","-0.11659547"
"78","null","null","null","-0.010766183","0.09735378","-0.10498937"
"79","-0.30851698","0.22140598","-0.12044406","null","null","null"
"80","null","null","null","-0.010155336","0.0820826","-0.09399412"
"82","null","null","null","-0.009544488","0.07780667","-0.08605311"
"82","-0.42369962","0.3999405","-0.28395417","null","null","null"
"86","null","null","null","-0.01137703","0.07963921","-0.07994463"
"88","null","null","null","-0.010766183","0.083915144","-0.074447006"
"89","-0.3058524","0.5083227","-0.1884777","null","null","null"
"89","null","null","null","-0.008933641","0.08819107","-0.06956023"
"93","null","null","null","-0.0071010995","0.09124531","-0.0640626"
"93","-0.21460319","0.5423422","-0.077430844","null","null","null"
"96","null","null","null","-0.0052685575","0.09491039","-0.059786674"
"98","-0.2078948","0.53466606","-0.035289228","null","null","null"
"98","null","null","null","2.2906772E-4","0.0936887","-0.05245651"
"100","null","null","null","0.0045049987","0.09124531","-0.046348035"
"102","null","null","null","0.009391776","0.08819107","-0.037185326"
"102","-0.22671723","0.4904318","-0.035410702","null","null","null"
"105","null","null","null","0.014889402","0.08758023","-0.029244313"
"108","null","null","null","0.020997874","0.08635853","-0.022524992"
"109","-0.24585629","0.4230194","0.004369259","null","null","null"
"109","null","null","null","0.027717194","0.08452599","-0.010918895"
"113","null","null","null","0.034436513","0.083915144","-0.0011453386"
"113","-0.23782611","0.39083385","0.07056534","null","null","null"
"115","null","null","null","0.04176668","0.08452599","0.0080173705"
"118","-0.2206583","0.3377838","0.10112119","null","null","null"
"118","null","null","null","0.048486","0.08758023","0.01901262"
"120","null","null","null","0.05581617","0.08880192","0.028786177"
"123","null","null","null","0.061313793","0.090023614","0.04161397"
"123","-0.19551516","0.2949381","0.14026427","null","null","null"
"127","null","null","null","0.06681142","0.090634465","0.050165832"
"128","null","null","null","0.074752435","0.08758023","0.063604474"
"128","-0.18502784","0.27289677","0.17022282","null","null","null"
"131","null","null","null","0.08025006","0.08452599","0.07459972"
"132","null","null","null","0.08635853","0.07841752","0.085594974"
"132","-0.16766357","0.2157135","0.1887933","null","null","null"
"135","null","null","null","0.09307785","0.07291989","0.097811915"
"138","null","null","null","0.09796463","0.06620057","0.110639706"
"138","-0.1387024","0.17473507","0.1605295","null","null","null"
"140","null","null","null","0.105294794","0.05581617","0.12224581"
"143","null","null","null","0.11140327","0.048486","0.1350736"
"144","-0.12911177","0.12964916","0.1725313","null","null","null"
"146","null","null","null","0.1144575","0.041155834","0.145458"
"148","-0.10557294","0.12795258","0.17238885","null","null","null"
"148","null","null","null","0.12056598","0.02893889","0.1570641"
"149","null","null","null","0.12362021","0.017943637","0.16867019"
"152","null","null","null","0.12789614","0.0069483877","0.18088715"
"152","-0.099047184","0.12418938","0.16151178","null","null","null"
"154","null","null","null","0.13095038","-0.0077119465","0.19004986"
"157","null","null","null","0.13217208","-0.021150587","0.20043425"
"158","-0.08224058","0.15276527","0.10216844","null","null","null"
"159","null","null","null","0.13278292","-0.037643462","0.2114295"
"161","null","null","null","0.13461547","-0.055358034","0.21998137"
"162","-0.07069564","0.19204903","0.032988906","null","null","null"
"168","null","null","null","0.13400462","-0.07062922","0.2267007"
"169","null","null","null","0.13583715","-0.088954635","0.23525254"
"170","-0.06935215","0.2525692","-0.053015172","null","null","null"
"171","null","null","null","0.13522631","-0.1078909","0.24441525"
"172","null","null","null","0.13583715","-0.12743801","0.25113457"
"172","-0.08995104","0.29024506","-0.106942594","null","null","null"
"175","null","null","null","0.13705885","-0.14515258","0.2578539"
"177","null","null","null","0.13828056","-0.16286714","0.26701662"
"177","-0.101530075","0.32185268","-0.11847508","null","null","null"
"181","null","null","null","0.13828056","-0.18180342","0.27373594"
"182","null","null","null","0.13950224","-0.19707459","0.2798444"
"183","-0.14573193","0.36880112","-0.14729273","null","null","null"
"184","null","null","null","0.14011309","-0.21417832","0.28717458"
"187","-0.16886044","0.38821983","-0.14589179","null","null","null"
"188","null","null","null","0.14316733","-0.22883865","0.29450473"
"191","null","null","null","0.14499986","-0.24044475","0.30000237"
"191","null","null","null","0.14561072","-0.24838577","0.30733252"
"192","-0.18418026","0.40524197","-0.16098934","null","null","null"
"196","null","null","null","0.14805411","-0.25754848","0.31405184"
"197","-0.201154","0.37242413","-0.14268994","null","null","null"
"197","null","null","null","0.1504975","-0.2654895","0.32199287"
"198","null","null","null","0.15233004","-0.26854372","0.32810134"
"202","-0.18538666","0.29133892","-0.12586826","null","null","null"
"202","null","null","null","0.15599512","-0.2697654","0.33359897"
"203","null","null","null","0.15599512","-0.26854372","0.33970743"
"207","-0.15618086","0.17899036","-0.106993616","null","null","null"
"208","null","null","null","0.15782766","-0.26487863","0.34398335"
"208","null","null","null","0.1621036","-0.2606027","0.35009184"
"210","-0.10772419","0.032048225","-0.08277649","null","null","null"
"211","null","null","null","0.16454698","-0.25449425","0.35436776"
"213","null","null","null","0.16821207","-0.24777491","0.3586437"
"216","-0.050914526","-0.113609314","-0.03791088","null","null","null"
"216","null","null","null","0.17187715","-0.23922306","0.36291963"
"219","null","null","null","0.17798562","-0.2306712","0.36414132"
"221","null","null","null","0.18348324","-0.22089764","0.36536303"
"222","0.01635003","-0.25688744","-0.0072187185","null","null","null"
"224","null","null","null","0.18714833","-0.20929155","0.36719555"
"227","0.09624934","-0.3764696","-0.002411425","null","null","null"
"228","null","null","null","0.1908134","-0.19646375","0.36414132"
"229","null","null","null","0.19264595","-0.18424681","0.36230877"
"231","null","null","null","0.19508934","-0.16897562","0.35803285"
"231","0.1812675","-0.46787453","-0.013660908","null","null","null"
"233","null","null","null","0.19508934","-0.15492614","0.35314608"
"238","null","null","null","0.19508934","-0.13965495","0.34520507"
"239","null","null","null","0.19203511","-0.12499462","0.3378749"
"240","0.25807834","-0.531394","-0.044267952","null","null","null"
"240","0.35146427","-0.54592896","-0.14010525","null","null","null"
"241","null","null","null","0.18898088","-0.10911259","0.32932302"
"244","null","null","null","0.18531579","-0.09323056","0.32077116"
"248","0.42674994","-0.54038906","-0.20790571","null","null","null"
"249","null","null","null","0.18042901","-0.079181075","0.30977592"
"249","null","null","null","0.17493138","-0.06513159","0.2993915"
"251","null","null","null","0.16943376","-0.048027866","0.2902288"
"251","0.49940634","-0.50665","-0.29759544","null","null","null"
"253","null","null","null","0.16454698","-0.030924143","0.27801186"
"256","0.57291794","-0.4687128","-0.35679537","null","null","null"
"257","null","null","null","0.15721682","-0.013209572","0.26518407"
"258","null","null","null","0.1504975","0.0045049987","0.25357798"
"261","null","null","null","0.14438902","0.020997874","0.24075018"
"262","0.6365304","-0.43729687","-0.42364347","null","null","null"
"263","null","null","null","0.1376697","0.040544987","0.22975492"
"266","null","null","null","0.12911785","0.059481252","0.21814883"
"267","0.6939602","-0.41588783","-0.4814611","null","null","null"
"268","null","null","null","0.121787675","0.07597413","0.20715357"
"270","0.7381761","-0.40200615","-0.51602054","null","null","null"
