"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.36864632","0.47493374","-0.2034885"
"4","-1.8932605","1.1463518","-4.2732215","null","null","null"
"5","null","null","null","-0.35887277","0.48409647","-0.23647425"
"6","null","null","null","-0.34726667","0.49448085","-0.26151899"
"7","-2.6621997","0.62008286","-4.2454596","null","null","null"
"8","null","null","null","-0.32222193","0.49448085","-0.27923355"
"9","null","null","null","-0.29106873","0.4883724","-0.28656372"
"10","-3.2492778","0.50408554","-3.6787438","null","null","null"
"11","null","null","null","-0.24097924","0.47737715","-0.28595287"
"13","null","null","null","-0.17867282","0.45844087","-0.28534204"
"15","-3.4622598","0.8685856","-2.6517234","null","null","null"
"16","null","null","null","-0.10964708","0.4291202","-0.2810661"
"19","null","null","null","-0.03634541","0.3967453","-0.27312508"
"20","-3.0304615","1.6451006","-0.7760354","null","null","null"
"21","null","null","null","0.038177952","0.36498123","-0.26274067"
"23","null","null","null","0.117588095","0.34176904","-0.24991289"
"24","-2.1178193","2.7064133","1.1910751","null","null","null"
"37","null","null","null","0.20677179","0.32222193","-0.22975492"
"38","null","null","null","0.30328566","0.30572906","-0.20287764"
"39","-1.1061958","4.1885443","3.1420813","null","null","null"
"40","null","null","null","0.41140562","0.27457583","-0.16561596"
"40","-0.21588504","6.324152","5.176461","null","null","null"
"41","null","null","null","0.5274666","0.20913883","-0.114304796"
"42","null","null","null","0.62092626","0.14194563","-0.05505261"
"43","null","null","null","0.6844544","0.058259558","0.012140589"
"43","0.37982023","8.910957","6.5173593","null","null","null"
"44","null","null","null","0.7113316","-0.041308545","0.08605311"
"45","null","null","null","0.69483876","-0.17325155","0.16363071"
"45","0.8815069","11.524901","6.602989","null","null","null"
"45","null","null","null","0.6166503","-0.3265742","0.23998661"
"47","1.3329062","13.806447","5.171211","null","null","null"
"48","null","null","null","0.4743229","-0.45790637","0.31092125"
"50","null","null","null","0.2843494","-0.5684697","0.3671192"
"52","null","null","null","0.06566608","-0.6417714","0.41659784"
"53","1.6321408","15.413482","2.6713777","null","null","null"
"54","null","null","null","-0.16217995","-0.67658967","0.4715741"
"58","null","null","null","-0.39613444","-0.647269","0.5210527"
"59","1.5727197","16.157265","0.9708796","null","null","null"
"60","null","null","null","-0.6166503","-0.56236124","0.54976255"
"62","null","null","null","-0.81884074","-0.46645823","0.55403847"
"63","1.1565337","13.748899","0.07106328","null","null","null"
