"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.022830416","0.49577892","-0.24090289"
"3","null","null","null","0.02893889","0.4737884","-0.24090289"
"5","-1.1965111","-0.47927856","0.41981018","null","null","null"
"7","null","null","null","0.031382278","0.463404","-0.23723781"
"8","null","null","null","0.03260397","0.4517979","-0.23051849"
"9","-1.1732152","-0.44612503","0.10493782","null","null","null"
"10","null","null","null","0.03077143","0.44324604","-0.22379917"
"11","null","null","null","0.029549737","0.4377484","-0.21341476"
"12","-1.3452735","-0.62831783","-3.5902858E-4","null","null","null"
"13","null","null","null","0.027106347","0.43347248","-0.20119782"
"16","-1.7024024","-0.8056717","-0.110195875","null","null","null"
"18","null","null","null","0.025273805","0.42797485","-0.18470494"
"19","null","null","null","0.025884653","0.42675316","-0.16760121"
"22","-1.9486643","-0.92682076","-0.13273141","null","null","null"
"23","null","null","null","0.029549737","0.42675316","-0.14988665"
"25","null","null","null","0.036269058","0.4218664","-0.12850699"
"26","-1.979773","-0.98947525","-0.13446063","null","null","null"
"27","null","null","null","0.047264308","0.40964943","-0.10346226"
"28","null","null","null","0.0600921","0.39559996","-0.07841752"
"30","null","null","null","0.08154811","0.37727454","-0.05276193"
"31","-2.1028621","-1.0379677","-0.15687284","null","null","null"
"36","null","null","null","0.101706065","0.3613925","-0.02893889"
"38","null","null","null","0.12247488","0.34551048","-0.008170082"
"39","-2.053751","-1.0758686","-0.13597986","null","null","null"
"40","null","null","null","0.14324369","0.32718506","0.01137703"
"43","null","null","null","0.16340165","0.30458373","0.0290916"
"45","null","null","null","0.18111621","0.28442577","0.04314109"
"47","-1.8617302","-1.1545496","-0.12446287","null","null","null"
"48","null","null","null","0.20005247","0.26487863","0.052991"
"48","-1.6291146","-1.1663074","-0.19387963","null","null","null"
"50","null","null","null","0.21837789","0.24472068","0.06215371"
"50","-1.3061785","-1.1111765","-0.20297734","null","null","null"
"51","null","null","null","0.23425992","0.22211933","0.07131642"
"52","null","null","null","0.2495311","0.19768545","0.08047912"
"55","-0.99703586","-1.102828","-0.261684","null","null","null"
"57","null","null","null","0.266024","0.16775393","0.09025268"
"58","null","null","null","0.2776301","0.14026581","0.10185878"
"61","null","null","null","0.29167956","0.11461022","0.115908265"
"62","-0.8676212","-1.1233139","-0.3458317","null","null","null"
"62","null","null","null","0.30572906","0.08651124","0.12995775"
"64","-0.889941","-1.202528","-0.3812879","null","null","null"
"65","null","null","null","0.31855685","0.063299045","0.14645062"
"67","null","null","null","0.33016294","0.04497363","0.16599774"
"69","null","null","null","0.3399365","0.030313294","0.18554485"
"70","-0.91519153","-1.3165503","-0.4204005","null","null","null"
"72","null","null","null","0.34848836","0.019318044","0.20692451"
"74","null","null","null","0.35704023","0.015042114","0.2313584"
"74","-0.94549835","-1.4127855","-0.48315233","null","null","null"
"76","null","null","null","0.36437038","0.016874656","0.2545706"
"80","null","null","null","0.36803547","0.0290916","0.2814479"
"81","-1.0164927","-1.4817381","-0.6121774","null","null","null"
"82","null","null","null","0.3723114","0.055358034","0.30588177"
"85","null","null","null","0.3747548","0.06696413","0.3284831"
"86","-1.0276964","-1.4684668","-0.656268","null","null","null"
"86","null","null","null","0.37780902","0.06696413","0.34925193"
"90","null","null","null","0.37536564","0.06879667","0.37002072"
"91","-1.0285054","-1.3048992","-0.7494124","null","null","null"
"91","null","null","null","0.37414396","0.063909896","0.38956785"
"98","null","null","null","0.36925718","0.06879667","0.4121692"
"99","null","null","null","0.3655921","0.07368345","0.43110546"
"99","-0.98310816","-1.178937","-1.1351271","null","null","null"
"101","-0.95743906","-1.0809584","-1.3525836","null","null","null"
"101","null","null","null","0.36437038","0.07857023","0.44882002"
"101","null","null","null","0.36375955","0.07857023","0.4640912"
"107","null","null","null","0.36742464","0.082235314","0.47997323"
"107","-0.7138766","-0.9056854","-1.4298834","null","null","null"
"107","null","null","null","0.36742464","0.082235314","0.49463356"
"110","-0.29710197","-0.8193798","-1.4594712","null","null","null"
"111","null","null","null","0.37292224","0.076126836","0.50685054"
"113","null","null","null","0.38208497","0.07124006","0.52151084"
"115","null","null","null","0.39246938","0.066353284","0.5349495"
"116","0.14676964","-0.7358513","-1.6202133","null","null","null"
"117","null","null","null","0.40590802","0.059633963","0.5477773"
"119","0.65582716","-0.65628433","-1.5967553","null","null","null"
"120","null","null","null","0.42056835","0.049860407","0.5587725"
"122","null","null","null","0.43767205","0.037032615","0.5679352"
"124","1.1376274","-0.6212902","-1.5907252","null","null","null"
"124","null","null","null","0.45844087","0.013820419","0.5752654"
"127","null","null","null","0.48165306","-0.011835165","0.5819847"
"129","null","null","null","0.5115846","-0.04421007","0.5880932"
"129","1.6325969","-0.63198566","-1.6100953","null","null","null"
"131","null","null","null","0.5427378","-0.07291989","0.59297997"
"133","1.9994891","-0.71940136","-1.5359766","null","null","null"
"134","null","null","null","0.5745019","-0.09918632","0.5972559"
"137","null","null","null","0.6074876","-0.11995513","0.60031015"
"142","null","null","null","0.6447493","-0.1388914","0.60397524"
"143","2.290893","-0.802145","-1.3052657","null","null","null"
"143","null","null","null","0.6814001","-0.15721682","0.6064186"
"144","null","null","null","0.71682924","-0.17309885","0.60825115"
"144","2.435089","-0.87068176","-1.0534847","null","null","null"
"147","null","null","null","0.75653434","-0.18470494","0.6058078"
"150","null","null","null","0.7931852","-0.19692189","0.60397524"
"151","2.5095828","-0.99435043","-0.79623675","null","null","null"
"151","null","null","null","0.829836","-0.2024195","0.5984776"
"155","null","null","null","0.8603784","-0.20180866","0.59297997"
