"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","1.2917129","1.4962704","0.40254834"
"3","-3.6728892","0.7982168","6.373603","null","null","null"
"5","null","null","null","1.3155359","1.4345748","0.4795151"
"6","null","null","null","1.3332505","1.3765444","0.55403847"
"7","null","null","null","1.3503542","1.3154596","0.6206208"
"8","-3.5155165","1.6894503","5.9811544","null","null","null"
"9","null","null","null","1.3650146","1.2531532","0.68170553"
"11","null","null","null","1.3827292","1.1829057","0.739736"
"12","-3.2133713","2.352728","5.617096","null","null","null"
"15","null","null","null","1.4034979","1.1034956","0.8020424"
"18","-2.961232","2.711822","5.22896","null","null","null"
"19","null","null","null","1.4248776","1.0088142","0.868014"
"20","null","null","null","1.4487007","0.90924615","0.94131565"
"21","null","null","null","1.4706911","0.809678","1.0213367"
"22","-2.9431207","2.6789265","4.6866493","null","null","null"
"25","null","null","null","1.4896274","0.71316415","1.1080769"
"27","-3.155429","2.3550825","3.8340437","null","null","null"
"28","null","null","null","1.5030661","0.62459135","1.1972606"
"31","null","null","null","1.5122287","0.5445703","1.2882769"
"33","-3.426876","1.9999056","3.2827413","null","null","null"
"34","null","null","null","1.5140613","0.4810422","1.3774606"
"35","null","null","null","1.507342","0.4315636","1.4605358"
"38","null","null","null","1.4939033","0.3943019","1.5295615"
"39","-3.6523678","1.6235204","3.0603976","null","null","null"
"40","null","null","null","1.475578","0.3631487","1.5845377"
"42","-3.4521914","1.4544697","2.8239522","null","null","null"
"43","null","null","null","1.4517548","0.34421244","1.619967"
"44","null","null","null","1.423045","0.3271087","1.6382923"
"47","null","null","null","1.3870051","0.30939415","1.6401249"
"48","-2.6557765","1.6360159","2.980616","null","null","null"
"49","null","null","null","1.3497434","0.28801447","1.6327947"
"52","-1.677503","1.9398394","2.6998165","null","null","null"
"53","null","null","null","1.3082057","0.266024","1.6138585"
"54","null","null","null","1.2654464","0.2507528","1.5827053"
"56","null","null","null","1.2257414","0.23425992","1.5362809"
"57","-0.7638421","1.7746506","2.258573","null","null","null"
"59","null","null","null","1.1859599","0.22509721","1.4782504"
"62","null","null","null","1.1480874","0.21952324","1.4122789"
"62","0.36978984","1.4359579","1.960331","null","null","null"
"63","null","null","null","1.1120474","0.22387552","1.343864"
"66","null","null","null","1.0784508","0.24220094","1.279725"
"67","1.4003344","0.9239731","1.630941","null","null","null"
"70","null","null","null","1.0466868","0.26663482","1.2161969"
"71","null","null","null","1.0216421","0.29290125","1.1630532"
"72","1.6969745","0.23332024","1.5564687","null","null","null"
"73","null","null","null","1.002095","0.32222193","1.111742"
"80","null","null","null","0.989878","0.35276428","1.0653176"
