"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.14889401","0.27816457","-0.067269556"
"1","2.8412023","-1.8200998","-0.96158016","null","null","null"
"2","null","null","null","0.14950487","0.26228255","-0.06543701"
"5","null","null","null","0.14767233","0.2396812","-0.06482617"
"5","2.6848733","-2.0859566","-0.8073339","null","null","null"
"7","null","null","null","0.14645062","0.21158221","-0.06421532"
"9","null","null","null","0.14278555","0.18470494","-0.06482617"
"10","2.5525122","-2.3825521","-0.7407425","null","null","null"
"12","null","null","null","0.13728791","0.15904936","-0.06604786"
"15","null","null","null","0.12873606","0.13339376","-0.06910209"
"15","2.4331594","-2.6991186","-0.52463454","null","null","null"
"17","null","null","null","0.116519116","0.10712734","-0.07215633"
"19","2.3242393","-3.0105448","-0.5341631","null","null","null"
"19","null","null","null","0.10613471","0.083915144","-0.076432265"
"23","null","null","null","0.093917765","0.06436803","-0.08192989"
"24","null","null","null","0.07314896","0.045431767","-0.088649206"
"25","2.2387269","-3.2798223","-0.42579752","null","null","null"
"28","null","null","null","0.05482354","0.029549737","-0.09536853"
"31","null","null","null","0.036498122","0.009391776","-0.10575293"
"32","2.119025","-3.493887","-0.43961453","null","null","null"
"32","null","null","null","0.0132859275","-0.005879405","-0.11613733"
"34","null","null","null","-0.009926268","-0.021150587","-0.12652174"
"34","2.0008025","-3.656457","-0.3683865","null","null","null"
"37","null","null","null","-0.035581853","-0.034589227","-0.13873868"
"39","null","null","null","-0.059404895","-0.050471254","-0.15278818"
"39","1.8695533","-3.7425375","-0.37105107","null","null","null"
"41","null","null","null","-0.08750387","-0.060855657","-0.16561596"
"44","null","null","null","-0.113159455","-0.06879667","-0.1802763"
"44","1.7251966","-3.7534533","-0.22986415","null","null","null"
"47","null","null","null","-0.14003673","-0.07490514","-0.19676918"
"49","1.5651541","-3.6702662","-0.14961576","null","null","null"
"49","null","null","null","-0.16630317","-0.07734854","-0.2138729"
"52","null","null","null","-0.19073705","-0.08040277","-0.23036577"
"54","null","null","null","-0.21639264","-0.07673769","-0.24685864"
"54","1.4324825","-3.4847555","-0.0073461533","null","null","null"
"56","null","null","null","-0.2377723","-0.07490514","-0.26762745"
"58","null","null","null","-0.26159534","-0.07185091","-0.28656372"
"59","1.2719328","-3.2150984","0.14275497","null","null","null"
"61","null","null","null","-0.28480753","-0.06574243","-0.30488914"
"64","null","null","null","-0.30557635","-0.060855657","-0.3232909"
"65","1.0896134","-2.880516","0.2670855","null","null","null"
"67","null","null","null","-0.3245126","-0.05841227","-0.34100547"
"68","null","null","null","-0.3422272","-0.054747187","-0.35872006"
"69","0.8975444","-2.5229588","0.3821423","null","null","null"
"71","null","null","null","-0.3617743","-0.050471254","-0.37704548"
"74","null","null","null","-0.3800997","-0.053525493","-0.39109495"
"74","0.7017884","-2.135271","0.4747802","null","null","null"
"76","null","null","null","-0.39598173","-0.05780142","-0.40819868"
"79","0.47851443","-1.7832365","0.5068081","null","null","null"
"79","null","null","null","-0.41186377","-0.06574243","-0.422859"
"82","null","null","null","-0.43080002","-0.076126836","-0.4356868"
"84","null","null","null","-0.4497363","-0.09017633","-0.44912544"
"84","0.23751402","-1.400981","0.50852466","null","null","null"
"88","null","null","null","-0.46684003","-0.11277767","-0.4613424"
"89","null","null","null","-0.48760882","-0.13415733","-0.47478104"
"89","-0.069015026","-1.010066","0.49467742","null","null","null"
"91","null","null","null","-0.5077668","-0.15736952","-0.48516545"
"94","null","null","null","-0.52739024","-0.18607935","-0.49371728"
"96","-0.34394884","-0.5733757","0.44762987","null","null","null"
"97","null","null","null","-0.5499916","-0.21051323","-0.49921492"
"98","null","null","null","-0.57137126","-0.23739052","-0.50593424"
"98","-0.6826024","-0.103998184","0.4345912","null","null","null"
"101","null","null","null","-0.5927509","-0.26610035","-0.51082104"
"103","null","null","null","-0.612298","-0.29297763","-0.5114319"
"104","-1.0667262","0.35145473","0.5164821","null","null","null"
"106","null","null","null","-0.6367319","-0.2990861","-0.5047125"
"109","null","null","null","-0.6593333","-0.2978644","-0.49371728"
"109","-1.5275245","0.7323675","0.69393927","null","null","null"
"110","null","null","null","-0.68132377","-0.33879116","-0.4912739"
"113","null","null","null","-0.70026004","-0.3986542","-0.4924956"
"113","-2.0388854","0.9622135","1.1170319","null","null","null"
"116","null","null","null","-0.71553123","-0.45485213","-0.5010475"
"118","null","null","null","-0.7326349","-0.5098284","-0.5077668"
"119","-2.1282725","1.74617","0.66319215","null","null","null"
"120","null","null","null","-0.7503495","-0.5580853","-0.5132644"
"123","null","null","null","-0.76623154","-0.5959579","-0.51876205"
"124","-2.403408","2.3303347","0.83243686","null","null","null"
"125","null","null","null","-0.7839461","-0.62588936","-0.5193729"
"129","null","null","null","-0.8010498","-0.6429931","-0.5199837"
"129","-2.7667716","2.6409407","1.0028766","null","null","null"
"130","null","null","null","-0.82059693","-0.6515449","-0.51509696"
"133","-3.1157594","2.8388243","1.1080225","null","null","null"
"133","null","null","null","-0.8425874","-0.62833273","-0.49799323"
"135","null","null","null","-0.86885387","-0.603288","-0.48150036"
"138","-3.7101605","2.659027","1.2744441","null","null","null"
"138","null","null","null","-0.89450943","-0.60267717","-0.46867257"
"141","null","null","null","-0.9158891","-0.59412533","-0.46500748"
"143","null","null","null","-0.93177116","-0.5764108","-0.4692834"
"143","-3.717445","2.9432473","0.8707524","null","null","null"
"146","null","null","null","-0.9445989","-0.5538094","-0.4717268"
"148","null","null","null","-0.9568159","-0.52387786","-0.47417018"
"149","-3.5633934","3.3188014","0.65326023","null","null","null"
"150","null","null","null","-0.9647569","-0.48844874","-0.47478104"
"153","null","null","null","-0.9714762","-0.45057622","-0.47539186"
"153","-3.5684526","3.320558","0.5789994","null","null","null"
"154","null","null","null","-0.97453046","-0.4127037","-0.47417018"
"158","-3.6449647","3.0387363","0.5156789","null","null","null"
"158","null","null","null","-0.9751413","-0.37238777","-0.46989426"
"160","null","null","null","-0.9714762","-0.33329353","-0.46378577"
"163","null","null","null","-0.9647569","-0.2966427","-0.45706648"
"163","-3.547396","2.5862455","0.5606594","null","null","null"
"165","null","null","null","-0.95437247","-0.26243526","-0.44668207"
"168","null","null","null","-0.94337726","-0.23189288","-0.43507597"
"169","-3.384455","2.0459542","0.6823624","null","null","null"
"169","null","null","null","-0.92688435","-0.19951798","-0.42346987"
"172","null","null","null","-0.9103915","-0.17141901","-0.41308546"
"173","-3.1561072","1.4623022","0.7870238","null","null","null"
"174","null","null","null","-0.89206606","-0.14881766","-0.39964682"
"178","null","null","null","-0.8737407","-0.12560546","-0.38620818"
"178","-2.8288684","0.903574","1.0026197","null","null","null"
"180","null","null","null","-0.8554152","-0.110945135","-0.3733804"
"183","null","null","null","-0.83647895","-0.095063105","-0.35872006"
"183","-2.4661565","0.39490795","1.0900812","null","null","null"
"185","null","null","null","-0.82120776","-0.08162446","-0.3422272"
"187","null","null","null","-0.8034932","-0.06818583","-0.32390177"
"187","-2.1251502","-0.11383629","1.1562654","null","null","null"
"190","null","null","null","-0.7888329","-0.053525493","-0.30366746"
"192","null","null","null","-0.7735617","-0.040697698","-0.28289863"
"193","-1.8222661","-0.6500063","1.2371591","null","null","null"
"194","null","null","null","-0.7595122","-0.0290916","-0.2578539"
"197","null","null","null","-0.74607354","-0.01809635","-0.2346417"
"198","-1.5523632","-1.1476555","1.3210187","null","null","null"
"199","null","null","null","-0.7320241","-0.011987877","-0.21204035"
"203","null","null","null","-0.7191963","-0.011987877","-0.18882816"
"203","-1.3524992","-1.5936832","1.3459325","null","null","null"
"204","null","null","null","-0.70331424","-0.019928891","-0.1674485"
"208","-1.079181","-1.8722048","1.2298276","null","null","null"
"208","null","null","null","-0.68804306","-0.027869906","-0.14606886"
"209","null","null","null","-0.6709394","-0.041308545","-0.12713258"
"213","null","null","null","-0.6544465","-0.054747187","-0.10636378"
"213","-0.7816491","-2.01097","1.1188182","null","null","null"
"215","null","null","null","-0.640397","-0.06757498","-0.088649206"
"218","null","null","null","-0.6232933","-0.082235314","-0.07154548"
"218","-0.56050134","-2.0927048","1.0178496","null","null","null"
"219","null","null","null","-0.6092438","-0.0962848","-0.05444176"
"223","null","null","null","-0.59824854","-0.11155598","-0.037948888"
"224","-0.34999466","-2.1402397","0.8230425","null","null","null"
"224","null","null","null","-0.5890858","-0.1298814","-0.026953636"
"227","null","null","null","-0.5860316","-0.14393088","-0.01901262"
"228","-0.09797096","-2.1586266","0.6654557","null","null","null"
"230","null","null","null","-0.5860316","-0.15981291","-0.014125843"
"232","null","null","null","-0.5915292","-0.16958646","-0.015347538"
"232","0.24625611","-2.1637678","0.4644037","null","null","null"
"234","null","null","null","-0.5976377","-0.17264071","-0.01718008"
"237","null","null","null","-0.60985464","-0.16775393","-0.022677705"
"237","0.59105635","-2.1499987","0.3134033","null","null","null"
"239","null","null","null","-0.62146074","-0.16164546","-0.031229567"
"241","null","null","null","-0.6355102","-0.15736952","-0.044057358"
"242","0.83300877","-2.1247911","0.28184336","null","null","null"
"243","null","null","null","-0.6495597","-0.15798037","-0.058106847"
"249","null","null","null","-0.6581116","-0.16286714","-0.07337803"
"250","null","null","null","-0.66849595","-0.17080817","-0.08742751"
"250","1.0746291","-2.0680447","0.264632","null","null","null"
"252","null","null","null","-0.66971767","-0.18485765","-0.09964446"
"252","1.2574077","-1.9977045","0.2651793","null","null","null"
"253","null","null","null","-0.6752153","-0.20196137","-0.107585475"
"256","null","null","null","-0.67216104","-0.22211933","-0.11613733"
"257","1.2515883","-1.8920622","0.31082493","null","null","null"
"258","null","null","null","-0.66849595","-0.2398339","-0.119802415"
"261","1.1367323","-1.7533512","0.4106377","null","null","null"
"262","null","null","null","-0.6666634","-0.25877017","-0.122856654"
"264","null","null","null","-0.6611658","-0.2758739","-0.12102412"
"267","0.99350715","-1.5658789","0.48076242","null","null","null"
"267","null","null","null","-0.6599441","-0.28870168","-0.12102412"
"269","null","null","null","-0.65383565","-0.30152947","-0.11858072"
"271","null","null","null","-0.65017056","-0.31191388","-0.11613733"
"271","0.83762074","-1.3117018","0.50544095","null","null","null"
"273","null","null","null","-0.6440621","-0.32779592","-0.113693945"
"276","null","null","null","-0.6348994","-0.34734303","-0.11002886"
"276","0.6440964","-1.0709486","0.5193693","null","null","null"
"279","null","null","null","-0.6275692","-0.36933354","-0.10514209"
"281","null","null","null","-0.6171848","-0.39559996","-0.09597938"
"281","0.47667623","-0.8303156","0.4688031","null","null","null"
"283","null","null","null","-0.6080221","-0.42308807","-0.08926006"
"287","null","null","null","-0.59458345","-0.44996536","-0.08192989"
"287","0.24468327","-0.6136255","0.44470647","null","null","null"
"289","null","null","null","-0.5799231","-0.4774535","-0.07337803"
"291","8.890629E-4","-0.37772274","0.47413284","null","null","null"
"291","null","null","null","-0.5628194","-0.50433075","-0.06482617"
"293","null","null","null","-0.5463265","-0.5330406","-0.056274302"
"297","null","null","null","-0.5304445","-0.5568636","-0.0458899"
"297","-0.24145627","-0.10105801","0.48277056","null","null","null"
"299","null","null","null","-0.5095993","-0.58557343","-0.03672719"
"301","null","null","null","-0.49005222","-0.61122906","-0.025731942"
"302","-0.51573706","0.1649828","0.4679736","null","null","null"
"303","null","null","null","-0.46867257","-0.63321954","-0.016569233"
"307","-0.7000401","0.40608406","0.43421394","null","null","null"
"308","null","null","null","-0.4460712","-0.6515449","-0.0080173705"
"308","null","null","null","-0.42224815","-0.663151","0.0023670332"
"311","-0.8459649","0.65819263","0.5315707","null","null","null"
"311","null","null","null","-0.39842513","-0.67231375","0.011529742"
"314","null","null","null","-0.3776563","-0.68391985","0.017638214"
"316","-0.9646163","0.8900833","0.6428039","null","null","null"
"317","null","null","null","-0.35688752","-0.69125","0.022524992"
"318","null","null","null","-0.33672956","-0.6973585","0.028633466"
"320","null","null","null","-0.31596074","-0.69674766","0.034741938"
