"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.18791188","-0.09735378","0.010766183"
"6","null","null","null","-0.1958529","-0.086969376","0.01137703"
"8","0.30134153","-0.1465702","0.022562623","null","null","null"
"9","null","null","null","-0.20196137","-0.07536328","0.017485503"
"12","null","null","null","-0.20684816","-0.06681142","0.021150587"
"13","0.21197033","-0.23668861","0.1927253","null","null","null"
"14","0.16716528","-0.1966219","0.17123187","null","null","null"
"14","null","null","null","-0.21051323","-0.06253549","0.022372281"
"15","null","null","null","-0.21478917","-0.05764871","0.023593975"
"15","null","null","null","-0.22028679","-0.050318543","0.026037365"
"16","null","null","null","-0.22334103","-0.04665346","0.028480753"
"16","0.27811742","-0.1520958","0.16975951","null","null","null"
"16","null","null","null","-0.22883865","-0.042377528","0.030313294"
"19","null","null","null","-0.2306712","-0.036879905","0.032145835"
"19","0.26218832","-0.13638592","0.16680443","null","null","null"
"20","null","null","null","-0.23555797","-0.03260397","0.034589227"
"23","null","null","null","-0.23922306","-0.02893889","0.03642177"
"24","0.25456238","-0.1255188","0.16121304","null","null","null"
"28","0.25519025","-0.109950066","0.18266737","null","null","null"
"29","null","null","null","-0.24288814","-0.024662958","0.037643462"
"30","null","null","null","-0.24716407","-0.021608721","0.040697698"
"30","null","null","null","-0.2502183","-0.016111096","0.044362783"
"34","0.26746118","-0.11229801","0.18471992","null","null","null"
"35","null","null","null","-0.2526617","-0.012446013","0.046195325"
"35","null","null","null","-0.25510508","-0.00633754","0.049936764"
"38","null","null","null","-0.25693762","-0.003283304","0.051769305"
"39","0.25688565","-0.1276722","0.2329036","null","null","null"
"40","null","null","null","-0.25877017","-2.2906772E-4","0.055434387"
"42","null","null","null","-0.26121357","0.0052685575","0.05787778"
"43","0.24618196","-0.09305382","0.23901129","null","null","null"
"45","null","null","null","-0.26365694","0.006490252","0.060932014"
"47","null","null","null","-0.26610035","0.009544488","0.063375406"
"48","0.2507831","-0.0717659","0.23775482","null","null","null"
"50","null","null","null","-0.26854372","0.011987877","0.06642964"
"52","null","null","null","-0.27098712","0.013209572","0.07009472"
"52","0.2088008","-0.06250954","0.22088695","null","null","null"
"54","null","null","null","-0.2734305","0.013820419","0.07375981"
"57","null","null","null","-0.2734305","0.016874656","0.0749815"
"57","0.19064593","-0.08062744","0.19807076","null","null","null"
"59","null","null","null","-0.2758739","0.018707197","0.078646585"
"62","null","null","null","-0.27892813","0.018707197","0.07925743"
"63","0.15346348","-0.102137566","0.19190836","null","null","null"
"66","null","null","null","-0.28076068","0.019318044","0.08292252"
"67","0.1413331","-0.11512375","0.18317735","null","null","null"
"67","null","null","null","-0.28442577","0.017485503","0.08292252"
"70","null","null","null","-0.28686914","0.010155336","0.08231167"
"72","0.13284981","-0.121982574","0.15632832","null","null","null"
"73","null","null","null","-0.2911451","-2.2906772E-4","0.07986828"
"76","null","null","null","-0.29236677","0.004046863","0.08108997"
"77","0.1124413","-0.101462364","0.10707581","null","null","null"
"77","null","null","null","-0.28992337","0.013820419","0.087809294"
"79","null","null","null","-0.28564745","0.022983128","0.09330692"
"84","null","null","null","-0.28259322","0.032145835","0.096972"
"84","0.021816611","-0.10021305","0.37801933","null","null","null"
"87","null","null","null","-0.27770644","0.033367533","0.100026235"
"88","4.825592E-4","-0.07058811","0.3967042","null","null","null"
"89","null","null","null","-0.2722088","0.035200074","0.10613471"
"90","null","null","null","-0.26915458","0.032756682","0.109188944"
"92","null","null","null","-0.2654895","0.029702447","0.110410646"
"92","0.0051089525","-0.07097149","0.33722758","null","null","null"
"96","null","null","null","-0.26243526","0.023593975","0.11468657"
"97","null","null","null","-0.25938103","0.025426516","0.11835165"
"97","0.022388697","-0.03699875","0.28799462","null","null","null"
"100","null","null","null","-0.25510508","0.026037365","0.12507097"
"104","null","null","null","-0.25082916","0.029702447","0.13056861"
"105","-0.055936217","-0.05803585","0.3594644","null","null","null"
"107","null","null","null","-0.24472068","0.030924143","0.13667707"
"107","null","null","null","-0.24288814","0.030313294","0.140953"
"107","-0.051002026","-0.05172348","0.43552983","null","null","null"
"110","null","null","null","-0.23922306","0.030313294","0.14706148"
"112","null","null","null","-0.23677967","0.030313294","0.15316994"
"112","-0.059690356","-0.04437828","0.4281392","null","null","null"
"116","null","null","null","-0.23494713","0.032756682","0.15744588"
"116","null","null","null","-0.23555797","0.030313294","0.1537808"
"117","-0.07211256","-0.02763462","0.40195036","null","null","null"
"120","null","null","null","-0.23494713","0.027869906","0.15500249"
"121","0.05316317","-0.027641296","0.3688407","null","null","null"
"121","null","null","null","-0.23555797","0.0290916","0.15988927"
"127","null","null","null","-0.23250374","0.03153499","0.16966283"
"128","-0.11887729","-0.04675579","0.42524576","null","null","null"
