"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.008322794","-0.04497363","-0.0060321167"
"3","0.110113144","0.16088676","-0.07020044","null","null","null"
"4","null","null","null","-0.006490252","-0.04741702","-0.011529742"
"5","null","null","null","-0.0028251687","-0.045584477","-0.015805673"
"6","0.12352681","0.16941833","-0.03022623","null","null","null"
"8","null","null","null","-9.926268E-4","-0.046195325","-0.021303298"
"10","null","null","null","0.0014507623","-0.04314109","-0.025579229"
"11","0.14075422","0.16246367","0.0012898445","null","null","null"
"12","null","null","null","0.003283304","-0.040697698","-0.031076854"
"17","0.16900468","0.15680313","0.039884567","null","null","null"
"18","null","null","null","0.0045049987","-0.037032615","-0.034741938"
"19","null","null","null","0.0075592347","-0.03397838","-0.040850412"
"20","null","null","null","0.008780929","-0.030313294","-0.044515494"
"20","0.15599489","0.13460636","0.0594182","null","null","null"
"22","null","null","null","0.010613471","-0.027869906","-0.048791423"
"24","0.16964388","0.10195398","0.04693508","null","null","null"
"25","null","null","null","0.012446013","-0.026037365","-0.053678203"
"27","null","null","null","0.01305686","-0.021150587","-0.059175827"
"30","0.1516993","0.092244625","0.01220417","null","null","null"
"31","null","null","null","0.014278554","-0.017485503","-0.0640626"
"32","null","null","null","0.014278554","-0.013820419","-0.06711684"
"35","null","null","null","0.014278554","-0.010155336","-0.06894939"
"35","0.16757894","0.068464756","-0.016152382","null","null","null"
"37","null","null","null","0.014889402","-0.008322794","-0.07383616"
"39","null","null","null","0.013667707","-0.0028251687","-0.078112096"
"40","0.15410542","0.05808258","-0.03110075","null","null","null"
"43","null","null","null","0.012446013","-3.8177954E-4","-0.08116633"
"44","null","null","null","0.010613471","0.0014507623","-0.08299887"
"45","0.1411314","0.055107117","-0.10169506","null","null","null"
"47","null","null","null","0.008780929","0.0026724567","-0.086663954"
"49","0.11069012","0.016801834","-0.16826105","null","null","null"
"49","null","null","null","0.0051158457","8.39915E-4","-0.08971819"
"52","null","null","null","0.003283304","-3.8177954E-4","-0.09155073"
"54","0.082880735","-0.0055184364","-0.22974777","null","null","null"
"55","null","null","null","8.39915E-4","-0.004046863","-0.093383275"
"56","null","null","null","-0.003436016","-0.009544488","-0.09399412"
"60","null","null","null","-0.005879405","-0.011987877","-0.09582666"
"61","0.07765865","-0.02026844","-0.29464436","null","null","null"
"62","null","null","null","-0.009544488","-0.014431266","-0.0988809"
"65","null","null","null","-0.011987877","-0.018707197","-0.099491745"
"65","0.052244425","-0.03462267","-0.3224964","null","null","null"
"66","null","null","null","-0.013209572","-0.022372281","-0.10193513"
"70","null","null","null","-0.015042114","-0.02725906","-0.10437853"
"70","0.056576967","-0.028496742","-0.3396845","null","null","null"
"71","null","null","null","-0.016874656","-0.033367533","-0.10560022"
"75","0.06532097","-0.03175974","-0.34161568","null","null","null"
"76","null","null","null","-0.017485503","-0.041308545","-0.10743276"
"76","null","null","null","-0.018707197","-0.050471254","-0.11109784"
"78","null","null","null","-0.01809635","-0.05780142","-0.11354123"
"79","0.070070505","-0.051470757","-0.34742975","null","null","null"
"81","null","null","null","-0.017485503","-0.06513159","-0.11659547"
"85","0.08042312","-0.043641567","-0.3047576","null","null","null"
"86","null","null","null","-0.017485503","-0.072461754","-0.11964971"
"87","null","null","null","-0.016874656","-0.07673769","-0.1208714"
"89","null","null","null","-0.013820419","-0.08162446","-0.1208714"
"89","0.07975602","-0.06675911","-0.26612186","null","null","null"
"94","null","null","null","-0.013209572","-0.085900396","-0.12270394"
"98","null","null","null","-0.011987877","-0.09323056","-0.12331479"
"98","0.042025328","-0.0968585","-0.23977804","null","null","null"
"98","null","null","null","-0.01137703","-0.10056073","-0.124536484"
"101","null","null","null","-0.01137703","-0.10911259","-0.12514733"
"101","null","null","null","-0.011987877","-0.117053606","-0.12636903"
"103","0.020791769","-0.11365414","-0.24950075","null","null","null"
"107","null","null","null","-0.011987877","-0.12621632","-0.12636903"
"107","-0.009070396","-0.14569569","-0.28913736","null","null","null"
"108","null","null","null","-0.013209572","-0.13415733","-0.12636903"
"111","null","null","null","-0.013209572","-0.14026581","-0.12636903"
"115","-0.029690742","-0.16793299","-0.30027056","null","null","null"
"115","null","null","null","-0.013820419","-0.14209834","-0.12392564"
"115","-0.07660675","-0.1911974","-0.2628107","null","null","null"
