"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.048409645","-0.024662958","0.03657448"
"1","0.10547352","-0.034472942","-0.2232213","null","null","null"
"1","null","null","null","0.045966256","-0.030160584","0.035963632"
"3","null","null","null","0.04352287","-0.03321482","0.033520244"
"6","0.1047678","0.005514145","-0.23891401","null","null","null"
"6","null","null","null","0.041690327","-0.03749075","0.03229855"
"9","null","null","null","0.039246935","-0.04176668","0.031687703"
"10","0.09783578","0.0072603226","-0.24233103","null","null","null"
"10","null","null","null","0.03863609","-0.046042614","0.031076854"
"13","null","null","null","0.0361927","-0.049707696","0.028633466"
"16","0.0918231","0.024459839","-0.23954725","null","null","null"
"16","null","null","null","0.035581853","-0.053372778","0.028022617"
"19","null","null","null","0.03436016","-0.057037864","0.028022617"
"21","null","null","null","0.032527618","-0.0600921","0.026800923"
"21","0.09393835","0.041570663","-0.19503498","null","null","null"
"23","null","null","null","0.033138465","-0.061313793","0.024968382"
"26","null","null","null","0.032527618","-0.06253549","0.024968382"
"26","0.09466672","0.068012714","-0.15912485","null","null","null"
"28","null","null","null","0.03191677","-0.06314634","0.023135839"
"30","null","null","null","0.033138465","-0.06314634","0.023135839"
"31","0.090540886","0.07640648","-0.10567522","null","null","null"
"32","null","null","null","0.03191677","-0.06192464","0.021914145"
"35","null","null","null","0.034971006","-0.061313793","0.021303298"
"36","0.106618404","0.0668726","-0.055103302","null","null","null"
"39","null","null","null","0.035581853","-0.058259558","0.019470757"
"41","null","null","null","0.034971006","-0.058259558","0.018249061"
"41","0.11899805","0.050198555","-0.019318104","null","null","null"
"45","null","null","null","0.0361927","-0.057037864","0.018249061"
"46","null","null","null","0.0361927","-0.054594472","0.014583978"
"46","0.13244367","0.038344383","-0.00764513","null","null","null"
"48","null","null","null","0.03802524","-0.053983625","0.014583978"
"50","0.1445632","0.027655602","0.016851902","null","null","null"
"50","null","null","null","0.03863609","-0.050318543","0.010918895"
"52","null","null","null","0.041079476","-0.047264308","0.010918895"
"57","null","null","null","0.041690327","-0.04421007","0.0096972"
"57","0.1305604","0.020489216","0.04805088","null","null","null"
"58","null","null","null","0.041690327","-0.039323293","0.0096972"
"60","0.11920142","-0.010418892","0.06457949","null","null","null"
"60","null","null","null","0.04352287","-0.03749075","0.007864659"
"64","null","null","null","0.04352287","-0.030160584","0.007253811"
"65","null","null","null","0.04291202","-0.024052111","0.0066429637"
"65","0.12006259","-0.030434608","0.073637486","null","null","null"
"68","null","null","null","0.041690327","-0.01733279","0.004810422"
"69","null","null","null","0.041690327","-0.010613471","0.0035887277"
"71","0.14018416","-0.036041737","0.064649105","null","null","null"
"72","null","null","null","0.039246935","-0.0026724567","0.0023670332"
"76","0.13909292","-0.052229404","0.05086708","null","null","null"
"76","null","null","null","0.0361927","0.005879405","-6.8720314E-4"
"76","null","null","null","0.033749312","0.011987877","-0.002519745"
"80","0.12635231","-0.05753231","0.015792847","null","null","null"
"80","null","null","null","0.03191677","0.016874656","-0.004352287"
"82","null","null","null","0.029473381","0.021761434","-0.004352287"
"85","null","null","null","0.027029991","0.02725906","-0.004963134"
"85","0.089031935","-0.06861782","-0.020183563","null","null","null"
"91","null","null","null","0.023975754","0.032145835","-0.004963134"
"91","null","null","null","0.021532366","0.03581092","-0.004352287"
"91","0.04991746","-0.08182812","-0.051074505","null","null","null"
"91","null","null","null","0.018478129","0.037643462","-0.0019088977"
"95","null","null","null","0.016645588","0.039476003","-0.0012980504"
"95","0.017303467","-0.09116888","-0.079226494","null","null","null"
