"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.14751962","-0.049707696","0.12323844"
"5","null","null","null","0.1487413","-0.050318543","0.12446013"
"6","0.3668425","-0.5041168","-0.4456072","null","null","null"
"12","null","null","null","0.15057385","-0.05276193","0.12629268"
"13","0.43008733","-0.51061344","-0.47033882","null","null","null"
"14","null","null","null","0.15057385","-0.054594472","0.12629268"
"15","null","null","null","0.1524064","-0.058870405","0.12568182"
"16","0.48897862","-0.5218792","-0.6312971","null","null","null"
"17","null","null","null","0.1524064","-0.06192464","0.12446013"
"17","0.5126325","-0.51529145","-0.6555128","null","null","null"
"18","null","null","null","0.1524064","-0.06620057","0.12446013"
"19","null","null","null","0.15484978","-0.06986566","0.12446013"
"19","null","null","null","0.15729317","-0.074141584","0.122627586"
"21","0.52272797","-0.52082896","-0.5131855","null","null","null"
"22","null","null","null","0.15912572","-0.07841752","0.12140589"
"25","null","null","null","0.15973656","-0.08452599","0.12079505"
"26","null","null","null","0.16095825","-0.090023614","0.12079505"
"27","0.5026083","-0.53353214","-0.6259594","null","null","null"
"30","null","null","null","0.16340165","-0.09429955","0.122627586"
"31","0.49046302","-0.53201485","-0.7352743","null","null","null"
"32","null","null","null","0.16462334","-0.10101887","0.12384928"
"35","null","null","null","0.16584504","-0.105294794","0.12507097"
"36","null","null","null","0.16767757","-0.10957073","0.12629268"
"37","0.46488214","-0.54128647","-0.57764626","null","null","null"
"39","null","null","null","0.16828842","-0.11506835","0.1281252"
"42","0.44859004","-0.5350807","-0.5731907","null","null","null"
"43","null","null","null","0.16828842","-0.11629005","0.1293469"
"43","null","null","null","0.17012095","-0.118122585","0.13056861"
"46","null","null","null","0.17073181","-0.11995513","0.12995775"
"47","0.4619317","-0.5313723","-0.68146515","null","null","null"
"48","null","null","null","0.17134266","-0.11934429","0.13240114"
"51","null","null","null","0.17012095","-0.118122585","0.13362284"
"52","0.46799922","-0.5122411","-0.5893984","null","null","null"
"53","null","null","null","0.16767757","-0.11751174","0.133012"
"56","null","null","null","0.16523418","-0.11629005","0.13362284"
"56","0.46578097","-0.5013776","-0.5634823","null","null","null"
"58","null","null","null","0.16095825","-0.112624966","0.13545538"
"62","null","null","null","0.15484978","-0.11140327","0.13850962"
"63","0.46224844","-0.50804186","-0.71399784","null","null","null"
"65","null","null","null","0.14813046","-0.112014115","0.13850962"
"67","null","null","null","0.1408003","-0.10834903","0.14034216"
"68","0.45515597","-0.48539448","-0.7546358","null","null","null"
"68","null","null","null","0.13102673","-0.10651649","0.14278555"
"71","null","null","null","0.12003148","-0.1040731","0.14522894"
"72","0.4374255","-0.48462486","-0.7645855","null","null","null"
"73","null","null","null","0.105982","-0.10162971","0.14828317"
"78","0.41858268","-0.47071218","-0.97239494","null","null","null"
"79","null","null","null","0.092543356","-0.10040802","0.15072656"
"79","null","null","null","0.07788303","-0.09918632","0.15500249"
"82","null","null","null","0.061313793","-0.09735378","0.15622419"
"83","0.40692317","-0.4459133","-1.0395441","null","null","null"
"88","null","null","null","0.044820916","-0.096132085","0.16050012"
"89","0.40603316","-0.41843748","-0.99618816","null","null","null"
"89","null","null","null","0.027106347","-0.09429955","0.16294351"
"89","null","null","null","0.008780929","-0.09307785","0.16599774"
"92","null","null","null","-0.01137703","-0.09429955","0.16721943"
"92","0.4612968","-0.39411545","-1.1617508","null","null","null"
"93","null","null","null","-0.030924143","-0.09429955","0.16783029"
"96","null","null","null","-0.04924956","-0.09307785","0.16844113"
"97","0.52841306","-0.35257387","-1.2490616","null","null","null"
"98","null","null","null","-0.06940752","-0.09124531","0.16721943"
"101","null","null","null","-0.088343784","-0.09124531","0.16477604"
"102","0.6278858","-0.29505444","-1.0968342","null","null","null"
"103","null","null","null","-0.10728005","-0.09185616","0.16172181"
"108","null","null","null","-0.12682717","-0.0936887","0.15744588"
"109","0.7416593","-0.23358536","-1.0616012","null","null","null"
"109","null","null","null","-0.14576343","-0.09185616","0.15133741"
"112","0.8567778","-0.18734789","-1.1611524","null","null","null"
"112","null","null","null","-0.16408885","-0.09185616","0.14583978"
"113","null","null","null","-0.1830251","-0.0936887","0.13912046"
"116","null","null","null","-0.20073968","-0.09307785","0.1317903"
"117","0.9516562","-0.14441681","-0.9589062","null","null","null"
"118","null","null","null","-0.2190651","-0.0936887","0.12629268"
"121","null","null","null","-0.23555797","-0.09552124","0.11774081"
"121","1.0299298","-0.13235903","-0.8676648","null","null","null"
"122","null","null","null","-0.25693762","-0.096132085","0.109188944"
"126","null","null","null","-0.27648473","-0.09491039","0.10124794"
"127","1.1168085","-0.13423967","-0.92324305","null","null","null"
"128","null","null","null","-0.29358846","-0.09796463","0.09636115"
"130","null","null","null","-0.31252474","-0.099797174","0.08964183"
"131","1.158277","-0.13699913","-0.67942333","null","null","null"
"133","null","null","null","-0.3302393","-0.09796463","0.08231167"
"136","1.1677706","-0.15613747","-0.68777657","null","null","null"
"137","null","null","null","-0.35039726","-0.09735378","0.0762032"
"139","null","null","null","-0.367501","-0.09918632","0.071927264"
"140","1.1738312","-0.18094444","-0.62870216","null","null","null"
"141","null","null","null","-0.383383","-0.09796463","0.06826218"
"142","null","null","null","-0.39926505","-0.09857547","0.06398625"
"147","null","null","null","-0.41636875","-0.10040802","0.059099473"
"148","1.1728579","-0.21151543","-0.3838606","null","null","null"
"151","1.1874033","-0.22646093","-0.39812374","null","null","null"
"152","null","null","null","-0.4310291","-0.10162971","0.056045234"
"152","null","null","null","-0.4426352","-0.10468395","0.05482354"
"152","null","null","null","-0.455463","-0.10957073","0.052914646"
"155","null","null","null","-0.4670691","-0.112624966","0.048638713"
"156","1.2088543","-0.22717047","-0.14738369","null","null","null"
"158","null","null","null","-0.47684264","-0.1156792","0.048638713"
"160","null","null","null","-0.48478365","-0.112014115","0.04680617"
"161","1.1847942","-0.23659182","-0.10413265","null","null","null"
"163","null","null","null","-0.48600534","-0.10773818","0.048027866"
"168","null","null","null","-0.4866162","-0.099797174","0.04924956"
"169","1.1803144","-0.2971301","0.29639816","null","null","null"
"169","null","null","null","-0.4829511","-0.092467","0.0510821"
"170","null","null","null","-0.4774535","-0.0820826","0.052303795"
"170","1.1824803","-0.3733635","0.50760174","null","null","null"
"172","null","null","null","-0.47073418","-0.07291989","0.054212693"
"175","null","null","null","-0.46157146","-0.06253549","0.057266932"
"175","1.1627042","-0.42495394","0.7976599","null","null","null"
"177","null","null","null","-0.44874367","-0.047264308","0.058488626"
"183","null","null","null","-0.43652672","-0.036269058","0.060932014"
"184","null","null","null","-0.4218664","-0.024662958","0.06154286"
"186","1.1655375","-0.44997215","0.93349075","null","null","null"
"186","1.1586165","-0.41401243","1.0887537","null","null","null"
"187","null","null","null","-0.40598437","-0.011224318","0.06215371"
"187","null","null","null","-0.38643724","3.8177954E-4","0.06398625"
