"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","1.9335637","0.92412126","0.08237076","null","null","null"
"4","null","null","null","-0.18371232","0.14087665","-0.3366532"
"8","1.8522666","0.9044125","-0.075009346","null","null","null"
"8","null","null","null","-0.18065807","0.14026581","-0.33970743"
"8","null","null","null","-0.17821468","0.14026581","-0.34337252"
"9","null","null","null","-0.17638214","0.1414875","-0.3470376"
"9","1.7986193","0.9215958","-0.04564476","null","null","null"
"9","null","null","null","-0.17454961","0.1390441","-0.35009184"
"12","null","null","null","-0.17210622","0.13660072","-0.35253522"
"14","1.7676587","0.9409528","0.021992683","null","null","null"
"15","null","null","null","-0.17088452","0.13843326","-0.35681117"
"15","null","null","null","-0.16783029","0.13782242","-0.36047623"
"19","1.7236958","0.9385567","-0.09691906","null","null","null"
"20","null","null","null","-0.16660859","0.13965495","-0.36291963"
"23","null","null","null","-0.16355436","0.14087665","-0.36536303"
"24","null","null","null","-0.16172181","0.14026581","-0.36536303"
"24","1.6583735","0.93116295","-0.03869915","null","null","null"
"27","null","null","null","-0.16050012","0.1414875","-0.36536303"
"28","1.5693216","0.9188055","0.09958935","null","null","null"
"28","null","null","null","-0.15622419","0.14393088","-0.36597386"
"31","null","null","null","-0.15622419","0.14393088","-0.36658472"
"33","1.4900177","0.90027463","0.05602455","null","null","null"
"33","null","null","null","-0.15133741","0.14454173","-0.36719555"
"36","null","null","null","-0.14583978","0.1427092","-0.3678064"
"39","null","null","null","-0.1421747","0.14209834","-0.36963895"
"40","1.4262756","0.91836894","0.08673","null","null","null"
"41","null","null","null","-0.13912046","0.1414875","-0.3702498"
"44","null","null","null","-0.13423368","0.1414875","-0.36841726"
"45","1.3888652","0.9540312","0.23463154","null","null","null"
"46","null","null","null","-0.1293469","0.14209834","-0.36963895"
"47","null","null","null","-0.12629268","0.14209834","-0.37208232"
"48","1.3443669","0.93543434","0.18515968","null","null","null"
"50","null","null","null","-0.1201842","0.14087665","-0.3714715"
"53","null","null","null","-0.116519116","0.14087665","-0.37452573"
"53","1.33813","0.95705974","0.07486439","null","null","null"
"55","null","null","null","-0.11224318","0.1390441","-0.3794125"
"57","null","null","null","-0.106745556","0.13598987","-0.3818559"
"58","1.3473387","1.0140951","0.19194508","null","null","null"
"59","null","null","null","-0.100026235","0.13232478","-0.38552096"
"63","null","null","null","-0.093917765","0.12743801","-0.38918605"
"63","1.3227359","1.0405619","0.14640903","null","null","null"
"65","null","null","null","-0.09025268","0.12194038","-0.39407283"
"68","null","null","null","-0.08414421","0.11949699","-0.3946837"
"68","1.3145123","1.047394","-0.06156254","null","null","null"
"70","null","null","null","-0.07986828","0.1182753","-0.39834878"
"73","null","null","null","-0.0762032","0.11644276","-0.40079215"
"74","1.298998","1.0800774","-0.008558273","null","null","null"
"75","null","null","null","-0.07131642","0.11522106","-0.40445724"
"78","1.2690595","1.1003517","-0.02847004","null","null","null"
"79","null","null","null","-0.06765133","0.11338852","-0.40751147"
"83","null","null","null","-0.06704049","0.10972344","-0.40934402"
"83","1.237644","1.0929722","-0.3364439","null","null","null"
"84","null","null","null","-0.06642964","0.104225814","-0.4130091"
"85","null","null","null","-0.06704049","0.101171575","-0.41484165"
"87","1.216756","1.07368","-0.4527321","null","null","null"
"88","null","null","null","-0.06765133","0.09994988","-0.41728503"
"90","null","null","null","-0.07009472","0.098117344","-0.41850674"
"92","null","null","null","-0.07131642","0.09750649","-0.42156097"
"92","1.2196983","1.0629485","-0.46009636","null","null","null"
"95","null","null","null","-0.07559235","0.09689565","-0.42339352"
"97","null","null","null","-0.08047912","0.095063105","-0.42400435"
"97","1.1974702","1.0561795","-0.6671591","null","null","null"
"99","null","null","null","-0.08292252","0.095063105","-0.42705858"
"102","null","null","null","-0.084755056","0.095063105","-0.42950198"
"102","1.183624","1.0831795","-0.65282726","null","null","null"
"105","null","null","null","-0.08964183","0.094452254","-0.43133453"
"107","null","null","null","-0.09208523","0.09567395","-0.43316707"
"107","1.1865623","1.1152756","-0.65051746","null","null","null"
"109","null","null","null","-0.09513946","0.095063105","-0.43683216"
"112","null","null","null","-0.100637086","0.094452254","-0.437443"
"112","1.1919038","1.1201775","-0.8610697","null","null","null"
"116","null","null","null","-0.10430217","0.09261972","-0.43805385"
"117","1.1768414","1.1529374","-0.78925896","null","null","null"
"117","null","null","null","-0.10613471","0.09323056","-0.44110808"
"119","null","null","null","-0.110410646","0.09323056","-0.4441623"
"125","null","null","null","-0.11285403","0.09384141","-0.44843826"
"126","null","null","null","-0.11468657","0.09261972","-0.45332503"
"127","1.2180619","1.1656432","-0.88137627","null","null","null"
"127","1.2819415","1.1820817","-0.8765564","null","null","null"
"128","null","null","null","-0.11529742","0.09139802","-0.4582118"
"129","null","null","null","-0.116519116","0.09139802","-0.4630986"
"132","null","null","null","-0.11529742","0.09017633","-0.4673745"
"133","1.299119","1.2284282","-0.80718327","null","null","null"
"134","null","null","null","-0.11224318","0.08651124","-0.4710396"
"137","null","null","null","-0.109799795","0.0846787","-0.47409382"
"137","1.2694492","1.19199","-0.85261726","null","null","null"
"139","null","null","null","-0.10735641","0.08162446","-0.47714806"
"141","1.2216766","1.1458443","-0.7915478","null","null","null"
"142","null","null","null","-0.106745556","0.079791926","-0.47836977"
"144","null","null","null","-0.10430217","0.07734854","-0.48203483"
"147","null","null","null","-0.10430217","0.073072605","-0.48325655"
"147","1.1868818","1.1127812","-0.86203","null","null","null"
"149","null","null","null","-0.103080474","0.072461754","-0.4869216"
"151","null","null","null","-0.10246963","0.070018366","-0.489365"
"152","1.1817877","1.0969596","-0.8177662","null","null","null"
"154","null","null","null","-0.100026235","0.06757498","-0.49241924"
"157","1.1789026","1.097724","-0.88423824","null","null","null"
"157","null","null","null","-0.09941539","0.063909896","-0.49547347"
"158","null","null","null","-0.09880454","0.061466504","-0.49791688"
"162","null","null","null","-0.0981937","0.057190575","-0.50158197"
"162","1.1662899","1.100776","-0.87179375","null","null","null"
"164","null","null","null","-0.100637086","0.053525493","-0.50524706"
"167","null","null","null","-0.10246963","0.051692948","-0.5070796"
"167","1.1475867","1.112238","-0.9366293","null","null","null"
"169","null","null","null","-0.10430217","0.049860407","-0.5101338"
"172","null","null","null","-0.10552386","0.04924956","-0.51318806"
"173","1.1693052","1.1000022","-0.93565845","null","null","null"
"173","null","null","null","-0.10796725","0.04924956","-0.517464"
"177","null","null","null","-0.11163234","0.050471254","-0.5186857"
"178","1.1849847","1.0868937","-0.9169321","null","null","null"
"179","null","null","null","-0.11346488","0.051692948","-0.52051824"
"183","null","null","null","-0.11712996","0.056579728","-0.5217399"
"184","1.1924607","1.083636","-0.9470873","null","null","null"
"184","null","null","null","-0.12079505","0.06024481","-0.5217399"
"187","1.169378","1.0807598","-0.9200859","null","null","null"
"188","null","null","null","-0.12507097","0.0626882","-0.5217399"
"188","null","null","null","-0.1281252","0.06757498","-0.52051824"
"191","1.1267861","1.0532764","-0.9111881","null","null","null"
"192","null","null","null","-0.13056861","0.07551599","-0.52051824"
"196","null","null","null","-0.13423368","0.08406785","-0.5229616"
"199","null","null","null","-0.13850962","0.09567395","-0.52418333"
"200","1.1068264","1.0595847","-0.8442879","null","null","null"
"201","null","null","null","-0.1421747","0.10239327","-0.5260158"
"201","1.1186732","1.0543213","-0.82195663","null","null","null"
"202","null","null","null","-0.14583978","0.10850175","-0.52845925"
"204","null","null","null","-0.15011571","0.11522106","-0.5309026"
"206","null","null","null","-0.15133741","0.12438377","-0.5302918"
"207","1.0824711","1.0256741","-0.8390665","null","null","null"
