"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.18087952","0.25446987","-0.17575645","null","null","null"
"1","null","null","null","-0.040697698","0.029549737","0.09414683"
"4","null","null","null","-0.04191939","0.029549737","0.09414683"
"4","null","null","null","-0.044362783","0.02893889","0.09475768"
"4","-0.20204884","0.24215269","-0.24068832","null","null","null"
"7","null","null","null","-0.048027866","0.025884653","0.09536853"
"9","-0.2506028","0.22076082","-0.39194775","null","null","null"
"9","null","null","null","-0.05413634","0.022219568","0.09720107"
"12","null","null","null","-0.059633963","0.020387027","0.097811915"
"14","-0.25156114","0.2296567","-0.5006838","null","null","null"
"15","null","null","null","-0.063909896","0.016111096","0.09903361"
"17","null","null","null","-0.06696413","0.015500249","0.09903361"
"19","-0.24198732","0.2399354","-0.493546","null","null","null"
"19","null","null","null","-0.070018366","0.014278554","0.09964446"
"27","-0.24449036","0.25608635","-0.41051292","null","null","null"
"27","null","null","null","-0.06940752","0.015500249","0.100866154"
"27","null","null","null","-0.06879667","0.011224318","0.1026987"
"27","null","null","null","-0.06696413","0.008780929","0.10514209"
"28","-0.22711089","0.26245403","-0.33995104","null","null","null"
"29","null","null","null","-0.063909896","0.005726693","0.10392039"
"32","null","null","null","-0.063299045","-0.0022143214","0.104531236"
"33","-0.19258706","0.26985788","-0.35539246","null","null","null"
"34","null","null","null","-0.0626882","-0.009544488","0.10330954"
"37","null","null","null","-0.06207735","-0.015042114","0.09720107"
"40","null","null","null","-0.05841227","-0.022372281","0.09048175"
"40","-0.060078427","0.3245802","-0.36708164","null","null","null"
"43","null","null","null","-0.054747187","-0.032756682","0.08131904"
"44","null","null","null","-0.048638713","-0.04191939","0.07093464"
"44","0.14225847","0.42006302","-0.33454466","null","null","null"
"47","null","null","null","-0.045584477","-0.052303795","0.05932854"
"49","0.32488403","0.53583956","-0.32109356","null","null","null"
"49","null","null","null","-0.04314109","-0.06207735","0.04833329"
"51","null","null","null","-0.040697698","-0.07185091","0.035505496"
"55","null","null","null","-0.038865156","-0.079791926","0.023288552"
"55","0.41565454","0.6231828","-0.30171204","null","null","null"
"56","null","null","null","-0.038865156","-0.088954635","0.0104607595"
"58","0.4534561","0.62787104","-0.31452942","null","null","null"
"59","null","null","null","-0.038865156","-0.095063105","-0.0029778804"
"62","null","null","null","-0.04314109","-0.10728005","-0.013973131"
"64","null","null","null","-0.04924956","-0.11583191","-0.024968382"
"64","0.443277","0.6174011","-0.3856082","null","null","null"
"69","null","null","null","-0.057190575","-0.12071869","-0.035963632"
"69","0.39172277","0.6230912","-0.53722763","null","null","null"
"70","null","null","null","-0.066353284","-0.123162076","-0.04146126"
"70","null","null","null","-0.07795938","-0.12499462","-0.04756973"
"73","null","null","null","-0.09261972","-0.123162076","-0.05428905"
"73","0.3135305","0.55728006","-0.55049896","null","null","null"
"77","null","null","null","-0.1066692","-0.12132954","-0.060397524"
"79","null","null","null","-0.120107844","-0.117053606","-0.07017108"
"79","0.29592076","0.5299568","-0.5584545","null","null","null"
"81","null","null","null","-0.13476817","-0.10972344","-0.07872294"
"84","0.2829953","0.56447315","-0.4459448","null","null","null"
"84","null","null","null","-0.14454173","-0.101782426","-0.08483142"
"86","null","null","null","-0.15248275","-0.09200887","-0.09155073"
"89","0.24519718","0.5791302","-0.19467545","null","null","null"
"90","null","null","null","-0.15675868","-0.08040277","-0.09827005"
"92","null","null","null","-0.15981291","-0.07124006","-0.102545984"
"94","null","null","null","-0.15981291","-0.063299045","-0.106211066"
"94","0.1493729","0.5630188","0.09948254","null","null","null"
"96","null","null","null","-0.15736952","-0.054747187","-0.10804361"
"98","null","null","null","-0.15309359","-0.045584477","-0.11170869"
"98","0.0765484","0.5053134","0.31534863","null","null","null"
"100","null","null","null","-0.14698513","-0.035200074","-0.11476293"
"104","null","null","null","-0.1427092","-0.024204822","-0.11659547"
"104","0.025489964","0.4464903","0.47390652","null","null","null"
"106","null","null","null","-0.13782242","-0.013209572","-0.118428014"
"108","null","null","null","-0.1311031","-0.001603474","-0.11781716"
"109","-0.02773904","0.39367914","0.5673275","null","null","null"
"109","null","null","null","-0.12743801","0.010613471","-0.11659547"
"114","null","null","null","-0.12377293","0.023441264","-0.11659547"
"114","-0.12349499","0.33858252","0.56999683","null","null","null"
"115","null","null","null","-0.123162076","0.03749075","-0.11415208"
"118","null","null","null","-0.12132954","0.047875155","-0.11415208"
"119","-0.21154131","0.30161905","0.49084187","null","null","null"
"121","null","null","null","-0.1182753","0.058870405","-0.10987615"
"124","null","null","null","-0.11766446","0.06864396","-0.10682192"
"124","-0.3100179","0.281415","0.37686062","null","null","null"
"125","null","null","null","-0.1182753","0.07536328","-0.10437853"
"128","null","null","null","-0.11766446","0.07963921","-0.102545984"
"129","-0.35976076","0.2756281","0.2614689","null","null","null"
"129","null","null","null","-0.11949699","0.0820826","-0.10193513"
"133","null","null","null","-0.12071869","0.08269345","-0.099491745"
"133","-0.3947146","0.27829266","0.12681103","null","null","null"
"135","null","null","null","-0.12438377","0.08330429","-0.096437514"
