"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.53533125","0.9649096","-0.64001524"
"5","-0.7847638","0.41797733","0.29940927","null","null","null"
"7","null","null","null","-0.53533125","0.95086014","-0.6406261"
"7","null","null","null","-0.5334987","0.92948043","-0.63940436"
"8","-0.60613066","0.4594097","-0.3142668","null","null","null"
"9","null","null","null","-0.52861196","0.9001598","-0.6332959"
"10","null","null","null","-0.52494687","0.86106557","-0.62352234"
"11","-0.40158188","0.5543661","-0.8619399","null","null","null"
"12","null","null","null","-0.5182275","0.81830627","-0.6113054"
"13","-0.25570473","0.69436455","-1.3821567","null","null","null"
"14","null","null","null","-0.5115082","0.7688276","-0.5972559"
"21","null","null","null","-0.5047889","0.7138514","-0.5801522"
"23","null","null","null","-0.49990213","0.6600968","-0.56121594"
"24","-0.10356575","0.93194103","-1.8570671","null","null","null"
"25","null","null","null","-0.49806958","0.6069531","-0.54166883"
"26","null","null","null","-0.50051296","0.5592307","-0.52273256"
"27","0.058686152","1.1785994","-2.2443995","null","null","null"
"28","null","null","null","-0.50784314","0.5121954","-0.50196373"
"29","0.2791054","1.4596167","-2.5373545","null","null","null"
"30","null","null","null","-0.52372515","0.46577105","-0.48058408"
"32","null","null","null","-0.54388314","0.42117918","-0.45981526"
"35","0.46798602","1.7907281","-2.9117467","null","null","null"
"36","null","null","null","-0.5719821","0.37658733","-0.44148985"
"37","null","null","null","-0.60496783","0.32894126","-0.42682952"
"38","0.6810434","2.1732616","-3.3544288","null","null","null"
"39","null","null","null","-0.64161867","0.28129515","-0.41522342"
"44","null","null","null","-0.68010205","0.23364908","-0.4085041"
"45","null","null","null","-0.7191963","0.1835596","-0.40789327"
"45","1.0262434","2.5988646","-3.6806464","null","null","null"
"46","null","null","null","-0.75890136","0.13469182","-0.4109475"
"49","null","null","null","-0.79860646","0.08765658","-0.4164451"
"50","1.3615191","3.0949674","-3.8306417","null","null","null"
"51","null","null","null","-0.83647895","0.041843038","-0.42499697"
"53","null","null","null","-0.8737407","-0.0027488125","-0.4396573"
"53","1.5966719","3.6709824","-3.8262382","null","null","null"
"56","null","null","null","-0.90855896","-0.051616594","-0.4561502"
"58","null","null","null","-0.93849045","-0.10292777","-0.47508645"
"59","1.7024555","4.3159266","-3.7660444","null","null","null"
"61","null","null","null","-0.9672003","-0.15546063","-0.49463356"
"63","1.6177614","4.9996676","-3.7308145","null","null","null"
"64","null","null","null","-0.98980165","-0.21471281","-0.51356983"
"65","null","null","null","-1.0087379","-0.27213246","-0.53311694"
"68","null","null","null","-1.0185114","-0.31977853","-0.5520532"
"68","1.3643985","5.6812987","-3.6640682","null","null","null"
"71","null","null","null","-1.0270633","-0.36009446","-0.57282203"
