"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.6655181","-0.4815767","-0.01977618"
"3","0.7016027","-8.971667","0.35034895","null","null","null"
"4","null","null","null","0.61176354","-0.3575747","-0.054594472"
"5","0.7736912","-9.960946","-1.489265","null","null","null"
"6","null","null","null","0.5396836","-0.22929679","-0.08880192"
"7","null","null","null","0.4511107","-0.10712734","-0.121787675"
"9","null","null","null","0.3478775","-2.2906772E-4","-0.15233004"
"11","0.7449248","-10.794128","-4.0078588","null","null","null"
"12","null","null","null","0.24220094","0.085289545","-0.18103985"
"20","null","null","null","0.13408098","0.15309359","-0.2048629"
"21","0.5186553","-11.392385","-5.9175377","null","null","null"
"22","null","null","null","0.025884653","0.20318307","-0.22624256"
"23","0.16937709","-11.442924","-6.699831","null","null","null"
"23","null","null","null","-0.07673769","0.243499","-0.24701136"
"24","null","null","null","-0.17019732","0.2758739","-0.26900187"
"24","0.11789894","-10.695581","-6.63178","null","null","null"
"25","null","null","null","-0.24655323","0.30030778","-0.28854898"
"25","null","null","null","-0.30030778","0.32718506","-0.30809608"
"29","null","null","null","-0.31802234","0.35955995","-0.32397813"
"30","0.34962654","-9.067035","-5.767173","null","null","null"
"31","null","null","null","-0.29725355","0.39376742","-0.33619505"
"35","null","null","null","-0.24838577","0.42125553","-0.33863845"
"36","0.8087492","-6.7901106","-3.6359024","null","null","null"
"37","null","null","null","-0.17630579","0.44202435","-0.3276432"
"38","0.8487952","-4.7777214","-1.1230133","null","null","null"
"39","null","null","null","-0.094452254","0.4621823","-0.3032093"
"42","null","null","null","-0.010766183","0.48844874","-0.2641151"
"43","-0.29592156","-3.8648777","0.42739642","null","null","null"
"44","null","null","null","0.064978875","0.5226562","-0.21158221"
"46","null","null","null","0.13163759","0.55869615","-0.14866495"
"49","null","null","null","0.19027892","0.5916819","-0.081471756"
"49","-1.7502582","-3.8067417","0.96302116","null","null","null"
"51","null","null","null","0.23975755","0.6210026","-0.014278554"
"53","null","null","null","0.27885178","0.639328","0.04741702"
"53","-2.4948778","-3.799961","0.7064985","null","null","null"
"55","null","null","null","0.31061584","0.6484907","0.109188944"
"58","-2.4142494","-3.7174063","0.12017834","null","null","null"
"59","null","null","null","0.33443886","0.6466582","0.16172181"
"61","null","null","null","0.34665582","0.631387","0.20997874"
"63","-2.0021021","-3.6471548","-0.6881952","null","null","null"
"63","null","null","null","0.353986","0.6002338","0.25029466"
"65","null","null","null","0.35642937","0.55197686","0.2814479"
"68","null","null","null","0.35276428","0.4829511","0.3052709"
"69","-1.3789458","-3.6878939","-1.5352863","null","null","null"
"70","null","null","null","0.34604496","0.391324","0.31626618"
"73","null","null","null","0.3362714","0.2838149","0.31504446"
"73","-0.6118655","-3.892641","-2.2647662","null","null","null"
"75","null","null","null","0.3246653","0.1738624","0.30160582"
"78","null","null","null","0.31061584","0.06940752","0.27839363"
"79","0.07307601","-4.2915707","-2.7393823","null","null","null"
"81","null","null","null","0.29167956","-0.022219568","0.24662958"
"84","null","null","null","0.26052636","-0.0936887","0.2081462"
"84","0.44975448","-5.004571","-2.8015633","null","null","null"
"86","null","null","null","0.21776704","-0.14377818","0.1641652"
"88","null","null","null","0.16095825","-0.16821207","0.11774081"
"89","0.35175705","-5.8704576","-3.1421475","null","null","null"
"90","null","null","null","0.088878274","-0.17493138","0.07009472"
"95","null","null","null","0.008780929","-0.16943376","0.021761434"
"96","0.1324265","-6.409192","-3.839765","null","null","null"
"96","null","null","null","-0.08345701","-0.15782766","-0.022830416"
"100","-0.15032053","-6.5588474","-4.5975533","null","null","null"
"100","null","null","null","-0.17936003","-0.14011309","-0.068033114"
"100","null","null","null","-0.2722088","-0.11995513","-0.105905645"
"105","-0.6116395","-6.3272934","-4.9691124","null","null","null"
"105","null","null","null","-0.3558949","-0.09429955","-0.1388914"
"108","null","null","null","-0.42675316","-0.06375718","-0.16576867"
"108","null","null","null","-0.48111856","-0.024662958","-0.18409409"
"108","-1.4043534","-5.831585","-4.3742695","null","null","null"
"111","null","null","null","-0.5141043","0.022372281","-0.19386765"
"115","null","null","null","-0.52754295","0.076126836","-0.19753273"
"115","-2.3567264","-5.1793194","-2.7345653","null","null","null"
"116","null","null","null","-0.5250996","0.1311031","-0.19692189"
"118","-3.1173012","-4.438302","-0.8828136","null","null","null"
