"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.042377528","-0.008933641","0.020234315"
"1","0.0026882887","0.0718689","-0.08385095","null","null","null"
"3","null","null","null","0.04421007","-0.0071010995","0.020234315"
"5","null","null","null","0.042988375","-0.0071010995","0.01901262"
"7","0.02497077","0.09639931","-0.07922715","null","null","null"
"8","null","null","null","0.044820916","-0.005879405","0.019623468"
"10","null","null","null","0.04176668","-0.0046577104","0.020234315"
"10","0.030459642","0.114792824","0.019139677","null","null","null"
"13","null","null","null","0.04176668","-0.0028251687","0.02145601"
"15","null","null","null","0.03993414","-0.0028251687","0.019623468"
"16","0.012186527","0.13778019","-0.055340648","null","null","null"
"18","null","null","null","0.036879905","-0.003436016","0.019623468"
"20","null","null","null","0.034436513","-0.004046863","0.01901262"
"21","0.031995416","0.13800335","-0.2773323","null","null","null"
"22","null","null","null","0.027106347","-0.0052685575","0.020234315"
"25","null","null","null","0.025884653","-0.003436016","0.020845164"
"26","0.024395227","0.1417818","-0.19670796","null","null","null"
"27","null","null","null","0.021608721","-3.8177954E-4","0.019623468"
"30","null","null","null","0.016721943","0.0026724567","0.020234315"
"30","0.033439875","0.15975761","-0.13900056","null","null","null"
"32","null","null","null","0.01305686","0.005726693","0.022066858"
"35","null","null","null","0.009391776","0.008780929","0.022066858"
"35","0.029443026","0.17758656","-0.32360387","null","null","null"
"38","null","null","null","0.0045049987","0.011224318","0.022677705"
"40","null","null","null","2.2906772E-4","0.013667707","0.022677705"
"40","0.045680046","0.17745113","-0.3614626","null","null","null"
"42","null","null","null","-9.926268E-4","0.017943637","0.025731942"
"45","null","null","null","-0.005879405","0.017943637","0.026342789"
"45","0.05837059","0.19395065","-0.18034765","null","null","null"
"48","null","null","null","-0.008322794","0.020997874","0.028786177"
"50","null","null","null","-0.010766183","0.017943637","0.031840414"
"50","0.055722117","0.20914268","-0.2426272","null","null","null"
"56","null","null","null","-0.014431266","0.014278554","0.033672955"
"57","null","null","null","-0.016263809","0.014278554","0.036116343"
"57","0.054507136","0.20879841","-0.36461937","null","null","null"
"57","null","null","null","-0.019928891","0.010002624","0.038559735"
"61","null","null","null","-0.022983128","0.0075592347","0.042224817"
"61","0.042885542","0.21679497","-0.26447415","null","null","null"
"62","null","null","null","-0.02481567","0.0038941512","0.0458899"
"65","null","null","null","-0.0290916","0.0026724567","0.048944138"
"65","0.056629896","0.2271347","-0.21234977","null","null","null"
"67","null","null","null","-0.034589227","0.0014507623","0.051387526"
"69","null","null","null","-0.03581092","8.39915E-4","0.05505261"
"69","0.08003223","0.23978901","-0.28964826","null","null","null"
"72","null","null","null","-0.038865156","0.0038941512","0.05688515"
"74","null","null","null","-0.039476003","0.00633754","0.058717694"
"74","0.10226226","0.2725401","-0.12635276","null","null","null"
"77","null","null","null","-0.041308545","0.008170082","0.06177193"
"79","null","null","null","-0.04314109","0.01305686","0.06482617"
"79","0.12336838","0.31810665","0.038062125","null","null","null"
"81","null","null","null","-0.041308545","0.014278554","0.06849125"
"85","null","null","null","-0.04253024","0.014278554","0.07093464"
"85","0.12560189","0.3502779","-0.017353475","null","null","null"
"87","null","null","null","-0.039476003","0.016111096","0.07521057"
"90","null","null","null","-0.037643462","0.013667707","0.07887565"
"90","0.1542747","0.38579655","0.046236813","null","null","null"
"91","null","null","null","-0.034589227","0.011835165","0.08131904"
"94","null","null","null","-0.030313294","0.008170082","0.085594974"
"94","0.18776715","0.41157436","0.07105592","null","null","null"
"97","null","null","null","-0.02725906","0.003283304","0.08620582"
"99","null","null","null","-0.021150587","-0.001603474","0.08803836"
"99","0.25084293","0.44904613","-0.092217386","null","null","null"
"102","null","null","null","-0.017485503","-0.009544488","0.088649206"
"104","null","null","null","-0.010766183","-0.015042114","0.0898709"
"107","null","null","null","-0.0071010995","-0.025426516","0.08926006"
"107","0.3372575","0.5349064","-0.11800358","null","null","null"
"110","null","null","null","-0.0022143214","-0.030924143","0.08681667"
"110","0.46565318","0.64973545","-0.07031652","null","null","null"
"111","null","null","null","-0.0022143214","-0.039476003","0.08315159"
"114","0.58202267","0.80036736","-0.3577951","null","null","null"
"114","null","null","null","-0.001603474","-0.051692948","0.08009735"
"116","null","null","null","-0.001603474","-0.063909896","0.07521057"
"119","null","null","null","-0.0028251687","-0.07734854","0.06910209"
"119","0.72313356","0.9366236","-0.5999621","null","null","null"
"121","null","null","null","-0.008322794","-0.09139802","0.063604474"
"124","null","null","null","-0.014431266","-0.10605835","0.05688515"
"124","0.83050764","1.0811453","-0.6258186","null","null","null"
"126","null","null","null","-0.023593975","-0.12132954","0.05077668"
"129","null","null","null","-0.032756682","-0.13721156","0.044668205"
"129","0.9162742","1.1994209","-0.9792855","null","null","null"
"131","null","null","null","-0.043751936","-0.1506502","0.037338037"
"134","null","null","null","-0.05780142","-0.16408885","0.03245126"
"136","0.9509245","1.3023367","-1.0994501","null","null","null"
"136","null","null","null","-0.07673769","-0.17325155","0.026342789"
"140","null","null","null","-0.09689565","-0.18058172","0.019623468"
"140","0.993083","1.3828802","-1.2179801","null","null","null"
"142","null","null","null","-0.120107844","-0.18363595","0.011682454"
"144","null","null","null","-0.14209834","-0.1854685","0.0037414394"
"144","1.0448887","1.4423704","-1.5078964","null","null","null"
"147","null","null","null","-0.16592139","-0.18424681","-0.0060321167"
"149","null","null","null","-0.18913358","-0.18058172","-0.017638214"
"149","1.1594658","1.4702587","-1.4929168","null","null","null"
"151","null","null","null","-0.21662171","-0.17630579","-0.028633466"
"153","null","null","null","-0.2410556","-0.17080817","-0.039628714"
"153","1.3444617","1.3907881","-1.6834662","null","null","null"
"156","null","null","null","-0.26304612","-0.16469969","-0.051234815"
"159","null","null","null","-0.2838149","-0.15859123","-0.065284304"
"159","1.5327252","1.1965313","-1.6674514","null","null","null"
"161","null","null","null","-0.3082488","-0.1543153","-0.078112096"
"163","null","null","null","-0.32718506","-0.15003936","-0.09093989"
"163","1.7229484","0.86822796","-1.7516626","null","null","null"
"166","null","null","null","-0.34734303","-0.14881766","-0.10498937"
"168","null","null","null","-0.36566845","-0.14759597","-0.11659547"
"168","1.917506","0.44022655","-1.7609911","null","null","null"
"170","null","null","null","-0.38093963","-0.15492614","-0.12942326"
"173","null","null","null","-0.3949891","-0.16286714","-0.1428619"
"174","2.1172137","-0.02030754","-1.9164228","null","null","null"
"176","null","null","null","-0.4078169","-0.17691664","-0.15813309"
"180","null","null","null","-0.4182013","-0.19279866","-0.17157172"
"180","2.3668354","-0.4829874","-1.9770494","null","null","null"
"182","null","null","null","-0.42492062","-0.20929155","-0.18562122"
"184","null","null","null","-0.4322508","-0.22761697","-0.20028155"
"184","2.5898476","-0.8939953","-2.1621442","null","null","null"
"185","null","null","null","-0.43713757","-0.24472068","-0.21433103"
"189","null","null","null","-0.4414135","-0.25754848","-0.2308239"
"189","2.8125267","-1.2079649","-2.2290986","null","null","null"
"191","null","null","null","-0.4438569","-0.26854372","-0.24670593"
"193","null","null","null","-0.44568944","-0.2746522","-0.26503137"
"193","2.9987981","-1.3820019","-2.3337958","null","null","null"
"196","null","null","null","-0.44691113","-0.27892813","-0.2839676"
"198","null","null","null","-0.44568944","-0.27648473","-0.30412558"
"198","3.1675718","-1.4067469","-2.3413954","null","null","null"
"201","null","null","null","-0.4426352","-0.2746522","-0.32550523"
"203","null","null","null","-0.44202435","-0.26610035","-0.3481066"
"204","3.3090377","-1.2812185","-2.2798579","null","null","null"
"209","null","null","null","-0.43713757","-0.25754848","-0.37315133"
"209","3.4013572","-1.0606527","-2.191345","null","null","null"
"210","null","null","null","-0.43347248","-0.24960746","-0.4000286"
"210","null","null","null","-0.42736402","-0.2410556","-0.4299601"
"213","3.4979074","-0.80502987","-2.117836","null","null","null"
"214","null","null","null","-0.4243098","-0.23250374","-0.46294588"
"216","null","null","null","-0.41636875","-0.22700611","-0.498375"
"218","3.6017673","-0.5037184","-1.9901867","null","null","null"
"219","null","null","null","-0.4065952","-0.21967594","-0.5368584"
"221","null","null","null","-0.3986542","-0.2062373","-0.57778513"
"223","null","null","null","-0.38826978","-0.1866902","-0.61810106"
"223","3.6418972","-0.1736002","-1.7525419","null","null","null"
"225","null","null","null","-0.37788537","-0.16408885","-0.6596387"
"228","null","null","null","-0.367501","-0.13721156","-0.7011763"
"229","3.5596333","0.10275936","-1.4268634","null","null","null"
"230","null","null","null","-0.35467318","-0.10239327","-0.7445465"
"232","null","null","null","-0.34367794","-0.06940752","-0.7873058"
"232","3.3919473","0.333745","-1.0637658","null","null","null"
"235","null","null","null","-0.3290176","-0.034589227","-0.82884336"
"238","null","null","null","-0.3149681","2.2906772E-4","-0.86854845"
"238","3.1797268","0.5110493","-0.702988","null","null","null"
"240","null","null","null","-0.30275118","0.03749075","-0.90527564"
"242","null","null","null","-0.29419932","0.074752435","-0.9394831"
"243","2.860044","0.5690031","-0.3958254","null","null","null"
"245","null","null","null","-0.28564745","0.11384666","-0.96819293"
"247","null","null","null","-0.28198236","0.15355173","-0.9926268"
"248","2.4277887","0.5173855","-0.2267651","null","null","null"
"249","null","null","null","-0.28198236","0.18959172","-1.0146173"
"252","null","null","null","-0.28686914","0.2256317","-1.0347753"
"253","1.8837264","0.3288555","-0.26306903","null","null","null"
"254","null","null","null","-0.29481015","0.2580066","-1.0500464"
"257","null","null","null","-0.3070271","0.2940466","-1.0622634"
"258","1.3350507","0.045458794","-0.4128765","null","null","null"
"260","null","null","null","-0.32535252","0.3288649","-1.0726478"
"262","null","null","null","-0.34734303","0.3636832","-1.0793672"
"262","0.8073671","-0.30519104","-0.5700108","null","null","null"
"264","null","null","null","-0.37055522","0.3985015","-1.0866972"
"267","null","null","null","-0.39804333","0.43026555","-1.0921949"
"268","0.2914152","-0.6536751","-0.66696054","null","null","null"
"269","null","null","null","-0.4285857","0.45714283","-1.0952492"
"272","null","null","null","-0.45790637","0.47546825","-1.0946383"
"272","-0.17535758","-0.9581442","-0.77249974","null","null","null"
"274","null","null","null","-0.48417282","0.49257195","-1.09586"
"278","null","null","null","-0.5098284","0.50051296","-1.0940274"
"278","-0.5782839","-1.2078161","-0.72287774","null","null","null"
"279","null","null","null","-0.5305972","0.5066214","-1.087919"
"282","null","null","null","-0.5458684","0.5029564","-1.0836431"
"282","-0.93967223","-1.3834915","-0.5126554","null","null","null"
"285","null","null","null","-0.55869615","0.4944045","-1.0732586"
"288","null","null","null","-0.5684697","0.47302485","-1.0579875"
"288","-1.3007362","-1.554388","-0.2572261","null","null","null"
"290","null","null","null","-0.57518905","0.44187164","-1.0427163"
"292","null","null","null","-0.5812975","0.39666894","-1.0268342"
"293","-1.5603682","-1.7418509","-0.23996043","null","null","null"
"295","null","null","null","-0.5849626","0.3380276","-1.007898"
"298","null","null","null","-0.5861843","0.26594764","-0.9889617"
"298","-1.6332426","-1.9026899","-0.4435202","null","null","null"
"302","null","null","null","-0.5898494","0.18959172","-0.96819293"
"303","null","null","null","-0.59046024","0.10834903","-0.9474241"
"303","-1.516825","-1.965127","-0.75487614","null","null","null"
"305","null","null","null","-0.59473616","0.025273805","-0.92848784"
"306","null","null","null","-0.6002338","-0.06452074","-0.9126058"
"307","-1.247225","-1.9328976","-1.1257077","null","null","null"
"310","null","null","null","-0.60702944","-0.15309359","-0.8985563"
"312","null","null","null","-0.616803","-0.24777491","-0.8850413"
"312","-0.7627703","-1.8289766","-1.5816876","null","null","null"
"314","null","null","null","-0.62718743","-0.3418454","-0.8746569"
"319","null","null","null","-0.63940436","-0.43835926","-0.8661051"
"320","null","null","null","-0.65162134","-0.53120804","-0.8593857"
"320","-0.17152691","-1.7133503","-2.0218072","null","null","null"
"322","null","null","null","-0.6650599","-0.6210026","-0.8587749"
"323","0.40279913","-1.6172867","-2.346651","null","null","null"
"325","null","null","null","-0.680942","-0.7059104","-0.8581641"
"327","null","null","null","-0.6956023","-0.7810446","-0.86244"
"327","0.9321537","-1.533782","-2.5336294","null","null","null"
"329","null","null","null","-0.7120952","-0.8495358","-0.8661051"
"332","null","null","null","-0.72919893","-0.90573376","-0.87221354"
"332","1.3431678","-1.4534111","-2.6847825","null","null","null"
"334","null","null","null","-0.74874604","-0.9503256","-0.87648946"
"337","null","null","null","-0.7640172","-0.9814788","-0.88015455"
"337","1.6011","-1.3869715","-2.755166","null","null","null"
"340","null","null","null","-0.77745587","-1.004691","-0.88443047"
"342","null","null","null","-0.7896728","-1.0162971","-0.8850413"
"342","1.6486135","-1.3068933","-2.6489592","null","null","null"
"344","null","null","null","-0.79272705","-1.0181297","-0.88443047"
"347","null","null","null","-0.7939487","-1.0132428","-0.8819871"
"347","1.526748","-1.2046013","-2.2876244","null","null","null"
"349","null","null","null","-0.7896728","-1.0028585","-0.87648946"
"351","null","null","null","-0.78051007","-0.98819816","-0.8709918"
"352","1.2573838","-1.0643473","-1.73","null","null","null"
"354","null","null","null","-0.76829314","-0.9692619","-0.86427253"
"356","null","null","null","-0.7524111","-0.9503256","-0.8593857"
"356","0.99014163","-0.9350033","-1.1757942","null","null","null"
"358","null","null","null","-0.73469657","-0.9320002","-0.85694236"
"361","null","null","null","-0.7157603","-0.9148965","-0.85572064"
"361","0.81314564","-0.79622364","-0.6649115","null","null","null"
"363","null","null","null","-0.696824","-0.8990145","-0.8551098"
"366","null","null","null","-0.67788774","-0.87946737","-0.8563315"
"366","0.7069433","-0.71138954","-0.29426742","null","null","null"
"368","null","null","null","-0.660784","-0.86297446","-0.8581641"
"373","null","null","null","-0.6455128","-0.84648156","-0.86060745"
"374","0.6389265","-0.67094994","0.013011456","null","null","null"
"375","null","null","null","-0.63268507","-0.8299887","-0.86427253"
"376","0.5933769","-0.65101814","0.284837","null","null","null"
"377","null","null","null","-0.61985725","-0.8158629","-0.86854845"
"378","null","null","null","-0.6076403","-0.8042568","-0.8709918"
"381","0.56203294","-0.6061392","0.54309666","null","null","null"
"381","null","null","null","-0.5977904","-0.79875916","-0.87221354"
"384","null","null","null","-0.5886277","-0.7950941","-0.8728244"
"386","null","null","null","-0.5800758","-0.7932615","-0.87160265"
"387","0.46391797","-0.53629684","0.7427875","null","null","null"
"389","null","null","null","-0.5690806","-0.7969266","-0.86854845"
"391","0.3496666","-0.41749763","0.9940213","null","null","null"
"391","null","null","null","-0.5562528","-0.7999808","-0.8654942"
"393","null","null","null","-0.5452575","-0.79753745","-0.85999656"
"395","0.19564009","-0.32256985","1.3442919","null","null","null"
"396","null","null","null","-0.53120804","-0.7920398","-0.8496122"
"398","null","null","null","-0.51715857","-0.783488","-0.8380061"
"401","null","null","null","-0.50433075","-0.76760596","-0.8264"
"402","-0.10303998","-0.27639294","1.8014938","null","null","null"
"403","null","null","null","-0.49028128","-0.75477815","-0.80990714"
"406","-0.40840507","-0.2237463","2.157333","null","null","null"
"406","null","null","null","-0.47806433","-0.73889613","-0.7915817"
"408","null","null","null","-0.4670691","-0.73034424","-0.7726454"
"410","null","null","null","-0.4542413","-0.7260683","-0.7518766"
"411","-0.6447587","-0.10476303","2.3357246","null","null","null"
"413","null","null","null","-0.4426352","-0.7297334","-0.7292753"
"415","-0.8225043","0.03874588","2.3288639","null","null","null"
"416","null","null","null","-0.4310291","-0.73828524","-0.7091173"
"419","null","null","null","-0.41881216","-0.7541673","-0.6871268"
"420","null","null","null","-0.40842775","-0.77310354","-0.666358"
"421","-0.9510908","0.20794201","2.2079403","null","null","null"
"423","null","null","null","-0.3974325","-0.79448324","-0.64620006"
"425","null","null","null","-0.38521555","-0.8158629","-0.62665296"
"426","-1.0341253","0.3633318","2.027108","null","null","null"
"428","null","null","null","-0.37483114","-0.8330429","-0.60649496"
"430","null","null","null","-0.36627927","-0.8519792","-0.5887804"
"430","-1.0825455","0.4917555","1.8689547","null","null","null"
"433","null","null","null","-0.3558949","-0.8684721","-0.57106584"
"435","-1.0930812","0.5931673","1.7071178","null","null","null"
"436","null","null","null","-0.34734303","-0.87946737","-0.5570164"
"439","null","null","null","-0.33940202","-0.8867975","-0.54357773"
"440","-1.0949769","0.68419266","1.5462911","null","null","null"
"440","null","null","null","-0.33207184","-0.89351684","-0.53258246"
"443","null","null","null","-0.3222983","-0.8971819","-0.51975465"
"445","null","null","null","-0.31374642","-0.9002361","-0.5105919"
"445","-1.0920367","0.7504864","1.3599474","null","null","null"
"448","null","null","null","-0.30458373","-0.9020687","-0.50448346"
"450","-1.1073139","0.829052","1.1838964","null","null","null"
"450","null","null","null","-0.29481015","-0.90267956","-0.49226654"
"453","null","null","null","-0.2862583","-0.8947385","-0.48249298"
"455","null","null","null","-0.2770956","-0.88191074","-0.4708869"
"455","-1.2208672","0.8613844","1.022614","null","null","null"
"458","null","null","null","-0.26671118","-0.86663955","-0.46050248"
"462","null","null","null","-0.2581593","-0.8519792","-0.45072892"
"462","-1.4423499","0.8128786","0.93438005","null","null","null"
"462","null","null","null","-0.24838577","-0.8336538","-0.44095537"
"465","null","null","null","-0.23555797","-0.8164737","-0.43118182"
"465","-1.5912325","0.80200005","0.85079956","null","null","null"
"468","null","null","null","-0.22273017","-0.8030351","-0.4220191"
"470","-1.6890697","0.8012662","0.8028531","null","null","null"
"471","null","null","null","-0.21173494","-0.7877639","-0.40980217"
"472","null","null","null","-0.19951798","-0.7718819","-0.39636353"
"475","-1.8146303","0.79163647","0.767751","null","null","null"
"475","null","null","null","-0.18485765","-0.7596649","-0.38536826"
"477","null","null","null","-0.17019732","-0.7462263","-0.37376216"
"479","-1.9477065","0.79223347","0.8063458","null","null","null"
"480","null","null","null","-0.1543153","-0.7376744","-0.36704284"
"482","null","null","null","-0.1390441","-0.7291226","-0.3572693"
"485","null","null","null","-0.12194038","-0.7297334","-0.34383065"
"485","-1.9016862","0.8688278","0.84331965","null","null","null"
"488","null","null","null","-0.10728005","-0.73034424","-0.32733777"
"489","null","null","null","-0.09200887","-0.7291226","-0.30901235"
"490","-2.0586946","0.8433857","0.8000293","null","null","null"
"492","null","null","null","-0.076126836","-0.7254575","-0.29190862"
"494","-2.2654443","0.83683777","0.8246865","null","null","null"
"495","null","null","null","-0.06207735","-0.7181273","-0.27480492"
"497","null","null","null","-0.048638713","-0.71140796","-0.2552578"
"499","-2.3305511","0.9161072","0.93403316","null","null","null"
"500","null","null","null","-0.037032615","-0.70407784","-0.23632154"
"503","null","null","null","-0.026037365","-0.6979694","-0.2192178"
"504","null","null","null","-0.016263809","-0.69186085","-0.1996707"
"505","-2.3092337","1.0535231","0.94285715","null","null","null"
"507","null","null","null","-0.0052685575","-0.6894175","-0.18195613"
"510","null","null","null","0.0051158457","-0.6857524","-0.16424155"
"510","-2.264907","1.2023792","0.9374852","null","null","null"
"511","null","null","null","0.015500249","-0.683309","-0.14591613"
"515","-2.2346346","1.3710322","0.95026267","null","null","null"
"515","null","null","null","0.025884653","-0.6826982","-0.12759072"
"517","null","null","null","0.03749075","-0.6784222","-0.110487"
"519","-2.178975","1.533174","1.0121467","null","null","null"
"519","null","null","null","0.049707696","-0.67658967","-0.09093989"
"522","null","null","null","0.061313793","-0.67292464","-0.07261447"
"525","null","null","null","0.07658497","-0.6704812","-0.053067356"
"525","-2.093111","1.709198","1.073938","null","null","null"
"526","null","null","null","0.08758023","-0.66192937","-0.032909397"
"529","null","null","null","0.099797174","-0.65398836","-0.014583978"
"529","-2.0201664","1.8644261","1.1570544","null","null","null"
"531","null","null","null","0.11323581","-0.64482564","0.0061848285"
"534","-1.9518038","2.0012984","1.2529552","null","null","null"
