"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.07131642","0.013133216","0.028251685"
"2","0.18968391","-0.056084633","-0.005018592","null","null","null"
"2","null","null","null","0.07070557","0.011911522","0.027640838"
"4","null","null","null","0.068873025","0.011300675","0.025808297"
"4","0.20460272","-0.0672698","-0.056008697","null","null","null"
"6","null","null","null","0.06765133","0.01007898","0.025808297"
"8","null","null","null","0.06765133","0.008246438","0.025808297"
"9","0.202734","-0.07833004","-0.05907464","null","null","null"
"11","null","null","null","0.06765133","0.0076355906","0.024586603"
"13","null","null","null","0.06704049","0.008246438","0.023975754"
"13","0.20794106","-0.09637833","-0.068072915","null","null","null"
"15","null","null","null","0.06704049","0.008857286","0.022143213"
"19","0.20231867","-0.115386486","-0.063889086","null","null","null"
"19","null","null","null","0.06642964","0.008857286","0.020921519"
"20","null","null","null","0.06704049","0.0076355906","0.020921519"
"23","0.1729865","-0.11760759","-0.062128425","null","null","null"
"23","null","null","null","0.065818794","0.008246438","0.021532366"
"26","null","null","null","0.06520794","0.008246438","0.020310672"
"28","null","null","null","0.0645971","0.011911522","0.020921519"
"29","0.15100527","-0.11266661","-0.06263882","null","null","null"
"31","null","null","null","0.06520794","0.012522369","0.019699825"
"33","0.124409676","-0.082798004","-0.07851094","null","null","null"
"33","null","null","null","0.0645971","0.012522369","0.018478129"
"36","null","null","null","0.06704049","0.015576605","0.019088976"
"38","0.112289906","-0.075736046","-0.069284976","null","null","null"
"39","null","null","null","0.06520794","0.015576605","0.019088976"
"40","null","null","null","0.0645971","0.016798299","0.020310672"
"43","0.096764565","-0.0794487","-0.081418514","null","null","null"
"43","null","null","null","0.065818794","0.018019995","0.020310672"
"45","null","null","null","0.06642964","0.019241689","0.019088976"
"48","null","null","null","0.065818794","0.020463383","0.020310672"
"48","0.06592178","-0.05937481","-0.07798672","null","null","null"
"50","null","null","null","0.06642964","0.019241689","0.020921519"
"53","null","null","null","0.06642964","0.018019995","0.022143213"
"53","0.06151724","-0.051391125","-0.08531284","null","null","null"
"55","null","null","null","0.06642964","0.017409148","0.021532366"
"58","0.06191492","-0.030431747","-0.0878554","null","null","null"
"59","null","null","null","0.06520794","0.016187452","0.02275406"
"60","null","null","null","0.0645971","0.014965758","0.023364907"
"62","null","null","null","0.0645971","0.013133216","0.02519745"
