"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.5757235","-1.0479848","-1.9218018"
"6","0.8792405","0.645175","3.05539","null","null","null"
"8","null","null","null","-0.52624494","-1.1536614","-1.9303536"
"10","null","null","null","-0.48776153","-1.2623922","-1.937073"
"12","0.55883026","0.91791964","2.621139","null","null","null"
"13","null","null","null","-0.4535541","-1.375399","-1.9376838"
"15","0.04733157","1.1700754","2.2401211","null","null","null"
"16","null","null","null","-0.42362258","-1.4908491","-1.9346297"
"17","null","null","null","-0.39857784","-1.6001908","-1.9266886"
"18","null","null","null","-0.37658733","-1.694872","-1.9138608"
"19","-0.54071736","1.3001909","2.1174426","null","null","null"
"20","null","null","null","-0.36742464","-1.7761147","-1.897368"
"21","null","null","null","-0.36620292","-1.8347561","-1.8729341"
"22","-1.1344469","1.388577","1.9267455","null","null","null"
"23","null","null","null","-0.3631487","-1.8775154","-1.8436134"
"24","-1.8712697","1.5323601","2.009562","null","null","null"
"25","null","null","null","-0.36681378","-1.9001168","-1.8087951"
"27","null","null","null","-0.37170056","-1.9214964","-1.7721442"
"30","-2.608571","1.7818933","2.3665106","null","null","null"
"31","null","null","null","-0.38025242","-1.9434869","-1.7324392"
"32","null","null","null","-0.3875826","-1.9746401","-1.6902907"
"35","-3.1137996","2.1049366","2.413126","null","null","null"
"36","null","null","null","-0.3955236","-2.0106802","-1.6469206"
"37","null","null","null","-0.40346462","-2.0613804","-1.6004962"
"40","-3.4366026","2.4191017","2.2784388","null","null","null"
"41","null","null","null","-0.41445985","-2.119411","-1.5559043"
"41","null","null","null","-0.42117918","-2.1811066","-1.5100908"
"44","-3.6317892","2.7555594","2.4473073","null","null","null"
"45","null","null","null","-0.42973104","-2.2446346","-1.4636664"
"46","null","null","null","-0.43217444","-2.310606","-1.4160203"
"49","-3.8043764","3.077475","2.6214256","null","null","null"
"50","null","null","null","-0.4382829","-2.3741343","-1.3671526"
"51","null","null","null","-0.43767205","-2.4346082","-1.3140088"
"54","-4.1130986","3.2907696","2.7476113","null","null","null"
"54","null","null","null","-0.43461782","-2.4902716","-1.2596434"
"56","null","null","null","-0.4278985","-2.540361","-1.1997803"
"59","null","null","null","-0.41812494","-2.5794554","-1.1368631"
"59","-4.4726157","3.477435","3.281484","null","null","null"
"65","null","null","null","-0.40529716","-2.6099975","-1.0684482"
"66","null","null","null","-0.3888043","-2.631988","-0.9963682"
"66","-4.952049","3.5806966","3.7645497","null","null","null"
"67","null","null","null","-0.36498123","-2.648481","-0.9206232"
"70","-5.455528","3.66228","4.047122","null","null","null"
"70","null","null","null","-0.3399365","-2.6545894","-0.8436564"
"72","null","null","null","-0.3075616","-2.6533678","-0.7642463"
"74","null","null","null","-0.27091077","-2.6497028","-0.685447"
"74","-5.879281","3.7752838","4.4580183","null","null","null"
"76","null","null","null","-0.23303823","-2.639929","-0.6042043"
"79","null","null","null","-0.19211146","-2.620993","-0.52418333"
"79","-6.1854687","3.9522886","4.8704658","null","null","null"
"81","null","null","null","-0.1487413","-2.5941155","-0.44477317"
"85","null","null","null","-0.104760304","-2.5617406","-0.36597386"
"86","-6.4658036","4.10487","5.0025024","null","null","null"
"86","null","null","null","-0.05955761","-2.5250897","-0.28839627"
"89","null","null","null","-0.013744064","-2.4817197","-0.2114295"
"90","-6.7317295","4.2545977","5.1359553","null","null","null"
"91","null","null","null","0.033902023","-2.4339972","-0.13873868"
"93","-6.8955617","4.42171","5.3300447","null","null","null"
"94","null","null","null","0.08154811","-2.3826861","-0.06543701"
"96","null","null","null","0.12613995","-2.3289316","0.004810422"
"99","null","null","null","0.17378604","-2.2678468","0.07322531"
"99","-6.967672","4.5784965","5.2544956","null","null","null"
"101","null","null","null","0.22143213","-2.2049296","0.14225106"
"104","null","null","null","0.2678565","-2.135293","0.20822255"
"105","-7.050394","4.650753","5.265518","null","null","null"
"106","null","null","null","0.31489176","-2.058937","0.27182704"
"109","null","null","null","0.3631487","-1.9819703","0.33413345"
"109","-7.0668554","4.716072","5.40807","null","null","null"
"111","null","null","null","0.40957308","-1.9013385","0.3903314"
"113","-6.939066","4.720358","5.24305","null","null","null"
"113","null","null","null","0.45905173","-1.8182632","0.4422534"
"116","null","null","null","0.5115846","-1.7278578","0.4886778"
"118","null","null","null","0.56167406","-1.6337874","0.53326964"
"118","-6.6205606","4.6968784","5.2592735","null","null","null"
"121","null","null","null","0.6154286","-1.5433819","0.5748073"
"123","-6.1897316","4.6395073","5.2460456","null","null","null"
"123","null","null","null","0.6691832","-1.4603068","0.61573404"
"126","null","null","null","0.7314896","-1.3796749","0.6529957"
"128","null","null","null","0.7950177","-1.3008755","0.6884249"
"128","-5.772368","4.543528","5.081201","null","null","null"
"130","null","null","null","0.8603784","-1.2239088","0.72141063"
"133","null","null","null","0.92879325","-1.1493855","0.75561804"
"134","-5.319582","4.4687448","5.043252","null","null","null"
"135","null","null","null","0.99904066","-1.0736405","0.7886038"
"138","null","null","null","1.0711206","-0.99667364","0.82281125"
"139","-4.915116","4.397224","4.822107","null","null","null"
"141","null","null","null","1.1468657","-0.92276114","0.860073"
"143","-4.6099916","4.2860584","4.747636","null","null","null"
"143","null","null","null","1.2226871","-0.84823775","0.89672375"
"146","null","null","null","1.303319","-0.77432525","0.9370397"
"148","null","null","null","1.3870051","-0.70346695","0.9779665"
"148","-4.446783","4.0887747","4.3972735","null","null","null"
"151","null","null","null","1.4688586","-0.6319978","1.0195041"
"154","null","null","null","1.5513229","-0.55930704","1.0653176"
"154","-4.2563257","3.8760195","4.1442127","null","null","null"
"156","null","null","null","1.6319548","-0.48844874","1.1105204"
"158","null","null","null","1.7131975","-0.41148198","1.1581664"
"159","-4.093324","3.5806808","3.577159","null","null","null"
"162","null","null","null","1.7907751","-0.33512607","1.2064233"
"164","null","null","null","1.8604116","-0.25693762","1.2522368"
"164","-3.9049723","3.239602","2.9549716","null","null","null"
"165","null","null","null","1.922718","-0.17874917","1.2980504"
"169","null","null","null","1.9703642","-0.09750649","1.3401989"
"169","-3.4894083","2.8436203","1.9825696","null","null","null"
"170","null","null","null","2.0094583","-0.013820419","1.3792931"
"173","null","null","null","2.0363357","0.07230905","1.4135005"
"174","-2.888024","2.372641","0.6776695","null","null","null"
"175","null","null","null","2.0400007","0.16332528","1.4446537"
"178","null","null","null","2.0173993","0.25930467","1.471531"
"179","-2.0025544","1.8229446","-0.86910295","null","null","null"
"184","-1.0492449","1.0599575","-2.9702864","null","null","null"
"185","null","null","null","1.959369","0.36009446","1.495354"
"185","null","null","null","1.85919","0.46638188","1.5149012"
"186","null","null","null","1.7156409","0.57328016","1.5344483"
"188","-0.09428477","0.07805061","-5.8891354","null","null","null"
"188","null","null","null","1.5274999","0.67040485","1.5527737"
"190","null","null","null","1.3039298","0.741874","1.5692666"
"193","0.6907482","-1.2211695","-9.465092","null","null","null"
"193","null","null","null","1.057682","0.7901309","1.5765967"
"195","null","null","null","0.8066238","0.8060129","1.5698775"
"199","null","null","null","0.5842754","0.7974611","1.547887"
"200","1.5996375","-2.6827002","-12.201663","null","null","null"
"203","null","null","null","0.3967453","0.7614211","1.5032951"
"208","3.041477","-4.113119","-11.839945","null","null","null"
"209","null","null","null","0.24464433","0.67834586","1.4269392"
"210","null","null","null","0.11025793","0.55373305","1.3218734"
"210","null","null","null","-0.014965758","0.3839175","1.1905413"
"212","5.2660847","-5.5673857","-9.622359","null","null","null"
"213","null","null","null","-0.16095825","0.16515782","1.0372187"
"215","null","null","null","-0.32222193","-0.09384141","0.85762954"
"216","null","null","null","-0.5005893","-0.39804333","0.65482825"
"216","7.7814713","-7.264324","-9.707739","null","null","null"
"217","null","null","null","-0.66612893","-0.73034424","0.4227063"
"218","9.958639","-9.397947","-12.927111","null","null","null"
"220","null","null","null","-0.7962394","-1.0718079","0.16363071"
"221","null","null","null","-0.8787038","-1.3955569","-0.10514209"
"221","12.293379","-11.483597","-15.958396","null","null","null"
"224","null","null","null","-0.9184089","-1.6655514","-0.357422"
"227","null","null","null","-0.909857","-1.8732395","-0.5785487"
"227","13.893989","-12.824291","-15.140852","null","null","null"
"229","null","null","null","-0.86954105","-1.9966307","-0.7593595"
"231","null","null","null","-0.80356956","-2.0369465","-0.90840626"
"231","12.605477","-13.46635","-11.381189","null","null","null"
"234","null","null","null","-0.72538114","-1.9941872","-1.029354"
"237","null","null","null","-0.64352757","-1.8824022","-1.1264787"
"237","9.80579","-13.237132","-7.0466022","null","null","null"
"240","null","null","null","-0.5598415","-1.7419074","-1.2010021"
"241","null","null","null","-0.47920966","-1.5959148","-1.2645302"
"242","7.3555593","-11.574516","-3.676908","null","null","null"
"244","null","null","null","-0.40224293","-1.4242667","-1.321339"
"246","null","null","null","-0.32955208","-1.2361258","-1.3708177"
"247","5.7044225","-8.638933","-2.0424643","null","null","null"
"248","null","null","null","-0.2623589","-1.0327137","-1.4080793"
"252","null","null","null","-0.20127417","-0.81830627","-1.4325132"
"253","4.572118","-5.340437","-0.9468007","null","null","null"
"254","null","null","null","-0.14568707","-0.62527853","-1.4410651"
"256","null","null","null","-0.09681929","-0.45057622","-1.4312915"
"257","3.090368","-2.7228384","-0.33437538","null","null","null"
"259","null","null","null","-0.05955761","-0.29358846","-1.4038033"
"263","null","null","null","-0.03451287","-0.14881766","-1.3616549"
"263","1.3760388","-0.8291931","-0.38994956","null","null","null"
"264","null","null","null","-0.021685077","-0.021761434","-1.3097329"
"269","-0.38671255","0.6905222","-0.55633426","null","null","null"
"269","null","null","null","-0.020463383","0.0820826","-1.2431505"
"270","null","null","null","-0.032069482","0.15782766","-1.1667947"
"272","null","null","null","-0.05222744","0.19875443","-1.0818869"
"272","-1.9408126","1.9563079","-0.7057123","null","null","null"
"274","null","null","null","-0.10109522","0.21830153","-0.98903805"
"279","null","null","null","-0.193944","0.22692975","-0.88519406"
"280","null","null","null","-0.30817243","0.22631891","-0.7727981"
"281","-3.0299053","2.9916916","-1.1068361","null","null","null"
"282","-3.8435977","3.7407436","-2.6228292","null","null","null"
"283","null","null","null","-0.43095273","0.20974968","-0.6549046"
"283","null","null","null","-0.53724015","0.19020256","-0.5370111"
"286","-4.1410985","4.2544794","-3.7904444","null","null","null"
"286","null","null","null","-0.6154286","0.1816507","-0.4246152"
"289","null","null","null","-0.6502469","0.21280392","-0.3305447"
"292","null","null","null","-0.63192147","0.29900974","-0.2578539"
"293","-3.6553583","4.6316175","-2.9535208","null","null","null"
"294","null","null","null","-0.573891","0.44683477","-0.2138729"
"296","-2.5336685","4.8522263","0.5276501","null","null","null"
"296","null","null","null","-0.4987568","0.6514686","-0.18699561"
"299","null","null","null","-0.4010212","0.8762604","-0.16317257"
"301","-1.4900395","4.326559","4.0894375","null","null","null"
"303","null","null","null","-0.30939415","1.1010522","-0.13690615"
"303","null","null","null","-0.2287623","1.3130162","-0.09597938"
"306","-1.967737","2.3803673","4.5896225","null","null","null"
"307","null","null","null","-0.1524064","1.493827","-0.03061872"
"308","null","null","null","-0.06872032","1.6404303","0.051845662"
"311","null","null","null","0.018019995","1.7448852","0.15507884"
"312","-3.3495553","-0.6450386","3.169559","null","null","null"
"314","null","null","null","0.118198946","1.8053591","0.27427042"
"315","-4.5453873","-4.218397","2.2981129","null","null","null"
"316","null","null","null","0.22021043","1.825517","0.40621343"
"318","null","null","null","0.31855685","1.80597","0.5503734"
"326","null","null","null","0.40590802","1.7601564","0.6914791"
"326","-5.113433","-7.538645","2.7612956","null","null","null"
"327","null","null","null","0.4847073","1.6960174","0.8283089"
"327","-5.5353417","-9.768903","3.7055159","null","null","null"
"327","null","null","null","0.5549547","1.6324893","0.9504783"
"328","null","null","null","0.60932016","1.5805672","1.0463814"
"330","null","null","null","0.64780354","1.5555226","1.1160179"
"331","-5.5673695","-10.513265","5.4212685","null","null","null"
"333","null","null","null","0.6734591","1.5622419","1.1551121"
"335","null","null","null","0.6917845","1.5982819","1.1581664"
"336","-5.055209","-9.697357","7.0786943","null","null","null"
"337","null","null","null","0.71316415","1.6520364","1.1257915"
"341","null","null","null","0.74248487","1.7088453","1.0677611"
"341","-4.075985","-7.811846","8.251324","null","null","null"
"343","null","null","null","0.7846333","1.7571021","0.9889617"
"346","null","null","null","0.8341119","1.7955855","0.89733464"
"347","-3.2559705","-5.6658964","8.763678","null","null","null"
"348","null","null","null","0.8854231","1.8163543","0.7941014"
"351","null","null","null","0.945897","1.829793","0.6835381"
"351","-3.0746872","-3.9010181","8.079275","null","null","null"
"353","null","null","null","1.0075926","1.8401774","0.56808794"
"355","null","null","null","1.0741749","1.8487293","0.45324868"
"356","-3.209249","-2.6125221","6.6426315","null","null","null"
"358","null","null","null","1.1456441","1.8646113","0.343907"
"360","-3.50703","-1.6404343","5.3261833","null","null","null"
"360","null","null","null","1.2287956","1.8927102","0.24670593"
"363","null","null","null","1.3185902","1.9263068","0.16790664"
"366","-4.1723537","-1.019227","5.1323977","null","null","null"
"367","null","null","null","1.4010545","1.9611251","0.11109784"
"368","null","null","null","1.4774104","1.9892241","0.08605311"
"370","null","null","null","1.5329976","2.0020518","0.08788565"
"371","-5.1186175","-0.66026497","5.548246","null","null","null"
"373","null","null","null","1.5641508","1.9959434","0.115373775"
