"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.037108973","-0.19035527","-0.120413266"
"1","0.49529544","1.2213669","-1.4335301","null","null","null"
"1","null","null","null","-0.03771982","-0.18241426","-0.11491564"
"4","null","null","null","-0.040774055","-0.1750841","-0.10819632"
"4","0.2790851","1.1215334","-1.3310959","null","null","null"
"6","null","null","null","-0.0413849","-0.17997088","-0.10514209"
"8","null","null","null","-0.0413849","-0.19096613","-0.101477005"
"9","0.22142637","1.0181932","-1.4307528","null","null","null"
"11","null","null","null","-0.043217443","-0.1982963","-0.098422766"
"14","null","null","null","-0.045049984","-0.19035527","-0.09475768"
"14","0.49423733","1.0045967","-1.6377759","null","null","null"
"15","null","null","null","-0.048104223","-0.1854685","-0.09048175"
"18","null","null","null","-0.046271678","-0.18485765","-0.08620582"
"19","0.37602386","0.9036827","-1.5383182","null","null","null"
"22","null","null","null","-0.047493376","-0.18424681","-0.08437328"
"25","null","null","null","-0.04566083","-0.18913358","-0.08437328"
"25","0.36576262","0.799304","-1.4880316","null","null","null"
"26","null","null","null","-0.04688253","-0.19768545","-0.08192989"
"32","null","null","null","-0.051158458","-0.20196137","-0.07704311"
"32","0.5113347","0.726099","-1.5979276","null","null","null"
"33","null","null","null","-0.055434387","-0.2062373","-0.07459972"
"36","null","null","null","-0.056045234","-0.21417832","-0.07765396"
"36","0.51116043","0.6493025","-1.7958696","null","null","null"
"36","null","null","null","-0.057266932","-0.21662171","-0.09048175"
"39","null","null","null","-0.052991","-0.21112408","-0.10392039"
"39","0.8448329","0.5762367","-1.89676","null","null","null"
"42","null","null","null","-0.052991","-0.21295662","-0.10880717"
"45","null","null","null","-0.049936764","-0.23624517","-0.1130831"
"45","1.1477168","0.4459486","-1.8458736","null","null","null"
"47","null","null","null","-0.049325917","-0.29305398","-0.1246892"
"48","null","null","null","-0.05787778","-0.33825666","-0.1350736"
"48","1.203078","0.37441635","-2.3893251","null","null","null"
"51","null","null","null","-0.07070557","-0.32542887","-0.13934954"
"53","null","null","null","-0.08353336","-0.28266957","-0.13446276"
"53","1.4982116","0.5142851","-2.9824047","null","null","null"
"56","null","null","null","-0.09086353","-0.24235365","-0.12407835"
"60","null","null","null","-0.09758285","-0.21540001","-0.11491564"
"60","0.80526567","0.3763466","-2.0590425","null","null","null"
"61","null","null","null","-0.10491302","-0.21051323","-0.1130831"
"63","null","null","null","-0.109188944","-0.21051323","-0.11613733"
"63","0.5328138","0.1822052","-2.1058023","null","null","null"
"65","null","null","null","-0.11407573","-0.21234578","-0.114304796"
"68","null","null","null","-0.115908265","-0.2178434","-0.11796988"
"69","0.80109286","0.15796661","-2.4283218","null","null","null"
"70","null","null","null","-0.11468657","-0.22456272","-0.1259109"
"72","null","null","null","-0.11468657","-0.22517358","-0.12896512"
"73","0.8833488","0.08715153","-2.5209212","null","null","null"
"75","null","null","null","-0.11102149","-0.22395188","-0.13263021"
"77","null","null","null","-0.106745556","-0.23319094","-0.13201937"
"78","0.8780632","-2.3174286E-4","-2.4439046","null","null","null"
"81","null","null","null","-0.10246963","-0.27717194","-0.13324106"
"83","null","null","null","-0.103691325","-0.31504446","-0.13201937"
"83","0.8390093","-0.039614677","-2.623222","null","null","null"
"85","null","null","null","-0.106745556","-0.29305398","-0.12774344"
"87","null","null","null","-0.11163234","-0.2521272","-0.12896512"
"88","0.83695835","0.035731316","-3.0554466","null","null","null"
"90","null","null","null","-0.10430217","-0.21967594","-0.1338519"
"93","null","null","null","-0.09513946","-0.21845426","-0.13079767"
"93","0.45861825","-0.117240906","-2.2428856","null","null","null"
"95","null","null","null","-0.08964183","-0.24113196","-0.122856654"
"98","null","null","null","-0.08964183","-0.25273806","-0.11735903"
"99","0.5061121","-0.13840389","-2.4707847","null","null","null"
"99","null","null","null","-0.09269607","-0.24662958","-0.107585475"
"102","null","null","null","-0.09208523","-0.23868857","-0.098422766"
"102","0.5757961","0.11297417","-3.0413861","null","null","null"
"105","null","null","null","-0.087809294","-0.24113196","-0.09414683"
"107","null","null","null","-0.078035735","-0.26312247","-0.08742751"
"107","0.65804297","0.23382282","-3.010359","null","null","null"
"110","null","null","null","-0.07314896","-0.28755635","-0.08192989"
"112","null","null","null","-0.072538115","-0.2765611","-0.07459972"
"112","0.8930078","0.37615013","-3.1209583","null","null","null"
"114","null","null","null","-0.069483876","-0.26678753","-0.06482617"
"119","null","null","null","-0.06398625","-0.26312247","-0.05688515"
"119","1.0003242","0.5613909","-2.960276","null","null","null"
"120","null","null","null","-0.054212693","-0.27106348","-0.048944138"
"122","null","null","null","-0.049325917","-0.28205872","-0.045279052"
"122","1.0987349","0.5995207","-2.9176612","null","null","null"
"125","null","null","null","-0.043217443","-0.2936648","-0.04161397"
"127","null","null","null","-0.038330667","-0.30404922","-0.03672719"
"127","1.3567038","0.6939297","-3.1757262","null","null","null"
"129","null","null","null","-0.03283304","-0.32237464","-0.03489465"
"132","null","null","null","-0.025502874","-0.34314343","-0.037338037"
"133","1.5647485","0.76207066","-3.3599362","null","null","null"
"134","null","null","null","-0.018783553","-0.3645231","-0.041003123"
"138","null","null","null","-0.012064233","-0.38223767","-0.044057358"
"139","1.9318134","0.83271885","-3.4334323","null","null","null"
"139","null","null","null","-0.0053449133","-0.396898","-0.050165832"
"142","null","null","null","0.003206948","-0.4164451","-0.058717694"
"143","2.2134585","0.8162203","-3.4334285","null","null","null"
"144","null","null","null","0.012369657","-0.43354884","-0.06604786"
"147","null","null","null","0.023975754","-0.45065257","-0.07276718"
"148","2.355879","0.8143816","-3.4427345","null","null","null"
"149","null","null","null","0.033749312","-0.46958882","-0.082540736"
"151","null","null","null","0.04535541","-0.49829865","-0.08926006"
"152","2.43937","0.811676","-3.4829674","null","null","null"
"154","null","null","null","0.06306998","-0.5404471","-0.100866154"
"157","2.505841","0.8189249","-3.5770142","null","null","null"
"157","null","null","null","0.06673507","-0.54472303","-0.114304796"
"159","null","null","null","0.06673507","-0.54166883","-0.12713258"
"161","null","null","null","0.06795676","-0.54533386","-0.13812783"
"162","2.5627344","0.91351986","-3.5921488","null","null","null"
"164","null","null","null","0.07040015","-0.55388576","-0.14973393"
"166","null","null","null","0.07162184","-0.55388576","-0.16378342"
"167","2.5373049","0.88494873","-3.6576557","null","null","null"
"169","null","null","null","0.0697893","-0.5471664","-0.1778329"
"171","null","null","null","0.07040015","-0.5471664","-0.19432579"
"172","2.5571077","0.84329796","-3.6835654","null","null","null"
"174","null","null","null","0.07284354","-0.5532749","-0.21204035"
"177","null","null","null","0.07040015","-0.55632913","-0.23219831"
"178","2.6470857","0.8460188","-3.589957","null","null","null"
"179","null","null","null","0.07345438","-0.56549186","-0.25479966"
"182","2.8032596","0.84883595","-3.482225","null","null","null"
"182","null","null","null","0.07406523","-0.5740437","-0.27923355"
"184","null","null","null","0.07101099","-0.5795413","-0.30244574"
"186","null","null","null","0.069178455","-0.58381724","-0.32749048"
"186","2.8759236","0.8301487","-3.3098955","null","null","null"
"188","null","null","null","0.06734591","-0.5868715","-0.35314608"
"191","null","null","null","0.06429167","-0.5825956","-0.37635827"
"191","2.6940088","0.7887764","-3.0670238","null","null","null"
"194","null","null","null","0.06062659","-0.58076304","-0.3989596"
"196","null","null","null","0.055739813","-0.5813739","-0.42278266"
"196","2.3439922","0.6386061","-2.8706908","null","null","null"
"198","null","null","null","0.04902049","-0.58076304","-0.44355148"
"201","null","null","null","0.041079476","-0.58442813","-0.4630986"
"201","1.8717474","0.34859657","-2.687118","null","null","null"
"204","null","null","null","0.027640838","-0.58381724","-0.4826457"
"206","null","null","null","0.01175881","-0.5819847","-0.5021928"
"207","1.2739853","-0.14103699","-2.5575705","null","null","null"
"208","null","null","null","-0.009620844","-0.5752654","-0.5192965"
"211","0.65722775","-0.8864536","-2.4167202","null","null","null"
"211","null","null","null","-0.031611346","-0.5661027","-0.5376219"
"214","null","null","null","-0.055434387","-0.5435014","-0.55472565"
"216","null","null","null","-0.078035735","-0.5160132","-0.5687752"
"217","0.057108074","-1.8408022","-2.0777736","null","null","null"
"218","null","null","null","-0.09636115","-0.48791423","-0.5822138"
"222","null","null","null","-0.116519116","-0.4512634","-0.59809583"
"222","-0.4678678","-3.0707026","-1.4216938","null","null","null"
"224","null","null","null","-0.1281252","-0.42194274","-0.6121453"
"226","null","null","null","-0.12201674","-0.41155833","-0.6249731"
"226","-0.89736056","-4.351961","-0.56940985","null","null","null"
"228","null","null","null","-0.11224318","-0.39201123","-0.63841176"
"231","null","null","null","-0.08903099","-0.41339087","-0.64879614"
"231","-1.2977736","-5.6193705","0.3572743","null","null","null"
"233","null","null","null","-0.058488626","-0.4237753","-0.65673715"
"236","null","null","null","-0.035887275","-0.4005631","-0.6555155"
"236","-1.5104313","-6.8079987","1.0568327","null","null","null"
"238","null","null","null","-0.017561859","-0.35963634","-0.64085513"
"241","null","null","null","0.007482879","-0.31626618","-0.61886466"
"241","-2.249932","-6.964079","1.6496813","null","null","null"
"248","null","null","null","0.03436016","-0.27900448","-0.59809583"
"249","-3.018743","-6.80247","2.0875149","null","null","null"
"249","null","null","null","0.066124216","-0.23380178","-0.5736619"
"250","null","null","null","0.1021642","-0.18730104","-0.549228"
"251","-3.2833629","-5.652652","2.3554997","null","null","null"
"251","null","null","null","0.13759334","-0.15553698","-0.5211291"
"253","null","null","null","0.17607673","-0.14820682","-0.4942518"
"255","null","null","null","0.20967332","-0.13476817","-0.4698179"
"256","-3.2922008","-3.6604757","2.3137708","null","null","null"
"258","null","null","null","0.24082653","-0.12132954","-0.4478274"
"260","null","null","null","0.26526043","-0.10911259","-0.42766944"
"261","-2.9777896","-1.2013693","1.9023116","null","null","null"
"263","null","null","null","0.28236416","-0.088954635","-0.40751147"
"265","null","null","null","0.2921377","-0.06513159","-0.38613182"
"266","-2.6982973","0.74815273","1.6057839","null","null","null"
"268","null","null","null","0.29641363","-0.043751936","-0.36536303"
"272","null","null","null","0.290916","-0.024204822","-0.34642676"
"272","-2.5565643","1.9803267","1.4492192","null","null","null"
"273","null","null","null","0.2817533","-0.01137703","-0.3262688"
"275","null","null","null","0.26892552","-0.012598725","-0.30611083"
"276","-2.5055416","2.6356006","1.238704","null","null","null"
"279","null","null","null","0.25243264","-0.021761434","-0.28717458"
"282","null","null","null","0.23960483","-0.04741702","-0.26762745"
"282","-2.4584825","2.862811","1.0297909","null","null","null"
"282","null","null","null","0.22372282","-0.08040277","-0.24808034"
"286","null","null","null","0.20906247","-0.11888615","-0.22608984"
"287","-2.308333","2.829875","1.0388918","null","null","null"
"287","null","null","null","0.19623469","-0.15859123","-0.20776442"
"290","null","null","null","0.18585028","-0.19890714","-0.18699561"
"291","-2.1005056","2.580227","1.2260809","null","null","null"
"292","null","null","null","0.17913096","-0.23807772","-0.16378342"
"295","null","null","null","0.17546588","-0.27350685","-0.13568445"
"295","-1.8718026","2.2768927","1.6288668","null","null","null"
"298","null","null","null","0.17607673","-0.30649263","-0.106974624"
"300","null","null","null","0.1809635","-0.33398074","-0.076432265"
"300","-1.7044431","1.8663416","2.2474809","null","null","null"
"302","null","null","null","0.19195876","-0.36146885","-0.047111593"
"305","null","null","null","0.20722993","-0.388957","-0.015958386"
"305","-1.5314354","1.3525553","2.8810844","null","null","null"
"307","null","null","null","0.23044212","-0.41827765","0.012140589"
"311","null","null","null","0.2585411","-0.43904647","0.039628714"
"311","-1.1927377","0.8017225","3.45323","null","null","null"
"312","null","null","null","0.29030517","-0.45431766","0.06589515"
"315","null","null","null","0.32939938","-0.4616478","0.09827005"
"315","-0.7726342","0.21892357","4.008486","null","null","null"
"317","null","null","null","0.37032616","-0.45309594","0.12820157"
"322","null","null","null","0.41186377","-0.432938","0.15874393"
"323","-0.54056597","-0.4828987","4.644166","null","null","null"
"323","null","null","null","0.45950985","-0.404839","0.18623206"
"325","null","null","null","0.50654507","-0.36879903","0.21310934"
"325","-0.3727371","-1.2628479","5.240138","null","null","null"
"327","null","null","null","0.55358034","-0.3309265","0.23754323"
"329","null","null","null","0.60061556","-0.2869455","0.26014456"
"330","-0.19791026","-2.0407372","5.605053","null","null","null"
"333","null","null","null","0.6476508","-0.24296449","0.2796917"
"340","null","null","null","0.6959077","-0.1982963","0.29313034"
"340","-0.09923568","-2.7807503","5.769078","null","null","null"
"340","null","null","null","0.7392779","-0.15126105","0.30656898"
"340","0.059084114","-3.3360043","5.742317","null","null","null"
"340","null","null","null","0.78020465","-0.10605835","0.31573167"
"342","null","null","null","0.8217423","-0.06696413","0.31756422"
"344","null","null","null","0.8565606","-0.034589227","0.31451"
"344","0.12083657","-3.6901445","5.5517178","null","null","null"
"347","null","null","null","0.88893545","-0.001603474","0.30595812"
"349","null","null","null","0.9200887","0.028328042","0.29496288"
"353","null","null","null","0.9463551","0.059481252","0.28274593"
"353","0.2635424","-3.6642847","5.0510426","null","null","null"
"354","null","null","null","0.97262156","0.092467","0.26991814"
"355","0.1938322","-3.373828","4.5998497","null","null","null"
"356","null","null","null","0.99216866","0.12056598","0.25831205"
"359","null","null","null","1.0141592","0.14744325","0.24548425"
"360","-0.05208835","-2.973486","4.2033486","null","null","null"
"361","null","null","null","1.030652","0.17615308","0.23387815"
"364","null","null","null","1.0483667","0.19814359","0.2216612"
"364","-0.36989766","-2.5364313","3.7111983","null","null","null"
"366","null","null","null","1.0581402","0.22135578","0.21249849"
"370","null","null","null","1.066692","0.24334627","0.20577917"
"371","-0.7388098","-2.0521193","3.1169324","null","null","null"
"372","null","null","null","1.0709679","0.2641151","0.20028155"
"374","null","null","null","1.0776873","0.28427303","0.19661646"
"374","-1.1380153","-1.5924788","2.4630675","null","null","null"
"376","null","null","null","1.0819632","0.31053948","0.19172968"
"379","null","null","null","1.0862391","0.33741677","0.18562122"
"381","-1.4180467","-1.2591228","1.9960423","null","null","null"
"381","null","null","null","1.0935693","0.36246148","0.17706935"
"384","null","null","null","1.0978452","0.38750622","0.16790664"
"384","-1.514785","-1.0052519","1.6617754","null","null","null"
"386","null","null","null","1.0996778","0.4064425","0.15385716"
"389","null","null","null","1.1033429","0.43026555","0.14041851"
