"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.14886928","-0.044794083","0.25081134","null","null","null"
"5","null","null","null","-0.021150587","0.08635853","-0.024968382"
"7","null","null","null","-0.01137703","0.090634465","-0.025579229"
"8","null","null","null","-0.004046863","0.09124531","-0.026190076"
"9","null","null","null","-0.001603474","0.0936887","-0.026800923"
"10","null","null","null","-9.926268E-4","0.09185616","-0.02741177"
"16","0.10194519","-0.026576042","0.50045246","null","null","null"
"17","null","null","null","-0.003436016","0.092467","-0.029244313"
"19","0.12197876","0.015241623","0.17349756","null","null","null"
"21","null","null","null","-0.0052685575","0.092467","-0.02985516"
"22","0.11344454","0.012761116","-0.11296368","null","null","null"
"23","null","null","null","-0.008322794","0.09124531","-0.030466007"
"24","null","null","null","-0.009544488","0.08880192","-0.028633466"
"25","0.0776422","-0.0027780533","-0.13129938","null","null","null"
"25","null","null","null","-0.010766183","0.08819107","-0.029244313"
"26","null","null","null","-0.012598725","0.086969376","-0.029244313"
"26","null","null","null","-0.013209572","0.08635853","-0.029244313"
"27","0.046911955","0.0102825165","-0.08551419","null","null","null"
"27","null","null","null","-0.013820419","0.08513684","-0.02741177"
"28","0.023516178","6.7424774E-4","-0.040144086","null","null","null"
"28","null","null","null","-0.013209572","0.083915144","-0.028633466"
"29","null","null","null","-0.013820419","0.08574768","-0.026800923"
"31","null","null","null","-0.014431266","0.08330429","-0.026800923"
"32","0.03230846","-0.015981674","-0.017735243","null","null","null"
"32","null","null","null","-0.013209572","0.08330429","-0.02741177"
"37","null","null","null","-0.012598725","0.080860905","-0.02741177"
"38","0.023266017","-0.014683723","-0.01682806","null","null","null"
"39","null","null","null","-0.013820419","0.07902836","-0.028022617"
"42","null","null","null","-0.01137703","0.07780667","-0.02741177"
"43","0.040452063","8.506775E-4","-0.024231195","null","null","null"
"45","null","null","null","-0.010766183","0.07597413","-0.028022617"
"45","null","null","null","-0.013820419","0.074752435","-0.02741177"
"46","0.05395329","-0.0051116943","-0.03987491","null","null","null"
"47","null","null","null","-0.016263809","0.07353074","-0.02741177"
"50","null","null","null","-0.01809635","0.071698196","-0.028022617"
"51","0.047178924","-0.006304741","-0.05918598","null","null","null"
"53","null","null","null","-0.021150587","0.06986566","-0.029244313"
"55","null","null","null","-0.02481567","0.064978875","-0.028633466"
"55","0.058358043","-0.0051488876","-0.12491822","null","null","null"
"56","null","null","null","-0.033367533","0.060702946","-0.026800923"
"60","0.010024756","-0.014782906","-0.27272034","null","null","null"
"60","null","null","null","-0.04191939","0.058259558","-0.026190076"
"62","null","null","null","-0.045584477","0.058870405","-0.026800923"
"64","null","null","null","-0.046195325","0.059481252","-0.028022617"
"65","-0.03311202","-0.011328697","-0.44461036","null","null","null"
"66","null","null","null","-0.040697698","0.06253549","-0.028022617"
"70","null","null","null","-0.030924143","0.06620057","-0.029244313"
"70","0.0665836","-0.013773918","-0.08870518","null","null","null"
"74","null","null","null","-0.022372281","0.06742226","-0.029244313"
"74","0.10372478","0.00527668","0.35525393","null","null","null"
"75","null","null","null","-0.01565296","0.06925481","-0.029244313"
"77","null","null","null","-0.012598725","0.06925481","-0.028022617"
"81","null","null","null","-0.01137703","0.06986566","-0.028633466"
"81","0.059785306","0.02777195","0.3281412","null","null","null"
"82","null","null","null","-0.011987877","0.06925481","-0.02985516"
"84","null","null","null","-0.011987877","0.06864396","-0.030466007"
"85","0.042419434","0.035840034","0.054341555","null","null","null"
"86","null","null","null","-0.013820419","0.06681142","-0.029244313"
"89","null","null","null","-0.015042114","0.06681142","-0.029244313"
"89","0.034665078","0.04026413","-0.09740186","null","null","null"
"93","null","null","null","-0.017485503","0.064978875","-0.028633466"
"95","null","null","null","-0.017485503","0.06192464","-0.028633466"
"95","0.006787598","0.037506104","-0.090151906","null","null","null"
"97","null","null","null","-0.01565296","0.061313793","-0.026190076"
"100","null","null","null","-0.017485503","0.0600921","-0.026800923"
"100","-0.01025784","0.025276184","-0.05562234","null","null","null"
