"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.02611372","0.07666133","-0.034054734"
"6","0.16955936","-0.014053345","0.18019211","null","null","null"
"8","null","null","null","0.026724568","0.08154811","-0.037108973"
"9","null","null","null","0.027946262","0.08460235","-0.040163208"
"11","null","null","null","0.028557109","0.08826743","-0.04199575"
"12","0.16709653","-0.002002716","0.14642078","null","null","null"
"13","null","null","null","0.028557109","0.088878274","-0.044439137"
"15","null","null","null","0.029778805","0.089489125","-0.04382829"
"16","0.10158718","0.004012108","0.12119371","null","null","null"
"17","null","null","null","0.031000499","0.089489125","-0.045049984"
"21","null","null","null","0.031000499","0.09132166","-0.046271678"
"22","0.025863871","0.0052318573","0.078280926","null","null","null"
"23","null","null","null","0.031611346","0.09071082","-0.04566083"
"25","-0.039711535","0.0076322556","0.01428622","null","null","null"
"26","null","null","null","0.033443887","0.08765658","-0.045049984"
"26","null","null","null","0.034054734","0.08582404","-0.04566083"
"27","null","null","null","0.034054734","0.0839915","-0.045049984"
"27","-0.10472636","-0.016098022","0.0017985702","null","null","null"
"30","null","null","null","0.035887275","0.0827698","-0.045049984"
"33","null","null","null","0.036498122","0.079715565","-0.04382829"
"34","-0.17982611","-0.015882492","-0.020180047","null","null","null"
"42","null","null","null","0.038330667","0.07666133","-0.043217443"
"43","-0.2233487","-0.025155067","-0.033808112","null","null","null"
"43","-0.25091246","-0.056892395","-0.027296662","null","null","null"
"43","null","null","null","0.040163208","0.07666133","-0.042606596"
"44","null","null","null","0.042606596","0.072996244","-0.040774055"
"44","null","null","null","0.042606596","0.06933116","-0.038941514"
"44","null","null","null","0.042606596","0.06933116","-0.03955236"
"47","null","null","null","0.043217443","0.06872032","-0.038941514"
"47","-0.29245558","-0.08717632","0.004075587","null","null","null"
"49","null","null","null","0.044439137","0.06810947","-0.03955236"
"51","null","null","null","0.04566083","0.06627693","-0.038941514"
"52","-0.3004072","-0.10058212","0.036274254","null","null","null"
"54","null","null","null","0.04566083","0.06688777","-0.038941514"
"56","null","null","null","0.04566083","0.06688777","-0.03955236"
"57","-0.2809889","-0.08538532","0.043246508","null","null","null"
"59","null","null","null","0.046271678","0.06872032","-0.03955236"
