"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.2576629","0.0022554398","-0.33618617","null","null","null"
"4","null","null","null","0.19211146","-0.6436039","-0.25235626"
"5","null","null","null","0.18844637","-0.6668161","-0.26274067"
"9","null","null","null","0.1835596","-0.6894175","-0.27251422"
"12","0.23627913","-0.015193939","-0.321221","null","null","null"
"13","null","null","null","0.1847813","-0.7126297","-0.28595287"
"13","0.29353815","0.013965607","-0.17472225","null","null","null"
"14","null","null","null","0.18417045","-0.7340093","-0.29633728"
"15","null","null","null","0.18294875","-0.7505022","-0.30488914"
"16","null","null","null","0.18233791","-0.76638424","-0.3146627"
"16","0.32754236","-0.00356102","0.028962135","null","null","null"
"17","null","null","null","0.18233791","-0.78165543","-0.32199287"
"21","null","null","null","0.18050537","-0.7926507","-0.32993388"
"22","0.30597085","-0.049775124","0.004034877","null","null","null"
"23","null","null","null","0.18172707","-0.80608934","-0.3354315"
"25","0.3291666","-0.061273575","0.06407809","null","null","null"
"26","null","null","null","0.18233791","-0.8164737","-0.34153998"
"27","null","null","null","0.18294875","-0.82563645","-0.34520507"
"31","null","null","null","0.1847813","-0.83724254","-0.3482593"
"32","0.3658176","-0.07993317","0.33217692","null","null","null"
"33","null","null","null","0.18600298","-0.84884864","-0.35009184"
"34","null","null","null","0.18600298","-0.86045474","-0.35131353"
"35","0.42404968","-0.13562393","0.28204072","null","null","null"
"38","null","null","null","0.18539214","-0.8696174","-0.35070267"
"41","null","null","null","0.18661384","-0.8806127","-0.35314608"
"42","0.5431835","-0.20317554","0.1817671","null","null","null"
"43","null","null","null","0.18783553","-0.8909971","-0.35314608"
"44","0.76744646","-0.28020573","0.43330395","null","null","null"
"45","null","null","null","0.19211146","-0.9001598","-0.3562003"
"47","null","null","null","0.19577655","-0.9117659","-0.35925454"
"51","null","null","null","0.19883078","-0.9197069","-0.36047623"
"52","1.0418394","-0.34640026","0.54141784","null","null","null"
"52","null","null","null","0.20249587","-0.92703706","-0.3598654"
"56","1.238229","-0.50099087","0.42969668","null","null","null"
"57","null","null","null","0.20493926","-0.92642623","-0.36230877"
"58","null","null","null","0.2043284","-0.92948043","-0.36169794"
"60","null","null","null","0.20616095","-0.9288696","-0.3586437"
"61","1.3698165","-0.67090416","0.5608469","null","null","null"
"62","null","null","null","0.2055501","-0.9252045","-0.35558945"
"66","null","null","null","0.20188501","-0.9184852","-0.35131353"
"67","1.4579668","-0.8584833","0.7383175","null","null","null"
"67","null","null","null","0.193944","-0.9081008","-0.34764844"
"71","null","null","null","0.18905723","-0.89160794","-0.3445942"
"72","1.5792983","-1.0218096","0.59089386","null","null","null"
"73","null","null","null","0.18417045","-0.8757259","-0.34276167"
"75","1.736393","-1.1800642","0.6391325","null","null","null"
"76","null","null","null","0.17928366","-0.8574005","-0.34276167"
"76","null","null","null","0.17439689","-0.83235574","-0.33848575"
"79","1.8706205","-1.3153238","0.9126711","null","null","null"
"79","null","null","null","0.17012095","-0.80670017","-0.33726403"
"81","null","null","null","0.16584504","-0.7767686","-0.3366532"
"84","null","null","null","0.16217995","-0.74439377","-0.3378749"
"85","1.9882336","-1.481431","0.9294491","null","null","null"
"87","null","null","null","0.15729317","-0.71140796","-0.33909658"
"89","null","null","null","0.15607147","-0.67658967","-0.34276167"
"91","2.0667787","-1.5934801","0.90861106","null","null","null"
"94","2.1746807","-1.6264772","1.0645366","null","null","null"
"95","null","null","null","0.15607147","-0.6417714","-0.3470376"
"96","null","null","null","0.15668233","-0.6081748","-0.3519244"
"98","null","null","null","0.16095825","-0.5782433","-0.3586437"
"99","null","null","null","0.16645588","-0.5525877","-0.36597386"
"100","2.2654386","-1.6463184","0.96700066","null","null","null"
"104","null","null","null","0.1719535","-0.52876467","-0.37513658"
"104","null","null","null","0.18172707","-0.50799584","-0.38613182"
"105","2.3643696","-1.6303396","0.76486987","null","null","null"
"107","null","null","null","0.19027892","-0.48844874","-0.39712706"
"109","2.5015578","-1.5558939","0.92597294","null","null","null"
"111","null","null","null","0.19883078","-0.463404","-0.40995488"
"112","null","null","null","0.20738265","-0.44202435","-0.42400435"
"115","null","null","null","0.2171562","-0.4206447","-0.43683216"
"115","2.588671","-1.4039268","0.8628316","null","null","null"
"116","null","null","null","0.22631891","-0.3962108","-0.4478274"
"119","null","null","null","0.23731416","-0.3717769","-0.45393586"
"120","2.6219015","-1.2020206","0.78504187","null","null","null"
"121","null","null","null","0.24769856","-0.34795386","-0.46126604"
"124","null","null","null","0.25563958","-0.32596338","-0.46493113"
"125","2.5315647","-1.0315123","1.0297815","null","null","null"
"126","null","null","null","0.26174805","-0.30152947","-0.46615282"
"129","2.389133","-0.86481667","0.85275304","null","null","null"
"130","null","null","null","0.26968905","-0.279539","-0.46676368"
"131","null","null","null","0.27824092","-0.2538834","-0.46554196"
"136","2.268544","-0.67801666","0.96596366","null","null","null"
"136","null","null","null","0.28679278","-0.22822781","-0.4637094"
"136","null","null","null","0.2959555","-0.20379391","-0.4594335"
"142","null","null","null","0.30572906","-0.18241426","-0.45760095"
"142","2.1863062","-0.45798874","1.119273","null","null","null"
"142","null","null","null","0.31611344","-0.15859123","-0.4557684"
"145","null","null","null","0.32894126","-0.14332004","-0.45454672"
"146","2.2153885","-0.21793652","1.1059682","null","null","null"
"147","null","null","null","0.33932567","-0.13232478","-0.45637926"
"151","null","null","null","0.3515426","-0.12499462","-0.45760095"
"152","2.2745266","0.08873081","1.2419863","null","null","null"
"152","null","null","null","0.36070532","-0.123162076","-0.46004435"
"155","null","null","null","0.36925718","-0.12804885","-0.4630986"
"156","2.2979634","0.4332552","1.0499724","null","null","null"
"157","null","null","null","0.37536564","-0.13171394","-0.46554196"
"158","2.2019863","0.7462826","1.066833","null","null","null"
"159","null","null","null","0.37964156","-0.14026581","-0.46554196"
"160","null","null","null","0.38452834","-0.15492614","-0.4637094"
"164","1.9887064","1.0003834","0.8521296","null","null","null"
"165","null","null","null","0.38636088","-0.17202985","-0.46065518"
"166","null","null","null","0.38636088","-0.1866902","-0.45515758"
"169","1.6770936","1.204031","0.8996208","null","null","null"
"169","null","null","null","0.3875826","-0.20501561","-0.44965994"
"170","null","null","null","0.38636088","-0.22089764","-0.44294062"
"176","null","null","null","0.3851392","-0.23555797","-0.43316707"
"177","1.408119","1.3943644","0.80592924","null","null","null"
"177","null","null","null","0.3814741","-0.25205085","-0.4209501"
"178","null","null","null","0.37597647","-0.26487863","-0.40567893"
"179","1.0903972","1.5833826","0.7981149","null","null","null"
"180","null","null","null","0.36925718","-0.2813715","-0.38918605"
"185","null","null","null","0.36070532","-0.2966427","-0.3702498"
"185","0.7127962","1.781867","0.7286801","null","null","null"
"186","null","null","null","0.3515426","-0.31313556","-0.35314608"
"188","0.47137374","2.0208998","0.7038519","null","null","null"
"189","null","null","null","0.3399365","-0.32596338","-0.33482066"
"193","null","null","null","0.3307738","-0.34001285","-0.31527355"
"194","null","null","null","0.31855685","-0.3522298","-0.2951156"
"194","0.345495","2.2478218","0.7533601","null","null","null"
"195","null","null","null","0.30817243","-0.367501","-0.27373594"
"198","null","null","null","0.29656634","-0.38216132","-0.2541888"
"198","0.27870947","2.4363384","0.81369925","null","null","null"
"200","null","null","null","0.28862533","-0.39254573","-0.23403086"
"203","0.40241453","2.5398436","0.96640384","null","null","null"
"204","null","null","null","0.28251687","-0.39926505","-0.20898612"
"205","null","null","null","0.27579755","-0.40048674","-0.1778329"
"208","null","null","null","0.273965","-0.4010976","-0.14484715"
"208","0.37126222","2.7616625","1.2427409","null","null","null"
"210","null","null","null","0.27640837","-0.39926505","-0.11125056"
"217","null","null","null","0.27824092","-0.3974325","-0.08192989"
"218","0.24262969","2.8182545","1.6288322","null","null","null"
"218","null","null","null","0.281906","-0.3949891","-0.04833329"
"218","0.6299474","2.794695","2.0027404","null","null","null"
"218","null","null","null","0.2831277","-0.39315656","-0.014736691"
"220","null","null","null","0.28496024","-0.3870481","0.01641652"
"223","null","null","null","0.28496024","-0.37727454","0.050013117"
"223","1.0687301","2.6384907","2.2196822","null","null","null"
"225","null","null","null","0.28373855","-0.36566845","0.08544226"
"227","null","null","null","0.2831277","-0.3522298","0.11781716"
"228","1.5898504","2.3725405","2.3932517","null","null","null"
"229","null","null","null","0.28007346","-0.33329353","0.14102936"
"232","2.1880786","2.1906624","2.4839785","null","null","null"
"233","null","null","null","0.28129515","-0.3070271","0.16546325"
"235","null","null","null","0.27824092","-0.2734305","0.19295138"
"237","null","null","null","0.27946264","-0.2386122","0.21372019"
"237","2.8251984","1.8428812","2.6557977","null","null","null"
"240","null","null","null","0.2831277","-0.19646375","0.22593713"
"242","null","null","null","0.28740364","-0.14820682","0.24181916"
"242","3.2498932","1.6222954","2.8671336","null","null","null"
"245","null","null","null","0.29290125","-0.08956548","0.25220355"
"248","null","null","null","0.30328566","-0.032145835","0.2577012"
"248","3.777377","1.4797039","3.0727928","null","null","null"
"250","null","null","null","0.31367007","0.031993125","0.2656422"
"252","4.222702","1.3444519","3.297096","null","null","null"
"253","null","null","null","0.32649785","0.09735378","0.26747474"
"255","null","null","null","0.3387148","0.16271444","0.2656422"
"257","4.342638","1.3599863","3.3224585","null","null","null"
"258","null","null","null","0.34726667","0.22631891","0.26686388"
"259","null","null","null","0.35459682","0.29229042","0.26747474"
"262","null","null","null","0.36070532","0.35887277","0.26625305"
"263","4.4316506","1.3946352","3.1439166","null","null","null"
"264","null","null","null","0.36131614","0.42301172","0.2577012"
"267","4.389881","1.4890442","2.8854952","null","null","null"
"268","null","null","null","0.36009446","0.4871507","0.2540361"
"270","null","null","null","0.35704023","0.5464029","0.2540361"
"272","4.254083","1.5630693","2.4189222","null","null","null"
"272","null","null","null","0.35276428","0.60687673","0.2540361"
"276","null","null","null","0.34604496","0.6691832","0.250371"
"277","3.9289212","1.7195587","2.1267447","null","null","null"
"277","null","null","null","0.34054735","0.7321004","0.24548425"
"280","null","null","null","0.3319955","0.79196346","0.24181916"
"282","null","null","null","0.32344362","0.845718","0.23876493"
"283","3.709984","1.7719088","1.8292036","null","null","null"
"284","null","null","null","0.3167243","0.9074136","0.234489"
"288","null","null","null","0.31244838","0.97155255","0.23021306"
"289","3.3962893","1.7943583","1.4965261","null","null","null"
"289","null","null","null","0.3087833","1.0405782","0.22654797"
"292","3.0513167","1.834755","1.3226895","null","null","null"
"293","null","null","null","0.3063399","1.1089932","0.22349374"
"295","null","null","null","0.3008423","1.1835166","0.21677442"
"299","null","null","null","0.2959555","1.2562073","0.20639002"
"300","2.6132348","1.9217567","0.947515","null","null","null"
"302","null","null","null","0.29290125","1.3307308","0.19661646"
"302","2.350328","1.8687849","0.52193487","null","null","null"
"303","null","null","null","0.28801447","1.4046433","0.18439952"
"308","null","null","null","0.28373855","1.4748907","0.17096087"
"309","2.037749","1.7238274","0.022052884","null","null","null"
"310","null","null","null","0.27885178","1.5488032","0.16118732"
