"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.008093726","-0.042377528","-0.016569233"
"2","null","null","null","0.009926268","-0.042377528","-0.016569233"
"2","0.012691498","0.021856308","0.052768245","null","null","null"
"3","null","null","null","0.009315421","-0.042988375","-0.01718008"
"6","null","null","null","0.008704574","-0.04176668","-0.01718008"
"7","-0.008371711","0.02654171","0.032630533","null","null","null"
"8","null","null","null","0.009315421","-0.03993414","-0.017790927"
"10","-0.004347682","-0.0056085587","0.031662077","null","null","null"
"11","null","null","null","0.009315421","-0.0381016","-0.01718008"
"14","null","null","null","0.009315421","-0.036879905","-0.01718008"
"15","null","null","null","0.009315421","-0.036879905","-0.01718008"
"16","0.003216505","-0.009003639","0.05089602","null","null","null"
"18","null","null","null","0.008704574","-0.036269058","-0.016569233"
"21","null","null","null","0.009315421","-0.036269058","-0.016569233"
"22","-0.0034986734","-0.002878189","0.03556326","null","null","null"
"23","null","null","null","0.009926268","-0.036879905","-0.015347538"
"25","null","null","null","0.008093726","-0.039323293","-0.015958386"
"26","-0.035042644","-0.0039310455","0.027468525","null","null","null"
"28","null","null","null","0.006872032","-0.04359922","-0.014736691"
"30","-0.024713278","-0.0073604584","-0.014851466","null","null","null"
"31","null","null","null","0.003206948","-0.04909685","-0.014125843"
"33","null","null","null","-0.0029015245","-0.052151084","-0.013514996"
"35","null","null","null","-0.009620844","-0.056427017","-0.0104607595"
"36","-0.036904573","-0.015532494","-0.071771964","null","null","null"
"37","null","null","null","-0.0151184695","-0.0600921","-0.0098499125"
"40","null","null","null","-0.020616096","-0.0600921","-0.0092390645"
"41","-0.070242286","-0.002295494","-0.10515648","null","null","null"
"42","null","null","null","-0.024281178","-0.060702946","-0.0086282175"
"45","null","null","null","-0.024892027","-0.060702946","-0.0080173705"
"46","-0.047451615","-0.009361267","-0.0085597485","null","null","null"
"47","null","null","null","-0.02367033","-0.06314634","-0.0080173705"
"50","null","null","null","-0.020005248","-0.06436803","-0.0080173705"
"50","0.025022864","-0.011620522","0.07521166","null","null","null"
"52","null","null","null","-0.018172706","-0.064978875","-0.0086282175"
"54","null","null","null","-0.0151184695","-0.06620057","-0.0080173705"
"55","0.038713694","-0.017416","0.15684204","null","null","null"
"57","null","null","null","-0.0132859275","-0.06620057","-0.0080173705"
"60","null","null","null","-0.010842538","-0.06620057","-0.007406523"
"61","0.040448427","-0.02553749","0.19127703","null","null","null"
"63","null","null","null","-0.009620844","-0.064978875","-0.0080173705"
"65","null","null","null","-0.009009997","-0.06314634","-0.006795676"
"66","0.016065478","-0.021720886","0.16595647","null","null","null"
"68","null","null","null","-0.0077883024","-0.060702946","-0.0061848285"
"71","0.012135029","-0.023880005","0.13958365","null","null","null"
"72","null","null","null","-0.006566608","-0.0600921","-0.0055739814"
"72","null","null","null","-0.005955761","-0.058870405","-0.0061848285"
"76","-0.010757923","-0.03195381","0.11570403","null","null","null"
"76","null","null","null","-0.0035123718","-0.05764871","-0.0055739814"
"78","null","null","null","-0.0029015245","-0.057037864","-0.004352287"
"81","null","null","null","-0.00167983","-0.057037864","-0.004352287"
"81","-0.047634125","-0.036409378","0.10022621","null","null","null"
"82","null","null","null","1.5271181E-4","-0.05276193","-0.0031305922"
"85","null","null","null","7.635591E-4","-0.050318543","-0.0019088977"
"86","-0.073437214","-0.04677391","0.10377738","null","null","null"
"86","null","null","null","0.0019852535","-0.04665346","-0.0031305922"
"90","null","null","null","0.0025961008","-0.042377528","-0.002519745"
"91","-0.058683753","-0.022622108","0.12625231","null","null","null"
"92","null","null","null","0.0025961008","-0.039323293","-0.0012980504"
"96","-0.04637456","-0.010550499","0.08920163","null","null","null"
"96","null","null","null","0.003206948","-0.036269058","-0.0019088977"
"96","null","null","null","0.004428643","-0.03565821","-0.0019088977"
"101","null","null","null","0.0056503373","-0.033825666","-7.635591E-5"
