"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.07406523","0.06566608","0.027029991"
"8","null","null","null","-0.072232686","0.06872032","0.026419144"
"10","-0.04475701","-0.1558981","0.22536522","null","null","null"
"11","null","null","null","-0.0697893","0.07116371","0.02519745"
"13","null","null","null","-0.066124216","0.07482879","0.023364907"
"14","-0.03345585","-0.13399696","0.19347107","null","null","null"
"16","null","null","null","-0.062459134","0.07666133","0.022143213"
"17","null","null","null","-0.06001574","0.07727218","0.020921519"
"18","-0.019732118","-0.12300491","0.15618634","null","null","null"
"19","null","null","null","-0.055128966","0.07666133","0.019088976"
"20","-0.00599277","-0.096720695","0.124335885","null","null","null"
"22","null","null","null","-0.051463883","0.07666133","0.018478129"
"23","null","null","null","-0.04963134","0.07788303","0.017867282"
"24","0.007721901","-0.06949997","0.071636975","null","null","null"
"24","null","null","null","-0.045966256","0.07666133","0.016034741"
"25","null","null","null","-0.042301174","0.07605048","0.015423893"
"26","null","null","null","-0.03863609","0.073607095","0.014202199"
"27","0.010733366","-0.05679226","-4.3600798E-4","null","null","null"
"29","null","null","null","-0.037414394","0.0723854","0.014202199"
"32","null","null","null","-0.035581853","0.06994201","0.012369657"
"33","0.007846594","-0.044215202","-0.064563274","null","null","null"
"34","null","null","null","-0.033749312","0.06810947","0.013591352"
"36","0.012092233","-0.018696785","-0.1279347","null","null","null"
"37","null","null","null","-0.03191677","0.06383354","0.012980504"
"38","null","null","null","-0.030695075","0.06139015","0.012369657"
"41","0.0127978325","0.031516075","-0.14667338","null","null","null"
"42","null","null","null","-0.029473381","0.05955761","0.011147963"
"44","null","null","null","-0.028862532","0.05650337","0.010537115"
"46","null","null","null","-0.027029991","0.05283829","0.009926268"
"47","4.9483776E-4","0.08010292","-0.16391313","null","null","null"
"49","null","null","null","-0.027640838","0.049784053","0.012369657"
"53","null","null","null","-0.027640838","0.04795151","0.012369657"
"54","0.002422452","0.11999607","-0.15719688","null","null","null"
"54","null","null","null","-0.026419144","0.04550812","0.01175881"
"55","0.0043171644","0.17142105","-0.14088422","null","null","null"
"56","null","null","null","-0.024586603","0.040621344","0.012980504"
"59","null","null","null","-0.023364907","0.0387888","0.013591352"
"60","null","null","null","-0.023975754","0.035123717","0.012980504"
"60","-0.005735159","0.1998663","-0.124562204","null","null","null"
"63","null","null","null","-0.023364907","0.032069482","0.01175881"
"66","null","null","null","-0.022143213","0.027182704","0.012980504"
"66","0.013994932","0.236372","-0.09401804","null","null","null"
"68","null","null","null","-0.021532366","0.022906773","0.01175881"
"70","null","null","null","-0.022143213","0.021685077","0.012980504"
"72","0.018107891","0.24764252","-0.07192379","null","null","null"
"73","null","null","null","-0.022143213","0.019241689","0.012369657"
"76","null","null","null","-0.021532366","0.016187452","0.01175881"
"76","0.010316849","0.24219704","-0.058279455","null","null","null"
"77","null","null","null","-0.021532366","0.010689827","0.012980504"
"80","null","null","null","-0.020921519","0.008246438","0.012980504"
"81","0.0060851574","0.21068954","-0.028021157","null","null","null"
"83","null","null","null","-0.020921519","0.008246438","0.012369657"
"86","null","null","null","-0.020310672","0.006413896","0.014813046"
"86","-0.017139554","0.16757679","-0.01695937","null","null","null"
"88","null","null","null","-0.020310672","0.003970507","0.014813046"
"90","null","null","null","-0.020310672","-0.0015271181","0.013591352"
"91","-0.04733956","0.11177158","0.01901263","null","null","null"
"93","null","null","null","-0.020921519","-0.0015271181","0.014813046"
"96","null","null","null","-0.020310672","-0.00335966","0.014813046"
"96","-0.0595212","0.06712246","0.022654593","null","null","null"
"98","null","null","null","-0.020921519","-0.003970507","0.014202199"
"100","null","null","null","-0.020921519","-0.003970507","0.014202199"
"100","-0.07276404","0.028775215","0.0013383031","null","null","null"
"104","null","null","null","-0.020310672","-0.0070247436","0.013591352"
"105","null","null","null","-0.020921519","-0.0051922016","0.01175881"
"106","-0.05971551","0.0026025772","-0.025700986","null","null","null"
"108","null","null","null","-0.020310672","-0.0070247436","0.011147963"
"110","null","null","null","-0.020310672","-0.0070247436","0.008093726"
"111","-0.062066555","0.0015449524","-0.022814512","null","null","null"
"113","null","null","null","-0.022143213","-0.0051922016","0.008093726"
"116","null","null","null","-0.021532366","-0.0027488125","0.0062611843"
"116","-0.054777622","0.011162758","-0.04616946","null","null","null"
"118","null","null","null","-0.020921519","3.0542363E-4","0.0062611843"
"119","null","null","null","-0.022143213","0.003970507","0.00503949"
"120","-0.061704516","0.028993607","-0.053942263","null","null","null"
"123","null","null","null","-0.021532366","0.0070247436","0.0038177953"
"126","null","null","null","-0.019699825","0.010689827","0.0038177953"
"126","-0.09577072","0.0668354","-0.055737197","null","null","null"
"128","null","null","null","-0.020921519","0.014354911","0.004428643"
"130","null","null","null","-0.020921519","0.018019995","0.0025961008"
"130","-0.092717886","0.111483574","-0.0718472","null","null","null"
"134","null","null","null","-0.020921519","0.022295926","0.0025961008"
"135","-0.11571014","0.16879845","-0.074787796","null","null","null"
"135","null","null","null","-0.018478129","0.026571855","0.0013744063"
"137","null","null","null","-0.019088976","0.029626092","7.635591E-4"
"140","null","null","null","-0.018478129","0.03268033","0.0013744063"
"141","-0.12657726","0.21137905","-0.101466894","null","null","null"
"144","null","null","null","-0.016645588","0.03634541","-4.5813544E-4"
"145","-0.12299132","0.2286501","-0.11483616","null","null","null"
"145","null","null","null","-0.017256435","0.037567105","-0.00167983"
"148","null","null","null","-0.014202199","0.040010497","-0.00167983"
"150","-0.12885821","0.2326994","-0.1196934","null","null","null"
"151","null","null","null","-0.013591352","0.044897273","-0.0029015245"
"153","null","null","null","-0.013591352","0.046118967","-0.0035123718"
"155","null","null","null","-0.011147963","0.049173206","-0.0022906773"
"155","-0.14056754","0.21296215","-0.11855325","null","null","null"
"158","null","null","null","-0.008093726","0.05283829","-0.004123219"
"160","null","null","null","-0.0062611843","0.055281676","-0.0047340663"
"161","-0.14377904","0.18030167","-0.101807415","null","null","null"
"169","null","null","null","-0.0038177953","0.055892523","-0.0047340663"
"169","-0.16002691","0.13247013","-0.07431662","null","null","null"
"170","null","null","null","-7.635591E-4","0.05833591","-0.0035123718"
"170","null","null","null","0.00167983","0.060779303","-0.0029015245"
"171","null","null","null","0.0035123718","0.06322269","-0.0010689828"
"171","-0.17029059","0.09928894","-0.04568422","null","null","null"
"173","null","null","null","0.005955761","0.064444385","-0.00167983"
"175","null","null","null","0.009620844","0.067498624","-0.00167983"
"176","-0.17453599","0.039069176","7.225871E-4","null","null","null"
"177","null","null","null","0.01267508","0.06872032","-0.0010689828"
"180","null","null","null","0.014507622","0.070552856","1.5271181E-4"
"180","-0.18472803","0.017332077","0.024426937","null","null","null"
"183","null","null","null","0.016951011","0.07177455","1.5271181E-4"
"188","null","null","null","0.018783553","0.0723854","7.635591E-4"
"189","null","null","null","0.020005248","0.07116371","0.0025961008"
"189","-0.204368","-0.020845413","0.03624165","null","null","null"
"190","-0.2168665","-0.02782154","0.03740722","null","null","null"
"190","null","null","null","0.021226943","0.0723854","0.004428643"
"194","null","null","null","0.023059484","0.0723854","0.00503949"
"196","null","null","null","0.024281178","0.07177455","0.004428643"
"196","-0.22219491","-0.04541874","0.03989184","null","null","null"
"198","null","null","null","0.025502874","0.07177455","0.00503949"
"200","null","null","null","0.027946262","0.06933116","0.00503949"
"200","-0.2013824","-0.047445297","0.050824225","null","null","null"
"203","null","null","null","0.028557109","0.06810947","0.00503949"
"204","null","null","null","0.027335415","0.06872032","0.004428643"
"204","-0.18785763","-0.06014347","0.06649256","null","null","null"
"208","null","null","null","0.027335415","0.06688777","0.0056503373"
"209","null","null","null","0.029167956","0.067498624","0.004428643"
"209","-0.14122558","-0.054927826","0.055941045","null","null","null"
