"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.020539738","-0.0020616094","-0.020387027"
"3","-0.103054285","-0.011967659","-0.05678937","null","null","null"
"5","null","null","null","-0.020539738","-2.2906772E-4","-0.020997874"
"6","null","null","null","-0.019928891","-2.2906772E-4","-0.021608721"
"7","-0.10081601","-0.025147438","-0.06961371","null","null","null"
"9","null","null","null","-0.020539738","0.0022143214","-0.020387027"
"11","null","null","null","-0.019318044","0.004046863","-0.021608721"
"11","-0.08315241","-0.051273346","-0.059824154","null","null","null"
"12","null","null","null","-0.018707197","0.003436016","-0.023441264"
"14","-0.062176347","-0.0498991","-0.06912398","null","null","null"
"15","null","null","null","-0.021150587","0.005879405","-0.022830416"
"18","null","null","null","-0.023593975","0.0052685575","-0.022219568"
"20","null","null","null","-0.024204822","0.008933641","-0.022830416"
"21","-0.06865084","-0.0639658","-0.07818475","null","null","null"
"22","null","null","null","-0.026648212","0.01137703","-0.022830416"
"25","null","null","null","-0.028480753","0.012598725","-0.020997874"
"26","-0.090479136","-0.061294556","-0.100103736","null","null","null"
"28","null","null","null","-0.03153499","0.014431266","-0.020387027"
"30","null","null","null","-0.032756682","0.01565296","-0.020387027"
"30","-0.121552825","-0.07169056","-0.106224015","null","null","null"
"31","null","null","null","-0.03642177","0.016263809","-0.020997874"
"35","-0.11322546","-0.05589485","-0.077665895","null","null","null"
"36","null","null","null","-0.037643462","0.019318044","-0.020997874"
"37","null","null","null","-0.04008685","0.018707197","-0.019165333"
"39","-0.12979627","-0.052084923","-0.0788403","null","null","null"
"39","null","null","null","-0.04191939","0.017485503","-0.018554486"
"41","null","null","null","-0.04314109","0.016874656","-0.016721943"
"44","null","null","null","-0.043751936","0.014431266","-0.016111096"
"45","-0.14492619","-0.04709816","-0.07155655","null","null","null"
"46","null","null","null","-0.043751936","0.010155336","-0.015500249"
"49","-0.120664","-0.039761543","-0.061896652","null","null","null"
"50","null","null","null","-0.04253024","0.0052685575","-0.013667707"
"52","null","null","null","-0.04253024","-2.2906772E-4","-0.01305686"
"54","null","null","null","-0.04191939","-0.003283304","-0.011835165"
"54","-0.11667633","-0.028903008","-0.05582817","null","null","null"
"57","null","null","null","-0.03825431","-0.01305686","-0.011224318"
"58","null","null","null","-0.03825431","-0.01977618","-0.011835165"
"59","-0.09367311","-0.032369614","-0.054601848","null","null","null"
"61","null","null","null","-0.037643462","-0.024662958","-0.011835165"
"63","-0.07206738","-0.03343773","-0.049759388","null","null","null"
"64","null","null","null","-0.037032615","-0.030160584","-0.012446013"
"69","null","null","null","-0.034589227","-0.03749075","-0.012446013"
"70","null","null","null","-0.032756682","-0.04176668","-0.011224318"
"70","-0.051802993","-0.014310837","-0.03432651","null","null","null"
"73","null","null","null","-0.030924143","-0.047264308","-0.011224318"
"75","null","null","null","-0.029702447","-0.05092939","-0.010613471"
"75","-0.04352653","-0.02026081","-0.009589791","null","null","null"
"78","null","null","null","-0.030313294","-0.055205323","-0.008780929"
"80","-0.032837868","-0.024950981","0.004282251","null","null","null"
"81","null","null","null","-0.028480753","-0.057037864","-0.008780929"
"81","null","null","null","-0.02725906","-0.0600921","-0.010002624"
"84","-0.029400349","-0.026049614","0.0013072193","null","null","null"
"84","null","null","null","-0.025426516","-0.058259558","-0.009391776"
"86","null","null","null","-0.024204822","-0.052151084","-0.010613471"
"91","null","null","null","-0.01809635","-0.03565821","-0.014278554"
"91","-0.0059535503","-0.008167267","0.049008697","null","null","null"
"92","null","null","null","-0.01565296","-0.015500249","-0.014889402"
"96","0.012431383","0.038043976","0.2761112","null","null","null"
"96","null","null","null","-0.013820419","-0.003283304","-0.013667707"
"96","null","null","null","-0.01565296","0.005879405","-0.012446013"
"99","-0.07257962","0.0126571655","0.2067212","null","null","null"
"100","null","null","null","-0.016263809","0.0290916","-0.013667707"
"102","null","null","null","-0.018707197","0.056579728","-0.013667707"
"105","-0.154482","0.030225754","0.19586729","null","null","null"
"105","null","null","null","-0.02481567","0.07673769","-0.009391776"
"108","null","null","null","-0.030924143","0.09017633","-0.005726693"
"111","null","null","null","-0.037643462","0.098117344","-0.0026724567"
"111","-0.28642774","0.013282776","0.08689414","null","null","null"
"111","null","null","null","-0.04253024","0.10361496","9.926268E-4"
"114","null","null","null","-0.044362783","0.10239327","0.001603474"
"115","-0.2555828","-0.008221626","-0.044568837","null","null","null"
"116","null","null","null","-0.044362783","0.09994988","0.003436016"
"118","null","null","null","-0.044362783","0.09872819","0.004046863"
"119","-0.19994938","0.03813839","-0.015789017","null","null","null"
"121","null","null","null","-0.041308545","0.09384141","0.0071010995"
"123","null","null","null","-0.038865156","0.08956548","0.008322794"
"124","-0.17663836","0.0497303","0.02805841","null","null","null"
"128","null","null","null","-0.035200074","0.08101362","0.010766183"
"128","null","null","null","-0.032145835","0.07062922","0.011987877"
"129","-0.17589033","0.0387125","0.047653854","null","null","null"
"132","null","null","null","-0.029702447","0.05780142","0.013820419"
"134","null","null","null","-0.025426516","0.04314109","0.01809635"
"135","-0.14642048","-0.005402565","5.71385E-4","null","null","null"
"137","null","null","null","-0.022372281","0.029702447","0.019318044"
"137","-0.124121666","-0.027741432","-0.05327116","null","null","null"
"138","null","null","null","-0.019928891","0.01565296","0.019928891"
"140","null","null","null","-0.017485503","0.0022143214","0.019928891"
"143","null","null","null","-0.015042114","-0.008780929","0.020539738"
"144","-0.06753051","-0.030890465","-0.08646117","null","null","null"
"148","null","null","null","-0.013209572","-0.01733279","0.021150587"
"149","-0.022035837","-0.031625748","-0.090908006","null","null","null"
"150","null","null","null","-0.01137703","-0.022830416","0.021150587"
"153","null","null","null","-0.008933641","-0.027717194","0.021761434"
"153","null","null","null","-0.008933641","-0.029549737","0.021761434"
"154","0.013620257","-0.032346725","-0.07046354","null","null","null"
"157","null","null","null","-0.008322794","-0.030160584","0.022983128"
"158","0.025323749","-0.04254055","-0.06443165","null","null","null"
"158","null","null","null","-0.009544488","-0.027717194","0.024204822"
"160","null","null","null","-0.010766183","-0.024662958","0.023593975"
"163","null","null","null","-0.012598725","-0.018554486","0.024204822"
"164","0.03456354","-0.05027485","-0.056018084","null","null","null"
"166","null","null","null","-0.01565296","-0.011835165","0.02481567"
"168","0.06749773","-0.03894806","-0.072527364","null","null","null"
"168","null","null","null","-0.016263809","-0.005726693","0.02481567"
"171","null","null","null","-0.01809635","-8.39915E-4","0.024204822"
"173","null","null","null","-0.019928891","0.004046863","0.022983128"
"174","0.08584607","-0.031291008","-0.05561827","null","null","null"
"175","null","null","null","-0.021150587","0.008933641","0.022372281"
"177","null","null","null","-0.024204822","0.013820419","0.021761434"
"178","0.105146766","-0.030837059","-0.06607585","null","null","null"
"180","null","null","null","-0.025426516","0.016263809","0.021761434"
