"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.3959115","0.7999401","0.5633645","null","null","null"
"4","null","null","null","0.60015744","0.21478917","-0.24395712"
"5","null","null","null","0.60932016","0.207459","-0.24517882"
"6","0.41458365","0.83345985","0.52860755","null","null","null"
"7","null","null","null","0.609931","0.19035527","-0.2500656"
"8","null","null","null","0.6050442","0.1738624","-0.2500656"
"9","null","null","null","0.6026008","0.16714308","-0.24884391"
"10","0.6495648","0.81183815","-0.037843715","null","null","null"
"12","null","null","null","0.60687673","0.17813833","-0.24456798"
"15","null","null","null","0.60443336","0.20073968","-0.24273543"
"16","0.6968613","0.7662306","-0.22948717","null","null","null"
"17","null","null","null","0.59771407","0.22456272","-0.23784865"
"20","null","null","null","0.5873296","0.24960746","-0.23418356"
"21","0.7756123","0.7827587","-0.15007916","null","null","null"
"23","null","null","null","0.5775561","0.279539","-0.22929679"
"30","0.8512227","0.75136757","-0.3938969","null","null","null"
"31","null","null","null","0.56961507","0.31008133","-0.22318831"
"32","null","null","null","0.55739814","0.33940202","-0.21463646"
"33","0.8498427","0.6302891","-0.2895425","null","null","null"
"34","null","null","null","0.5402944","0.36933354","-0.20791714"
"35","null","null","null","0.52135813","0.39926505","-0.19936527"
"36","null","null","null","0.50242186","0.4322508","-0.19203511"
"36","0.7249793","0.47345924","-0.4561861","null","null","null"
"37","null","null","null","0.48653984","0.46401486","-0.1828724"
"40","null","null","null","0.4743229","0.49028128","-0.17554224"
"40","0.6358557","0.35625458","-0.51594585","null","null","null"
"41","null","null","null","0.46699274","0.51227176","-0.1700446"
"44","null","null","null","0.4651602","0.52754295","-0.16760121"
"45","0.5175568","0.24872398","-0.28805906","null","null","null"
"46","null","null","null","0.46638188","0.5373165","-0.16271444"
"49","0.38201421","0.1496439","-0.040243","null","null","null"
"49","null","null","null","0.4694361","0.54342496","-0.15599512"
"51","null","null","null","0.47493374","0.54403585","-0.15110834"
"55","null","null","null","0.47859883","0.54037076","-0.14499986"
"56","0.17670687","0.0542078","0.10638735","null","null","null"
"56","null","null","null","0.48531815","0.5379274","-0.1388914"
"60","null","null","null","0.49387002","0.5336514","-0.13461547"
"61","0.043986067","-0.07944107","0.16852891","null","null","null"
"61","null","null","null","0.5005893","0.5293755","-0.12911785"
"63","-0.02828747","-0.1627922","0.22863653","null","null","null"
"64","null","null","null","0.50975204","0.5269321","-0.12545276"
"67","null","null","null","0.5128063","0.5263213","-0.121176824"
"71","null","null","null","0.5201364","0.5257104","-0.11690089"
"71","-0.08327411","-0.19232082","0.20324233","null","null","null"
"71","null","null","null","0.5311317","0.52021277","-0.10957073"
"76","null","null","null","0.54151607","0.5110501","-0.10101887"
"76","-0.17215954","-0.20278263","0.23311093","null","null","null"
"76","null","null","null","0.5543439","0.5055525","-0.09307785"
"80","-0.20027971","-0.08422184","0.32275876","null","null","null"
"81","null","null","null","0.5671717","0.50005484","-0.08269345"
"81","null","null","null","0.57999945","0.49272466","-0.074141584"
"84","-0.2047599","-0.011364937","0.29153827","null","null","null"
"85","null","null","null","0.59160554","0.48783788","-0.06620057"
"94","null","null","null","0.60076827","0.48111856","-0.05764871"
"94","-0.14619054","-0.021209717","0.22835666","null","null","null"
"94","null","null","null","0.609931","0.47439924","-0.047875155"
"94","null","null","null","0.6190937","0.47439924","-0.0381016"
"95","null","null","null","0.6252022","0.47317755","-0.030160584"
"95","-0.10467533","-0.053875923","0.2218337","null","null","null"
"96","null","null","null","0.63192147","0.47012332","-0.022219568"
"100","null","null","null","0.6368083","0.46096063","-0.011224318"
"100","-0.0671114","-0.13802433","0.08563614","null","null","null"
"102","null","null","null","0.63925165","0.4517979","-0.0026724567"
"104","-0.064582884","-0.27717113","-0.16315961","null","null","null"
"105","null","null","null","0.645971","0.45057622","0.0046577104"
"106","null","null","null","0.64963603","0.44996536","0.008933641"
"110","0.012574241","-0.3756113","-0.21835431","null","null","null"
"111","null","null","null","0.6526903","0.45240876","0.01137703"
"111","null","null","null","0.653912","0.45607382","0.014431266"
"114","null","null","null","0.6526903","0.45912808","0.01809635"
"115","0.17490229","-0.4441433","-0.40031683","null","null","null"
"116","null","null","null","0.6533011","0.46401486","0.020539738"
"118","0.29552406","-0.46247768","-0.49482298","null","null","null"
"119","null","null","null","0.65574455","0.4737884","0.021761434"
"121","null","null","null","0.6655181","0.48600534","0.021761434"
"123","null","null","null","0.67529166","0.49761146","0.017485503"
"124","0.406511","-0.41399765","-0.3867417","null","null","null"
"127","null","null","null","0.6844544","0.51288265","0.015042114"
"132","null","null","null","0.69361705","0.52387786","0.015042114"
"133","0.48503506","-0.35499668","-0.33467782","null","null","null"
"133","null","null","null","0.70216894","0.5367057","0.013820419"
"133","null","null","null","0.70888823","0.54709005","0.01565296"
"134","0.5193864","-0.31895828","-0.3121747","null","null","null"
"136","null","null","null","0.7192727","0.55442023","0.01809635"
"137","null","null","null","0.7266028","0.56358296","0.019928891"
"138","0.5074309","-0.308259","-0.44474334","null","null","null"
"141","null","null","null","0.7345438","0.57091314","0.018707197"
"142","null","null","null","0.7406523","0.5757999","0.019928891"
"143","0.5745681","-0.25710964","-0.43199313","null","null","null"
"146","null","null","null","0.7443174","0.579465","0.017485503"
"155","null","null","null","0.74553907","0.5837409","0.018707197"
"155","0.5914845","-0.1918354","-0.5092518","null","null","null"
"156","null","null","null","0.74920416","0.58557343","0.019928891"
"156","0.58947796","-0.06462574","-0.5615213","null","null","null"
"156","null","null","null","0.749815","0.587406","0.020539738"
"157","null","null","null","0.74920416","0.58557343","0.021761434"
"157","null","null","null","0.7467608","0.57396734","0.026037365"
"159","0.57217705","0.034805298","-0.5789453","null","null","null"
"161","null","null","null","0.7443174","0.56358296","0.028480753"
"162","null","null","null","0.73759806","0.54403585","0.03581092"
"163","0.5062498","0.0754385","-0.6342438","null","null","null"
"170","null","null","null","0.73332214","0.52082366","0.04191939"
"171","0.43498","0.084872246","-0.6960604","null","null","null"
"172","null","null","null","0.7266028","0.4970006","0.0510821"
"173","null","null","null","0.72049433","0.47562096","0.05971032"
"173","null","null","null","0.7119425","0.455463","0.06765133"
"175","0.30948117","0.055994034","-0.6399423","null","null","null"
"175","null","null","null","0.7040015","0.43347248","0.078035735"
"179","null","null","null","0.69361705","0.41331452","0.08597675"
"180","0.22072771","0.037895203","-0.62245923","null","null","null"
"183","null","null","null","0.68689775","0.3986542","0.094528615"
"184","0.13398658","-0.048340797","-0.5718883","null","null","null"
"188","null","null","null","0.6771242","0.38888064","0.103080474"
"189","null","null","null","0.67162657","0.38093963","0.11224318"
"192","0.024233602","-0.14286995","-0.4801066","null","null","null"
"193","null","null","null","0.6679615","0.37788537","0.11957335"
"193","-0.066811144","-0.2409277","-0.37969035","null","null","null"
"193","null","null","null","0.6642964","0.37666368","0.12507097"
"193","null","null","null","0.6600205","0.37605286","0.1317903"
"195","null","null","null","0.65513366","0.37971792","0.13606623"
"197","null","null","null","0.65085775","0.37788537","0.14278555"
"197","-0.13084945","-0.3293438","-0.4235891","null","null","null"
"200","null","null","null","0.64291674","0.37727454","0.15194826"
"202","null","null","null","0.63558656","0.37788537","0.15805672"
"203","-0.2753147","-0.40690804","-0.60783577","null","null","null"
"205","null","null","null","0.625813","0.38093963","0.16721943"
"208","null","null","null","0.6172612","0.3846047","0.1757713"
"208","-0.38525835","-0.46642494","-0.8172748","null","null","null"
"209","null","null","null","0.60809845","0.3949891","0.18249062"
"213","null","null","null","0.59771407","0.4053735","0.19104248"
"213","-0.4152669","-0.49475574","-0.9454475","null","null","null"
"215","null","null","null","0.5879405","0.41514707","0.19959435"
"217","null","null","null","0.5745019","0.43163994","0.20448112"
"217","-0.42877245","-0.5230007","-1.0114181","null","null","null"
"220","null","null","null","0.5586198","0.44874367","0.2081462"
"223","null","null","null","0.54151607","0.46401486","0.21181129"
"223","-0.38900504","-0.5965195","-1.1140623","null","null","null"
"225","null","null","null","0.5238015","0.47928604","0.21669807"
"227","null","null","null","0.5066978","0.49211383","0.2197523"
"228","-0.33310843","-0.69011307","-1.2567253","null","null","null"
"229","null","null","null","0.4883724","0.4970006","0.22402823"
"232","null","null","null","0.47004697","0.50127655","0.22708246"
"233","-0.2971112","-0.8037367","-1.3018229","null","null","null"
"235","null","null","null","0.45477578","0.50921756","0.23074755"
"236","-0.18895535","-0.88838863","-1.372922","null","null","null"
"237","null","null","null","0.44500223","0.51593685","0.23441264"
"240","null","null","null","0.43706122","0.51960194","0.23685603"
"243","-0.071005836","-0.9011507","-1.2303479","null","null","null"
"243","null","null","null","0.4315636","0.52448875","0.23868857"
"246","null","null","null","0.4278985","0.5336514","0.24113196"
"247","0.08656355","-0.9067278","-1.0349307","null","null","null"
"247","null","null","null","0.42545512","0.5501443","0.23991026"
"249","null","null","null","0.42301172","0.57396734","0.23502348"
"253","0.30130488","-0.87047386","-0.8741441","null","null","null"
"254","null","null","null","0.42056835","0.60206634","0.228915"
"255","null","null","null","0.41812494","0.6326087","0.22341739"
"257","null","null","null","0.41568157","0.6625402","0.21791977"
"257","0.577896","-0.8474302","-0.7706367","null","null","null"
"259","null","null","null","0.41201648","0.69247174","0.21181129"
"262","0.76084787","-0.82322216","-0.7230744","null","null","null"
"262","null","null","null","0.40896225","0.7230141","0.20631365"
"265","null","null","null","0.4071297","0.7529456","0.1977618"
"266","0.96606785","-0.7990446","-0.71467304","null","null","null"
"267","null","null","null","0.40285376","0.78165543","0.18982078"
"269","null","null","null","0.39979953","0.8048676","0.18004723"
"272","null","null","null","0.39796698","0.8268581","0.17088452"
"272","1.151475","-0.76651955","-0.67722154","null","null","null"
"274","null","null","null","0.39796698","0.8476269","0.16233265"
"277","null","null","null","0.39979953","0.8641198","0.15500249"
"278","1.3111212","-0.71135426","-0.63733745","null","null","null"
"278","null","null","null","0.39979953","0.8769476","0.14645062"
"282","1.4617287","-0.68021774","-0.5556896","null","null","null"
"283","null","null","null","0.40224293","0.8909971","0.13850962"
"284","null","null","null","0.4071297","0.8977164","0.12995775"
"289","null","null","null","0.41201648","0.89832723","0.12201674"
"290","1.6019862","-0.6480236","-0.5055611","null","null","null"
"291","null","null","null","0.41445985","0.9001598","0.11529742"
"297","null","null","null","0.41568157","0.89832723","0.110410646"
"297","1.7786026","-0.6518135","-0.55015635","null","null","null"
"299","1.9138596","-0.75965977","-0.6497346","null","null","null"
"299","null","null","null","0.41568157","0.89160794","0.10613471"
"300","null","null","null","0.41812494","0.87755847","0.100637086"
"300","null","null","null","0.4187358","0.86045474","0.09636115"
"301","null","null","null","0.4187358","0.8378534","0.09208523"
"302","1.9885305","-0.88774395","-0.8245882","null","null","null"
"304","null","null","null","0.41568157","0.81036526","0.08903099"
"307","2.0133772","-1.0240259","-1.0479853","null","null","null"
"308","null","null","null","0.4107948","0.78165543","0.084755056"
"309","null","null","null","0.40224293","0.7462263","0.081700824"
"312","1.9680629","-1.1731882","-1.326583","null","null","null"
"313","null","null","null","0.39246938","0.7089646","0.07986828"
"314","null","null","null","0.38208497","0.66925955","0.07925743"
"317","null","null","null","0.36681378","0.62955445","0.07742489"
"318","1.8826339","-1.3052654","-1.7113968","null","null","null"
"319","null","null","null","0.34971005","0.58313006","0.07681404"
"320","null","null","null","0.3271087","0.5336514","0.078646585"
"320","1.7798226","-1.3508215","-2.0689998","null","null","null"
"324","null","null","null","0.30328566","0.48356196","0.08047912"
"328","1.608346","-1.3827772","-2.4454556","null","null","null"
"328","null","null","null","0.27579755","0.43041825","0.08292252"
"329","null","null","null","0.2495311","0.37666368","0.09147438"
"331","null","null","null","0.22815146","0.3265742","0.100637086"
"331","1.4046016","-1.3581018","-2.826329","null","null","null"
"333","null","null","null","0.20921518","0.28076068","0.11102149"
"336","null","null","null","0.19211146","0.243499","0.12507097"
"337","1.196607","-1.195674","-2.9647062","null","null","null"
"337","null","null","null","0.17928366","0.21540001","0.140953"
"340","null","null","null","0.17134266","0.1958529","0.15622419"
"341","0.9742943","-1.0153456","-2.905703","null","null","null"
"343","null","null","null","0.16706672","0.1854685","0.17516045"
"346","null","null","null","0.16828842","0.18363595","0.19531842"
"347","0.8159777","-0.8280544","-2.7077432","null","null","null"
"347","null","null","null","0.17561859","0.18913358","0.21425468"
"350","null","null","null","0.18294875","0.20379391","0.23441264"
"351","0.75306857","-0.7224598","-2.3921962","null","null","null"
"353","null","null","null","0.18966807","0.22089764","0.2545706"
"356","null","null","null","0.1847813","0.23739052","0.27350685"
"356","0.7246767","-0.63745975","-2.11203","null","null","null"
"358","null","null","null","0.16951011","0.25144","0.29549736"
"361","null","null","null","0.14751962","0.2618244","0.31993124"
"361","0.7811244","-0.6647854","-2.3257637","null","null","null"
"363","null","null","null","0.12491827","0.2746522","0.34314343"
"365","1.0311023","-0.89023876","-2.8395185","null","null","null"
"366","null","null","null","0.102316916","0.2966427","0.35963634"
"367","null","null","null","0.07482879","0.31924406","0.37002072"
"370","1.5463672","-1.1173925","-2.9853268","null","null","null"
"371","null","null","null","0.04359922","0.33940202","0.3749075"
"375","null","null","null","0.015500249","0.35100812","0.3749075"
"376","1.9776441","-1.3952103","-3.1389456","null","null","null"
"377","null","null","null","-0.01137703","0.3558949","0.3761292"
"377","null","null","null","-0.037032615","0.35833827","0.37918344"
"381","null","null","null","-0.060855657","0.35100812","0.37796175"
"382","2.0068297","-1.8181343","-3.1261387","null","null","null"
"382","null","null","null","-0.082235314","0.3381803","0.37857258"
"385","1.8229032","-2.1828022","-2.964263","null","null","null"
"385","null","null","null","-0.10239327","0.3198549","0.3773509"
"388","null","null","null","-0.12071869","0.29603186","0.37674004"
"390","null","null","null","-0.13721156","0.27037627","0.3736858"
"391","1.650634","-2.4259796","-2.8021107","null","null","null"
"392","null","null","null","-0.15675868","0.243499","0.36818817"
"395","null","null","null","-0.17447324","0.21845426","0.35963634"
"396","1.6533304","-2.496396","-2.7102435","null","null","null"
"397","null","null","null","-0.19768545","0.1958529","0.3504736"
"400","null","null","null","-0.22517358","0.1750841","0.3400892"
"402","1.8424568","-2.4467802","-2.6905208","null","null","null"
"403","null","null","null","-0.25693762","0.16042376","0.32970482"
"407","null","null","null","-0.29358846","0.15003936","0.31809872"
"407","2.0240908","-2.3404942","-2.7228508","null","null","null"
"415","null","null","null","-0.33512607","0.1414875","0.30588177"
"416","null","null","null","-0.38155046","0.13049224","0.2936648"
"417","null","null","null","-0.43041825","0.12132954","0.27900448"
"417","2.1743052","-2.2013597","-2.7966614","null","null","null"
"418","2.3335326","-2.0304956","-2.8920488","null","null","null"
"419","null","null","null","-0.48356196","0.10850175","0.2625116"
"419","null","null","null","-0.5379274","0.0962848","0.24479704"
