"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.20264858","-0.105371155","-0.0077883024"
"10","0.4398631","-0.15632248","-0.21721998","null","null","null"
"12","null","null","null","0.1965401","-0.10048437","-0.010842538"
"13","null","null","null","0.19226417","-0.09743014","-0.012064233"
"15","0.4222604","-0.16409779","-0.3044417","null","null","null"
"16","null","null","null","0.18676655","-0.09193251","-0.014507622"
"17","null","null","null","0.18065807","-0.08704574","-0.017561859"
"18","0.41055477","-0.14451122","-0.36795923","null","null","null"
"19","null","null","null","0.17210622","-0.08154811","-0.018172706"
"19","null","null","null","0.16294351","-0.07788303","-0.023059484"
"20","0.39995122","-0.12151241","-0.45519271","null","null","null"
"21","null","null","null","0.15194826","-0.073607095","-0.026724568"
"21","null","null","null","0.1421747","-0.07177455","-0.030389652"
"22","0.41282773","-0.0998888","-0.54554534","null","null","null"
"22","null","null","null","0.1293469","-0.06933116","-0.03466558"
"23","null","null","null","0.116519116","-0.06810947","-0.037108973"
"23","0.3884679","-0.060616493","-0.6197967","null","null","null"
"26","null","null","null","0.103080474","-0.06688777","-0.040774055"
"29","null","null","null","0.08903099","-0.06933116","-0.045049984"
"31","0.3461765","-0.026384354","-0.6826753","null","null","null"
"41","null","null","null","0.07559235","-0.0723854","-0.049325917"
"42","0.29789448","0.004032135","-0.7412799","null","null","null"
"43","null","null","null","0.060321167","-0.07666133","-0.052991"
"43","null","null","null","0.04688253","-0.08215895","-0.056656085"
"44","0.21166086","0.028302193","-0.79795444","null","null","null"
"45","null","null","null","0.031611346","-0.088878274","-0.05971032"
"45","null","null","null","0.016951011","-0.09926268","-0.06215371"
"45","0.11397278","0.04886532","-0.80751747","null","null","null"
"46","null","null","null","0.0029015245","-0.10781454","-0.0645971"
"46","null","null","null","-0.01175881","-0.12003148","-0.06642964"
"48","null","null","null","-0.024586603","-0.13591352","-0.06520794"
"48","-0.0020900965","0.09188652","-0.7952929","null","null","null"
"50","null","null","null","-0.0361927","-0.15057385","-0.065818794"
"53","null","null","null","-0.048409645","-0.16584504","-0.06704049"
"54","-0.11374819","0.08476734","-0.76041365","null","null","null"
"55","null","null","null","-0.058794048","-0.18111621","-0.06398625"
"58","-0.22563076","0.08254814","-0.6806331","null","null","null"
"59","null","null","null","-0.068567604","-0.19760908","-0.063375406"
"59","null","null","null","-0.07711947","-0.21410197","-0.060321167"
"64","null","null","null","-0.08383878","-0.2287623","-0.05971032"
"65","-0.31988358","0.06262398","-0.55178773","null","null","null"
"69","null","null","null","-0.08933641","-0.24586602","-0.054212693"
"69","-0.3964821","0.042960167","-0.41846055","null","null","null"
"69","null","null","null","-0.09422319","-0.26174805","-0.051158458"
"72","null","null","null","-0.09666658","-0.27579755","-0.049936764"
"74","null","null","null","-0.09849912","-0.28984702","-0.046271678"
"74","-0.44737697","0.037755966","-0.28454173","null","null","null"
"77","null","null","null","-0.09910997","-0.30206397","-0.045049984"
"78","null","null","null","-0.09666658","-0.31367007","-0.03955236"
"78","-0.4715259","0.006526947","-0.13489217","null","null","null"
"79","null","null","null","-0.09605573","-0.32405448","-0.036498122"
"84","-0.5011035","-0.006585121","0.020680904","null","null","null"
"84","null","null","null","-0.09422319","-0.33443886","-0.03283304"
"87","null","null","null","-0.090558104","-0.34360158","-0.02611372"
"90","null","null","null","-0.08750387","-0.35093176","-0.02183779"
"90","-0.5062362","-0.03732395","0.15820384","null","null","null"
"90","null","null","null","-0.08506048","-0.35459682","-0.016340164"
"94","-0.51201653","-0.08079338","0.26231968","null","null","null"
"95","null","null","null","-0.08078455","-0.3594836","-0.009620844"
"95","null","null","null","-0.074676074","-0.36070532","-0.004123219"
"98","null","null","null","-0.068567604","-0.36070532","7.635591E-4"
"98","-0.5077255","-0.111968994","0.3816852","null","null","null"
"101","null","null","null","-0.06306998","-0.35765108","0.0062611843"
"104","-0.47919643","-0.1487627","0.4899907","null","null","null"
"104","null","null","null","-0.057572354","-0.35642937","0.012369657"
"106","null","null","null","-0.050242186","-0.34971005","0.019699825"
"109","null","null","null","-0.04352287","-0.34421244","0.025808297"
"109","-0.43718386","-0.17211914","0.59192574","null","null","null"
"111","null","null","null","-0.036803547","-0.33810395","0.029473381"
"112","-0.38673913","-0.17150593","0.661374","null","null","null"
"113","null","null","null","-0.029473381","-0.3271087","0.03436016"
"120","null","null","null","-0.02275406","-0.31733516","0.037414394"
"120","null","null","null","-0.012980504","-0.30695075","0.042301174"
"121","-0.32441187","-0.16494179","0.7340989","null","null","null"
"121","null","null","null","-0.0056503373","-0.2947338","0.045966256"
"124","null","null","null","0.0029015245","-0.28068432","0.050242186"
"125","-0.2716447","-0.14535427","0.79573596","null","null","null"
"125","null","null","null","0.010842538","-0.26724568","0.05390727"
"127","-0.21890426","-0.13541889","0.833296","null","null","null"
"128","null","null","null","0.018783553","-0.2495311","0.05635066"
"130","null","null","null","0.02611372","-0.23242739","0.06001574"
"133","-0.17807281","-0.12556267","0.86479455","null","null","null"
"134","null","null","null","0.033443887","-0.21410197","0.06306998"
"136","null","null","null","0.04199575","-0.1963874","0.065513365"
"137","null","null","null","0.049325917","-0.17622943","0.068567604"
"138","-0.14789927","-0.11104393","0.8676711","null","null","null"
"140","null","null","null","0.055434387","-0.15607147","0.07040015"
"143","null","null","null","0.06215371","-0.13469182","0.072232686"
"143","-0.12477803","-0.0871582","0.86481637","null","null","null"
"148","null","null","null","0.06704049","-0.11331217","0.075286925"
"149","null","null","null","0.07314896","-0.09132166","0.07650862"
"149","-0.09200561","-0.06347561","0.8373539","null","null","null"
"149","null","null","null","0.07742489","-0.067498624","0.07956286"
"152","null","null","null","0.08231167","-0.044286426","0.0801737"
"152","-0.0983485","-0.028122902","0.8164001","null","null","null"
"156","null","null","null","0.084755056","-0.019852536","0.08261709"
"157","null","null","null","0.08597675","0.0015271181","0.08628218"
"158","-0.07815552","0.009324074","0.75105494","null","null","null"
"159","null","null","null","0.08842014","0.024739314","0.08750387"
"165","-0.066094995","0.05596924","0.6738407","null","null","null"
"166","null","null","null","0.09025268","0.044286426","0.08994726"
"166","null","null","null","0.09025268","0.06688777","0.09300149"
"167","-0.04307878","0.114130974","0.57083184","null","null","null"
"167","null","null","null","0.087809294","0.08460235","0.09422319"
"169","null","null","null","0.084755056","0.10414946","0.09666658"
"171","0.0014663935","0.16948795","0.4769792","null","null","null"
"172","null","null","null","0.081700824","0.118198946","0.100331664"
"175","null","null","null","0.078035735","0.13224843","0.100331664"
"176","null","null","null","0.07314896","0.14813046","0.09910997"
"177","0.058862686","0.20542145","0.363854","null","null","null"
"179","null","null","null","0.069483876","0.15912572","0.10094251"
"181","0.12662268","0.22803211","0.27562743","null","null","null"
"181","null","null","null","0.0645971","0.16889927","0.10155336"
"185","null","null","null","0.05971032","0.17684028","0.09972081"
"187","null","null","null","0.056045234","0.18722469","0.100331664"
"188","0.22825634","0.23622894","0.18604988","null","null","null"
"190","null","null","null","0.051158458","0.19455485","0.09849912"
"192","null","null","null","0.048104223","0.19821994","0.09666658"
"192","0.32898223","0.22062397","0.13310766","null","null","null"
"194","null","null","null","0.04382829","0.2055501","0.09483404"
"196","0.41093814","0.19326878","0.09268707","null","null","null"
"198","null","null","null","0.042606596","0.21043688","0.09300149"
"200","null","null","null","0.040163208","0.21471281","0.08933641"
"202","null","null","null","0.03771982","0.2159345","0.088114716"
"202","0.5014926","0.1637392","0.05630958","null","null","null"
"204","null","null","null","0.037108973","0.21776704","0.08750387"
"206","null","null","null","0.03771982","0.21837789","0.08567133"
"207","0.5734016","0.13206959","0.032155514","null","null","null"
"208","null","null","null","0.038330667","0.21898875","0.08506048"
"211","null","null","null","0.040163208","0.2171562","0.082006246"
"212","0.63982177","0.08282375","0.016427338","null","null","null"
"213","null","null","null","0.040163208","0.21654536","0.0801737"
"216","null","null","null","0.04199575","0.21410197","0.07834116"
"217","0.69361234","0.0719347","-0.014667571","null","null","null"
"218","null","null","null","0.045049984","0.20921518","0.07834116"
"222","null","null","null","0.047493376","0.20616095","0.07406523"
"223","0.7634046","0.061091423","-0.057556868","null","null","null"
"225","null","null","null","0.052380152","0.19944163","0.072232686"
