"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","4.058649","-0.28891563","-0.37379813","null","null","null"
"1","null","null","null","1.3901356","0.17600037","0.48997587"
"3","null","null","null","1.3669235","0.26762745","0.46554196"
"5","4.18407","0.12333202","-0.3573215","null","null","null"
"6","null","null","null","1.3431004","0.36719555","0.43866467"
"7","null","null","null","1.316834","0.46920705","0.41117656"
"10","null","null","null","1.2856808","0.57793784","0.38002336"
"11","4.158717","0.48244286","-0.50879097","null","null","null"
"14","null","null","null","1.2624686","0.6787277","0.35009184"
"15","null","null","null","1.2343696","0.7764632","0.32077116"
"15","4.105832","0.87699604","-0.93196833","null","null","null"
"18","null","null","null","1.2197093","0.86747944","0.29206136"
"20","null","null","null","1.2050489","0.9481113","0.26762745"
"20","3.9346278","1.2219038","-1.0043368","null","null","null"
"23","null","null","null","1.1891669","1.0220238","0.24563695"
"25","null","null","null","1.1775608","1.0904387","0.22731154"
"25","3.6347246","1.5232029","-0.99547553","null","null","null"
"27","null","null","null","1.1622896","1.1472476","0.21204035"
"31","null","null","null","1.1464076","1.1851964","0.19860171"
"31","3.3247862","1.7224293","-1.3154331","null","null","null"
"32","null","null","null","1.1372449","1.1894723","0.18882816"
"35","null","null","null","1.1512944","1.1429716","0.1778329"
"35","3.038413","1.917551","-1.7813315","null","null","null"
"38","null","null","null","1.1659547","1.0831085","0.1711136"
"39","2.6508684","2.1056795","-2.231719","null","null","null"
"39","null","null","null","1.1757283","0.99025977","0.16378342"
"41","null","null","null","1.1958863","0.88030726","0.16011834"
"45","null","null","null","1.2117683","0.76913303","0.16072918"
"45","2.1781378","2.1683965","-2.8459682","null","null","null"
"47","null","null","null","1.2264286","0.6469636","0.16500512"
"49","1.8118918","2.1442356","-3.2756784","null","null","null"
"49","null","null","null","1.2349805","0.52845925","0.17416783"
"52","null","null","null","1.2490299","0.39651623","0.18760647"
"54","1.4376149","2.0500917","-3.4672246","null","null","null"
"55","null","null","null","1.2667445","0.26518407","0.20593189"
"57","null","null","null","1.2911783","0.13629529","0.22364645"
"59","null","null","null","1.3095038","0.027564483","0.24502611"
"60","1.0785","2.0065675","-3.5544043","null","null","null"
"62","null","null","null","1.3223315","-0.071392775","0.26518407"
"65","0.8202689","1.9779124","-3.3970516","null","null","null"
"66","null","null","null","1.3388245","-0.14530529","0.28228778"
"68","null","null","null","1.3577608","-0.20455748","0.3018349"
"69","0.7762134","1.9411993","-2.97225","null","null","null"
"69","null","null","null","1.3821946","-0.24120831","0.32138202"
"71","null","null","null","1.4164021","-0.26747474","0.3342098"
"75","null","null","null","1.4377817","-0.28213507","0.34520507"
"75","0.83058506","1.6557875","-2.2860634","null","null","null"
"77","null","null","null","1.4628265","-0.31756422","0.349481"
"79","null","null","null","1.484817","-0.37864894","0.35009184"
"80","1.1506133","1.4197278","-1.958802","null","null","null"
"81","null","null","null","1.5092509","-0.45011806","0.3537569"
"85","null","null","null","1.5220786","-0.51242447","0.35681117"
"86","1.1548359","1.4601598","-2.494092","null","null","null"
"87","null","null","null","1.5452908","-0.5728984","0.35803285"
"88","0.80798095","1.329699","-2.6400058","null","null","null"
"89","null","null","null","1.552621","-0.6119926","0.35925454"
"91","null","null","null","1.5666705","-0.64986515","0.36108708"
"94","null","null","null","1.5740007","-0.64925426","0.36291963"
"95","0.6529467","1.1184282","-2.4671164","null","null","null"
"98","null","null","null","1.5703356","-0.6468109","0.36658472"
"99","0.47302073","0.91295815","-1.9521463","null","null","null"
"100","null","null","null","1.5617837","-0.6455892","0.36719555"
"101","null","null","null","1.5459017","-0.6327614","0.36475217"
"103","null","null","null","1.5178027","-0.61749023","0.3635305"
"104","0.31603366","0.73415756","-1.969323","null","null","null"
"107","null","null","null","1.4878712","-0.6119926","0.35681117"
"115","null","null","null","1.4530529","-0.6040516","0.3537569"
"116","0.46258813","0.73553276","-2.3852937","null","null","null"
"116","null","null","null","1.4145695","-0.6046624","0.349481"
"117","0.52241236","0.7534723","-2.710968","null","null","null"
"117","null","null","null","1.3699777","-0.6003865","0.3458159"
"117","null","null","null","1.3302727","-0.6052733","0.34276167"
"121","0.5216991","0.77490425","-3.1257281","null","null","null"
