"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.00335966","-0.03420745","0.007482879"
"3","3.963709E-4","-0.018154144","-0.012510419","null","null","null"
"3","null","null","null","0.0021379655","-0.03298575","0.007482879"
"4","null","null","null","0.0027488125","-0.03115321","0.008704574"
"8","-0.012108803","-0.026237488","0.03150654","null","null","null"
"8","null","null","null","0.005803049","-0.030542362","0.008704574"
"10","null","null","null","0.003970507","-0.02687728","0.008704574"
"12","-0.016178966","-0.008138657","0.014644861","null","null","null"
"12","null","null","null","0.0021379655","-0.025655584","0.010537115"
"15","null","null","null","0.0027488125","-0.023823043","0.011147963"
"17","-0.0011563301","-0.013926506","0.033566713","null","null","null"
"17","null","null","null","9.162709E-4","-0.02015796","0.01175881"
"20","null","null","null","3.0542363E-4","-0.020768806","0.012369657"
"22","null","null","null","-9.162709E-4","-0.018936265","0.012369657"
"22","-0.009967327","-0.014923096","0.02511537","null","null","null"
"24","null","null","null","3.0542363E-4","-0.016492875","0.012980504"
"28","0.0038707256","-0.023022652","0.033286452","null","null","null"
"28","null","null","null","0.0015271181","-0.02015796","0.012980504"
"30","null","null","null","-0.0015271181","-0.017103724","0.01175881"
"32","null","null","null","-9.162709E-4","-0.018325418","0.013591352"
"32","0.0045183897","-2.0313263E-4","0.012996495","null","null","null"
"34","null","null","null","-3.0542363E-4","-0.018325418","0.012369657"
"37","null","null","null","-0.0015271181","-0.020768806","0.012369657"
"37","-0.010277033","0.008180618","0.004743159","null","null","null"
"39","null","null","null","-0.0015271181","-0.02260135","0.012980504"
"42","null","null","null","-0.00335966","-0.021379653","0.012980504"
"42","0.007142544","0.024799347","2.066493E-4","null","null","null"
"45","null","null","null","-0.0021379655","-0.020768806","0.013591352"
"48","null","null","null","-0.0027488125","-0.020768806","0.013591352"
"48","6.980896E-4","0.028226852","0.009945154","null","null","null"
"49","null","null","null","-0.0021379655","-0.019547112","0.014202199"
"52","null","null","null","-0.0027488125","-0.017714571","0.013591352"
"53","0.010930657","0.031627655","0.0029703379","null","null","null"
"55","null","null","null","-0.003970507","-0.017103724","0.014813046"
"57","null","null","null","-0.00335966","-0.015882028","0.014813046"
"57","-0.007379055","0.032624245","0.009155452","null","null","null"
"59","null","null","null","-0.003970507","-0.01343864","0.013591352"
"62","null","null","null","-0.0045813546","-0.01099525","0.014202199"
"62","-0.0066063404","0.027668","0.01885271","null","null","null"
"63","null","null","null","-0.0045813546","-0.008551862","0.015423893"
"68","null","null","null","-0.0051922016","-0.007941014","0.014202199"
"68","-0.023622274","0.012072563","0.04271823","null","null","null"
"69","null","null","null","-0.003970507","-0.00671932","0.012980504"
"71","-0.0085401535","0.0072803497","0.0461933","null","null","null"
"71","null","null","null","-0.005803049","-0.0061084726","0.012980504"
"74","null","null","null","-0.0051922016","-0.00671932","0.014813046"
"76","0.013591409","-0.0022172928","0.025935292","null","null","null"
"77","null","null","null","-0.006413896","-0.004275931","0.013591352"
"79","null","null","null","-0.006413896","-0.004275931","0.013591352"
"83","null","null","null","-0.0051922016","-0.005497625","0.014202199"
"83","0.0034708977","-0.016386032","0.036706388","null","null","null"
"84","null","null","null","-0.0045813546","-0.0061084726","0.012980504"
"88","null","null","null","-0.0045813546","-0.005497625","0.01175881"
"89","0.01117301","-0.020943642","0.062767744","null","null","null"
"89","null","null","null","-0.00335966","-0.004886778","0.010537115"
"91","null","null","null","-0.00335966","-0.004275931","0.009315421"
"92","0.038870692","-0.018350601","0.08142465","null","null","null"
"93","null","null","null","-0.0027488125","-0.0061084726","0.009315421"
"97","0.021217227","-0.031208038","0.078519404","null","null","null"
"97","null","null","null","-0.0021379655","-0.004275931","0.009926268"
"100","null","null","null","-3.0542363E-4","-0.0036650836","0.008704574"
"101","null","null","null","3.0542363E-4","-0.0036650836","0.007482879"
"102","0.029747605","-0.040394783","0.08144951","null","null","null"
"103","null","null","null","0.0015271181","-0.004275931","0.0062611843"
"107","null","null","null","0.0021379655","-0.004275931","0.00503949"
"107","0.029785275","-0.057821274","0.102078915","null","null","null"
"109","null","null","null","0.0027488125","-0.0036650836","0.004428643"
"111","0.046357036","-0.05611229","0.07617056","null","null","null"
"111","null","null","null","0.003970507","-0.005497625","0.003206948"
"114","null","null","null","0.0051922016","-0.004275931","7.635591E-4"
"116","null","null","null","0.005803049","-0.007330167","7.635591E-4"
"116","0.054343462","-0.06273556","0.08955872","null","null","null"
"119","null","null","null","0.0051922016","-0.007330167","1.5271181E-4"
"121","null","null","null","0.006413896","-0.005497625","7.635591E-4"
"121","0.043258667","-0.06336975","0.088579714","null","null","null"
"123","null","null","null","0.008246438","-0.004275931","-4.5813544E-4"
"126","null","null","null","0.0076355906","-0.002443389","-0.0022906773"
