"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.020387027","0.05413634","-0.028328042"
"3","null","null","null","0.016721943","0.053525493","-0.03321482"
"3","0.21624446","0.050880432","-0.1296928","null","null","null"
"6","null","null","null","0.01305686","0.049860407","-0.03504736"
"9","null","null","null","0.008780929","0.048638713","-0.03565821"
"10","0.25834","0.05491829","-0.13294768","null","null","null"
"11","null","null","null","0.005726693","0.048638713","-0.03749075"
"16","null","null","null","0.003283304","0.050471254","-0.03749075"
"17","0.15516508","0.05184555","-0.12638164","null","null","null"
"18","null","null","null","8.39915E-4","0.052303795","-0.038712446"
"19","null","null","null","-3.8177954E-4","0.052914646","-0.038712446"
"20","0.107424736","0.052391052","-0.06864381","null","null","null"
"22","null","null","null","-3.8177954E-4","0.056579728","-0.03993414"
"23","null","null","null","-0.003436016","0.057190575","-0.040544987"
"23","0.09803617","0.025637627","-0.02555585","null","null","null"
"24","null","null","null","-0.0028251687","0.05780142","-0.038712446"
"30","null","null","null","-0.003436016","0.059023116","-0.0381016"
"31","0.072205305","0.018122673","-0.0350101","null","null","null"
"32","null","null","null","-0.003436016","0.059023116","-0.0381016"
"34","null","null","null","-0.003436016","0.061466504","-0.036879905"
"35","0.011036873","0.007115364","-0.026575565","null","null","null"
"40","null","null","null","-0.001603474","0.061466504","-0.03504736"
"41","-0.004351735","-0.00855732","-0.00410676","null","null","null"
"41","null","null","null","2.2906772E-4","0.063299045","-0.033825666"
"42","null","null","null","0.0026724567","0.063299045","-0.03260397"
"42","-0.034921408","-0.022916794","2.6392937E-4","null","null","null"
"42","null","null","null","2.2906772E-4","0.063299045","-0.031382278"
"45","null","null","null","2.2906772E-4","0.063299045","-0.030160584"
"48","null","null","null","0.0014507623","0.0626882","-0.028328042"
"49","-0.033060193","-0.035948753","-0.022674918","null","null","null"
"51","null","null","null","0.0026724567","0.061466504","-0.025273805"
"52","-0.040545225","-0.041744232","-0.049051523","null","null","null"
"52","null","null","null","0.0020616094","0.063299045","-0.025884653"
"55","null","null","null","0.0020616094","0.060855657","-0.024052111"
"58","null","null","null","0.0014507623","0.06024481","-0.022830416"
"59","-0.041949153","-0.035603523","-0.070421815","null","null","null"
"59","null","null","null","0.0026724567","0.05596888","-0.020997874"
"63","null","null","null","0.0026724567","0.054747187","-0.019165333"
"63","-0.03848219","-0.030691147","-0.061951756","null","null","null"
"65","null","null","null","0.0020616094","0.0510821","-0.018554486"
"70","null","null","null","0.003283304","0.04741702","-0.016721943"
"71","-0.017178655","-0.025806427","-0.08438337","null","null","null"
"71","null","null","null","0.0020616094","0.043751936","-0.016111096"
"73","null","null","null","0.0014507623","0.040697698","-0.016721943"
"73","0.003942251","-0.023322105","-0.09942448","null","null","null"
"75","null","null","null","0.0014507623","0.03581092","-0.016111096"
"78","null","null","null","0.0051158457","0.030924143","-0.015500249"
"78","0.016527295","-0.007809639","-0.078751564","null","null","null"
"79","null","null","null","0.0045049987","0.027869906","-0.014889402"
"83","null","null","null","0.00633754","0.023593975","-0.014889402"
"84","0.030169487","0.00518322","-0.048812628","null","null","null"
"85","null","null","null","0.008170082","0.019928891","-0.015500249"
"88","0.040077925","0.023965836","-0.021666408","null","null","null"
"88","null","null","null","0.011835165","0.015042114","-0.013667707"
"90","null","null","null","0.014889402","0.012598725","-0.01305686"
"92","null","null","null","0.018554486","0.01137703","-0.015500249"
"93","0.055805087","0.03541088","0.0049700737","null","null","null"
"94","null","null","null","0.019165333","0.0077119465","-0.014278554"
"99","0.053548574","0.06334114","0.050206304","null","null","null"
"100","null","null","null","0.022830416","0.005879405","-0.014278554"
"101","null","null","null","0.027106347","0.0052685575","-0.014889402"
"102","null","null","null","0.031993125","0.003436016","-0.013667707"
"103","0.05366361","0.06603432","0.06856465","null","null","null"
"106","null","null","null","0.03504736","0.0022143214","-0.013667707"
"111","0.05025792","0.07339287","0.07456112","null","null","null"
"113","null","null","null","0.039323293","-2.2906772E-4","-0.011835165"
"113","null","null","null","0.041155834","0.0022143214","-0.010613471"
"114","null","null","null","0.045431767","0.0028251687","-0.008780929"
"114","0.03991437","0.07471752","0.10039544","null","null","null"
"115","null","null","null","0.047875155","0.0028251687","-0.008780929"
"117","null","null","null","0.052151084","0.003436016","-0.008780929"
"118","0.024956822","0.08428383","0.13400698","null","null","null"
"119","null","null","null","0.056427017","0.0046577104","-0.005726693"
"125","null","null","null","0.060702946","0.0046577104","-0.0038941512"
"126","null","null","null","0.06314634","0.0071010995","-8.39915E-4"
"127","0.015071392","0.08659172","0.14912641","null","null","null"
"129","null","null","null","0.06620057","0.009544488","-8.39915E-4"
"130","0.004299164","0.06154442","0.15313053","null","null","null"
"130","null","null","null","0.06864396","0.010766183","0.001603474"
"132","null","null","null","0.0704765","0.012598725","0.0028251687"
"132","0.008034229","0.039051056","0.16754043","null","null","null"
"133","null","null","null","0.07230905","0.01565296","0.005879405"
"141","null","null","null","0.07291989","0.016874656","0.005879405"
"142","null","null","null","0.074752435","0.021761434","0.0077119465"
"142","-0.0022941828","0.011987686","0.14367557","null","null","null"
"143","null","null","null","0.07597413","0.023593975","0.009544488"
"143","-0.0064150095","-0.008926392","0.11984801","null","null","null"
"144","null","null","null","0.07658497","0.025426516","0.01137703"
"147","-0.012674212","-0.013044357","0.09018493","null","null","null"
"148","null","null","null","0.07719582","0.029702447","0.012598725"
"149","null","null","null","0.07780667","0.033367533","0.01565296"
"152","-0.039990783","-0.027804375","0.09034133","null","null","null"
"152","null","null","null","0.07902836","0.034589227","0.016874656"
"154","null","null","null","0.080326416","0.038865156","0.01809635"
"156","null","null","null","0.08093726","0.040697698","0.021150587"
"157","-0.054998517","-0.022263527","0.09629977","null","null","null"
"159","null","null","null","0.0827698","0.04680617","0.022372281"
"161","-0.0815053","-0.033399582","0.10914576","null","null","null"
"161","null","null","null","0.08460235","0.04924956","0.024204822"
"163","null","null","null","0.08521319","0.051692948","0.027869906"
"168","-0.09563494","-0.042057037","0.11227715","null","null","null"
"169","null","null","null","0.08582404","0.053525493","0.0290916"
"169","null","null","null","0.08765658","0.055358034","0.029702447"
"172","null","null","null","0.08826743","0.057190575","0.030924143"
"173","-0.108340025","-0.053032875","0.111689806","null","null","null"
"174","null","null","null","0.09009997","0.06024481","0.032756682"
"180","null","null","null","0.092543356","0.06024481","0.034589227"
"181","null","null","null","0.09376506","0.061466504","0.035200074"
"182","-0.1148088","-0.04019165","0.097871065","null","null","null"
"182","-0.12585461","-0.05952835","0.106558084","null","null","null"
"182","null","null","null","0.095597595","0.0626882","0.03642177"
"184","null","null","null","0.098651834","0.0626882","0.037032615"
"185","-0.103456795","-0.07518959","0.13507569","null","null","null"
"186","null","null","null","0.102316916","0.063909896","0.038865156"
"188","null","null","null","0.10292777","0.063909896","0.038865156"
"192","null","null","null","0.10659285","0.063909896","0.03825431"
"193","-0.100203454","-0.102633476","0.12873065","null","null","null"
"193","null","null","null","0.11025793","0.0626882","0.038865156"
"196","-0.10526979","-0.14059258","0.10790241","null","null","null"
"198","null","null","null","0.11209047","0.06207735","0.039476003"
"199","null","null","null","0.11392301","0.06207735","0.038865156"
"202","null","null","null","0.11575556","0.061466504","0.037032615"
"203","-0.102045715","-0.18183899","0.06927633","null","null","null"
"204","null","null","null","0.114533864","0.06207735","0.03825431"
"206","null","null","null","0.11514471","0.061466504","0.03825431"
"207","-0.11782479","-0.22986794","0.027409792","null","null","null"
"209","null","null","null","0.118198946","0.060855657","0.037032615"
"210","null","null","null","0.11880979","0.059633963","0.037643462"
"211","-0.133528","-0.2573595","-0.02376473","null","null","null"
"212","null","null","null","0.12003148","0.05780142","0.03642177"
"216","null","null","null","0.12247488","0.059023116","0.03581092"
"217","-0.13136595","-0.30127716","-0.03902054","null","null","null"
"219","null","null","null","0.12491827","0.05841227","0.034589227"
"220","null","null","null","0.12736166","0.05596888","0.034589227"
"220","-0.14117408","-0.3484497","-0.03656268","null","null","null"
"223","null","null","null","0.12980504","0.05596888","0.034589227"
"226","null","null","null","0.13285927","0.054747187","0.03397838"
"227","-0.159239","-0.38222408","-0.02842474","null","null","null"
"230","null","null","null","0.13408098","0.05413634","0.03397838"
"231","null","null","null","0.13713521","0.053525493","0.034589227"
"232","-0.19972098","-0.40270615","-0.03597617","null","null","null"
"233","null","null","null","0.14018944","0.052303795","0.032756682"
"236","null","null","null","0.14324369","0.051692948","0.03153499"
"236","-0.21149033","-0.3862915","-0.016439915","null","null","null"
"241","null","null","null","0.14446537","0.050471254","0.03153499"
"242","null","null","null","0.14813046","0.052303795","0.030313294"
"242","-0.24459016","-0.35820103","0.009847164","null","null","null"
"243","null","null","null","0.15179555","0.0510821","0.029702447"
"248","null","null","null","0.15362808","0.04924956","0.030924143"
"249","-0.28338718","-0.3672123","0.052238464","null","null","null"
"249","null","null","null","0.15668233","0.050471254","0.030924143"
"250","null","null","null","0.15790401","0.0510821","0.030924143"
"251","-0.3028317","-0.3358364","0.039456844","null","null","null"
"254","null","null","null","0.15973656","0.052914646","0.030313294"
"255","null","null","null","0.16217995","0.055358034","0.030313294"
"256","-0.2912433","-0.2834015","0.04677081","null","null","null"
"259","null","null","null","0.16462334","0.057190575","0.029702447"
"259","-0.29989952","-0.26112938","0.033623576","null","null","null"
"260","null","null","null","0.16584504","0.06024481","0.030313294"
"262","null","null","null","0.16523418","0.06513159","0.033367533"
"266","-0.3165524","-0.24853134","-0.0055730343","null","null","null"
"268","null","null","null","0.16523418","0.06879667","0.033367533"
"268","null","null","null","0.16706672","0.06940752","0.03397838"
"271","null","null","null","0.16523418","0.073072605","0.034589227"
"271","-0.31754774","-0.22655392","-0.033820152","null","null","null"
"272","null","null","null","0.16584504","0.07551599","0.035200074"
"275","null","null","null","0.16584504","0.07734854","0.037643462"
"276","-0.31838024","-0.19881725","-0.07846403","null","null","null"
"277","null","null","null","0.16645588","0.07857023","0.038865156"
"280","null","null","null","0.16706672","0.07673769","0.041308545"
"281","-0.3190204","-0.17012024","-0.07767141","null","null","null"
"282","null","null","null","0.16584504","0.07673769","0.043751936"
"286","null","null","null","0.16340165","0.07551599","0.04497363"
"286","-0.3242153","-0.15943623","-0.106455445","null","null","null"
"287","null","null","null","0.1615691","0.0742943","0.046195325"
"290","null","null","null","0.1603474","0.072461754","0.04871507"
"291","-0.30432153","-0.13098907","-0.14549398","null","null","null"
"292","null","null","null","0.15546063","0.06757498","0.04871507"
"295","null","null","null","0.15301724","0.060855657","0.048104223"
"295","-0.26920724","-0.100338936","-0.19453228","null","null","null"
"297","null","null","null","0.149963","0.051692948","0.05054761"
"300","null","null","null","0.14446537","0.04314109","0.05054761"
"301","-0.191719","-0.060373306","-0.25817943","null","null","null"
"302","null","null","null","0.1395786","0.03397838","0.051158458"
"304","-0.20053649","-0.019447327","-0.31001365","null","null","null"
"305","null","null","null","0.13285927","0.025426516","0.049325917"
"307","null","null","null","0.12675081","0.016263809","0.049325917"
"310","null","null","null","0.12125318","0.0077119465","0.049325917"
"311","-0.15608394","0.04261875","-0.35125995","null","null","null"
"312","null","null","null","0.11514471","-0.0026724567","0.04741702"
"314","null","null","null","0.10964708","-0.013667707","0.046195325"
"314","-0.118254125","0.103084564","-0.3476026","null","null","null"
"319","null","null","null","0.10353861","-0.025273805","0.043751936"
"321","null","null","null","0.09987353","-0.0381016","0.044362783"
"322","-0.111970425","0.16313934","-0.35998034","null","null","null"
"323","null","null","null","0.09193251","-0.04909685","0.041308545"
"324","null","null","null","0.08704574","-0.058870405","0.03825431"
"325","-0.06936473","0.2311039","-0.3240956","null","null","null"
"327","null","null","null","0.083380654","-0.068033114","0.03642177"
"329","null","null","null","0.07902836","-0.07841752","0.03581092"
"330","-0.048848152","0.26651764","-0.29752755","null","null","null"
"332","null","null","null","0.074752435","-0.086969376","0.03397838"
"334","null","null","null","0.071698196","-0.096742935","0.032756682"
"334","-0.027632475","0.2910185","-0.2814057","null","null","null"
"338","null","null","null","0.06681142","-0.10468395","0.029702447"
"339","null","null","null","0.06314634","-0.112014115","0.029702447"
"339","-0.04966688","0.31300545","-0.2530825","null","null","null"
"340","null","null","null","0.0600921","-0.118733436","0.0290916"
"343","null","null","null","0.05764871","-0.12667444","0.02725906"
"344","-0.0586766","0.32417965","-0.21158433","null","null","null"
"346","null","null","null","0.054594472","-0.13095038","0.026037365"
"348","-0.06548208","0.31394577","-0.17839313","null","null","null"
"349","null","null","null","0.050318543","-0.13461547","0.024204822"
"351","null","null","null","0.04909685","-0.1376697","0.022983128"
"353","null","null","null","0.04665346","-0.1376697","0.022372281"
"354","-0.06527215","0.3014555","-0.13574505","null","null","null"
"357","null","null","null","0.045431767","-0.13828056","0.022983128"
"358","-0.084074914","0.30808258","-0.06604791","null","null","null"
"359","null","null","null","0.046042614","-0.1376697","0.021761434"
"361","null","null","null","0.04359922","-0.1376697","0.022372281"
"363","-0.11220813","0.286191","0.0019977093","null","null","null"
"364","null","null","null","0.042377528","-0.13339376","0.021761434"
"369","null","null","null","0.040544987","-0.12911785","0.022983128"
"369","-0.1340149","0.30843067","0.06596017","null","null","null"
"369","null","null","null","0.04176668","-0.124841906","0.024204822"
"371","null","null","null","0.04176668","-0.118122585","0.025426516"
"373","-0.1459006","0.2865572","0.13637805","null","null","null"
"373","null","null","null","0.04421007","-0.1156792","0.027869906"
"376","null","null","null","0.044820916","-0.10712734","0.0290916"
"379","null","null","null","0.04665346","-0.10040802","0.028480753"
"379","-0.15864354","0.2695961","0.21551561","null","null","null"
"380","null","null","null","0.047875155","-0.092467","0.029702447"
"384","-0.17820513","0.25393963","0.27717924","null","null","null"
"384","null","null","null","0.04909685","-0.086969376","0.030313294"
"386","null","null","null","0.05276193","-0.07963921","0.030924143"
"387","null","null","null","0.055205323","-0.07353074","0.032756682"
"388","-0.17839384","0.23717785","0.30477357","null","null","null"
"390","null","null","null","0.05764871","-0.065589726","0.03153499"
"393","null","null","null","0.059481252","-0.061313793","0.03153499"
"393","-0.16184384","0.20863628","0.32473993","null","null","null"
"396","null","null","null","0.060702946","-0.056427017","0.030313294"
"398","null","null","null","0.06314634","-0.052151084","0.030313294"
"398","-0.12640375","0.18266392","0.32890892","null","null","null"
"400","null","null","null","0.06436803","-0.048486","0.027869906"
"403","-0.08184618","0.14379692","0.30079365","null","null","null"
"403","null","null","null","0.06681142","-0.048486","0.026648212"
"406","null","null","null","0.06742226","-0.044820916","0.02481567"
"408","null","null","null","0.068033114","-0.045431767","0.022983128"
"408","-0.04965371","0.10521412","0.25499296","null","null","null"
"412","null","null","null","0.06864396","-0.046042614","0.019928891"
"412","null","null","null","0.06864396","-0.04359922","0.018707197"
"412","-0.0048825145","0.07760334","0.19765878","null","null","null"
"415","null","null","null","0.06864396","-0.04421007","0.01565296"
"417","null","null","null","0.06925481","-0.044820916","0.011987877"
"417","0.036888182","0.04663086","0.13129115","null","null","null"
"420","null","null","null","0.06925481","-0.04665346","0.008933641"
"422","null","null","null","0.06742226","-0.049707696","0.0052685575"
"423","0.050657272","0.027760506","0.06433463","null","null","null"
"425","null","null","null","0.065589726","-0.051540237","0.001603474"
"427","null","null","null","0.06375718","-0.05092939","-2.2906772E-4"
"428","0.07822651","-0.012312889","-0.0101873875","null","null","null"
"429","null","null","null","0.06192464","-0.051540237","-0.0026724567"
"432","0.09464669","-0.02353859","-0.057750702","null","null","null"
"433","null","null","null","0.058259558","-0.055205323","-0.0051158457"
"435","null","null","null","0.05581617","-0.05581617","-0.008170082"
"437","null","null","null","0.051540237","-0.058259558","-0.010613471"
"438","0.11063647","-0.04650116","-0.11172366","null","null","null"
