"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.02481567","0.1816507","-0.020081604"
"2","0.43939042","-0.075899124","0.19420016","null","null","null"
"2","null","null","null","-0.021761434","0.18348324","-0.02069245"
"6","null","null","null","-0.019318044","0.18409409","-0.023135839"
"6","0.5783782","-0.10619736","0.20009804","null","null","null"
"7","null","null","null","-0.016874656","0.18348324","-0.023746688"
"13","null","null","null","-0.015042114","0.17920731","-0.023746688"
"14","null","null","null","-0.010766183","0.17309885","-0.024968382"
"14","0.7054262","-0.12916946","0.23305666","null","null","null"
"16","0.83836377","-0.16269398","0.17769742","null","null","null"
"16","null","null","null","-0.0077119465","0.16515782","-0.026800923"
"18","null","null","null","-0.0046577104","0.15721682","-0.028022617"
"20","0.9746498","-0.20909691","0.16763759","null","null","null"
"21","null","null","null","0.005726693","0.14194563","-0.031076854"
"22","null","null","null","0.015500249","0.12972869","-0.035963632"
"26","1.1519487","-0.2446413","0.28877556","null","null","null"
"26","null","null","null","0.024052111","0.118122585","-0.04146126"
"26","null","null","null","0.031382278","0.10773818","-0.04573719"
"31","null","null","null","0.033825666","0.10834903","-0.051234815"
"31","1.28211","-0.28363132","0.2992469","null","null","null"
"33","null","null","null","0.03260397","0.12362021","-0.05428905"
"35","1.3658915","-0.25349236","0.25142562","null","null","null"
"36","null","null","null","0.024052111","0.13950224","-0.057343286"
"36","null","null","null","0.016111096","0.1504975","-0.055510744"
"41","null","null","null","0.009391776","0.15721682","-0.05612159"
"42","1.4016385","-0.20451546","0.024062753","null","null","null"
"42","null","null","null","0.0020616094","0.1621036","-0.055510744"
"46","null","null","null","-0.0028251687","0.16637953","-0.053067356"
"46","1.3090227","-0.13567066","-0.20684528","null","null","null"
"47","null","null","null","-0.0071010995","0.17309885","-0.050013117"
"50","null","null","null","-0.010155336","0.17859647","-0.04756973"
"50","1.2626169","-0.09578419","-0.23258221","null","null","null"
"51","null","null","null","-0.009544488","0.18653747","-0.048791423"
"57","1.1988251","-0.033686638","-0.15495157","null","null","null"
"58","null","null","null","-0.008933641","0.1932568","-0.051234815"
"58","null","null","null","-0.0071010995","0.20058697","-0.053678203"
"59","null","null","null","-3.8177954E-4","0.20547375","-0.057954133"
"59","1.1579361","0.03729248","-0.04750061","null","null","null"
"62","null","null","null","0.0020616094","0.20974968","-0.06100837"
"65","null","null","null","0.0075592347","0.21463646","-0.059175827"
"65","1.070955","0.07552719","-0.009108663","null","null","null"
"66","null","null","null","0.010613471","0.21830153","-0.060397524"
"69","0.90641093","0.0682888","-0.030804634","null","null","null"
"69","null","null","null","0.013667707","0.2189124","-0.059175827"
"71","null","null","null","0.014889402","0.22074492","-0.05856498"
"75","null","null","null","0.016721943","0.22013408","-0.057954133"
"76","null","null","null","0.017943637","0.22196662","-0.05673244"
"76","0.76587796","0.048041344","-0.058454037","null","null","null"
"79","0.6788759","0.03983879","-0.14417887","null","null","null"
"80","null","null","null","0.018554486","0.22257747","-0.054899897"
"81","null","null","null","0.01977618","0.21952324","-0.05245651"
"87","0.6105809","0.021050453","-0.18652415","null","null","null"
"87","null","null","null","0.020997874","0.21769069","-0.05062397"
"87","null","null","null","0.024052111","0.21158221","-0.048180576"
"89","null","null","null","0.028328042","0.20547375","-0.04756973"
"90","0.569077","0.030906677","-0.1610235","null","null","null"
"91","null","null","null","0.03260397","0.19936527","-0.046958882"
"94","null","null","null","0.036269058","0.19142427","-0.048791423"
"94","0.5871887","0.02756691","-0.14904654","null","null","null"
"99","null","null","null","0.042377528","0.18592663","-0.048791423"
"99","0.62639356","0.03722763","-0.10670006","null","null","null"
"99","null","null","null","0.04909685","0.17920731","-0.048791423"
"102","null","null","null","0.053372778","0.17370969","-0.04756973"
"105","0.70083904","0.034877777","-0.07098055","null","null","null"
"105","null","null","null","0.05764871","0.16821207","-0.048791423"
"106","null","null","null","0.061313793","0.16027105","-0.050013117"
"109","null","null","null","0.06436803","0.15599512","-0.05245651"
"109","0.76731944","0.06689072","-0.067819476","null","null","null"
"111","null","null","null","0.06375718","0.1504975","-0.051234815"
"114","null","null","null","0.06436803","0.14316733","-0.051845662"
"115","0.82247686","0.09387207","-0.07650101","null","null","null"
"117","null","null","null","0.06253549","0.13644801","-0.051234815"
"118","null","null","null","0.058870405","0.13217208","-0.048180576"
"119","0.82969666","0.13847351","-0.10144675","null","null","null"
"120","null","null","null","0.054594472","0.12789614","-0.046348035"
"123","null","null","null","0.04909685","0.12239852","-0.04512634"
"124","0.85003924","0.1376934","-0.109065294","null","null","null"
"126","null","null","null","0.04359922","0.11629005","-0.042072106"
"129","null","null","null","0.036269058","0.10773818","-0.04023956"
"129","0.82523036","0.14772701","-0.127805","null","null","null"
"131","null","null","null","0.028328042","0.10346226","-0.03840702"
"135","0.80903673","0.143569","-0.1550901","null","null","null"
