"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.26128992","-0.15423894","0.1577513"
"1","-0.11245179","-1.1040945","-1.287663","null","null","null"
"2","null","null","null","0.27228516","-0.1524064","0.17729841"
"6","null","null","null","0.2869455","-0.14263284","0.19508934"
"6","-0.095796585","-1.1923475","-1.1948146","null","null","null"
"8","null","null","null","0.30588177","-0.12247488","0.21463646"
"12","-0.042257786","-1.2456198","-1.2276363","null","null","null"
"13","null","null","null","0.32481802","-0.09498675","0.23051849"
"19","null","null","null","0.34314343","-0.058946762","0.24212459"
"19","0.13869238","-1.193614","-1.0048375","null","null","null"
"19","null","null","null","0.3645231","-0.02351762","0.24640052"
"19","null","null","null","0.38590276","0.016798299","0.2476222"
"19","0.4921856","-1.0068417","-1.0181735","null","null","null"
"20","null","null","null","0.40300646","0.062000997","0.24212459"
"24","null","null","null","0.4225536","0.114533864","0.23112933"
"26","null","null","null","0.43904647","0.17439689","0.21830153"
"26","0.88165617","-0.76699066","-1.3109143","null","null","null"
"28","null","null","null","0.4500417","0.24220094","0.2024195"
"32","null","null","null","0.4616478","0.31855685","0.18401773"
"32","1.148782","-0.5136318","-1.3252951","null","null","null"
"32","null","null","null","0.46958882","0.4010212","0.1601947"
"35","1.37117","-0.2863903","-1.2488815","null","null","null"
"36","null","null","null","0.47752985","0.48776153","0.13087402"
"38","null","null","null","0.4873034","0.57205844","0.09910997"
"41","1.6618369","0.015033722","-1.401055","null","null","null"
"41","null","null","null","0.4964661","0.6600968","0.07284354"
"41","null","null","null","0.50623965","0.7450046","0.05635066"
"45","null","null","null","0.51906747","0.82502556","0.04718795"
"45","1.6034317","0.2246685","-1.420325","null","null","null"
"48","null","null","null","0.5386146","0.9026032","0.04963134"
"50","0.9781189","0.25809956","-1.1133693","null","null","null"
"50","null","null","null","0.56060505","0.9679638","0.06001574"
"54","null","null","null","0.58870405","1.0223292","0.07650862"
"62","null","null","null","0.6223006","1.0620344","0.09605573"
"63","0.3241489","0.3118477","-0.9502188","null","null","null"
"63","null","null","null","0.6577298","1.0962417","0.12171131"
"63","-0.10372782","0.40632534","-0.8851591","null","null","null"
"63","null","null","null","0.69865656","1.1212865","0.14919944"
"64","null","null","null","0.73775077","1.139612","0.17485502"
"64","null","null","null","0.7853969","1.151218","0.19814359"
"64","-0.35633492","0.58449936","-0.64223343","null","null","null"
"70","null","null","null","0.8299887","1.1573265","0.22135578"
"70","-0.33461285","0.9190941","-0.5270438","null","null","null"
"71","null","null","null","0.8764131","1.1603807","0.24334627"
"72","null","null","null","0.9203941","1.1689326","0.25983915"
"75","null","null","null","0.94849306","1.2025292","0.2720561"
"76","-0.24629974","1.2556515","-0.49825907","null","null","null"
"77","null","null","null","0.95704496","1.2733874","0.27083442"
