"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.22830416","0.025273805","-0.16134003"
"1","0.6167624","-0.17105961","-0.63136137","null","null","null"
"1","null","null","null","-0.23380178","0.024052111","-0.16683766"
"4","null","null","null","-0.2405211","0.020997874","-0.17294613"
"5","0.54289544","-0.14245605","-0.6529007","null","null","null"
"6","null","null","null","-0.24662958","0.016111096","-0.17661121"
"9","null","null","null","-0.25273806","0.010002624","-0.17600037"
"10","0.4385413","-0.09520149","-0.6594429","null","null","null"
"11","null","null","null","-0.2600682","0.003283304","-0.17477867"
"14","null","null","null","-0.26556584","-0.006490252","-0.17538951"
"14","0.29959798","-0.057961464","-0.64039993","null","null","null"
"16","null","null","null","-0.2716743","-0.016263809","-0.17294613"
"20","null","null","null","-0.2765611","-0.026037365","-0.16928105"
"20","0.18113078","-0.0069007874","-0.59845865","null","null","null"
"21","null","null","null","-0.28022617","-0.037032615","-0.16867019"
"24","null","null","null","-0.2832804","-0.048027866","-0.16439427"
"24","0.09844105","0.023461342","-0.517357","null","null","null"
"26","null","null","null","-0.2857238","-0.05841227","-0.15889664"
"29","null","null","null","-0.28633466","-0.06818583","-0.15339902"
"30","0.038451195","0.08673859","-0.43438566","null","null","null"
"31","null","null","null","-0.2857238","-0.07795938","-0.14240377"
"34","null","null","null","-0.28633466","-0.088954635","-0.12652174"
"34","-0.050731614","0.10788441","-0.33906853","null","null","null"
"37","null","null","null","-0.28511295","-0.10056073","-0.11247225"
"40","null","null","null","-0.2832804","-0.1066692","-0.101477005"
"40","-0.21131891","0.1074419","-0.29095757","null","null","null"
"43","null","null","null","-0.28022617","-0.11338852","-0.092314295"
"45","null","null","null","-0.27717194","-0.11949699","-0.08192989"
"45","-0.1819734","0.15448093","-0.1984111","null","null","null"
"47","null","null","null","-0.2716743","-0.12377293","-0.07459972"
"49","null","null","null","-0.26556584","-0.12743801","-0.0678804"
"49","-0.07844789","0.21422195","-0.09881914","null","null","null"
"51","null","null","null","-0.26067907","-0.12743801","-0.061161082"
"56","null","null","null","-0.25518143","-0.12865971","-0.05444176"
"56","-0.00955078","0.2794485","-0.043298125","null","null","null"
"56","null","null","null","-0.24907297","-0.12927055","-0.047722444"
"59","null","null","null","-0.2405211","-0.12743801","-0.04344651"
"59","0.0771648","0.30383873","-0.014981985","null","null","null"
"61","null","null","null","-0.23319094","-0.12499462","-0.038559735"
"63","null","null","null","-0.22647162","-0.12438377","-0.033062108"
"64","0.10899213","0.33879757","-0.032711387","null","null","null"
"66","null","null","null","-0.22036316","-0.12499462","-0.028786177"
"68","null","null","null","-0.21547636","-0.12255123","-0.025731942"
"68","0.19081397","0.3533535","-0.05916941","null","null","null"
"71","null","null","null","-0.20997874","-0.1182753","-0.022677705"
"74","null","null","null","-0.20570281","-0.110945135","-0.020234315"
"74","0.24129957","0.33935738","-0.09774196","null","null","null"
"75","null","null","null","-0.20081604","-0.10605835","-0.020234315"
"78","null","null","null","-0.19715095","-0.098117344","-0.019623468"
"79","0.26641762","0.33384323","-0.11978316","null","null","null"
"80","null","null","null","-0.19470756","-0.09200887","-0.02145601"
"83","0.3161205","0.2904253","-0.13953805","null","null","null"
"84","null","null","null","-0.19104248","-0.08345701","-0.019623468"
"85","null","null","null","-0.18920994","-0.07490514","-0.02145601"
"88","null","null","null","-0.18676655","-0.06818583","-0.024510246"
"88","0.33668354","0.27826595","-0.15578496","null","null","null"
"90","null","null","null","-0.184934","-0.06024481","-0.026953636"
"93","null","null","null","-0.18432316","-0.05413634","-0.02817533"
"93","0.3318228","0.24604893","-0.18747067","null","null","null"
"96","null","null","null","-0.18310146","-0.050471254","-0.03061872"
"98","null","null","null","-0.18126893","-0.046195325","-0.034283802"
"98","0.3124622","0.21530151","-0.19170022","null","null","null"
"100","null","null","null","-0.18310146","-0.04191939","-0.037948888"
"103","null","null","null","-0.18371232","-0.04008685","-0.040392276"
"104","0.2940791","0.17648792","-0.21719635","null","null","null"
"105","null","null","null","-0.184934","-0.03825431","-0.04344651"
"108","null","null","null","-0.18371232","-0.03642177","-0.047111593"
"108","0.2553564","0.16054058","-0.2721151","null","null","null"
"110","null","null","null","-0.1861557","-0.035200074","-0.051387526"
"113","null","null","null","-0.1861557","-0.03642177","-0.058106847"
"113","0.1951348","0.13877392","-0.27188218","null","null","null"
"116","null","null","null","-0.18554485","-0.035200074","-0.06910209"
"118","null","null","null","-0.1861557","-0.033367533","-0.08009735"
"118","0.24487379","0.13619137","-0.25979793","null","null","null"
"120","null","null","null","-0.18554485","-0.032756682","-0.08498412"
"124","null","null","null","-0.1873774","-0.03581092","-0.082540736"
"124","0.2545971","0.1300621","-0.2026757","null","null","null"
"125","null","null","null","-0.18982078","-0.040697698","-0.0782648"
"127","null","null","null","-0.19043164","-0.051692948","-0.07032379"
"128","0.015498608","0.056268692","-0.23134184","null","null","null"
"130","null","null","null","-0.19348587","-0.060855657","-0.060550235"
"132","null","null","null","-0.19348587","-0.06940752","-0.049554985"
"133","-0.12202096","0.032892227","-0.23232377","null","null","null"
"135","null","null","null","-0.19348587","-0.079181075","-0.042224817"
"137","null","null","null","-0.19226417","-0.08712209","-0.03672719"
"137","-0.16966803","0.01918888","-0.1894244","null","null","null"
"140","null","null","null","-0.18920994","-0.09323056","-0.03061872"
"142","null","null","null","-0.184934","-0.09933904","-0.026953636"
"143","-0.0987836","0.060235023","-0.10561693","null","null","null"
"145","null","null","null","-0.18187977","-0.10544751","-0.02145601"
"147","null","null","null","-0.17760384","-0.10850175","-0.015958386"
"147","-0.07778089","0.073679924","-0.031174421","null","null","null"
"150","null","null","null","-0.17393875","-0.11155598","-0.0092390645"
"152","-0.0835945","0.06331158","7.659197E-4","null","null","null"
"153","null","null","null","-0.17149536","-0.11583191","-0.002519745"
"155","null","null","null","-0.16721943","-0.120107844","0.0035887277"
"157","null","null","null","-0.1641652","-0.12255123","0.007253811"
"158","-0.04602775","0.05663395","0.022603273","null","null","null"
"161","null","null","null","-0.16172181","-0.12804885","0.012751437"
"163","null","null","null","-0.15927842","-0.1298814","0.017638214"
"163","0.051106393","0.073783875","0.020267367","null","null","null"
"176","null","null","null","-0.15805672","-0.13354649","0.021303298"
"176","0.13002613","0.055200577","0.026064038","null","null","null"
"176","null","null","null","-0.15500249","-0.13721156","0.023746688"
"176","0.21214147","0.01423645","0.0055383444","null","null","null"
