"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.012369657","-0.07666133","0.044133715"
"3","null","null","null","-0.008093726","-0.074217945","0.045966256"
"4","-0.097754955","-0.036595345","0.26058832","null","null","null"
"5","null","null","null","-0.0062611843","-0.070552856","0.04963134"
"8","null","null","null","-0.00503949","-0.06566608","0.052685577"
"9","-0.13629174","-0.018758774","0.25987393","null","null","null"
"9","null","null","null","-0.0013744063","-0.060779303","0.056961507"
"13","-0.18132973","0.0132780075","0.23975316","null","null","null"
"14","null","null","null","-1.5271181E-4","-0.05283829","0.0581832"
"16","null","null","null","4.5813544E-4","-0.049173206","0.062459134"
"17","null","null","null","0.0022906773","-0.044897273","0.065513365"
"18","-0.20195103","0.040410995","0.22190556","null","null","null"
"20","null","null","null","0.0035123718","-0.040621344","0.068567604"
"22","-0.22211885","0.10065651","0.17545843","null","null","null"
"22","null","null","null","0.0047340663","-0.038177952","0.07162184"
"25","null","null","null","0.0035123718","-0.033902023","0.07284354"
"28","null","null","null","0.0035123718","-0.030236939","0.074676074"
"29","-0.20989323","0.16877365","0.13997954","null","null","null"
"30","null","null","null","0.00167983","-0.027182704","0.07773031"
"33","null","null","null","0.00167983","-0.024128467","0.07956286"
"35","-0.17973852","0.22097778","0.07746178","null","null","null"
"36","null","null","null","0.00167983","-0.022295926","0.082006246"
"38","null","null","null","-1.5271181E-4","-0.021685077","0.08383878"
"38","-0.1342063","0.27638245","0.06292406","null","null","null"
"40","null","null","null","-0.0013744063","-0.019852536","0.08567133"
"43","-0.06990695","0.30171108","0.009419143","null","null","null"
"43","null","null","null","-0.0038177953","-0.016798299","0.08689302"
"44","null","null","null","-0.004428643","-0.018630842","0.08628218"
"47","0.05561304","0.2924137","-0.012672514","null","null","null"
"48","null","null","null","-0.0056503373","-0.017409148","0.08750387"
"50","null","null","null","-0.008704574","-0.017409148","0.088114716"
"54","null","null","null","-0.011147963","-0.018019995","0.088114716"
"55","0.17539167","0.27016258","-0.027245492","null","null","null"
"55","null","null","null","-0.01175881","-0.018630842","0.08750387"
