"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.072169274","-0.05608177","-0.11194807","null","null","null"
"4","null","null","null","-0.009620844","0.13354649","-0.09292514"
"5","null","null","null","-0.009620844","0.13537902","-0.09353599"
"8","null","null","null","-0.010231691","0.13782242","-0.09414683"
"9","0.06951955","-0.06408882","-0.11760265","null","null","null"
"10","null","null","null","-0.009620844","0.14026581","-0.09536853"
"11","null","null","null","-0.011453386","0.1427092","-0.097811915"
"11","0.056316674","-0.070848465","-0.119681776","null","null","null"
"12","null","null","null","-0.011453386","0.14393088","-0.1002553"
"13","null","null","null","-0.010231691","0.14637427","-0.100866154"
"14","0.07307497","-0.0644989","-0.16686928","null","null","null"
"15","null","null","null","-0.011453386","0.14942852","-0.1026987"
"20","null","null","null","-0.010842538","0.15003936","-0.10514209"
"24","0.09932861","-0.06176567","-0.17094636","null","null","null"
"26","null","null","null","-0.009009997","0.15370443","-0.104531236"
"27","null","null","null","-0.008399149","0.15675868","-0.106974624"
"28","0.09456414","-0.06854248","-0.1428268","null","null","null"
"29","null","null","null","-0.008399149","0.15614784","-0.10880717"
"30","null","null","null","-0.008399149","0.15859123","-0.10941801"
"30","0.07811728","-0.06339359","-0.11967492","null","null","null"
"31","null","null","null","-0.009009997","0.15614784","-0.110639706"
"34","null","null","null","-0.008399149","0.15675868","-0.11186141"
"35","0.070223555","-0.040480614","-0.1169067","null","null","null"
"35","null","null","null","-0.005955761","0.15736952","-0.1130831"
"43","null","null","null","-0.0047340663","0.15492614","-0.114304796"
"44","0.06844656","-0.02368164","-0.14604896","null","null","null"
"45","null","null","null","-0.0035123718","0.15492614","-0.11613733"
"45","null","null","null","-0.0010689828","0.15553698","-0.11735903"
"45","0.06327321","-0.024817467","-0.13918674","null","null","null"
"46","null","null","null","-4.5813544E-4","0.15370443","-0.11919157"
"48","0.0701697","-0.009313583","-0.13460362","null","null","null"
"48","null","null","null","0.0019852535","0.1506502","-0.120413266"
"50","null","null","null","0.003206948","0.14881766","-0.12224581"
"52","0.048668757","0.021507263","-0.13820004","null","null","null"
"53","null","null","null","0.00503949","0.14698513","-0.122856654"
"55","null","null","null","0.00503949","0.14637427","-0.1246892"
"57","null","null","null","0.008093726","0.14393088","-0.12530005"
"58","0.038156196","0.03190136","-0.13689542","null","null","null"
"60","null","null","null","0.010537115","0.14332004","-0.1259109"
"62","null","null","null","0.012369657","0.14515258","-0.1259109"
"63","0.028966784","0.06360054","-0.14604813","null","null","null"
"65","null","null","null","0.017256435","0.14332004","-0.12774344"
"67","null","null","null","0.020310672","0.14454173","-0.12774344"
"68","0.022313938","0.119997025","-0.16664273","null","null","null"
"70","null","null","null","0.022143213","0.14515258","-0.12835428"
"72","0.020498782","0.17594433","-0.17024153","null","null","null"
"72","null","null","null","0.023975754","0.14759597","-0.12896512"
"74","null","null","null","0.026419144","0.14942852","-0.12957597"
"79","null","null","null","0.028862532","0.15248275","-0.13018683"
"79","0.021108672","0.24094296","-0.13323283","null","null","null"
"80","null","null","null","0.03130592","0.15736952","-0.13201937"
"82","null","null","null","0.033138465","0.16042376","-0.13201937"
"82","0.019408122","0.27693272","-0.12599415","null","null","null"
"84","null","null","null","0.033749312","0.1622563","-0.13263021"
"86","null","null","null","0.033749312","0.16408885","-0.1338519"
"87","0.040313542","0.27108383","-0.10687232","null","null","null"
"90","null","null","null","0.033749312","0.16775393","-0.1338519"
"93","null","null","null","0.033138465","0.16714308","-0.1338519"
"93","0.038502276","0.24035645","-0.104542196","null","null","null"
"95","null","null","null","0.03436016","0.16958646","-0.1350736"
"97","null","null","null","0.036803547","0.17019732","-0.13568445"
"97","0.035578594","0.21345806","-0.104501724","null","null","null"
"101","null","null","null","0.039246935","0.17630579","-0.13690615"
"102","0.057631","0.18206024","-0.12084949","null","null","null"
"103","null","null","null","0.041690327","0.17997088","-0.13629529"
"104","null","null","null","0.039857782","0.18791188","-0.13690615"
"107","0.043896645","0.13667679","-0.121694684","null","null","null"
"108","null","null","null","0.03863609","0.1958529","-0.13934954"
"110","null","null","null","0.036803547","0.20440477","-0.13873868"
"112","null","null","null","0.0361927","0.21173494","-0.13934954"
"112","0.05399087","0.12964916","-0.083497465","null","null","null"
"115","null","null","null","0.033138465","0.21967594","-0.13996038"
"117","0.050862044","0.10604572","-0.07906681","null","null","null"
"117","null","null","null","0.03130592","0.22517358","-0.13751699"
"120","null","null","null","0.030084228","0.23189288","-0.13751699"
"122","null","null","null","0.028251685","0.23922306","-0.13690615"
"122","0.015577823","0.06482601","-0.093815625","null","null","null"
"123","null","null","null","0.027640838","0.243499","-0.1350736"
"127","0.005325094","0.041748047","-0.08722091","null","null","null"
"128","null","null","null","0.024586603","0.24655323","-0.13324106"
"130","null","null","null","0.022143213","0.24899662","-0.13446276"
"132","null","null","null","0.020921519","0.24960746","-0.1338519"
"132","-0.027415633","0.015284538","-0.0915795","null","null","null"
"134","null","null","null","0.018478129","0.24838577","-0.13324106"
"137","null","null","null","0.017867282","0.24777491","-0.13324106"
"137","-0.034996748","-0.024025917","-0.101990044","null","null","null"
"141","null","null","null","0.017256435","0.2502183","-0.1338519"
"142","-0.011680536","-0.070129395","-0.17998683","null","null","null"
"143","null","null","null","0.018478129","0.2526617","-0.13201937"
"144","null","null","null","0.016034741","0.2618244","-0.13140851"
"147","null","null","null","0.012980504","0.2765611","-0.12896512"
"147","0.018349156","-0.10280132","-0.18864828","null","null","null"
"149","null","null","null","0.012369657","0.28877804","-0.12957597"
"151","null","null","null","0.009926268","0.2973299","-0.12957597"
"151","0.08835201","-0.10434914","-0.14280039","null","null","null"
"155","null","null","null","0.0056503373","0.30404922","-0.12835428"
"159","null","null","null","0.0038177953","0.3101577","-0.12896512"
"160","0.084062226","-0.094037056","-0.09882969","null","null","null"
"161","null","null","null","0.0025961008","0.316877","-0.13018683"
"162","null","null","null","0.0019852535","0.3229855","-0.13079767"
"162","0.012174837","-0.12774181","-0.098077774","null","null","null"
"163","null","null","null","7.635591E-4","0.33336988","-0.12896512"
"166","0.023738913","-0.15641594","-0.13772398","null","null","null"
"167","null","null","null","0.0025961008","0.34192175","-0.12530005"
"169","null","null","null","0.003206948","0.3516953","-0.12530005"
"171","null","null","null","1.5271181E-4","0.36391225","-0.1259109"
"171","-0.032620862","-0.18009853","-0.03934282","null","null","null"
"174","null","null","null","-0.0010689828","0.37246412","-0.1246892"
"176","0.022928298","-0.18579102","-0.025052607","null","null","null"
"177","null","null","null","-0.0029015245","0.381016","-0.12407835"
"180","null","null","null","-0.0071774554","0.3852919","-0.1246892"
"181","-0.049007162","-0.2152071","0.04103172","null","null","null"
"181","null","null","null","-0.010231691","0.39017868","-0.1259109"
"183","null","null","null","-0.01267508","0.396898","-0.1246892"
"185","null","null","null","-0.014507622","0.40361732","-0.12224581"
"186","-0.09911955","-0.25270367","6.864667E-4","null","null","null"
"190","null","null","null","-0.0151184695","0.4109475","-0.12163496"
"191","-0.18935078","-0.3195753","0.08399117","null","null","null"
"192","null","null","null","-0.018172706","0.41705596","-0.120413266"
"193","null","null","null","-0.020005248","0.41949937","-0.11735903"
"198","null","null","null","-0.02183779","0.4188885","-0.11735903"
"200","-0.21492487","-0.3123045","0.038203537","null","null","null"
"202","null","null","null","-0.025502874","0.41583428","-0.11552649"
"203","-0.31159398","-0.35496998","0.032937825","null","null","null"
"203","null","null","null","-0.02611372","0.41583428","-0.11491564"
"204","null","null","null","-0.026724568","0.41033664","-0.11186141"
"205","null","null","null","-0.027946262","0.4097258","-0.107585475"
"206","-0.40887952","-0.37116432","0.011039734","null","null","null"
"208","null","null","null","-0.029167956","0.4072824","-0.10575293"
"211","-0.4450256","-0.39199066","-0.002598524","null","null","null"
"211","null","null","null","-0.035887275","0.404839","-0.10392039"
"212","null","null","null","-0.03955236","0.39873055","-0.10575293"
"215","null","null","null","-0.04688253","0.3932329","-0.107585475"
"216","-0.4285062","-0.36876488","-0.10801822","null","null","null"
"221","null","null","null","-0.06398625","0.37979427","-0.12224581"
"221","null","null","null","-0.09758285","0.36513394","-0.1546207"
"223","-0.24550372","-0.28417587","-0.25468516","null","null","null"
"223","null","null","null","-0.13484453","0.36391225","-0.16439427"
"225","0.7812964","0.06644535","-1.1791279","null","null","null"
"226","null","null","null","-0.18920994","0.33336988","-0.16317257"
"228","null","null","null","-0.2081462","0.32726142","-0.15584241"
"230","null","null","null","-0.1861557","0.33642414","-0.13079767"
"230","-0.07693426","-0.21040916","-1.9883271","null","null","null"
"232","null","null","null","-0.11835165","0.36146885","-0.09903361"
"235","null","null","null","-0.048104223","0.3816268","-0.07032379"
"235","-1.4117587","-0.7064266","0.28559482","null","null","null"
"238","null","null","null","-0.02183779","0.3736858","-0.06177193"
"240","null","null","null","-0.03771982","0.3669665","-0.07032379"
"240","-1.634727","-0.8324442","3.2375703","null","null","null"
"242","null","null","null","-0.056656085","0.3749075","-0.076432265"
"244","-0.46417654","-0.18712711","-0.17667991","null","null","null"
"245","null","null","null","-0.065818794","0.38712445","-0.07276718"
"247","null","null","null","-0.065818794","0.39017868","-0.06910209"
"250","-0.3815724","-0.3473034","-0.29953516","null","null","null"
"250","null","null","null","-0.07070557","0.38468108","-0.067269556"
"252","null","null","null","-0.078035735","0.37979427","-0.06910209"
"255","null","null","null","-0.08231167","0.3761292","-0.0678804"
"255","-0.62723356","-0.38511372","0.0066131353","null","null","null"
"257","null","null","null","-0.08597675","0.3749075","-0.06482617"
"260","null","null","null","-0.08719844","0.37002072","-0.06482617"
"261","-0.66444","-0.33122635","-0.23376161","null","null","null"
"262","null","null","null","-0.09086353","0.36879903","-0.062382776"
"265","null","null","null","-0.09513946","0.36635566","-0.05993939"
"265","-0.73472446","-0.39533234","-0.08662343","null","null","null"
"267","null","null","null","-0.100637086","0.3657448","-0.057496"
"270","null","null","null","-0.103691325","0.3657448","-0.055663455"
"270","-0.721531","-0.39958477","-0.13581288","null","null","null"
"272","null","null","null","-0.109188944","0.36513394","-0.056274302"
