"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.0132859275","-0.017409148","-0.005955761"
"1","8.7833405E-4","-0.018924713","0.008423507","null","null","null"
"2","null","null","null","0.01267508","-0.018630842","-0.0053449133"
"4","null","null","null","0.0132859275","-0.016798299","-0.004123219"
"5","0.0042665005","-0.046117783","0.014015496","null","null","null"
"7","null","null","null","0.0132859275","-0.019241689","-0.0035123718"
"9","null","null","null","0.01267508","-0.019241689","-0.0029015245"
"10","-0.0029857159","-0.056440353","0.026709706","null","null","null"
"11","null","null","null","0.01267508","-0.019852536","-0.00167983"
"14","null","null","null","0.0132859275","-0.022906773","-0.0010689828"
"15","-0.033831835","-0.06783199","0.032212496","null","null","null"
"17","null","null","null","0.0132859275","-0.022295926","0.0013744063"
"19","-0.026267052","-0.058882713","0.029345334","null","null","null"
"19","null","null","null","0.014507622","-0.02351762","0.003206948"
"22","null","null","null","0.012064233","-0.022906773","0.0025961008"
"25","null","null","null","0.012064233","-0.024128467","0.0025961008"
"25","-0.030620813","-0.032200813","0.013536513","null","null","null"
"27","null","null","null","0.010842538","-0.022906773","0.004428643"
"29","null","null","null","0.012064233","-0.02535016","0.004428643"
"30","-0.0372293","-0.015208244","-0.008038223","null","null","null"
"31","null","null","null","0.011453386","-0.024128467","0.00503949"
"34","-0.036618233","-0.020896912","-0.0032986999","null","null","null"
"34","null","null","null","0.010842538","-0.024739314","0.0056503373"
"36","null","null","null","0.010231691","-0.02351762","0.0062611843"
"39","null","null","null","0.008399149","-0.022295926","0.006872032"
"39","-0.049019337","-0.0051546097","0.018075794","null","null","null"
"42","null","null","null","0.008399149","-0.022906773","0.006872032"
"44","-0.048229933","-0.034644127","0.019148529","null","null","null"
"44","null","null","null","0.008399149","-0.024739314","0.007482879"
"46","null","null","null","0.0071774554","-0.02351762","0.008704574"
"49","null","null","null","0.0077883024","-0.024128467","0.008093726"
"49","-0.04976678","-0.0401268","-0.0011141896","null","null","null"
"51","null","null","null","0.0077883024","-0.022906773","0.008704574"
"54","null","null","null","0.009620844","-0.021685077","0.009926268"
"54","-0.05718875","-0.040798187","0.010761946","null","null","null"
"56","null","null","null","0.009009997","-0.021685077","0.01175881"
"59","null","null","null","0.008399149","-0.022295926","0.010537115"
"59","-0.05140996","-0.049738884","0.028469086","null","null","null"
"61","null","null","null","0.009620844","-0.022906773","0.012980504"
"64","null","null","null","0.009009997","-0.02107423","0.014202199"
"64","-0.061002254","-0.052628517","0.023446828","null","null","null"
"66","null","null","null","0.011453386","-0.021685077","0.014813046"
"68","-0.0561862","-0.068514824","0.011258811","null","null","null"
"69","null","null","null","0.011453386","-0.02351762","0.016034741"
"71","null","null","null","0.010842538","-0.022906773","0.016034741"
"73","null","null","null","0.0132859275","-0.024739314","0.017256435"
"73","-0.046603918","-0.054570198","0.022907317","null","null","null"
"76","null","null","null","0.01267508","-0.027182704","0.017256435"
"78","-0.0477798","-0.047860146","0.020187557","null","null","null"
"79","null","null","null","0.014507622","-0.02535016","0.016034741"
"81","null","null","null","0.0151184695","-0.02535016","0.016034741"
"83","null","null","null","0.016951011","-0.02535016","0.016645588"
"84","-0.063206434","-0.048326492","0.020926416","null","null","null"
"86","null","null","null","0.016951011","-0.026571855","0.016645588"
"88","null","null","null","0.018172706","-0.026571855","0.014813046"
"88","-0.039355516","-0.0309906","0.008553892","null","null","null"
"91","null","null","null","0.018172706","-0.025961008","0.014202199"
"93","null","null","null","0.018172706","-0.026571855","0.014813046"
"94","-0.043061018","-0.0138196945","-0.01561904","null","null","null"
"95","null","null","null","0.016340164","-0.026571855","0.014813046"
"99","null","null","null","0.018172706","-0.028404398","0.014202199"
"99","-0.032488108","-0.019348145","-0.02290976","null","null","null"
"101","null","null","null","0.018783553","-0.028404398","0.012980504"
"103","null","null","null","0.018783553","-0.029626092","0.014202199"
"103","-0.042220592","-0.014158249","-0.04680097","null","null","null"
"107","null","null","null","0.017561859","-0.030236939","0.012369657"
"109","null","null","null","0.017561859","-0.030847786","0.012369657"
"109","-0.031742573","-0.0090351105","-0.033613145","null","null","null"
"112","null","null","null","0.015729317","-0.030847786","0.012980504"
"114","null","null","null","0.015729317","-0.032069482","0.012369657"
"114","-0.023709774","-0.0039539337","-0.029934347","null","null","null"
"115","null","null","null","0.015729317","-0.033902023","0.009926268"
"118","null","null","null","0.015729317","-0.033291176","0.009315421"
"118","-0.019436836","-0.002530098","-0.0072564483","null","null","null"
"121","null","null","null","0.0151184695","-0.03451287","0.010537115"
"123","null","null","null","0.014507622","-0.035734564","0.008704574"
"123","-0.025879145","-0.0023088455","-0.013190329","null","null","null"
"126","null","null","null","0.0132859275","-0.03451287","0.008704574"
"128","null","null","null","0.013896775","-0.0387888","0.007482879"
"129","-0.025209665","0.00500679","-0.03205186","null","null","null"
"131","null","null","null","0.0132859275","-0.0387888","0.008093726"
"133","null","null","null","0.011453386","-0.040010497","0.0062611843"
"133","-0.038825035","-0.0055656433","-0.042345047","null","null","null"
"135","null","null","null","0.011453386","-0.041843038","0.007482879"
"138","null","null","null","0.011453386","-0.04123219","0.007482879"
"138","-0.042811394","5.7315826E-4","-0.025172412","null","null","null"
"142","null","null","null","0.0132859275","-0.04123219","0.008093726"
"144","null","null","null","0.0132859275","-0.040621344","0.007482879"
"145","-0.05743599","-0.012321472","-0.021293223","null","null","null"
"145","null","null","null","0.012064233","-0.04123219","0.006872032"
"148","null","null","null","0.012064233","-0.041843038","0.006872032"
"148","-0.057733297","-0.004948616","4.246235E-4","null","null","null"
"150","null","null","null","0.013896775","-0.042453885","0.0062611843"
"152","null","null","null","0.0132859275","-0.041843038","0.006872032"
"152","-0.063975334","-0.009508133","0.0017232299","null","null","null"
"155","null","null","null","0.013896775","-0.041843038","0.006872032"
"158","null","null","null","0.0132859275","-0.0387888","0.0062611843"
"158","-0.047615767","-0.011657715","0.0029794574","null","null","null"
