"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.07819086","0.08618832","0.048243344","null","null","null"
"3","null","null","null","0.04795151","-0.008551862","-0.023059484"
"4","null","null","null","0.049784053","-0.012216945","-0.022448637"
"5","0.021909237","0.057058334","-0.050614774","null","null","null"
"6","null","null","null","0.049173206","-0.014049487","-0.022448637"
"7","null","null","null","0.049173206","-0.018325418","-0.020005248"
"10","null","null","null","0.048562355","-0.02260135","-0.017561859"
"11","-0.040830433","-0.010993004","-0.021580875","null","null","null"
"14","null","null","null","0.04795151","-0.023212196","-0.018172706"
"15","null","null","null","0.04734066","-0.025044737","-0.015729317"
"15","-0.08633053","-0.06541729","-0.009337962","null","null","null"
"16","null","null","null","0.048562355","-0.026266431","-0.013896775"
"19","-0.10518783","-0.11106777","-0.003187418","null","null","null"
"20","null","null","null","0.049173206","-0.02443389","-0.013896775"
"21","null","null","null","0.046118967","-0.023212196","-0.013896775"
"24","null","null","null","0.04795151","-0.019547112","-0.010231691"
"24","-0.13212264","-0.14921379","-0.024315894","null","null","null"
"26","null","null","null","0.046729814","-0.015882028","-0.012064233"
"30","null","null","null","0.046729814","-0.01099525","-0.013896775"
"31","-0.104294956","-0.18348408","-0.0037320256","null","null","null"
"32","null","null","null","0.046729814","-0.004886778","-0.013896775"
"39","null","null","null","0.0503949","-0.0","-0.014507622"
"40","-0.0696671","-0.1866045","0.12339622","null","null","null"
"41","null","null","null","0.051616594","0.007330167","-0.016340164"
"41","-0.043775797","-0.1707077","0.13180318","null","null","null"
"42","null","null","null","0.049784053","0.012827792","-0.016340164"
"42","null","null","null","0.0503949","0.019547112","-0.016951011"
"43","-0.039561808","-0.14901066","0.090215445","null","null","null"
"44","null","null","null","0.05222744","0.025655584","-0.018172706"
"46","null","null","null","0.05283829","0.029931515","-0.020616096"
"48","null","null","null","0.055281676","0.03298575","-0.02183779"
"49","-0.037956715","-0.1263113","0.21500534","null","null","null"
"51","null","null","null","0.05650337","0.035429142","-0.02367033"
"55","null","null","null","0.055892523","0.03787253","-0.02367033"
"56","-0.047178507","-0.08718586","0.270975","null","null","null"
"56","null","null","null","0.057725064","0.038483378","-0.02367033"
"58","null","null","null","0.060168456","0.039094225","-0.024892027"
"59","-0.07772553","-0.041258812","0.13640797","null","null","null"
"61","null","null","null","0.06322269","0.03787253","-0.02611372"
"63","-0.09271079","-0.0123233795","0.21038699","null","null","null"
"64","null","null","null","0.06810947","0.036650836","-0.027946262"
"65","null","null","null","0.06933116","0.035429142","-0.02611372"
"68","null","null","null","0.0723854","0.03298575","-0.02611372"
"69","-0.13007319","0.04250145","0.34761342","null","null","null"
"71","null","null","null","0.07666133","0.028709821","-0.026724568"
"73","null","null","null","0.07788303","0.02687728","-0.027946262"
"73","-0.15173087","0.08263683","0.23887599","null","null","null"
"75","null","null","null","0.08215895","0.025655584","-0.027335415"
"78","null","null","null","0.08460235","0.02443389","-0.026724568"
"79","-0.18268219","0.13194847","0.17705831","null","null","null"
"81","null","null","null","0.09009997","0.023823043","-0.027946262"
"82","null","null","null","0.09132166","0.023212196","-0.026724568"
"83","-0.22169417","0.1808672","0.3480811","null","null","null"
"86","null","null","null","0.09498675","0.026266431","-0.025502874"
"88","null","null","null","0.09681929","0.028709821","-0.025502874"
"89","-0.26861364","0.18665886","0.34173226","null","null","null"
"93","null","null","null","0.10048437","0.02687728","-0.02611372"
"94","-0.27600086","0.18528938","0.26038647","null","null","null"
"95","null","null","null","0.102316916","0.031764057","-0.02611372"
"95","null","null","null","0.10414946","0.032374904","-0.024281178"
"98","null","null","null","0.10964708","0.034818295","-0.024281178"
"98","-0.30580437","0.16733074","0.35987893","null","null","null"
