"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.013896775","-0.05222744","-0.005955761"
"5","null","null","null","0.0132859275","-0.049784053","-0.004123219"
"6","-0.26902342","-0.13574886","-0.027193785","null","null","null"
"8","null","null","null","0.015729317","-0.049173206","-0.0053449133"
"9","null","null","null","0.015729317","-0.046729814","-0.0053449133"
"10","-0.22316933","-0.18088055","-0.029366657","null","null","null"
"10","null","null","null","0.018172706","-0.04734066","-0.0047340663"
"11","-0.17766857","-0.20428085","-0.028142154","null","null","null"
"12","null","null","null","0.021226943","-0.04795151","-0.0047340663"
"16","null","null","null","0.022448637","-0.04795151","-0.004123219"
"17","null","null","null","0.026724568","-0.04734066","-0.00167983"
"18","-0.13602376","-0.19901943","-0.023593172","null","null","null"
"20","null","null","null","0.030389652","-0.048562355","-0.0022906773"
"22","-0.06499362","-0.19382381","-0.021792412","null","null","null"
"23","null","null","null","0.03283304","-0.048562355","-0.0010689828"
"26","null","null","null","0.035887275","-0.04734066","-0.0010689828"
"28","null","null","null","0.038941514","-0.04550812","-0.0010689828"
"28","-0.006396055","-0.16732025","-0.032124564","null","null","null"
"29","null","null","null","0.0413849","-0.043064732","1.5271181E-4"
"33","null","null","null","0.04382829","-0.03939965","0.0019852535"
"34","0.038761377","-0.13513088","-0.035437435","null","null","null"
"37","null","null","null","0.048104223","-0.037567105","0.0019852535"
"38","null","null","null","0.05054761","-0.035123717","0.00503949"
"38","0.06585598","-0.1091795","-0.03542307","null","null","null"
"39","null","null","null","0.051769305","-0.030236939","0.0056503373"
"42","null","null","null","0.05482354","-0.02535016","0.00503949"
"42","0.09282112","-0.1012764","-0.010578841","null","null","null"
"44","null","null","null","0.05971032","-0.02107423","0.007482879"
"46","null","null","null","0.062764555","-0.016798299","0.009926268"
"47","0.09836197","-0.097044945","-0.026580125","null","null","null"
"49","null","null","null","0.0645971","-0.011911522","0.009926268"
"51","null","null","null","0.06642964","-0.006413896","0.011147963"
"52","0.14431596","-0.122550964","-0.03542626","null","null","null"
"54","null","null","null","0.06765133","-0.0021379655","0.01175881"
"56","null","null","null","0.069483876","0.00335966","0.012369657"
"57","0.19353294","-0.14074326","-0.06085965","null","null","null"
"58","null","null","null","0.071927264","0.006413896","0.014202199"
"61","null","null","null","0.07559235","0.010689827","0.014813046"
"62","0.23652935","-0.13151455","-0.09336561","null","null","null"
"63","null","null","null","0.0762032","0.013744064","0.014202199"
"65","null","null","null","0.07742489","0.018019995","0.014813046"
"66","0.2886746","-0.11049557","-0.10430026","null","null","null"
"69","null","null","null","0.078646585","0.018019995","0.013591352"
"71","null","null","null","0.08292252","0.021685077","0.014813046"
"71","0.3201971","-0.06710243","-0.07849021","null","null","null"
"74","null","null","null","0.08597675","0.025961008","0.016034741"
"76","null","null","null","0.08842014","0.028404398","0.014813046"
"76","0.346776","0.0020227432","-0.06617595","null","null","null"
"79","null","null","null","0.09086353","0.03268033","0.016645588"
"82","null","null","null","0.094528615","0.03451287","0.018478129"
"82","0.34237885","0.063417435","-0.026853532","null","null","null"
"84","null","null","null","0.0981937","0.036956258","0.016645588"
"87","null","null","null","0.0981937","0.043064732","0.016645588"
"87","0.29287732","0.10530853","-0.001105845","null","null","null"
"89","null","null","null","0.100026235","0.048562355","0.019088976"
"90","0.26652098","0.13968563","0.03154835","null","null","null"
"92","null","null","null","0.10246963","0.05955761","0.020921519"
"96","null","null","null","0.106745556","0.07482879","0.020921519"
"97","0.24646366","0.1333828","0.11732468","null","null","null"
"97","null","null","null","0.109188944","0.09009997","0.023364907"
"100","null","null","null","0.11102149","0.104760304","0.023975754"
"102","null","null","null","0.11346488","0.11514471","0.02519745"
"102","0.21960998","0.09504604","0.16922536","null","null","null"
"105","null","null","null","0.11468657","0.12491827","0.02519745"
"106","null","null","null","0.115908265","0.13347013","0.027029991"
"106","0.18833578","0.073625565","0.098478526","null","null","null"
"110","null","null","null","0.11774081","0.14324369","0.028251685"
"111","0.16579211","0.03454113","0.06750512","null","null","null"
"112","null","null","null","0.1201842","0.1511847","0.029473381"
"114","null","null","null","0.12140589","0.16095825","0.028862532"
"118","null","null","null","0.12323844","0.17012095","0.027640838"
"118","0.15768576","-0.030334473","0.10923177","null","null","null"
"119","null","null","null","0.12751436","0.17806198","0.027640838"
"121","null","null","null","0.13056861","0.18661384","0.029473381"
"122","0.1710614","-0.08875179","0.12791264","null","null","null"
"123","null","null","null","0.13484453","0.19455485","0.033138465"
"125","null","null","null","0.13117945","0.1927223","0.034971006"
"126","0.19172621","-0.1574316","0.15111718","null","null","null"
"128","null","null","null","0.1317903","0.19027892","0.027640838"
"131","null","null","null","0.13484453","0.1951657","0.023364907"
"132","0.25337434","-0.10793781","-0.026512235","null","null","null"
"134","null","null","null","0.14156385","0.20982604","0.020921519"
"136","0.5125282","-0.19177246","-0.03323844","null","null","null"
"137","null","null","null","0.15011571","0.22570807","0.018478129"
"138","null","null","null","0.15683503","0.23853585","0.014813046"
"140","0.46777344","-0.43750763","0.27069378","null","null","null"
"141","null","null","null","0.16355436","0.24892026","0.012369657"
"143","null","null","null","0.16844113","0.26113722","0.009315421"
"145","null","null","null","0.17088452","0.27091077","0.0062611843"
"146","0.5715556","-0.34640312","0.17301619","null","null","null"
"149","null","null","null","0.17271706","0.28007346","0.004428643"
"151","0.69455254","-0.24654293","0.12364465","null","null","null"
"152","null","null","null","0.17332791","0.28679278","0.00503949"
"155","null","null","null","0.176993","0.29045787","0.0056503373"
"156","null","null","null","0.17760384","0.29290125","0.006872032"
"157","0.67891884","-0.15822697","0.074561715","null","null","null"
"158","null","null","null","0.17943639","0.29412296","0.008093726"
"160","0.604162","-0.0730505","0.03761226","null","null","null"
"161","null","null","null","0.18249062","0.2959555","0.008093726"
"164","null","null","null","0.18310146","0.29839888","0.006872032"
"167","null","null","null","0.18065807","0.3008423","0.009315421"
"168","0.5870248","0.017345428","0.05082652","null","null","null"
"168","null","null","null","0.17943639","0.3063399","0.014202199"
"170","null","null","null","0.17516045","0.31183752","0.022143213"
"170","0.4993013","0.038038254","0.030992538","null","null","null"
"173","null","null","null","0.17271706","0.3130592","0.030695075"
"175","null","null","null","0.16966283","0.3191677","0.033749312"
"175","0.24323094","0.08217144","-1.9478798E-4","null","null","null"
"178","null","null","null","0.16844113","0.33260635","0.032527618"
"180","null","null","null","0.16844113","0.3515426","0.03191677"
"180","0.25525892","0.1200037","0.051170737","null","null","null"
"182","null","null","null","0.1653869","0.37414396","0.027640838"
"184","null","null","null","0.16172181","0.39735615","0.026419144"
"185","0.33945262","0.07448101","0.18942705","null","null","null"
"188","null","null","null","0.15622419","0.41934663","0.027029991"
"190","null","null","null","0.14950487","0.44500223","0.030084228"
"191","0.2972908","0.04833412","0.17435339","null","null","null"
"192","null","null","null","0.1421747","0.46821442","0.03436016"
"195","null","null","null","0.13545538","0.48898324","0.039857782"
"196","0.15507889","0.01760006","0.1510221","null","null","null"
"197","null","null","null","0.13056861","0.50608695","0.04535541"
"200","null","null","null","0.12507097","0.5250232","0.050242186"
"201","0.03481245","0.014339447","0.16675258","null","null","null"
"202","null","null","null","0.11957335","0.5360185","0.0581832"
"204","null","null","null","0.11712996","0.5402944","0.06306998"
"205","-0.020891428","0.018116951","0.17590243","null","null","null"
"209","null","null","null","0.11529742","0.54212695","0.068567604"
"210","null","null","null","0.11163234","0.53724015","0.07773031"
"210","-0.07079363","0.018187523","0.1745466","null","null","null"
"212","null","null","null","0.109799795","0.5238015","0.08689302"
"215","null","null","null","0.110410646","0.51402795","0.090558104"
"216","-0.22287488","0.031163216","0.15654668","null","null","null"
"218","null","null","null","0.11163234","0.5085303","0.09422319"
"220","null","null","null","0.11285403","0.50975204","0.09605573"
"220","-0.19890809","0.03327465","0.22517553","null","null","null"
"222","null","null","null","0.11346488","0.5115846","0.097888276"
"224","null","null","null","0.11468657","0.51036286","0.09910997"
"225","-0.11206317","-2.8419495E-4","0.37746722","null","null","null"
"227","null","null","null","0.11224318","0.50730866","0.09972081"
"230","null","null","null","0.106745556","0.5012002","0.10460759"
"230","-0.14567208","-3.604889E-4","0.336346","null","null","null"
"232","null","null","null","0.10185878","0.4883724","0.10888352"
"234","null","null","null","0.09269607","0.47249034","0.11132691"
"235","-0.28076816","0.007814407","0.19382277","null","null","null"
"237","null","null","null","0.08597675","0.4523324","0.11438115"
"239","null","null","null","0.07742489","0.434007","0.11682454"
"239","-0.38013506","0.033700943","0.05760011","null","null","null"
"241","null","null","null","0.07131642","0.41201648","0.11865708"
"248","null","null","null","0.06520794","0.3930802","0.11865708"
"249","null","null","null","0.06154286","0.3747548","0.119267926"
"249","-0.47150135","0.035621643","0.0913063","null","null","null"
"250","null","null","null","0.05787778","0.35520768","0.11804623"
"250","-0.5467541","0.057720184","0.19361407","null","null","null"
"252","null","null","null","0.054212693","0.33688226","0.116213694"
"255","null","null","null","0.052991","0.31855685","0.1137703"
"256","-0.58602","0.11885071","0.2961746","null","null","null"
"257","null","null","null","0.051158458","0.29839888","0.10827268"
"260","-0.61829305","0.20329857","0.33824295","null","null","null"
"260","null","null","null","0.049936764","0.2715216","0.10582929"
"262","null","null","null","0.047493376","0.2403684","0.100331664"
"264","null","null","null","0.04566083","0.20982604","0.0917798"
"265","-0.6592462","0.30496502","0.29406688","null","null","null"
"267","null","null","null","0.04382829","0.18783553","0.08567133"
"269","null","null","null","0.040774055","0.17012095","0.075897776"
