"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.022219568","0.27388865","0.08192989"
"7","null","null","null","0.022830416","0.2696127","0.09048175"
"8","-1.006356","-0.41240788","0.042375207","null","null","null"
"9","null","null","null","0.024052111","0.26350424","0.100866154"
"10","null","null","null","0.021608721","0.25556323","0.10880717"
"11","-1.1122792","-0.46458435","0.011786342","null","null","null"
"11","null","null","null","0.01977618","0.24640052","0.11735903"
"12","null","null","null","0.016721943","0.23784865","0.1259109"
"13","-1.1681836","-0.5023985","-0.12736374","null","null","null"
"15","null","null","null","0.010613471","0.23051849","0.1338519"
"17","-1.2279528","-0.5414314","-0.2395969","null","null","null"
"18","null","null","null","0.00633754","0.216469","0.14179292"
"20","null","null","null","-0.0028251687","0.20913883","0.14729054"
"22","null","null","null","-0.009544488","0.20119782","0.1546207"
"23","-1.247498","-0.5350733","-0.38210052","null","null","null"
"24","null","null","null","-0.01565296","0.19508934","0.16195089"
"26","-1.2615056","-0.5096779","-0.4485221","null","null","null"
"27","null","null","null","-0.021761434","0.19203511","0.16867019"
"29","null","null","null","-0.0290916","0.18898088","0.17477867"
"31","null","null","null","-0.032756682","0.18714833","0.18088715"
"32","-1.2784679","-0.43896198","-0.46765447","null","null","null"
"33","null","null","null","-0.03642177","0.18470494","0.18760647"
"36","null","null","null","-0.038865156","0.18103985","0.19127154"
"38","-1.287662","-0.35643673","-0.5223098","null","null","null"
"40","null","null","null","-0.039476003","0.1700446","0.19676918"
"41","null","null","null","-0.04008685","0.15782766","0.20165595"
"42","-1.2580502","-0.2118845","-0.5995395","null","null","null"
"44","null","null","null","-0.039476003","0.13950224","0.20409934"
"46","-1.1479788","-0.040039062","-0.7998567","null","null","null"
"47","null","null","null","-0.040697698","0.12300937","0.20532103"
"49","null","null","null","-0.041308545","0.1040731","0.20837528"
"51","-1.0520313","0.09928703","-0.966459","null","null","null"
"52","null","null","null","-0.041308545","0.08574768","0.21020782"
"53","null","null","null","-0.04253024","0.06986566","0.21204035"
"56","-0.93925476","0.1882019","-0.9941472","null","null","null"
"56","null","null","null","-0.043751936","0.05276193","0.20959696"
"59","null","null","null","-0.045584477","0.03565821","0.20898612"
"61","null","null","null","-0.04741702","0.016111096","0.20776442"
"62","-0.79192424","0.25785637","-0.9715028","null","null","null"
"63","null","null","null","-0.049860407","-0.001603474","0.20471019"
"66","null","null","null","-0.052303795","-0.016874656","0.20287764"
"66","-0.63289356","0.3046875","-0.91287845","null","null","null"
"69","null","null","null","-0.055358034","-0.02725906","0.20043425"
"72","null","null","null","-0.05841227","-0.035200074","0.19615832"
"73","-0.4957566","0.32274437","-0.72856987","null","null","null"
"74","null","null","null","-0.06024481","-0.04497363","0.1906607"
"76","-0.3508122","0.3335991","-0.5503222","null","null","null"
"76","null","null","null","-0.061466504","-0.052303795","0.18638477"
"78","null","null","null","-0.0626882","-0.05596888","0.1827197"
"81","null","null","null","-0.06452074","-0.059023116","0.1778329"
"82","-0.22673193","0.34922123","-0.36143124","null","null","null"
"82","null","null","null","-0.063299045","-0.060855657","0.17233528"
"87","null","null","null","-0.063299045","-0.06024481","0.16805935"
"88","-0.12598643","0.3445158","-0.1345424","null","null","null"
"90","null","null","null","-0.06452074","-0.05841227","0.16256173"
"90","null","null","null","-0.063909896","-0.051692948","0.15584241"
"91","-0.018742204","0.34222317","0.07179183","null","null","null"
"94","null","null","null","-0.06452074","-0.04680617","0.15034479"
"95","null","null","null","-0.06879667","-0.03642177","0.14301461"
