"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.4187727","0.21523762","0.19506335","null","null","null"
"3","null","null","null","-0.020921519","0.08521319","-0.062764555"
"4","null","null","null","-0.020921519","0.083380654","-0.05971032"
"5","null","null","null","-0.022143213","0.08093726","-0.059099473"
"5","-0.3106506","0.17454433","0.18153465","null","null","null"
"6","null","null","null","-0.02275406","0.07727218","-0.060932014"
"9","null","null","null","-0.025808297","0.074217945","-0.060932014"
"11","-0.24973965","0.12821102","0.18137896","null","null","null"
"14","null","null","null","-0.025808297","0.07177455","-0.062764555"
"16","-0.18111062","0.091706276","0.22530365","null","null","null"
"17","null","null","null","-0.026419144","0.067498624","-0.06520794"
"18","null","null","null","-0.027640838","0.067498624","-0.069483876"
"19","-0.10624194","0.024532318","0.26544094","null","null","null"
"19","null","null","null","-0.029473381","0.06688777","-0.07314896"
"21","null","null","null","-0.03191677","0.06810947","-0.07681404"
"24","-0.066789865","-0.036284447","0.3184923","null","null","null"
"25","null","null","null","-0.03436016","0.06872032","-0.081700824"
"26","null","null","null","-0.036803547","0.0723854","-0.08719844"
"29","null","null","null","-0.03863609","0.07605048","-0.09330692"
"30","-0.050768375","-0.08608627","0.3486818","null","null","null"
"32","null","null","null","-0.041079476","0.080326416","-0.09758285"
"33","null","null","null","-0.044133715","0.0827698","-0.103691325"
"33","-0.048467636","-0.13801861","0.37637377","null","null","null"
"36","null","null","null","-0.048409645","0.08460235","-0.1085781"
"38","null","null","null","-0.04963134","0.08704574","-0.11407573"
"39","-0.038397074","-0.17665005","0.38270319","null","null","null"
"40","null","null","null","-0.051463883","0.09132166","-0.11835165"
"43","null","null","null","-0.055739813","0.09376506","-0.12201674"
"44","-0.05616808","-0.21511078","0.36061096","null","null","null"
"45","null","null","null","-0.059404895","0.095597595","-0.12568182"
"47","null","null","null","-0.06368083","0.09681929","-0.12995775"
"48","-0.10028386","-0.24629402","0.3010279","null","null","null"
"52","null","null","null","-0.06673507","0.098651834","-0.13423368"
"53","null","null","null","-0.07101099","0.098651834","-0.13606623"
"53","-0.14319515","-0.24413681","0.21018815","null","null","null"
"55","null","null","null","-0.074676074","0.10109522","-0.13850962"
"57","null","null","null","-0.07834116","0.09987353","-0.14034216"
"58","-0.18239856","-0.2326231","0.15366352","null","null","null"
"61","null","null","null","-0.082006246","0.09987353","-0.14278555"
"62","null","null","null","-0.084449634","0.09926268","-0.1446181"
"63","-0.23214269","-0.2058878","0.108605385","null","null","null"
"65","null","null","null","-0.08994726","0.096208446","-0.14400724"
"67","null","null","null","-0.09422319","0.092543356","-0.14522894"
"68","-0.275537","-0.17827797","0.059638023","null","null","null"
"70","null","null","null","-0.09910997","0.089489125","-0.14645062"
"73","null","null","null","-0.10277505","0.08582404","-0.14522894"
"73","-0.2924497","-0.14980793","0.010372996","null","null","null"
"75","null","null","null","-0.107050985","0.0839915","-0.1446181"
"77","-0.31745982","-0.12876606","-0.021422029","null","null","null"
"77","null","null","null","-0.11132691","0.080326416","-0.14583978"
"81","null","null","null","-0.1137703","0.07910472","-0.1446181"
"82","-0.32674813","-0.1079483","-0.009868145","null","null","null"
"82","null","null","null","-0.11682454","0.072996244","-0.1446181"
"86","null","null","null","-0.119267926","0.0723854","-0.1421747"
"88","null","null","null","-0.122322164","0.07177455","-0.14156385"
"88","-0.33699012","-0.07426643","0.005448222","null","null","null"
"91","null","null","null","-0.12354386","0.07177455","-0.14156385"
"92","null","null","null","-0.12598725","0.07482879","-0.14156385"
"93","-0.31509018","-0.021905899","0.016048193","null","null","null"
"98","-0.2898538","0.018092155","0.03980601","null","null","null"
"99","null","null","null","-0.12965234","0.07605048","-0.140953"
"99","null","null","null","-0.13087402","0.079715565","-0.1421747"
"100","null","null","null","-0.13026318","0.0827698","-0.1421747"
"102","null","null","null","-0.13331741","0.086434886","-0.14400724"
"103","-0.26851273","0.06959152","0.07640171","null","null","null"
"105","null","null","null","-0.13637166","0.09193251","-0.14522894"
"107","-0.23805213","0.09445381","0.10808897","null","null","null"
"108","null","null","null","-0.13942589","0.09743014","-0.14583978"
"110","null","null","null","-0.14064758","0.102316916","-0.14767233"
"112","null","null","null","-0.14431266","0.108425386","-0.14767233"
"113","-0.1973474","0.12853336","0.11939514","null","null","null"
"115","null","null","null","-0.1473669","0.11514471","-0.15133741"
"117","null","null","null","-0.1485886","0.11942064","-0.15194826"
"118","-0.1632011","0.14204025","0.10458279","null","null","null"
"119","null","null","null","-0.15164283","0.12430742","-0.1537808"
"121","null","null","null","-0.15408622","0.1279725","-0.15561333"
"122","-0.1437962","0.14585114","0.11610699","null","null","null"
"124","null","null","null","-0.1565296","0.13469182","-0.15927842"
"128","null","null","null","-0.15836215","0.13652436","-0.15866758"
"129","-0.12720442","0.116285324","0.12998807","null","null","null"
"130","null","null","null","-0.1601947","0.14141114","-0.16111097"
"131","null","null","null","-0.16080554","0.14385453","-0.16294351"
"132","-0.11450744","0.0904541","0.14260316","null","null","null"
"134","null","null","null","-0.16202724","0.14446537","-0.16599774"
"137","null","null","null","-0.16263808","0.14935215","-0.16844113"
"137","-0.11406088","0.07068062","0.15157187","null","null","null"
"140","null","null","null","-0.16202724","0.15057385","-0.16966283"
"143","null","null","null","-0.16447063","0.15362808","-0.17210622"
"144","-0.118573666","0.03438759","0.16873837","null","null","null"
"144","null","null","null","-0.16385978","0.15546063","-0.17210622"
"147","null","null","null","-0.16263808","0.15790401","-0.17516045"
"148","-0.10303497","-0.007584572","0.20112658","null","null","null"
"150","null","null","null","-0.16447063","0.15973656","-0.17821468"
"152","null","null","null","-0.16447063","0.1615691","-0.18004723"
"152","-0.08078194","-0.04336548","0.1845665","null","null","null"
"154","null","null","null","-0.16508147","0.1615691","-0.18187977"
"161","-0.06360316","-0.07058811","0.17762685","null","null","null"
"162","null","null","null","-0.16447063","0.16279079","-0.18187977"
"162","null","null","null","-0.16569231","0.16340165","-0.18310146"
