"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.012064233","0.0290916","-0.0092390645"
"3","0.035279155","-0.006655693","-0.006365776","null","null","null"
"4","null","null","null","-0.01267508","0.027869906","-0.0092390645"
"7","null","null","null","-0.014507622","0.026037365","-0.0092390645"
"9","0.039367944","-0.014857292","-0.023426235","null","null","null"
"10","null","null","null","-0.016340164","0.023593975","-0.0086282175"
"11","0.016169876","-0.013484001","-0.06744975","null","null","null"
"12","null","null","null","-0.0193944","0.024204822","-0.007406523"
"13","null","null","null","-0.02183779","0.021150587","-0.006795676"
"14","null","null","null","-0.02611372","0.019318044","-0.0055739814"
"15","-0.02693817","-0.03228855","-0.10369983","null","null","null"
"16","null","null","null","-0.027335415","0.018707197","-0.0061848285"
"19","null","null","null","-0.029778805","0.01809635","-0.0061848285"
"20","-0.04951173","-0.025998116","-0.082454205","null","null","null"
"22","null","null","null","-0.028557109","0.016874656","-0.0061848285"
"23","null","null","null","-0.027946262","0.017485503","-0.0055739814"
"24","-0.05051884","-0.011451721","-0.038847387","null","null","null"
"26","null","null","null","-0.027335415","0.019928891","-0.0055739814"
"29","null","null","null","-0.025502874","0.020539738","-0.0055739814"
"30","-0.03131485","-0.00534153","0.0185588","null","null","null"
"32","null","null","null","-0.024892027","0.022372281","-0.004963134"
"33","null","null","null","-0.02367033","0.024204822","-0.0037414394"
"34","-0.014579028","0.016141891","0.05521059","null","null","null"
"34","null","null","null","-0.02183779","0.026037365","-0.0031305922"
"39","null","null","null","-0.022448637","0.028480753","-0.0037414394"
"40","-3.029108E-4","0.027942657","0.020237505","null","null","null"
"40","null","null","null","-0.021226943","0.026648212","-0.0037414394"
"42","null","null","null","-0.020005248","0.030313294","-0.0019088977"
"43","0.0020155907","0.03845215","0.01397562","null","null","null"
"44","null","null","null","-0.018172706","0.030313294","-0.0019088977"
"47","null","null","null","-0.016340164","0.029702447","-0.0012980504"
"48","0.024557024","0.036993027","0.0040472746","null","null","null"
"49","null","null","null","-0.0151184695","0.0290916","-0.0019088977"
"53","null","null","null","-0.016340164","0.030924143","-0.002519745"
"53","0.044507325","0.021298409","0.015496731","null","null","null"
"54","null","null","null","-0.015729317","0.030313294","-0.0019088977"
"57","null","null","null","-0.015729317","0.030313294","-0.0012980504"
"58","0.031083047","0.022351265","-0.0075742006","null","null","null"
"60","null","null","null","-0.015729317","0.030924143","-0.0031305922"
"63","null","null","null","-0.016951011","0.028480753","-0.002519745"
"63","0.0153366625","0.0032196045","-0.007870197","null","null","null"
"64","null","null","null","-0.017561859","0.030313294","-0.0019088977"
"68","null","null","null","-0.0193944","0.032145835","-0.0012980504"
"68","0.029460251","-0.022871017","-0.019930601","null","null","null"
"70","null","null","null","-0.018783553","0.032145835","-0.0019088977"
"73","0.013776243","-0.028560638","-0.011650801","null","null","null"
"73","null","null","null","-0.020616096","0.03153499","-0.0019088977"
"74","null","null","null","-0.02183779","0.033367533","-0.0037414394"
"77","null","null","null","-0.021226943","0.032756682","-0.0019088977"
"78","0.010053128","-0.017579079","-9.769797E-4","null","null","null"
"80","null","null","null","-0.020616096","0.033367533","-0.0037414394"
"83","null","null","null","-0.020616096","0.033367533","-0.0037414394"
"83","0.0122534335","-7.534027E-4","0.0048168898","null","null","null"
"85","null","null","null","-0.0193944","0.032756682","-0.0031305922"
"86","null","null","null","-0.020005248","0.032756682","-0.0031305922"
"87","0.023959339","-6.8950653E-4","-0.0025401711","null","null","null"
"89","null","null","null","-0.017561859","0.03153499","-0.0037414394"
"92","null","null","null","-0.018172706","0.03153499","-0.0037414394"
"92","0.035535246","0.013613701","0.007881105","null","null","null"
"94","null","null","null","-0.016951011","0.032756682","-0.0037414394"
"96","null","null","null","-0.018783553","0.033367533","-0.0037414394"
"97","0.030399531","0.01473999","-7.75218E-4","null","null","null"
"101","null","null","null","-0.016951011","0.03153499","-0.004352287"
"102","null","null","null","-0.018783553","0.03153499","-0.0037414394"
"102","0.026475102","0.020605087","-0.022419691","null","null","null"
"105","null","null","null","-0.018783553","0.030924143","-0.004352287"
"107","null","null","null","-0.020005248","0.032145835","-0.004352287"
"107","0.016633362","0.01693058","-0.030753821","null","null","null"
"109","null","null","null","-0.020616096","0.03397838","-0.006795676"
"111","null","null","null","-0.022448637","0.03153499","-0.0061848285"
"112","0.017458558","0.015668869","-0.035353333","null","null","null"
"114","null","null","null","-0.023059484","0.032145835","-0.004963134"
"117","null","null","null","-0.023059484","0.030313294","-0.007406523"
"117","0.01828733","0.020355225","-0.013729334","null","null","null"
"119","null","null","null","-0.023059484","0.030313294","-0.0055739814"
"120","null","null","null","-0.02367033","0.030313294","-0.0061848285"
"121","1.2791157E-4","0.030939102","-0.026697516","null","null","null"
"123","null","null","null","-0.025502874","0.030924143","-0.006795676"
"125","null","null","null","-0.025502874","0.030924143","-0.0080173705"
"126","-0.012015939","0.026011467","-0.03470713","null","null","null"
"128","null","null","null","-0.02611372","0.029702447","-0.006795676"
"132","null","null","null","-0.024892027","0.029702447","-0.0061848285"
"132","-0.008586466","0.012812614","-0.03671637","null","null","null"
"133","null","null","null","-0.025502874","0.030313294","-0.006795676"
"135","null","null","null","-0.024892027","0.0290916","-0.007406523"
"136","0.004281819","0.011594772","-0.011421084","null","null","null"
"139","null","null","null","-0.024281178","0.030924143","-0.007406523"
"142","null","null","null","-0.024892027","0.030313294","-0.006795676"
"143","0.0087353885","0.016321182","0.004139662","null","null","null"
"143","null","null","null","-0.024281178","0.03153499","-0.0055739814"
"146","null","null","null","-0.024281178","0.032145835","-0.007406523"
"147","-0.0010610521","0.0091362","0.018370867","null","null","null"
"149","null","null","null","-0.023059484","0.034589227","-0.007406523"
"153","null","null","null","-0.02367033","0.03581092","-0.0080173705"
"154","0.0022321045","0.0031957626","0.0110788345","null","null","null"
"154","null","null","null","-0.023059484","0.037032615","-0.0086282175"
"155","0.017357022","-0.0015068054","0.01807952","null","null","null"
"156","null","null","null","-0.023059484","0.03581092","-0.007406523"
"159","null","null","null","-0.021226943","0.040697698","-0.0086282175"
"161","null","null","null","-0.021226943","0.04191939","-0.0098499125"
"161","0.024000287","-0.0073604584","0.03444016","null","null","null"
"163","null","null","null","-0.020005248","0.04253024","-0.0098499125"
"166","null","null","null","-0.0193944","0.04314109","-0.0098499125"
"166","0.018692225","-1.1062622E-4","0.03872335","null","null","null"
"169","null","null","null","-0.018783553","0.04680617","-0.011071607"
"170","0.016928136","0.0047035217","0.04646772","null","null","null"
"171","null","null","null","-0.017561859","0.048027866","-0.011682454"
"174","null","null","null","-0.017561859","0.046195325","-0.011682454"
"176","null","null","null","-0.018783553","0.048638713","-0.011682454"
"176","0.030596226","0.0082912445","0.023283124","null","null","null"
"179","null","null","null","-0.017561859","0.049860407","-0.0122933015"
"180","null","null","null","-0.016951011","0.04741702","-0.013514996"
"181","0.01560536","0.010661125","-0.0033107996","null","null","null"
"184","null","null","null","-0.017561859","0.04741702","-0.013514996"
"186","null","null","null","-0.018172706","0.04497363","-0.014736691"
"187","0.0018622875","-0.0059776306","-0.014226794","null","null","null"
"189","null","null","null","-0.0193944","0.045584477","-0.014125843"
"191","null","null","null","-0.020005248","0.04497363","-0.0122933015"
"192","0.0025194883","-0.0011072159","-0.008347034","null","null","null"
"193","null","null","null","-0.018783553","0.04497363","-0.013514996"
"196","0.026882827","-0.004589081","0.008151889","null","null","null"
"196","null","null","null","-0.020005248","0.04497363","-0.014125843"
"198","null","null","null","-0.020616096","0.045584477","-0.014736691"
"200","null","null","null","-0.018783553","0.046195325","-0.014736691"
"201","0.03794366","-0.012784958","0.02334243","null","null","null"
"206","null","null","null","-0.018783553","0.044362783","-0.015958386"
"206","null","null","null","-0.017561859","0.044362783","-0.015347538"
"207","0.040555477","-0.01142025","0.03951788","null","null","null"
"209","null","null","null","-0.016340164","0.04497363","-0.015958386"
"214","null","null","null","-0.016340164","0.043751936","-0.016569233"
"215","0.039554954","-0.013631821","0.038852453","null","null","null"
"219","0.029081553","-0.012267113","0.047631145","null","null","null"
"220","null","null","null","-0.016340164","0.044362783","-0.015958386"
"220","null","null","null","-0.013896775","0.04497363","-0.015958386"
"221","null","null","null","-0.015729317","0.04497363","-0.015347538"
"221","null","null","null","-0.016951011","0.045584477","-0.01718008"
"221","0.030552804","-0.0085372925","0.03384149","null","null","null"
"222","null","null","null","-0.014507622","0.044362783","-0.017790927"
"225","null","null","null","-0.013896775","0.045584477","-0.016569233"
"225","0.030780524","-0.009589195","0.037870288","null","null","null"
"227","null","null","null","-0.013896775","0.045584477","-0.01718008"
"232","null","null","null","-0.01267508","0.046195325","-0.01718008"
"233","0.027447075","4.863739E-5","0.051320076","null","null","null"
"234","null","null","null","-0.012064233","0.04741702","-0.016569233"
"234","0.03486091","1.02996826E-4","0.04915756","null","null","null"
"235","null","null","null","-0.011453386","0.049860407","-0.016569233"
"239","null","null","null","-0.011453386","0.04924956","-0.015347538"
"240","null","null","null","-0.010231691","0.0510821","-0.016569233"
"240","0.039871365","-0.01290226","0.029165804","null","null","null"
"241","null","null","null","-0.009009997","0.049860407","-0.01718008"
"245","null","null","null","-0.0071774554","0.048638713","-0.017790927"
"245","0.04595244","-0.005622864","0.0127693415","null","null","null"
"247","null","null","null","-0.006566608","0.0510821","-0.015958386"
"250","0.042560756","-0.012656212","0.032036036","null","null","null"
"251","null","null","null","-0.005955761","0.04924956","-0.015958386"
"252","null","null","null","-0.006566608","0.049860407","-0.016569233"
"255","null","null","null","-0.006566608","0.0510821","-0.01718008"
"255","0.028471082","-0.0030088425","0.027415365","null","null","null"
"261","0.012093872","-0.0041303635","0.01683867","null","null","null"
"262","null","null","null","-0.005955761","0.049860407","-0.01718008"
"263","null","null","null","-0.0047340663","0.049860407","-0.017790927"
"263","null","null","null","-0.0053449133","0.051692948","-0.016569233"
"264","null","null","null","-0.0047340663","0.050471254","-0.018401774"
"264","0.012475312","0.0030679703","0.025330484","null","null","null"
"268","null","null","null","-0.004123219","0.0510821","-0.019623468"
"269","0.024679035","-0.007601738","0.01590076","null","null","null"
"270","null","null","null","-0.004123219","0.049860407","-0.01718008"
"272","null","null","null","-0.0053449133","0.048027866","-0.018401774"
"275","null","null","null","-0.006566608","0.04924956","-0.016569233"
"276","0.013078839","-0.0039339066","0.020878255","null","null","null"
"277","null","null","null","-0.008399149","0.04680617","-0.01718008"
"279","0.002755344","0.0092077255","-0.025089324","null","null","null"
"280","null","null","null","-0.009620844","0.04497363","-0.017790927"
"282","null","null","null","-0.010231691","0.044362783","-0.015958386"
"285","null","null","null","-0.01267508","0.044362783","-0.015958386"
"286","0.0020834208","-0.013370514","-0.049193233","null","null","null"
"287","null","null","null","-0.0132859275","0.043751936","-0.015958386"
"289","null","null","null","-0.014507622","0.04314109","-0.014736691"
"290","0.0050046444","-0.007265091","-0.044491738","null","null","null"
"293","null","null","null","-0.013896775","0.041308545","-0.015958386"
"295","0.016147792","0.007098198","-0.01968205","null","null","null"
"295","null","null","null","-0.01267508","0.041308545","-0.01718008"
"297","null","null","null","-0.010842538","0.041308545","-0.015958386"
"302","0.017727852","0.013028145","0.009566188","null","null","null"
"303","null","null","null","-0.011453386","0.039476003","-0.015958386"
"303","null","null","null","-0.010231691","0.041308545","-0.015958386"
"304","0.012202978","0.033145905","0.023052275","null","null","null"
"305","null","null","null","-0.008399149","0.040697698","-0.014736691"
"307","null","null","null","-0.0071774554","0.04008685","-0.015958386"
"310","-0.006349206","0.032912254","0.030388415","null","null","null"
"310","null","null","null","-0.0071774554","0.041308545","-0.015347538"
"311","null","null","null","-0.0077883024","0.041308545","-0.015347538"
