"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.057037864","0.010155336","-0.044820916"
"4","-0.3235078","0.03189087","0.41411698","null","null","null"
"5","null","null","null","0.06192464","0.006490252","-0.041155834"
"6","null","null","null","0.06436803","0.005879405","-0.0381016"
"6","-0.39864206","0.026719093","0.3257686","null","null","null"
"8","null","null","null","0.06742226","-2.2906772E-4","-0.03260397"
"9","null","null","null","0.06925481","-0.0020616094","-0.02893889"
"10","-0.43590808","0.04070568","0.2308777","null","null","null"
"11","null","null","null","0.07291989","-0.0051158457","-0.0264955"
"18","null","null","null","0.07291989","-0.010002624","-0.020387027"
"20","-0.48674154","0.036870956","0.09271532","null","null","null"
"21","null","null","null","0.07230905","-0.013667707","-0.015500249"
"22","-0.5045707","0.010623932","-0.031077325","null","null","null"
"23","null","null","null","0.0704765","-0.01733279","-0.010002624"
"24","null","null","null","0.06742226","-0.023441264","-0.0026724567"
"25","null","null","null","0.065589726","-0.02893889","-8.39915E-4"
"26","-0.5086378","-0.023611069","-0.17011333","null","null","null"
"27","null","null","null","0.06192464","-0.031382278","0.0022143214"
"27","-0.49573994","-0.06820774","-0.27792805","null","null","null"
"29","null","null","null","0.05764871","-0.034436513","0.006490252"
"30","null","null","null","0.053372778","-0.03993414","0.010766183"
"33","null","null","null","0.048486","-0.040544987","0.013820419"
"34","-0.48611093","-0.12662888","-0.351117","null","null","null"
"35","null","null","null","0.042377528","-0.045431767","0.017485503"
"38","null","null","null","0.036879905","-0.048486","0.021150587"
"39","-0.4500916","-0.2035265","-0.44684124","null","null","null"
"40","null","null","null","0.03077143","-0.053372778","0.02481567"
"42","null","null","null","0.024052111","-0.055205323","0.028480753"
"44","-0.40450323","-0.25126743","-0.48889238","null","null","null"
"45","null","null","null","0.016721943","-0.059481252","0.030924143"
"48","null","null","null","0.009391776","-0.06620057","0.033367533"
"49","-0.33882082","-0.29624176","-0.5393326","null","null","null"
"50","null","null","null","0.005726693","-0.06986566","0.03581092"
"52","null","null","null","-3.8177954E-4","-0.074752435","0.039476003"
"53","-0.28288245","-0.3360796","-0.5436605","null","null","null"
"55","null","null","null","-0.0046577104","-0.0820826","0.040697698"
"57","-0.25444806","-0.30554104","-0.5022825","null","null","null"
"58","null","null","null","-0.008933641","-0.08513684","0.043751936"
"61","null","null","null","-0.01137703","-0.09185616","0.046195325"
"61","-0.22598124","-0.25386333","-0.43713224","null","null","null"
"62","null","null","null","-0.014431266","-0.092467","0.048104223"
"64","null","null","null","-0.016874656","-0.09735378","0.049936764"
"68","null","null","null","-0.019318044","-0.10162971","0.051158458"
"69","-0.17619276","-0.19073677","-0.37576783","null","null","null"
"69","null","null","null","-0.019928891","-0.10468395","0.052380152"
"72","null","null","null","-0.022372281","-0.10712734","0.052991"
"72","-0.12787366","-0.12100506","-0.293337","null","null","null"
"74","null","null","null","-0.022983128","-0.112624966","0.054212693"
"78","null","null","null","-0.022372281","-0.112624966","0.056045234"
"79","-0.098804474","-0.057771683","-0.21145159","null","null","null"
"79","null","null","null","-0.022372281","-0.11629005","0.05787778"
"81","null","null","null","-0.022372281","-0.118122585","0.056656085"
"82","-0.07460165","-0.005724907","-0.118342936","null","null","null"
"83","null","null","null","-0.019928891","-0.118733436","0.056656085"
"88","null","null","null","-0.01809635","-0.11995513","0.056045234"
"88","-0.0387609","0.029273033","-0.042764783","null","null","null"
"89","null","null","null","-0.016263809","-0.118733436","0.055434387"
"94","null","null","null","-0.014431266","-0.11934429","0.055434387"
"95","-0.022253036","0.0806036","0.056937873","null","null","null"
"95","null","null","null","-0.011987877","-0.11751174","0.055434387"
"97","-0.0058922768","0.11016369","0.12348151","null","null","null"
"97","null","null","null","-0.0077119465","-0.11690089","0.055434387"
"99","null","null","null","-0.005879405","-0.11384666","0.053601846"
"103","-0.0242095","0.10268021","0.20343053","null","null","null"
"104","null","null","null","-0.003436016","-0.112624966","0.052991"
"104","null","null","null","8.39915E-4","-0.10895988","0.051158458"
"109","null","null","null","0.0051158457","-0.10834903","0.049325917"
"109","-0.025919199","0.082201004","0.27162427","null","null","null"
"111","null","null","null","0.0075592347","-0.105294794","0.048104223"
"111","null","null","null","0.011224318","-0.10040802","0.04741702"
"112","-0.023006678","0.07139492","0.30208904","null","null","null"
"114","null","null","null","0.013667707","-0.09735378","0.046195325"
"117","null","null","null","0.016721943","-0.09552124","0.043751936"
"117","-0.02621293","0.039308548","0.35451472","null","null","null"
"118","null","null","null","0.018554486","-0.09307785","0.041308545"
"122","null","null","null","0.022830416","-0.090023614","0.040697698"
"123","-0.064024925","0.02052784","0.3682084","null","null","null"
"124","null","null","null","0.025273805","-0.08635853","0.03825431"
"126","null","null","null","0.028328042","-0.08452599","0.03642177"
"126","-0.10053539","-0.00522995","0.39686984","null","null","null"
"129","null","null","null","0.031382278","-0.08025006","0.033367533"
"132","null","null","null","0.033825666","-0.07719582","0.032145835"
"133","-0.13579917","-0.024861336","0.4071437","null","null","null"
"133","null","null","null","0.0381016","-0.07536328","0.030313294"
"138","null","null","null","0.03993414","-0.074752435","0.029702447"
"139","-0.17447615","-0.02533722","0.40631068","null","null","null"
"142","null","null","null","0.042377528","-0.07291989","0.0290916"
"142","null","null","null","0.045431767","-0.071698196","0.026648212"
"143","-0.2260015","-0.041244507","0.36130536","null","null","null"
"144","null","null","null","0.047264308","-0.06864396","0.02725906"
"146","null","null","null","0.050318543","-0.06864396","0.026648212"
"146","-0.26647496","-0.061756134","0.3567688","null","null","null"
"149","null","null","null","0.051540237","-0.06864396","0.02725906"
"151","-0.31139445","-0.03579235","0.31529993","null","null","null"
"151","null","null","null","0.05276193","-0.06620057","0.025426516"
"153","null","null","null","0.054594472","-0.06620057","0.027869906"
"157","null","null","null","0.054594472","-0.06620057","0.028480753"
"158","-0.376042","-0.036133766","0.2752363","null","null","null"
"159","null","null","null","0.05764871","-0.065589726","0.027869906"
"161","-0.42113447","-0.04832363","0.23535293","null","null","null"
"162","null","null","null","0.05764871","-0.064978875","0.029702447"
"164","null","null","null","0.058259558","-0.064978875","0.030313294"
"170","null","null","null","0.058870405","-0.06436803","0.032756682"
"171","null","null","null","0.05581617","-0.06436803","0.03397838"
"172","-0.45504427","-0.058005333","0.18625498","null","null","null"
"172","null","null","null","0.05764871","-0.06620057","0.03642177"
"172","-0.47544122","-0.049770355","0.13409364","null","null","null"
"173","null","null","null","0.056427017","-0.06742226","0.038865156"
"178","null","null","null","0.056427017","-0.06681142","0.04008685"
