"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.39048412","0.110945135","0.023746688"
"1","1.090692","-0.16355705","-0.8319638","null","null","null"
"3","null","null","null","0.3849865","0.11338852","0.026800923"
"3","null","null","null","0.37460208","0.11766446","0.030466007"
"4","1.0260553","-0.41510963","-0.9565071","null","null","null"
"5","null","null","null","0.36482853","0.12560546","0.03229855"
"7","null","null","null","0.34955734","0.12743801","0.03413109"
"8","1.0476513","-0.65971756","-1.0827925","null","null","null"
"10","null","null","null","0.33001024","0.1427092","0.03657448"
"12","null","null","null","0.31718245","0.19951798","0.042072106"
"13","1.071789","-0.8214102","-1.3593414","null","null","null"
"15","null","null","null","0.30740887","0.300995","0.04940227"
"19","null","null","null","0.30801973","0.2753394","0.039628714"
"20","1.023746","-0.80833054","-1.0616986","null","null","null"
"20","null","null","null","0.29885703","0.21662171","0.017638214"
"23","null","null","null","0.27992076","0.16775393","-0.0055739814"
"24","1.1891258","-0.8470936","-0.88982093","null","null","null"
"25","null","null","null","0.25365433","0.15309359","-0.025731942"
"28","1.37394","-0.73540974","-1.263802","null","null","null"
"28","null","null","null","0.2261662","0.15981291","-0.03917058"
"29","null","null","null","0.2041757","0.16958646","-0.048944138"
"33","null","null","null","0.16874656","0.15370443","-0.07276718"
"33","1.2698941","-0.84588814","-1.1504878","null","null","null"
"39","null","null","null","0.12904148","0.11338852","-0.1546207"
"41","2.1699471","-0.6282234","-1.3767809","null","null","null"
"41","null","null","null","0.10094251","0.072461754","-0.27923355"
"42","null","null","null","0.07650862","0.11949699","-0.34337252"
"42","null","null","null","0.069178455","0.13171394","-0.3238254"
"43","5.1069307","-0.3074932","-1.4141316","null","null","null"
"45","null","null","null","0.103996746","0.12804885","-0.25907558"
"49","null","null","null","0.14981028","0.12499462","-0.17233528"
"50","1.2571151","-1.5894814","-0.6265243","null","null","null"
"50","null","null","null","0.19073705","0.11216683","-0.08376243"
"53","-1.4355633","-1.6559038","0.52760166","null","null","null"
"54","null","null","null","0.22433366","0.09384141","-0.029397024"
"54","null","null","null","0.2506001","0.08284616","-0.014125843"
"59","null","null","null","0.25915194","0.07551599","-0.019623468"
"60","-0.5556314","-0.94447803","0.43408102","null","null","null"
"60","null","null","null","0.26281703","0.06452074","-0.03000787"
"63","null","null","null","0.25793025","0.043751936","-0.03672719"
"64","1.4330974","-0.7507639","0.0073477924","null","null","null"
"65","null","null","null","0.24449162","0.019928891","-0.040392276"
"67","1.4975982","-1.3297548","-0.56030774","null","null","null"
"68","null","null","null","0.22250111","0.0022143214","-0.044668205"
"69","null","null","null","0.1937913","-0.01305686","-0.047111593"
"73","null","null","null","0.16569231","-0.023441264","-0.053220067"
"73","1.1670883","-1.5960274","-1.0812845","null","null","null"
"75","null","null","null","0.13942589","-0.03321482","-0.058717694"
"78","null","null","null","0.11560284","-0.046042614","-0.06543701"
"79","1.1113982","-1.5703764","-1.1947973","null","null","null"
"80","null","null","null","0.09422319","-0.054594472","-0.07276718"
