"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.10237026","-0.1507082","-0.13231191","null","null","null"
"2","null","null","null","0.074141584","0.17264071","-0.10101887"
"3","null","null","null","0.07780667","0.15981291","-0.10162971"
"5","null","null","null","0.0839915","0.14454173","-0.10224056"
"6","0.08002347","-0.07618618","-0.33933723","null","null","null"
"8","null","null","null","0.08765658","0.1298814","-0.10224056"
"11","null","null","null","0.09009997","0.11461022","-0.10346226"
"12","0.057952464","0.054706573","-0.5180029","null","null","null"
"14","null","null","null","0.09132166","0.10483666","-0.10346226"
"15","null","null","null","0.09498675","0.09261972","-0.105905645"
"16","0.0706113","0.18332577","-0.62720454","null","null","null"
"18","null","null","null","0.096208446","0.08162446","-0.105905645"
"20","null","null","null","0.0943759","0.072461754","-0.10468395"
"21","0.079667926","0.29307365","-0.69730616","null","null","null"
"22","null","null","null","0.092543356","0.06513159","-0.10346226"
"26","null","null","null","0.09071082","0.05780142","-0.105294794"
"27","0.12186706","0.37817192","-0.77523696","null","null","null"
"27","null","null","null","0.08765658","0.052914646","-0.10773818"
"30","0.1959334","0.39725494","-0.837307","null","null","null"
"31","null","null","null","0.0839915","0.046195325","-0.10712734"
"33","null","null","null","0.080326416","0.037643462","-0.10895988"
"35","0.24922872","0.35800457","-0.86351454","null","null","null"
"35","null","null","null","0.07719582","0.030924143","-0.105905645"
"37","null","null","null","0.07719582","0.022372281","-0.10712734"
"40","null","null","null","0.07291989","0.01565296","-0.10651649"
"40","0.25341165","0.29771614","-0.84093875","null","null","null"
"46","null","null","null","0.0704765","0.010155336","-0.105905645"
"47","null","null","null","0.0704765","0.004046863","-0.1040731"
"48","0.25868154","0.18807507","-0.759364","null","null","null"
"48","null","null","null","0.06986566","9.926268E-4","-0.10346226"
"50","null","null","null","0.06925481","-0.0014507623","-0.10162971"
"50","0.26736897","0.049686432","-0.60844135","null","null","null"
"53","null","null","null","0.06864396","-0.003283304","-0.099797174"
"55","null","null","null","0.06681142","-0.00633754","-0.09918632"
"55","0.27347213","-0.08872223","-0.49683145","null","null","null"
"57","null","null","null","0.06681142","-0.0075592347","-0.09796463"
"60","null","null","null","0.06375718","-0.00633754","-0.09552124"
"60","0.29957873","-0.18916798","-0.40287745","null","null","null"
"62","null","null","null","0.06253549","-0.0038941512","-0.09552124"
"64","0.2909161","-0.29708004","-0.3015896","null","null","null"
"65","null","null","null","0.060702946","-0.0026724567","-0.09307785"
"67","null","null","null","0.05764871","9.926268E-4","-0.09185616"
"69","0.26201463","-0.4052782","-0.2263372","null","null","null"
"70","null","null","null","0.05581617","0.005879405","-0.09185616"
"71","null","null","null","0.053372778","0.011987877","-0.090023614"
"75","null","null","null","0.052151084","0.019318044","-0.086969376"
"75","0.21298325","-0.4971342","-0.12346661","null","null","null"
"79","null","null","null","0.048486","0.028480753","-0.08330429"
"79","null","null","null","0.045431767","0.038865156","-0.08025006"
"79","0.1355089","-0.57158756","-0.004002571","null","null","null"
"82","null","null","null","0.042377528","0.049860407","-0.07963921"
"84","null","null","null","0.04176668","0.0626882","-0.07658497"
"85","0.05845189","-0.6121769","0.10226309","null","null","null"
"87","null","null","null","0.0381016","0.07673769","-0.07230905"
"89","null","null","null","0.036269058","0.094452254","-0.07108735"
"89","-0.04088986","-0.6346016","0.18235576","null","null","null"
"93","null","null","null","0.030160584","0.110334285","-0.06864396"
"94","null","null","null","0.0264955","0.12499462","-0.06742226"
"94","-0.118285","-0.58680725","0.21255115","null","null","null"
"96","null","null","null","0.022219568","0.13965495","-0.06681142"
"100","null","null","null","0.019165333","0.15248275","-0.06864396"
"100","-0.1951124","-0.48838043","0.20283806","null","null","null"
"102","null","null","null","0.012446013","0.16469969","-0.0704765"
"104","null","null","null","0.003283304","0.17447324","-0.07353074"
"105","-0.21535599","-0.37894917","0.14382732","null","null","null"
"107","null","null","null","-0.0028251687","0.18180342","-0.07719582"
"109","null","null","null","-0.01137703","0.18974443","-0.081471756"
"109","-0.20662552","-0.23369217","0.0073706806","null","null","null"
"111","null","null","null","-0.021150587","0.19646375","-0.08574768"
"114","null","null","null","-0.032756682","0.20012884","-0.092467"
"114","-0.22008365","-0.039870262","-0.13131642","null","null","null"
"116","null","null","null","-0.043751936","0.20501561","-0.09857547"
"120","-0.25421768","0.22821236","-0.26285207","null","null","null"
"120","null","null","null","-0.05596888","0.21051323","-0.10468395"
"122","null","null","null","-0.06940752","0.21723256","-0.11384666"
"124","null","null","null","-0.082235314","0.22334103","-0.12056598"
"124","-0.2766664","0.5224304","-0.3684578","null","null","null"
"126","null","null","null","-0.094452254","0.22883865","-0.1272853"
"129","null","null","null","-0.10911259","0.2386122","-0.13461547"
"130","-0.2650562","0.80815697","-0.43411174","null","null","null"
"131","null","null","null","-0.12194038","0.24777491","-0.14194563"
"134","null","null","null","-0.13476817","0.25510508","-0.15110834"
"135","-0.24214697","1.0142298","-0.47799662","null","null","null"
"136","null","null","null","-0.14637427","0.26121357","-0.1596602"
"139","null","null","null","-0.15798037","0.26610035","-0.16760121"
"139","-0.21150106","1.1733656","-0.47640494","null","null","null"
"141","null","null","null","-0.16897562","0.26732203","-0.17370969"
"144","null","null","null","-0.17997088","0.26610035","-0.17798562"
"145","-0.21969312","1.1720238","-0.4628409","null","null","null"
"146","null","null","null","-0.18791188","0.26243526","-0.18348324"
"148","null","null","null","-0.19402036","0.2563268","-0.18959172"
"149","-0.2284568","1.0495491","-0.43946707","null","null","null"
"150","null","null","null","-0.20073968","0.24960746","-0.19386765"
"155","null","null","null","-0.21112408","0.2422773","-0.19753273"
"155","-0.15950584","0.8473263","-0.41101104","null","null","null"
"155","null","null","null","-0.21845426","0.23494713","-0.19997612"
"159","null","null","null","-0.22761697","0.22639526","-0.20119782"
"160","-0.14782351","0.55059814","-0.35862616","null","null","null"
"161","null","null","null","-0.23800136","0.21723256","-0.2024195"
"164","null","null","null","-0.2526617","0.2178434","-0.19753273"
"164","-0.12079722","0.24801254","-0.35754687","null","null","null"
"166","null","null","null","-0.26915458","0.22334103","-0.18898088"
"169","-0.19669634","-0.10783291","-0.36510345","null","null","null"
"169","null","null","null","-0.28320405","0.22517358","-0.18531579"
"170","null","null","null","-0.2911451","0.21540001","-0.18531579"
