"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","1.072266","0.2410556","-0.21631628"
"4","0.91798866","-0.14921188","0.29087734","null","null","null"
"5","null","null","null","1.0789853","0.23922306","-0.21814883"
"8","0.80831707","-0.24388504","0.114748","null","null","null"
"9","null","null","null","1.0808178","0.23189288","-0.21631628"
"10","null","null","null","1.0789853","0.22883865","-0.2138729"
"12","null","null","null","1.0753202","0.22273017","-0.20959696"
"13","0.6811452","-0.3075428","-0.1456294","null","null","null"
"14","null","null","null","1.0710443","0.21845426","-0.20715357"
"15","null","null","null","1.0673792","0.21845426","-0.20532103"
"16","0.6858605","-0.33064938","-0.24142694","null","null","null"
"18","null","null","null","1.0624925","0.22028679","-0.20471019"
"20","null","null","null","1.0569948","0.21356747","-0.20165595"
"22","0.670454","-0.30485058","-0.2755295","null","null","null"
"23","null","null","null","1.0508864","0.21051323","-0.19921257"
"25","null","null","null","1.0466105","0.20806985","-0.19738002"
"27","null","null","null","1.0435562","0.207459","-0.19432579"
"28","0.5716177","-0.2935791","-0.33179164","null","null","null"
"30","null","null","null","1.0386695","0.21356747","-0.1906607"
"32","null","null","null","1.0350044","0.22089764","-0.18699561"
"32","0.46502388","-0.274086","-0.29198182","null","null","null"
"36","null","null","null","1.032561","0.22456272","-0.18149799"
"37","0.34724367","-0.22724628","-0.2615093","null","null","null"
"38","null","null","null","1.0295067","0.22822781","-0.17600037"
"39","null","null","null","1.0276742","0.23311459","-0.1711136"
"42","null","null","null","1.0258416","0.2398339","-0.1662268"
"43","0.18602037","-0.16626453","-0.3169886","null","null","null"
"43","null","null","null","1.0227873","0.24594238","-0.16317257"
"47","null","null","null","1.0221765","0.25327253","-0.15950748"
"48","0.112831354","-0.10431385","-0.3243971","null","null","null"
"49","null","null","null","1.0191222","0.25877017","-0.1582858"
"52","null","null","null","1.0160681","0.2654895","-0.1570641"
"53","0.05924368","-0.028270721","-0.39258957","null","null","null"
"54","null","null","null","1.0117922","0.27717194","-0.15584241"
"57","null","null","null","1.004462","0.29183227","-0.15217732"
"57","0.03133142","0.049960136","-0.39577997","null","null","null"
"58","null","null","null","0.9989643","0.29549736","-0.14851224"
"61","-0.054641724","0.0885849","-0.46893907","null","null","null"
"62","null","null","null","0.9916342","0.2948865","-0.14729054"
"64","null","null","null","0.9830823","0.29916245","-0.14301461"
"66","null","null","null","0.9720871","0.2973299","-0.13812783"
"67","-0.15798283","0.12241268","-0.64992464","null","null","null"
"69","null","null","null","0.96292436","0.29244313","-0.1338519"
"75","null","null","null","0.9494857","0.28877804","-0.12835428"
"76","-0.2559892","0.16586113","-0.89893425","null","null","null"
"76","null","null","null","0.9329928","0.27900448","-0.1246892"
"77","null","null","null","0.9146674","0.27839363","-0.12407835"
"77","-0.36439538","0.20351791","-1.1316241","null","null","null"
"78","null","null","null","0.8926769","0.27839363","-0.12407835"
"82","null","null","null","0.86824304","0.28205872","-0.1259109"
"82","-0.25860536","0.2916851","-1.3488303","null","null","null"
"83","null","null","null","0.8425874","0.28450212","-0.12896512"
"86","null","null","null","0.81021255","0.28999972","-0.1338519"
"87","-0.075380445","0.37065315","-1.5943317","null","null","null"
"88","null","null","null","0.7857023","0.29183227","-0.13934954"
"91","0.07743132","0.4344225","-1.786952","null","null","null"
"92","null","null","null","0.76432264","0.29549736","-0.14240377"
"92","null","null","null","0.73744535","0.30282754","-0.1466797"
"97","null","null","null","0.7154549","0.3077143","-0.15217732"
"97","0.1760689","0.4626913","-1.7714841","null","null","null"
"98","null","null","null","0.6959077","0.31504446","-0.15523157"
"104","0.20988154","0.48529434","-1.5833114","null","null","null"
"105","null","null","null","0.67880404","0.31443363","-0.15767495"
"105","null","null","null","0.66658705","0.31382278","-0.16011834"
"105","0.18492305","0.48658562","-1.3940468","null","null","null"
"106","null","null","null","0.65192676","0.31870955","-0.16256173"
"108","null","null","null","0.6452074","0.31626618","-0.16256173"
"111","0.11444962","0.44015408","-1.161171","null","null","null"
"111","null","null","null","0.6397098","0.31199023","-0.1662268"
"113","null","null","null","0.6256603","0.31565532","-0.16500512"
"115","null","null","null","0.61222166","0.31565532","-0.16195089"
"115","0.05016136","0.38445187","-0.9812772","null","null","null"
"117","null","null","null","0.60000473","0.31565532","-0.1582858"
"120","-0.115237355","0.32559776","-0.98679256","null","null","null"
"120","null","null","null","0.58106846","0.31565532","-0.15217732"
"123","null","null","null","0.56152135","0.316877","-0.14301461"
"125","-0.34297705","0.26621723","-1.0956712","null","null","null"
"126","null","null","null","0.54075253","0.31565532","-0.13446276"
"127","null","null","null","0.51815116","0.31748787","-0.1246892"
"132","-0.5563078","0.21839142","-1.236979","null","null","null"
"132","null","null","null","0.4924956","0.31748787","-0.1130831"
"136","null","null","null","0.46439663","0.32359633","-0.1026987"
"136","null","null","null","0.4369085","0.32176378","-0.091092594"
"137","-0.70608056","0.2061863","-1.3971336","null","null","null"
"138","null","null","null","0.406977","0.3193204","-0.0782648"
"141","null","null","null","0.38193226","0.316877","-0.066658705"
"142","-0.77686656","0.22363186","-1.5520782","null","null","null"
"142","null","null","null","0.3538333","0.31382278","-0.055663455"
"145","null","null","null","0.32390177","0.3101577","-0.044057358"
"146","-0.82267857","0.2025404","-1.692263","null","null","null"
