"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","1.324606","1.8870525","-1.1877265","null","null","null"
"1","null","null","null","-0.15851486","0.5632012","-0.5349495"
"2","null","null","null","-0.15973656","0.6145123","-0.528841"
"5","null","null","null","-0.15546063","0.66765606","-0.52578676"
"5","1.3362525","1.8738036","-1.1325684","null","null","null"
"7","null","null","null","-0.149963","0.72141063","-0.5245651"
"10","null","null","null","-0.14446537","0.7635591","-0.5270085"
"10","1.3559661","1.8892527","-1.0759909","null","null","null"
"12","null","null","null","-0.14507623","0.79287976","-0.52151084"
"15","1.5970442","1.8987684","-1.2667917","null","null","null"
"15","null","null","null","-0.1511847","0.8173136","-0.5123481"
"17","null","null","null","-0.1603474","0.83075225","-0.50318545"
"20","1.4440882","1.7876868","-1.606605","null","null","null"
"20","null","null","null","-0.1731752","0.84724516","-0.4909685"
"23","null","null","null","-0.18966807","0.8582404","-0.47997323"
"25","null","null","null","-0.20249587","0.8674031","-0.4677563"
"26","1.4298077","1.7450819","-2.1424348","null","null","null"
"27","null","null","null","-0.2171562","0.8765658","-0.45065257"
"29","1.4599776","1.7447062","-2.24147","null","null","null"
"31","null","null","null","-0.23731416","0.8912262","-0.43232715"
"32","null","null","null","-0.25563958","0.907719","-0.4188885"
"34","null","null","null","-0.2678565","0.9242119","-0.40789327"
"34","1.3705256","1.7135096","-2.3358753","null","null","null"
"36","null","null","null","-0.27701923","0.9431482","-0.3932329"
"39","null","null","null","-0.281906","0.9626953","-0.37979427"
"40","1.5404983","1.7424412","-2.2136812","null","null","null"
"41","null","null","null","-0.28679278","0.97979903","-0.36879903"
"44","1.5199509","1.7537336","-2.1219761","null","null","null"
"44","null","null","null","-0.2855711","1.0048437","-0.35474956"
"46","null","null","null","-0.28373855","1.0341644","-0.33398074"
"49","null","null","null","-0.27885178","1.0628742","-0.3126011"
"49","1.454323","1.7476802","-1.908483","null","null","null"
"52","null","null","null","-0.27457583","1.0744803","-0.2881672"
"55","1.2043049","1.6802449","-1.7225716","null","null","null"
"55","null","null","null","-0.2678565","1.0787562","-0.2637333"
"57","null","null","null","-0.25747213","1.0866972","-0.23746687"
"59","1.1506226","1.7166381","-1.8932533","null","null","null"
"59","null","null","null","-0.24342263","1.0983033","-0.20753536"
"61","null","null","null","-0.23425992","1.1050227","-0.17760384"
"63","0.992136","1.6787472","-1.7553482","null","null","null"
"64","null","null","null","-0.22326468","1.1080769","-0.14400724"
"66","null","null","null","-0.21410197","1.111742","-0.110410646"
"69","0.90620947","1.7018642","-1.7944348","null","null","null"
"69","null","null","null","-0.20066333","1.1080769","-0.0762032"
"72","null","null","null","-0.19088978","1.1068553","-0.038330667"
"74","0.8295939","1.6903338","-1.9957179","null","null","null"
"74","null","null","null","-0.18294875","1.1001359","-0.005955761"
"75","null","null","null","-0.17500775","1.0854756","0.029473381"
"80","0.82460356","1.5868216","-2.21246","null","null","null"
"80","null","null","null","-0.16828842","1.056155","0.07162184"
"82","null","null","null","-0.16828842","1.0231692","0.119267926"
"83","null","null","null","-0.17500775","0.98040986","0.17118995"
"84","0.61965966","1.3128433","-2.6441903","null","null","null"
"86","null","null","null","-0.18294875","0.927877","0.22860959"
"88","null","null","null","-0.1963874","0.87778753","0.28847262"
"89","0.34027028","0.76005363","-3.267807","null","null","null"
"91","null","null","null","-0.21654536","0.8331957","0.35138988"
"93","null","null","null","-0.23975755","0.7910472","0.41125292"
"94","0.07298088","0.016139984","-3.7104542","null","null","null"
"96","null","null","null","-0.26052636","0.76050484","0.46867257"
