"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.004046863","0.011835165","7.635591E-5"
"1","0.027678728","0.009848595","0.0014473349","null","null","null"
"3","null","null","null","-0.0046577104","0.011835165","6.8720314E-4"
"5","null","null","null","-0.004046863","0.011835165","6.8720314E-4"
"5","0.033474684","0.01097393","0.007459253","null","null","null"
"8","null","null","null","-0.0046577104","0.011835165","6.8720314E-4"
"10","null","null","null","-0.006490252","0.013667707","0.0012980504"
"10","0.02499199","0.018029213","0.021778718","null","null","null"
"13","null","null","null","-0.0052685575","0.015500249","7.635591E-5"
"16","null","null","null","-0.006490252","0.014889402","6.8720314E-4"
"16","0.021301508","0.010773659","0.011040673","null","null","null"
"18","null","null","null","-0.006490252","0.014889402","7.635591E-5"
"20","null","null","null","-0.006490252","0.016721943","7.635591E-5"
"21","0.04611802","0.02257061","-0.0019595176","null","null","null"
"23","null","null","null","-0.006490252","0.016111096","7.635591E-5"
"26","null","null","null","-0.004046863","0.014278554","-5.344914E-4"
"26","0.036287785","0.034266472","0.0064647943","null","null","null"
"28","null","null","null","-0.0046577104","0.014889402","0.0012980504"
"30","0.01830101","0.035194397","0.0016926229","null","null","null"
"30","null","null","null","-0.0028251687","0.014889402","0.0012980504"
"32","null","null","null","-0.003436016","0.013667707","7.635591E-5"
"34","null","null","null","-0.0028251687","0.01305686","0.0019088977"
"36","0.0075712204","0.032548904","-0.017298266","null","null","null"
"38","null","null","null","-3.8177954E-4","0.011224318","0.002519745"
"41","null","null","null","-9.926268E-4","0.009391776","0.0031305922"
"41","0.005323887","0.035879135","-0.023157388","null","null","null"
"42","null","null","null","-3.8177954E-4","0.010002624","0.002519745"
"44","0.007857561","0.027312279","-0.013547018","null","null","null"
"45","null","null","null","-3.8177954E-4","0.010002624","0.0037414394"
"47","null","null","null","0.0014507623","0.0075592347","0.004352287"
"50","-0.014473677","0.015273094","-0.028964147","null","null","null"
"50","null","null","null","-3.8177954E-4","0.0075592347","0.0055739814"
"52","null","null","null","-3.8177954E-4","0.00633754","0.0055739814"
"55","null","null","null","0.0014507623","0.00633754","0.004963134"
"55","0.008502722","-0.003786087","-0.046614982","null","null","null"
"57","null","null","null","0.0020616094","0.0051158457","0.006795676"
"60","null","null","null","0.0026724567","0.00633754","0.0061848285"
"60","0.012351751","-0.0048675537","-0.009592995","null","null","null"
"62","null","null","null","0.003283304","0.0051158457","0.004963134"
"64","null","null","null","0.0038941512","0.005726693","0.0055739814"
"65","0.03035593","-0.001206398","-0.0026105791","null","null","null"
"66","null","null","null","0.0026724567","0.00633754","0.004963134"
"70","null","null","null","0.005726693","0.0069483877","0.004963134"
"70","0.023268461","0.0036096573","0.024453431","null","null","null"
"73","null","null","null","0.00633754","0.005726693","0.004963134"
"74","null","null","null","0.005726693","0.0075592347","0.004352287"
