"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.027182704","0.017103724","-0.0151184695"
"1","-0.069728285","0.03785038","-0.014944792","null","null","null"
"2","null","null","null","-0.02351762","0.018936265","-0.014507622"
"4","-0.05685715","0.012458801","0.04684186","null","null","null"
"4","null","null","null","-0.024128467","0.017714571","-0.0132859275"
"7","null","null","null","-0.02351762","0.017103724","-0.014507622"
"9","-0.054804035","-0.010344505","-0.008248329","null","null","null"
"10","null","null","null","-0.022906773","0.018936265","-0.014507622"
"12","null","null","null","-0.024128467","0.0219905","-0.016340164"
"22","null","null","null","-0.024128467","0.02260135","-0.016340164"
"23","-0.05406782","-0.013969421","-0.031972647","null","null","null"
"24","null","null","null","-0.026571855","0.023823043","-0.0151184695"
"25","-0.027221598","-0.04131794","-0.031671047","null","null","null"
"26","null","null","null","-0.02535016","0.025044737","-0.016951011"
"26","null","null","null","-0.02779355","0.027488127","-0.018172706"
"27","-7.2054006E-4","-0.06964016","-0.027696252","null","null","null"
"27","null","null","null","-0.029015245","0.028098974","-0.018172706"
"27","null","null","null","-0.030236939","0.028709821","-0.020005248"
"29","0.009983572","-0.09181118","0.0013178587","null","null","null"
"29","null","null","null","-0.03268033","0.02687728","-0.022448637"
"31","null","null","null","-0.031458635","0.023823043","-0.024281178"
"34","null","null","null","-0.03634541","0.019547112","-0.024281178"
"34","3.132578E-4","-0.11381245","-0.052891016","null","null","null"
"36","null","null","null","-0.040621344","0.015271181","-0.024281178"
"39","-0.01876874","-0.12381935","-0.09197247","null","null","null"
"39","null","null","null","-0.04550812","0.012827792","-0.02611372"
"41","null","null","null","-0.0503949","0.011606098","-0.026724568"
"44","null","null","null","-0.05467083","0.007941014","-0.026724568"
"44","-0.017556109","-0.15635586","-0.03413093","null","null","null"
"46","null","null","null","-0.062000997","0.007941014","-0.027335415"
"48","null","null","null","-0.06688777","0.007941014","-0.030389652"
"49","0.0072982875","-0.18157768","-0.035564184","null","null","null"
"51","null","null","null","-0.07482879","0.0061084726","-0.03283304"
"53","0.017486656","-0.21497536","-0.054218054","null","null","null"
"54","null","null","null","-0.07849387","0.004886778","-0.03466558"
"56","null","null","null","-0.086434886","0.0061084726","-0.035887275"
"59","null","null","null","-0.09193251","0.004886778","-0.036498122"
"59","0.040532168","-0.26123428","0.06438744","null","null","null"
"61","null","null","null","-0.095597595","0.00671932","-0.036498122"
"63","null","null","null","-0.101706065","0.002443389","-0.038330667"
"64","0.06689545","-0.31547928","0.1207211","null","null","null"
"67","null","null","null","-0.10720369","-0.0","-0.040774055"
"68","0.0964908","-0.3824091","0.051318288","null","null","null"
"69","null","null","null","-0.11392301","-0.0018325418","-0.040163208"
"70","null","null","null","-0.11575556","-0.005497625","-0.03955236"
"74","0.11641959","-0.43459415","0.08497","null","null","null"
"74","null","null","null","-0.12186403","-0.00671932","-0.03955236"
"76","null","null","null","-0.12430742","-0.009773556","-0.03955236"
"79","null","null","null","-0.1279725","-0.012216945","-0.03955236"
"79","0.1184068","-0.47808456","0.13649607","null","null","null"
"81","null","null","null","-0.13102673","-0.014049487","-0.03955236"
"83","null","null","null","-0.13530266","-0.016492875","-0.038330667"
"83","0.15604635","-0.48921108","-0.0067561865","null","null","null"
"87","null","null","null","-0.14141114","-0.017714571","-0.038941514"
"88","null","null","null","-0.14568707","-0.02015796","-0.03955236"
"89","0.16133009","-0.5240593","-0.0034979582","null","null","null"
"90","null","null","null","-0.15057385","-0.025655584","-0.038330667"
"93","null","null","null","-0.15729317","-0.033596598","-0.040774055"
"93","0.16900013","-0.5135813","0.053642035","null","null","null"
"96","null","null","null","-0.16523418","-0.047646087","-0.04688253"
"98","null","null","null","-0.17256436","-0.05986303","-0.04871507"
"98","0.20842746","-0.51041794","-0.12046063","null","null","null"
"101","null","null","null","-0.17439689","-0.06230642","-0.049936764"
"103","0.20007347","-0.48835087","-0.19183505","null","null","null"
"104","null","null","null","-0.17928366","-0.06230642","-0.04688253"
"107","null","null","null","-0.18233791","-0.05619795","-0.045049984"
"109","0.09585019","-0.44870758","0.053426385","null","null","null"
"110","null","null","null","-0.18294875","-0.054365408","-0.040774055"
"111","null","null","null","-0.1847813","-0.05070032","-0.040774055"
"113","null","null","null","-0.1847813","-0.04886778","-0.040163208"
"113","0.08872898","-0.36786938","0.013033032","null","null","null"
"115","null","null","null","-0.18661384","-0.049478628","-0.04199575"
"118","0.12784697","-0.29129696","-0.0838536","null","null","null"
"118","null","null","null","-0.18905723","-0.05375456","-0.044439137"
"120","null","null","null","-0.19150062","-0.054976255","-0.046271678"
"123","null","null","null","-0.19211146","-0.058641337","-0.049325917"
"123","0.13915834","-0.21183681","-0.021864891","null","null","null"
"126","null","null","null","-0.19577655","-0.061695572","-0.051158458"
"129","null","null","null","-0.19944163","-0.06658235","-0.054212693"
"129","0.13001677","-0.1497097","0.01970625","null","null","null"
"130","null","null","null","-0.20310672","-0.07207998","-0.058488626"
"132","null","null","null","-0.2043284","-0.076966755","-0.05971032"
