"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.07310176","0.04656124","-0.045684725","null","null","null"
"2","null","null","null","-0.0046577104","-0.052303795","0.05444176"
"3","null","null","null","-0.004046863","-0.051692948","0.055663455"
"5","null","null","null","-0.0028251687","-0.051692948","0.05444176"
"6","-0.10319185","0.05408001","-0.05857247","null","null","null"
"8","null","null","null","-0.004046863","-0.049860407","0.055663455"
"11","-0.11278939","0.050845146","-0.06772941","null","null","null"
"12","null","null","null","-0.0046577104","-0.048027866","0.05688515"
"12","null","null","null","-0.004046863","-0.046195325","0.057496"
"15","null","null","null","-0.004046863","-0.044362783","0.058106847"
"16","-0.12816334","0.051184654","-0.087482214","null","null","null"
"17","null","null","null","-0.004046863","-0.041308545","0.058717694"
"20","null","null","null","-0.003436016","-0.04008685","0.05932854"
"21","-0.11841619","0.07169056","-0.09992954","null","null","null"
"23","null","null","null","-0.004046863","-0.037643462","0.05932854"
"24","-0.10511017","0.08251858","-0.101549","null","null","null"
"25","null","null","null","-0.004046863","-0.03642177","0.06177193"
"28","null","null","null","-0.003436016","-0.03642177","0.06299362"
"29","-0.0953908","0.06475067","-0.11502418","null","null","null"
"30","null","null","null","-0.0046577104","-0.037032615","0.06177193"
"32","null","null","null","-0.0052685575","-0.03825431","0.063604474"
"34","null","null","null","-0.0052685575","-0.037643462","0.06482617"
"35","-0.08448076","0.07086086","-0.14258438","null","null","null"
"38","null","null","null","-0.006490252","-0.04191939","0.06543701"
"39","null","null","null","-0.0077119465","-0.046195325","0.06543701"
"40","-0.09142268","0.03892708","-0.13782403","null","null","null"
"41","null","null","null","-0.008933641","-0.048638713","0.06604786"
"44","-0.06859636","0.008441925","-0.15324159","null","null","null"
"46","null","null","null","-0.008933641","-0.0510821","0.066658705"
"47","null","null","null","-0.010766183","-0.051692948","0.067269556"
"49","null","null","null","-0.011987877","-0.054747187","0.067269556"
"50","-0.036427855","-0.01229763","-0.17081629","null","null","null"
"51","null","null","null","-0.013209572","-0.056579728","0.0678804"
"53","0.0037771463","-0.017428398","-0.16205691","null","null","null"
"54","null","null","null","-0.013820419","-0.057190575","0.066658705"
"56","null","null","null","-0.01565296","-0.057190575","0.06910209"
"59","null","null","null","-0.01565296","-0.059023116","0.067269556"
"60","0.022319555","-0.039139748","-0.13784853","null","null","null"
"61","null","null","null","-0.017485503","-0.06024481","0.067269556"
"63","0.025230289","-0.045225143","-0.124413475","null","null","null"
"64","null","null","null","-0.019318044","-0.06024481","0.067269556"
"69","null","null","null","-0.019318044","-0.060855657","0.069712944"
"70","0.027056217","-0.052470207","-0.11460228","null","null","null"
"71","null","null","null","-0.019928891","-0.061466504","0.07032379"
"72","null","null","null","-0.020539738","-0.060855657","0.069712944"
"74","null","null","null","-0.022983128","-0.063299045","0.07154548"
"75","0.0217731","-0.04185009","-0.12733468","null","null","null"
"76","null","null","null","-0.026037365","-0.063909896","0.07215633"
"78","null","null","null","-0.025426516","-0.063909896","0.07337803"
"79","0.0011982918","-0.0491333","-0.100616544","null","null","null"
"81","null","null","null","-0.026037365","-0.06513159","0.07276718"
"84","null","null","null","-0.02481567","-0.06574243","0.07337803"
"84","-0.0061341524","-0.06229782","-0.06465113","null","null","null"
"87","null","null","null","-0.026648212","-0.06452074","0.07398888"
"88","null","null","null","-0.0290916","-0.06696413","0.07459972"
"88","8.95381E-4","-0.07773304","-0.069235176","null","null","null"
"92","null","null","null","-0.029702447","-0.06818583","0.075821415"
"94","null","null","null","-0.029702447","-0.066353284","0.076432265"
"94","0.0032029152","-0.0752449","-0.068959266","null","null","null"
"97","null","null","null","-0.030313294","-0.06757498","0.07459972"
"99","null","null","null","-0.02725906","-0.06574243","0.075821415"
"99","0.0042619705","-0.06802559","-0.0117458105","null","null","null"
"104","null","null","null","-0.026037365","-0.06757498","0.07459972"
"105","null","null","null","-0.025426516","-0.06818583","0.07337803"
"105","0.0016928911","-0.083418846","0.044837624","null","null","null"
"108","null","null","null","-0.022983128","-0.06940752","0.07276718"
"109","null","null","null","-0.022372281","-0.07124006","0.06910209"
"109","-0.0069384575","-0.07611084","0.08179337","null","null","null"
"112","null","null","null","-0.018707197","-0.0742943","0.06849125"
"113","null","null","null","-0.016874656","-0.07368345","0.0678804"
"113","-0.014444828","-0.06291962","0.07544854","null","null","null"
"116","null","null","null","-0.01565296","-0.07368345","0.06543701"
"119","null","null","null","-0.013820419","-0.07490514","0.06299362"
"119","-0.041069627","-0.053373337","0.08681604","null","null","null"
"121","null","null","null","-0.010766183","-0.0742943","0.06177193"
"123","null","null","null","-0.009544488","-0.076126836","0.060550235"
"123","-0.069990516","-0.04151821","0.08599526","null","null","null"
"128","null","null","null","-0.005879405","-0.07490514","0.057496"
"129","null","null","null","-0.0046577104","-0.07368345","0.05505261"
"129","-0.07634449","-0.023797989","0.0671522","null","null","null"
"130","null","null","null","-0.0022143214","-0.073072605","0.05444176"
"134","-0.113649845","-0.0085840225","0.05778721","null","null","null"
"135","null","null","null","-3.8177954E-4","-0.072461754","0.051998373"
"137","null","null","null","0.0014507623","-0.070018366","0.050165832"
"138","null","null","null","0.0038941512","-0.06940752","0.04833329"
"139","-0.12708461","0.0017766953","0.03646615","null","null","null"
"140","null","null","null","0.0038941512","-0.07124006","0.04833329"
"143","null","null","null","0.0051158457","-0.06879667","0.0458899"
"143","-0.14644337","0.007317543","-0.021566093","null","null","null"
"150","null","null","null","0.005726693","-0.06696413","0.045279052"
"151","null","null","null","0.0069483877","-0.06757498","0.046500746"
"151","-0.14670086","0.011630058","-0.05425158","null","null","null"
"151","null","null","null","0.0075592347","-0.066353284","0.045279052"
"154","null","null","null","0.0069483877","-0.06696413","0.042835664"
"155","-0.16603374","0.0147304535","-0.10688445","null","null","null"
"155","null","null","null","0.0045049987","-0.066353284","0.042835664"
"157","null","null","null","0.0051158457","-0.06757498","0.042224817"
"158","-0.16628504","0.033252716","-0.1589675","null","null","null"
"160","null","null","null","0.0026724567","-0.06757498","0.042835664"
"162","null","null","null","8.39915E-4","-0.07185091","0.04344651"
"162","-0.16888392","0.037377357","-0.1926901","null","null","null"
"166","null","null","null","-0.0022143214","-0.073072605","0.044057358"
"168","null","null","null","-0.004046863","-0.07734854","0.044668205"
"168","-0.17734921","0.07470226","-0.24731417","null","null","null"
"170","null","null","null","-0.0071010995","-0.079181075","0.044668205"
"172","null","null","null","-0.009544488","-0.08162446","0.0458899"
"173","-0.16909003","0.0903492","-0.29653373","null","null","null"
"175","null","null","null","-0.013209572","-0.08284616","0.045279052"
"178","null","null","null","-0.015042114","-0.085289545","0.044668205"
"178","-0.15142345","0.12249851","-0.30236694","null","null","null"
"180","null","null","null","-0.019318044","-0.08651124","0.0458899"
"184","null","null","null","-0.022983128","-0.088343784","0.047111593"
"185","-0.14452076","0.1353836","-0.30191517","null","null","null"
"185","null","null","null","-0.02725906","-0.08956548","0.0458899"
"188","-0.12583864","0.13036633","-0.2703598","null","null","null"
"189","null","null","null","-0.026648212","-0.09200887","0.0458899"
"189","null","null","null","-0.030313294","-0.09567395","0.047111593"
"192","-0.09423506","0.12777042","-0.27923703","null","null","null"
"192","null","null","null","-0.03397838","-0.09872819","0.0458899"
"196","null","null","null","-0.03642177","-0.101782426","0.046500746"
"197","null","null","null","-0.03825431","-0.10544751","0.047722444"
"197","-0.09255326","0.10620499","-0.28191462","null","null","null"
"200","null","null","null","-0.041308545","-0.1066692","0.047111593"
"202","null","null","null","-0.04314109","-0.110945135","0.047722444"
"202","-0.08138096","0.09669399","-0.24639739","null","null","null"
"205","null","null","null","-0.04497363","-0.11277767","0.047111593"
"207","null","null","null","-0.048027866","-0.11583191","0.047722444"
"208","-0.07861948","0.08845711","-0.25019532","null","null","null"
"209","null","null","null","-0.049860407","-0.11949699","0.046500746"
"212","null","null","null","-0.048638713","-0.123162076","0.047111593"
"212","-0.094911575","0.08266926","-0.232523","null","null","null"
"214","null","null","null","-0.04924956","-0.12621632","0.047722444"
"217","null","null","null","-0.050471254","-0.12743801","0.047111593"
"217","-0.07068658","0.08642006","-0.21976385","null","null","null"
"219","null","null","null","-0.050471254","-0.12804885","0.047722444"
"222","null","null","null","-0.0510821","-0.12743801","0.04833329"
"222","-0.1119231","0.10200596","-0.15721992","null","null","null"
"224","null","null","null","-0.0510821","-0.12621632","0.048944138"
"227","null","null","null","-0.04924956","-0.12438377","0.047722444"
"227","-0.1456747","0.105587006","-0.09758295","null","null","null"
"229","null","null","null","-0.048027866","-0.12377293","0.047722444"
"231","null","null","null","-0.04741702","-0.120107844","0.04833329"
"232","-0.17440403","0.12931633","-0.04446754","null","null","null"
"234","null","null","null","-0.04497363","-0.11766446","0.048944138"
"237","-0.18856978","0.15995026","0.018742114","null","null","null"
"237","null","null","null","-0.04253024","-0.11583191","0.050165832"
"239","null","null","null","-0.04314109","-0.11277767","0.05077668"
"242","null","null","null","-0.040697698","-0.10728005","0.05077668"
"242","-0.20611036","0.16894817","0.08257836","null","null","null"
"244","null","null","null","-0.037032615","-0.1066692","0.05260922"
"247","null","null","null","-0.03397838","-0.09933904","0.053220067"
"247","-0.2305175","0.16359615","0.112398714","null","null","null"
