"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.028862532","-0.031458635","0.007482879"
"4","-0.07974243","0.028683662","-0.19612938","null","null","null"
"5","null","null","null","-0.034971006","-0.021685077","0.009315421"
"6","null","null","null","-0.039857782","-0.011911522","0.009315421"
"7","-0.07524586","0.025979042","-0.18645209","null","null","null"
"8","null","null","null","-0.04535541","-9.162709E-4","0.009926268"
"9","-0.07068157","0.044698715","-0.15219069","null","null","null"
"11","null","null","null","-0.048409645","0.0070247436","0.009315421"
"13","null","null","null","-0.053296424","0.017409148","0.009926268"
"13","null","null","null","-0.056961507","0.024128467","0.01175881"
"14","-0.07077646","0.044271946","-0.09721947","null","null","null"
"17","null","null","null","-0.059404895","0.03268033","0.01175881"
"19","null","null","null","-0.062459134","0.0387888","0.012369657"
"20","-0.0731287","0.023659706","-0.05867845","null","null","null"
"21","null","null","null","-0.065513365","0.04367558","0.01175881"
"23","-0.044545174","0.021046638","-0.010436118","null","null","null"
"24","null","null","null","-0.06673507","0.051005747","0.012369657"
"28","null","null","null","-0.06734591","0.057114217","0.012369657"
"29","-0.014957428","0.03864336","0.054443598","null","null","null"
"30","null","null","null","-0.068567604","0.062000997","0.01175881"
"32","null","null","null","-0.069178455","0.06383354","0.01175881"
"34","-0.006984234","0.045435905","0.11426175","null","null","null"
"35","null","null","null","-0.07101099","0.06566608","0.011147963"
"37","null","null","null","-0.07040015","0.06872032","0.008093726"
"38","null","null","null","-0.07284354","0.06933116","0.008704574"
"39","0.007950306","0.049890995","0.14883429","null","null","null"
"42","null","null","null","-0.07162184","0.070552856","0.009315421"
"43","null","null","null","-0.07162184","0.070552856","0.009315421"
"44","0.029922009","0.060216904","0.19028354","null","null","null"
"47","null","null","null","-0.07040015","0.070552856","0.008704574"
"48","null","null","null","-0.069178455","0.070552856","0.008093726"
"49","0.058797836","0.059789658","0.22419792","null","null","null"
"50","null","null","null","-0.07040015","0.070552856","0.0062611843"
"56","null","null","null","-0.06795676","0.067498624","0.0056503373"
"57","0.068341255","0.059432507","0.25182593","null","null","null"
"57","null","null","null","-0.06734591","0.067498624","0.0056503373"
"58","null","null","null","-0.06673507","0.064444385","0.0056503373"
"58","0.076591015","0.05195427","0.26362556","null","null","null"
"61","null","null","null","-0.06368083","0.06139015","0.0038177953"
"64","null","null","null","-0.061848287","0.05833591","0.004428643"
"65","0.078751564","0.056432247","0.29279637","null","null","null"
"66","null","null","null","-0.059404895","0.055281676","0.0025961008"
"69","0.10930538","0.05376625","0.32966465","null","null","null"
"69","null","null","null","-0.057572354","0.049784053","0.003206948"
"70","null","null","null","-0.055128966","0.048562355","-4.5813544E-4"
"72","0.10741949","0.042871","0.3421188","null","null","null"
"73","null","null","null","-0.052685577","0.043064732","7.635591E-4"
"76","null","null","null","-0.050242186","0.0387888","1.5271181E-4"
"78","null","null","null","-0.04718795","0.035123717","1.5271181E-4"
"79","0.105510235","0.04391384","0.36470562","null","null","null"
"80","null","null","null","-0.044133715","0.030236939","-0.0010689828"
"83","null","null","null","-0.03863609","0.024739314","-0.0029015245"
"83","0.09993315","0.03785515","0.38655764","null","null","null"
"89","null","null","null","-0.035581853","0.018019995","-0.00167983"
"90","null","null","null","-0.030084228","0.011300675","-0.0010689828"
"90","0.08012295","0.02110672","0.39685696","null","null","null"
"91","null","null","null","-0.025808297","0.0070247436","-0.0022906773"
"95","null","null","null","-0.019699825","-3.0542363E-4","-0.0022906773"
"95","0.04377365","-0.0050172806","0.41705292","null","null","null"
"96","null","null","null","-0.015423893","-0.0051922016","-0.00167983"
"98","null","null","null","-0.011147963","-0.011911522","-0.0029015245"
"98","0.019544125","-0.011973381","0.41976637","null","null","null"
"100","null","null","null","-0.00503949","-0.020463383","-0.0029015245"
"103","null","null","null","0.0010689828","-0.025961008","-0.0022906773"
"104","-0.0104961395","-0.012978554","0.41330498","null","null","null"
"105","null","null","null","0.004123219","-0.030847786","-0.0022906773"
"108","-0.04032421","-0.016401768","0.40741253","null","null","null"
"109","null","null","null","0.011453386","-0.036956258","-0.0022906773"
"111","null","null","null","0.017561859","-0.044286426","-0.0022906773"
"112","null","null","null","0.022448637","-0.049784053","-0.00167983"
"112","-0.06757927","-0.017488003","0.38055634","null","null","null"
"115","null","null","null","0.025502874","-0.05467083","-0.00167983"
"120","null","null","null","0.031611346","-0.060779303","-0.00167983"
"121","null","null","null","0.035276428","-0.064444385","-0.0010689828"
