"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-2.4981363","1.5598748","0.61191624"
"3","-2.1878438","-1.1992178","-0.6472895","null","null","null"
"3","null","null","null","-2.4657614","1.5103962","0.65162134"
"5","null","null","null","-2.427278","1.4627501","0.6846071"
"6","-2.3416212","-1.354516","0.008075714","null","null","null"
"7","null","null","null","-2.3796318","1.4102173","0.71331686"
"10","null","null","null","-2.3289316","1.358906","0.7353074"
"15","-2.236504","-1.5056686","0.3355682","null","null","null"
"15","null","null","null","-2.2733445","1.3057624","0.7511894"
"16","null","null","null","-2.215314","1.2611705","0.7615738"
"17","-1.9945208","-1.6903439","0.7521548","null","null","null"
"17","null","null","null","-2.1597269","1.2214655","0.76340634"
"20","null","null","null","-2.1090264","1.195199","0.7597413"
"21","-1.7201037","-1.762186","1.3129125","null","null","null"
"23","null","null","null","-2.059548","1.1805387","0.7524111"
"25","null","null","null","-2.0088475","1.1774844","0.74080503"
"25","-1.2449722","-1.6493988","1.6049554","null","null","null"
"27","null","null","null","-1.9612014","1.1909231","0.7273664"
"30","null","null","null","-1.9166096","1.2141353","0.7151494"
"30","-0.7606741","-1.3687439","2.1648943","null","null","null"
"33","null","null","null","-1.8769046","1.2483428","0.70659757"
"34","null","null","null","-1.8451405","1.2837719","0.696824"
"35","-0.46004307","-1.071271","2.9147246","null","null","null"
"37","null","null","null","-1.8188741","1.3124816","0.69010466"
"39","-0.21582246","-0.80279255","3.0925922","null","null","null"
"40","null","null","null","-1.8042138","1.3320287","0.6839962"
"42","null","null","null","-1.7987161","1.3399699","0.68216366"
"44","null","null","null","-1.8042138","1.3277528","0.6839962"
"45","0.1358279","-0.49822426","2.6922283","null","null","null"
"47","null","null","null","-1.8182632","1.283161","0.68582875"
"49","null","null","null","-1.8475839","1.1939774","0.6833854"
"50","0.59081674","-0.317338","2.3092835","null","null","null"
"52","null","null","null","-1.8848456","1.0650885","0.67788774"
"54","null","null","null","-1.9214964","0.9050466","0.6650599"
"55","1.2791071","-0.07047939","1.3892155","null","null","null"
"57","null","null","null","-1.947152","0.70713204","0.64306945"
"59","null","null","null","-1.9599798","0.49394637","0.6180247"
"60","2.2925863","0.1053524","0.8677547","null","null","null"
"62","null","null","null","-1.9654775","0.29847524","0.5960342"
"65","null","null","null","-1.9685316","0.1182753","0.5764871"
"66","2.9425664","0.3938141","1.8390234","null","null","null"
"66","null","null","null","-1.9636449","-0.046042614","0.5593834"
"69","null","null","null","-1.9544822","-0.21769069","0.5361712"
"70","2.8800256","0.36356926","2.635199","null","null","null"
"72","null","null","null","-1.9477628","-0.40216658","0.5056288"
"74","null","null","null","-1.9440978","-0.5921401","0.46714544"
"74","3.2175097","0.21861553","3.2105742","null","null","null"
"76","null","null","null","-1.9404327","-0.7491278","0.42438614"
"79","null","null","null","-1.9367676","-0.8651888","0.38345936"
"80","3.9611812","0.15297222","3.2636132","null","null","null"
"82","null","null","null","-1.9324917","-0.95994645","0.33581328"
"84","null","null","null","-1.923329","-1.0326372","0.27717194"
"84","3.8464663","0.18592262","3.581515","null","null","null"
"87","null","null","null","-1.9056144","-1.0955546","0.20692451"
"89","null","null","null","-1.8732395","-1.1541959","0.13240114"
"89","4.137779","0.10798073","4.229073","null","null","null"
"92","null","null","null","-1.835367","-1.1957335","0.056045234"
"95","null","null","null","-1.7919968","-1.1969552","-0.01977618"
"95","4.54603","-0.02472496","4.836738","null","null","null"
"96","null","null","null","-1.743129","-1.1706887","-0.09307785"
"99","null","null","null","-1.6942612","-1.134038","-0.16454698"
"99","4.5070314","-0.2582655","5.658462","null","null","null"
"101","null","null","null","-1.6441717","-1.0961654","-0.23662695"
"105","null","null","null","-1.5995799","-1.0589037","-0.30870694"
"105","4.0806184","-0.37364292","5.912481","null","null","null"
"106","null","null","null","-1.5580423","-1.0143119","-0.3820086"
"109","null","null","null","-1.5268891","-0.96727663","-0.45103434"
"109","3.9460754","-0.39399147","5.895717","null","null","null"
"111","null","null","null","-1.5024552","-0.92085224","-0.5151733"
"114","null","null","null","-1.4798539","-0.8853468","-0.5744255"
"114","3.8764992","-0.32256985","5.249939","null","null","null"
"116","null","null","null","-1.4609176","-0.8639671","-0.6239041"
"118","null","null","null","-1.4493115","-0.86763215","-0.6672743"
"119","3.4077578","-0.036949158","4.7077265","null","null","null"
"121","null","null","null","-1.4413705","-0.896342","-0.70392513"
"124","null","null","null","-1.4401487","-0.9465078","-0.73507833"
"124","2.7359636","0.26576424","3.968846","null","null","null"
"126","null","null","null","-1.4425921","-1.0149227","-0.76256645"
"128","null","null","null","-1.4487007","-1.0998305","-0.7839461"
"129","2.2382197","0.55384874","3.1960745","null","null","null"
"131","null","null","null","-1.459085","-1.1951227","-0.8034932"
"133","null","null","null","-1.4731345","-1.2946907","-0.82181865"
"134","1.8312254","0.8244271","2.6119633","null","null","null"
"136","null","null","null","-1.487184","-1.4003674","-0.8389224"
"138","null","null","null","-1.5000118","-1.5054331","-0.852361"
"139","1.4834043","1.0474305","2.255757","null","null","null"
"140","null","null","null","-1.5134504","-1.613553","-0.86763215"
"143","null","null","null","-1.5268891","-1.7204514","-0.8767949"
"144","1.2262614","1.2778654","2.219122","null","null","null"
"145","null","null","null","-1.5384952","-1.8273495","-0.88412505"
"148","null","null","null","-1.5488796","-1.9348587","-0.8859576"
"148","0.9407768","1.4140615","2.2886422","null","null","null"
"150","null","null","null","-1.5525447","-2.041146","-0.8859576"
"153","null","null","null","-1.5501013","-2.1394925","-0.8871793"
"154","0.6573031","1.439662","2.4408288","null","null","null"
"155","null","null","null","-1.5421603","-2.2231786","-0.888401"
"158","null","null","null","-1.5268891","-2.2909827","-0.89084435"
"158","0.4286368","1.4797792","2.8518672","null","null","null"
"160","null","null","null","-1.5048985","-2.3441265","-0.8926769"
"164","null","null","null","-1.4737453","-2.3801663","-0.89084435"
"164","0.24376965","1.6761589","3.5256815","null","null","null"
"165","null","null","null","-1.438927","-2.397881","-0.89206606"
"168","null","null","null","-1.399222","-2.4033785","-0.89084435"
"168","0.07006383","1.8774042","4.310951","null","null","null"
"170","null","null","null","-1.351576","-2.393605","-0.89084435"
"173","null","null","null","-1.2959888","-2.3716145","-0.89145523"
"174","-0.074739456","2.1068583","5.057724","null","null","null"
"175","null","null","null","-1.2336824","-2.3361855","-0.89084435"
"178","null","null","null","-1.1652675","-2.2989237","-0.89084435"
"178","-0.18470526","2.384368","5.735534","null","null","null"
"180","null","null","null","-1.0876899","-2.2512777","-0.8890118"
"183","null","null","null","-1.0033929","-2.1987448","-0.8871793"
"184","-0.29876947","2.685481","6.371168","null","null","null"
