"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","1.2386456","0.7178219","0.6042043"
"5","1.9701631","-1.2877464","-1.5838412","null","null","null"
"6","null","null","null","1.2459757","0.7367582","0.6194755"
"7","null","null","null","1.2600251","0.76241374","0.6316924"
"8","2.1314223","-1.1140299","-1.1195526","null","null","null"
"9","null","null","null","1.2814049","0.7966212","0.6426877"
"10","null","null","null","1.3021736","0.83266115","0.64879614"
"11","2.40618","-0.96769524","-0.4908576","null","null","null"
"12","null","null","null","1.3333268","0.85953844","0.6475744"
"16","null","null","null","1.3705885","0.88763744","0.64146596"
"18","null","null","null","1.4072393","0.90351945","0.6310816"
"19","2.7572565","-0.91844654","-0.1413958","null","null","null"
"20","null","null","null","1.4463336","0.90474117","0.613367"
"23","null","null","null","1.489093","0.88824826","0.5913765"
"24","3.2034013","-0.87075424","-0.16413379","null","null","null"
"25","null","null","null","1.5196353","0.8552625","0.569386"
"26","3.5244827","-0.8091078","-0.24225688","null","null","null"
"27","null","null","null","1.5544536","0.8021188","0.5425087"
"30","null","null","null","1.5788875","0.73126054","0.5144097"
"32","3.7444668","-0.8135481","-0.8779018","null","null","null"
"33","null","null","null","1.6014888","0.6469636","0.48325655"
"34","null","null","null","1.6161492","0.5644992","0.45210332"
"37","3.8747973","-0.7679119","-1.7718973","null","null","null"
"38","null","null","null","1.6399722","0.4698179","0.4221718"
"38","null","null","null","1.6613518","0.3818559","0.38918605"
"41","3.779066","-0.70940876","-1.7717361","null","null","null"
"42","null","null","null","1.6851748","0.30916506","0.35803285"
"44","null","null","null","1.708998","0.24441525","0.32749048"
"46","3.6648452","-0.4766941","-1.3474867","null","null","null"
"46","null","null","null","1.7297667","0.19127154","0.29572642"
"48","null","null","null","1.7511464","0.14790139","0.26762745"
"51","null","null","null","1.7706935","0.113693945","0.24013934"
"52","3.4574091","-0.14406776","-1.2097299","null","null","null"
"53","null","null","null","1.7945166","0.09353599","0.21265121"
"56","null","null","null","1.8073443","0.07704311","0.18699561"
"56","3.1742349","0.23571968","-0.98762155","null","null","null"
"58","null","null","null","1.8305565","0.051387526","0.15523157"
"61","null","null","null","1.8433843","0.04833329","0.12530005"
"63","3.0161002","0.6709757","-0.8209231","null","null","null"
"63","null","null","null","1.8464385","0.03489465","0.09964446"
"66","2.9162092","1.0650482","-1.1927929","null","null","null"
"66","null","null","null","1.8556013","0.0086282175","0.07154548"
"68","null","null","null","1.8629314","-0.0035887277","0.046500746"
"74","null","null","null","1.8586555","-0.012140589","0.028786177"
"75","2.679895","1.2220068","-1.7830629","null","null","null"
"75","null","null","null","1.8421626","-0.02741177","0.0104607595"
"76","null","null","null","1.8293349","-0.023135839","-0.0035887277"
"76","2.43366","1.3028746","-2.1152906","null","null","null"
"78","null","null","null","1.8140637","-0.033520244","-0.017638214"
"81","2.2603312","1.3270025","-2.3749003","null","null","null"
"82","null","null","null","1.800625","-0.050013117","-0.030466007"
"82","null","null","null","1.7871864","-0.06345176","-0.03657448"
"85","2.1123538","1.3207808","-2.687688","null","null","null"
