"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.0071774554","0.008170082","0.005421269"
"7","null","null","null","-0.010231691","0.010002624","0.005421269"
"8","null","null","null","-0.010842538","0.010002624","0.0035887277"
"9","-0.06564665","0.032505035","0.0066683292","null","null","null"
"10","null","null","null","-0.014507622","0.010002624","0.0023670332"
"12","-0.0746752","0.03468895","-0.029653907","null","null","null"
"15","null","null","null","-0.0151184695","0.008170082","-0.0012980504"
"19","-0.07864535","0.046331406","-0.050426483","null","null","null"
"22","null","null","null","-0.018783553","0.0075592347","-0.0031305922"
"24","null","null","null","-0.0193944","0.005726693","-0.0037414394"
"25","-0.061138988","0.054322243","-0.081894934","null","null","null"
"26","null","null","null","-0.023059484","0.005726693","-0.004352287"
"26","null","null","null","-0.025502874","0.0045049987","-0.0055739814"
"26","null","null","null","-0.027946262","0.0014507623","-0.0086282175"
"27","null","null","null","-0.029778805","-3.8177954E-4","-0.0092390645"
"27","-0.050770164","0.05156517","-0.12402254","null","null","null"
"28","null","null","null","-0.03283304","-0.0046577104","-0.0104607595"
"28","-0.03801036","0.042895317","-0.120863855","null","null","null"
"29","null","null","null","-0.03466558","-0.005879405","-0.011682454"
"33","null","null","null","-0.035276428","-0.009544488","-0.011682454"
"33","-0.038353562","0.021245003","-0.11905044","null","null","null"
"34","null","null","null","-0.036498122","-0.013820419","-0.012904149"
"35","null","null","null","-0.03771982","-0.015042114","-0.0122933015"
"36","-0.02799964","-2.2220612E-4","-0.1078043","null","null","null"
"36","null","null","null","-0.0413849","-0.018707197","-0.014125843"
"38","-0.025997996","-0.0048856735","-0.0991531","null","null","null"
"39","null","null","null","-0.040163208","-0.021761434","-0.014125843"
"41","null","null","null","-0.03955236","-0.025426516","-0.012904149"
"42","null","null","null","-0.040163208","-0.027869906","-0.015347538"
"43","-0.026418328","0.0071048737","-0.06555241","null","null","null"
"44","null","null","null","-0.040163208","-0.032756682","-0.014125843"
"48","null","null","null","-0.040163208","-0.034589227","-0.014125843"
"49","-0.016186237","0.008315086","-0.06068045","null","null","null"
"50","null","null","null","-0.03955236","-0.037643462","-0.013514996"
"53","null","null","null","-0.036498122","-0.040697698","-0.011071607"
"53","-0.009714127","0.017827034","-0.061640978","null","null","null"
"55","null","null","null","-0.035276428","-0.04191939","-0.011682454"
"57","null","null","null","-0.036498122","-0.044362783","-0.0098499125"
"58","-0.011697412","0.021327019","-0.03397119","null","null","null"
"60","null","null","null","-0.032222193","-0.04741702","-0.007406523"
"62","-0.011489987","0.014119148","-0.025251806","null","null","null"
"63","null","null","null","-0.029778805","-0.049860407","-0.006795676"
"65","null","null","null","-0.029167956","-0.051692948","-0.004963134"
"68","null","null","null","-0.024892027","-0.053525493","-0.004352287"
"68","-0.026851535","0.014093399","0.0026071072","null","null","null"
"70","null","null","null","-0.023059484","-0.053525493","-0.0012980504"
"72","null","null","null","-0.021226943","-0.052914646","-7.635591E-5"
"72","-0.04821098","-0.032219887","0.019785285","null","null","null"
"75","null","null","null","-0.017561859","-0.05596888","5.344914E-4"
"78","null","null","null","-0.0151184695","-0.054747187","0.0023670332"
"78","-0.068317175","-0.054419518","0.03711152","null","null","null"
"81","null","null","null","-0.0132859275","-0.055358034","0.0029778804"
"82","-0.06225121","-0.06575298","0.027199745","null","null","null"
"82","null","null","null","-0.010231691","-0.053525493","0.004810422"
"86","null","null","null","-0.0077883024","-0.053525493","0.0041995747"
