"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.47752985","0.023593975","-1.3445512"
"1","-0.60961914","-0.017997742","0.81096447","null","null","null"
"1","null","null","null","-0.52273256","0.055358034","-1.3714285"
"5","-0.75675297","-0.25016856","0.8780924","null","null","null"
"5","null","null","null","-0.5679352","0.088343784","-1.3976948"
"5","null","null","null","-0.6094729","0.12071869","-1.4209071"
"10","null","null","null","-0.65162134","0.15370443","-1.4435084"
"11","-0.8800764","-0.5142362","0.9541012","null","null","null"
"11","null","null","null","-0.6925481","0.18730104","-1.4630555"
"13","null","null","null","-0.7310315","0.22273017","-1.4826026"
"13","-0.9949837","-0.77154636","1.0602419","null","null","null"
"15","null","null","null","-0.76829314","0.2563268","-1.4997064"
"19","null","null","null","-0.80311143","0.29183227","-1.5149776"
"19","-1.1061449","-1.037416","1.1675355","null","null","null"
"21","null","null","null","-0.8379297","0.32909396","-1.5296379"
"22","null","null","null","-0.8721372","0.36513394","-1.5424657"
"23","-1.2050447","-1.3270609","1.267284","null","null","null"
"24","null","null","null","-0.9045121","0.40239564","-1.5552934"
"29","null","null","null","-0.93383276","0.4384356","-1.565067"
"29","-1.3155222","-1.581696","1.3665063","null","null","null"
"29","null","null","null","-0.96498597","0.476919","-1.5723972"
"33","null","null","null","-0.9943066","0.5123481","-1.5809491"
"33","-1.439786","-1.8547459","1.4184196","null","null","null"
"35","null","null","null","-1.0224056","0.5483881","-1.585225"
"38","-1.5789204","-2.1100762","1.4685173","null","null","null"
"39","null","null","null","-1.0492829","0.58381724","-1.5895009"
"39","null","null","null","-1.076771","0.6180247","-1.5919443"
"43","-1.7220316","-2.3473828","1.4833571","null","null","null"
"43","null","null","null","-1.1018157","0.65223217","-1.593166"
"45","null","null","null","-1.1280822","0.6839962","-1.5913335"
"50","null","null","null","-1.152516","0.7120952","-1.5895009"
"51","-1.8809671","-2.5544038","1.4619869","null","null","null"
"51","null","null","null","-1.1745065","0.74019414","-1.5846142"
"53","null","null","null","-1.1989405","0.76829314","-1.5778948"
"54","-2.0579863","-2.7678342","1.4166348","null","null","null"
"54","null","null","null","-1.2209309","0.7945596","-1.5705646"
"59","-2.2254982","-2.949119","1.3606524","null","null","null"
"59","null","null","null","-1.2429215","0.8165501","-1.5607911"
"59","null","null","null","-1.2630794","0.8397623","-1.549185"
"62","null","null","null","-1.280794","0.8611419","-1.5357463"
"63","-2.3750458","-3.1313367","1.3325369","null","null","null"
"64","null","null","null","-1.2985085","0.87824565","-1.5223078"
"70","-2.499463","-3.2987773","1.3420895","null","null","null"
"70","null","null","null","-1.3137797","0.89657104","-1.5082582"
"70","null","null","null","-1.3278292","0.91306394","-1.4905437"
"72","-2.6190324","-3.446276","1.3427713","null","null","null"
"73","null","null","null","-1.340657","0.9271134","-1.4716074"
"74","null","null","null","-1.3510414","0.9417738","-1.4514494"
"78","-2.7480736","-3.6094608","1.3442988","null","null","null"
"78","null","null","null","-1.3589824","0.95337987","-1.4300698"
"79","null","null","null","-1.3693669","0.9619317","-1.4062468"
"83","null","null","null","-1.3760861","0.9692619","-1.3824238"
"83","-2.8518724","-3.7568693","1.3566788","null","null","null"
"84","null","null","null","-1.3828055","0.97598124","-1.3549355"
"89","null","null","null","-1.3870814","0.980868","-1.3274474"
"89","-2.9507694","-3.8834457","1.3489928","null","null","null"
"92","null","null","null","-1.3919683","0.9863656","-1.2981268"
"92","null","null","null","-1.3938007","0.9894198","-1.2688061"
"92","-3.0531273","-4.0056844","1.3548939","null","null","null"
"94","null","null","null","-1.3944116","0.99186325","-1.2376529"
"97","null","null","null","-1.3962442","0.99552834","-1.2034454"
"97","-3.1374278","-4.1126137","1.3410093","null","null","null"
"99","null","null","null","-1.3962442","0.99675","-1.169238"
"102","null","null","null","-1.3944116","0.9973609","-1.1325872"
"102","-3.213234","-4.2158413","1.3326116","null","null","null"
"104","null","null","null","-1.3931899","1.0010259","-1.0977689"
"107","null","null","null","-1.3901356","0.99919343","-1.0605072"
"107","-3.2889614","-4.2925825","1.3583739","null","null","null"
"109","null","null","null","-1.3840271","1.0010259","-1.0201913"
"111","null","null","null","-1.3791404","1.0010259","-0.98231876"
"111","-3.370572","-4.3676653","1.3884583","null","null","null"
"113","null","null","null","-1.3699777","0.99980426","-0.94200283"
"117","null","null","null","-1.3589824","0.9979717","-0.89924353"
"117","-3.452116","-4.423071","1.4516447","null","null","null"
"119","null","null","null","-1.3479872","0.9979717","-0.8577059"
"121","null","null","null","-1.3345486","0.9943066","-0.81433576"
"121","-3.515664","-4.459823","1.5503135","null","null","null"
"123","null","null","null","-1.3180556","0.99186325","-0.77035475"
"126","-3.5815902","-4.4706655","1.6247609","null","null","null"
"126","null","null","null","-1.3021736","0.98758733","-0.7257629"
"129","null","null","null","-1.2814049","0.9827005","-0.6793385"
"132","-3.6463099","-4.4661746","1.7218082","null","null","null"
"132","null","null","null","-1.260636","0.97659206","-0.6310816"
"136","null","null","null","-1.2386456","0.9698727","-0.5834355"
"137","null","null","null","-1.2129899","0.9588775","-0.53640026"
"138","-3.720623","-4.42957","1.8057711","null","null","null"
"138","null","null","null","-1.1855018","0.94910395","-0.48814332"
"141","-3.8033695","-4.3859997","1.8709155","null","null","null"
"141","null","null","null","-1.1580137","0.9387195","-0.43927553"
"144","null","null","null","-1.1262497","0.9234483","-0.3897969"
"146","null","null","null","-1.0944855","0.9100097","-0.33970743"
"146","-3.8909893","-4.3103023","1.9474232","null","null","null"
"150","null","null","null","-1.0596672","0.8922951","-0.28839627"
"153","null","null","null","-1.0248489","0.87458056","-0.23708509"
"153","-3.9488354","-4.2418795","2.0092611","null","null","null"
"154","null","null","null","-0.9863656","0.856866","-0.18455222"
"156","null","null","null","-0.94849306","0.83548635","-0.1338519"
"157","-3.987733","-4.1580048","2.0912528","null","null","null"
"159","null","null","null","-0.9075663","0.8165501","-0.08315159"
"161","null","null","null","-0.86541784","0.7951704","-0.031229567"
"162","-4.0125375","-4.0719914","2.1552458","null","null","null"
"163","null","null","null","-0.81960434","0.77256906","0.01885991"
"166","-4.0233154","-3.9493337","2.2384338","null","null","null"
"166","null","null","null","-0.77256906","0.7499677","0.06772769"
"172","-3.9914513","-3.8488805","2.3122692","null","null","null"
"173","null","null","null","-0.7237013","0.7237013","0.11720632"
"173","null","null","null","-0.6723901","0.7004891","0.16485241"
"173","null","null","null","-0.61985725","0.67422265","0.2112768"
"178","null","null","null","-0.5636593","0.6461237","0.2577012"
"178","-3.9003172","-3.7350264","2.394727","null","null","null"
"178","null","null","null","-0.50685054","0.61985725","0.3016822"
"180","null","null","null","-0.44820917","0.5911474","0.3444415"
"181","-3.7667923","-3.6105156","2.4571602","null","null","null"
"182","null","null","null","-0.3877353","0.56427014","0.38536826"
"186","null","null","null","-0.32542887","0.5386146","0.4244625"
"186","-3.5981522","-3.491295","2.5185885","null","null","null"
"189","null","null","null","-0.26190075","0.5160132","0.46111333"
"190","-3.4207754","-3.386189","2.571439","null","null","null"
"190","null","null","null","-0.1965401","0.49219018","0.4971533"
"193","null","null","null","-0.133012","0.47019967","0.5307499"
"195","null","null","null","-0.06826218","0.45065257","0.5632012"
"196","-3.239479","-3.2751951","2.589181","null","null","null"
"198","null","null","null","-0.0035123718","0.43232715","0.59557605"
"201","null","null","null","0.06062659","0.41339087","0.62489676"
"201","-3.0925264","-3.1801193","2.5691414","null","null","null"
"204","null","null","null","0.1241547","0.39628717","0.6572716"
"206","null","null","null","0.18523943","0.38223767","0.68659234"
"207","-2.9547348","-3.114166","2.4991965","null","null","null"
"210","null","null","null","0.24449162","0.36757734","0.7134696"
"212","null","null","null","0.30313295","0.3541387","0.7421794"
"212","-2.8691492","-3.0536754","2.375616","null","null","null"
"212","null","null","null","0.3605526","0.34070006","0.7708892"
"217","null","null","null","0.41675055","0.3284831","0.80082077"
"218","null","null","null","0.4705051","0.3193204","0.8289197"
"218","-2.7770572","-3.0152638","2.2342176","null","null","null"
"220","null","null","null","0.52181625","0.3101577","0.8564079"
"221","-2.7035275","-2.992992","2.0687866","null","null","null"
"223","null","null","null","0.57190573","0.2997733","0.883896"
"225","null","null","null","0.62016267","0.2893889","0.9126058"
"226","-2.6425424","-2.9426222","1.8746096","null","null","null"
"229","null","null","null","0.66719794","0.2814479","0.94009393"
"230","null","null","null","0.7124006","0.2716743","0.9669712"
"230","-2.611989","-2.8821516","1.663612","null","null","null"
"236","null","null","null","0.75577074","0.2618244","0.99445933"
"236","null","null","null","0.7973084","0.25205085","1.0225583"
"237","-2.56279","-2.8366725","1.4394937","null","null","null"
"238","null","null","null","0.8358681","0.24472068","1.0494356"
"240","-2.5248332","-2.787078","1.1795228","null","null","null"
"240","null","null","null","0.8737407","0.23433629","1.0757021"
"242","null","null","null","0.90733725","0.22456272","1.1031902"
"245","null","null","null","0.9391013","0.21540001","1.1288457"
"245","-2.4753714","-2.7381136","0.92694426","null","null","null"
"249","null","null","null","0.97025454","0.2062373","1.1551121"
"251","null","null","null","0.9989643","0.19890714","1.1813786"
"251","-2.3976607","-2.6778865","0.66735923","null","null","null"
"254","null","null","null","1.0240091","0.18974443","1.207645"
"255","null","null","null","1.0478321","0.18363595","1.2339115"
"255","-2.3430882","-2.6362033","0.44381726","null","null","null"
"259","null","null","null","1.0686009","0.17447324","1.2613996"
"259","-2.2840586","-2.6117165","0.2037009","null","null","null"
"260","null","null","null","1.0863155","0.17019732","1.2901094"
"262","null","null","null","1.1034192","0.16408885","1.3169867"
"265","null","null","null","1.116247","0.15859123","1.3463074"
"265","-2.2396173","-2.6066713","-0.033925533","null","null","null"
"268","null","null","null","1.1272422","0.15492614","1.3774606"
"269","null","null","null","1.1345724","0.15370443","1.4049487"
"270","-2.204853","-2.5969346","-0.2990023","null","null","null"
"272","null","null","null","1.1394593","0.15126105","1.4348803"
"274","null","null","null","1.1449568","0.1518719","1.4666443"
"275","-2.1378117","-2.5919876","-0.52225614","null","null","null"
"277","null","null","null","1.1437352","0.15553698","1.4971867"
"279","null","null","null","1.1425134","0.15798037","1.5283399"
