"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.046195325","-0.022219568","-0.005726693"
"7","null","null","null","-0.043751936","-0.027106347","-0.0014507623"
"10","-0.29846472","-0.23200703","0.13228798","null","null","null"
"12","null","null","null","-0.040697698","-0.028328042","3.8177954E-4"
"13","null","null","null","-0.041308545","-0.034436513","0.003436016"
"14","-0.27256274","-0.2245543","0.051368713","null","null","null"
"14","null","null","null","-0.040697698","-0.03993414","0.0052685575"
"15","-0.25222486","-0.22188735","-0.039488792","null","null","null"
"15","null","null","null","-0.041308545","-0.046042614","0.0071010995"
"16","null","null","null","-0.043751936","-0.056427017","0.008933641"
"18","null","null","null","-0.048027866","-0.06192464","0.013820419"
"20","-0.24831736","-0.20948172","-0.12836075","null","null","null"
"23","null","null","null","-0.0510821","-0.07291989","0.01565296"
"23","null","null","null","-0.054747187","-0.0820826","0.018707197"
"24","-0.2584355","-0.20749569","-0.2022152","null","null","null"
"25","null","null","null","-0.059633963","-0.092467","0.022372281"
"26","null","null","null","-0.061466504","-0.10101887","0.026037365"
"27","-0.27183777","-0.21699095","-0.20419884","null","null","null"
"28","null","null","null","-0.06207735","-0.10895988","0.028480753"
"31","-0.28120804","-0.20961142","-0.17048931","null","null","null"
"32","null","null","null","-0.06513159","-0.11690089","0.030924143"
"35","null","null","null","-0.066353284","-0.12362021","0.032756682"
"36","null","null","null","-0.063909896","-0.12911785","0.03397838"
"37","-0.2804966","-0.1986363","-0.1013813","null","null","null"
"39","null","null","null","-0.063909896","-0.13461547","0.03581092"
"40","-0.23753011","-0.18905592","0.027785301","null","null","null"
"41","null","null","null","-0.060855657","-0.13705885","0.03581092"
"45","null","null","null","-0.05780142","-0.13583715","0.03581092"
"45","null","null","null","-0.05413634","-0.13400462","0.03581092"
"46","-0.18775725","-0.16086483","0.17731476","null","null","null"
"48","null","null","null","-0.04924956","-0.12972869","0.032145835"
"50","null","null","null","-0.04253024","-0.12362021","0.0290916"
"51","-0.11064422","-0.13460612","0.34228516","null","null","null"
"53","null","null","null","-0.03825431","-0.11323581","0.026037365"
"56","null","null","null","-0.030924143","-0.10468395","0.021761434"
"56","-0.048691988","-0.093709946","0.48453522","null","null","null"
"58","null","null","null","-0.023593975","-0.09491039","0.018707197"
"60","null","null","null","-0.01809635","-0.08025006","0.016263809"
"60","-0.043147683","-0.07521367","0.5567751","null","null","null"
"67","null","null","null","-0.012598725","-0.06681142","0.011987877"
"67","-0.014954448","-0.059768677","0.6093731","null","null","null"
"68","null","null","null","-0.008933641","-0.05581617","0.008322794"
"68","null","null","null","-0.004046863","-0.04359922","0.0046577104"
"70","null","null","null","-0.003436016","-0.031993125","0.001603474"
"71","-0.0024182796","-0.06263614","0.5700617","null","null","null"
"74","null","null","null","-0.003436016","-0.021608721","-8.39915E-4"
"76","null","null","null","-0.005879405","-0.012446013","-8.39915E-4"
"77","-0.017444968","-0.102259636","0.47039986","null","null","null"
"78","null","null","null","-0.010766183","-0.0014507623","-0.0020616094"
"80","null","null","null","-0.016263809","0.0077119465","-2.2906772E-4"
"81","-0.06937015","-0.16606212","0.32742214","null","null","null"
"84","null","null","null","-0.021761434","0.016263809","0.0022143214"
"86","-0.1474266","-0.22281027","0.20676804","null","null","null"
"87","null","null","null","-0.028480753","0.023593975","0.006490252"
"88","null","null","null","-0.03581092","0.028480753","0.009544488"
"90","-0.20889437","-0.26533175","0.12131691","null","null","null"
"91","null","null","null","-0.04191939","0.03581092","0.012598725"
"93","null","null","null","-0.048027866","0.04008685","0.016263809"
"95","null","null","null","-0.052914646","0.043751936","0.019928891"
"95","-0.23503661","-0.28434753","0.08624649","null","null","null"
"97","null","null","null","-0.059023116","0.046195325","0.024204822"
"100","null","null","null","-0.06207735","0.04741702","0.027869906"
"101","-0.235888","-0.27893555","0.040643692","null","null","null"
"104","null","null","null","-0.06696413","0.04680617","0.030313294"
"107","-0.24867237","-0.27908504","0.013140678","null","null","null"
"108","null","null","null","-0.070018366","0.04680617","0.034589227"
"109","null","null","null","-0.07062922","0.044362783","0.03642177"
"110","-0.26861715","-0.2589209","0.04283905","null","null","null"
"111","null","null","null","-0.07062922","0.045584477","0.038865156"
"113","null","null","null","-0.06940752","0.045584477","0.04253024"
"114","null","null","null","-0.06513159","0.04253024","0.04497363"
"115","-0.27188617","-0.24854374","0.10557175","null","null","null"
"117","null","null","null","-0.061466504","0.04253024","0.048104223"
"120","null","null","null","-0.054747187","0.04008685","0.04871507"
"120","-0.28005672","-0.22441816","0.16434288","null","null","null"
"122","null","null","null","-0.048638713","0.03642177","0.051158458"
"125","null","null","null","-0.041308545","0.032145835","0.052991"
"126","-0.26835245","-0.22009039","0.24417877","null","null","null"
"128","null","null","null","-0.032756682","0.027869906","0.05482354"
"130","null","null","null","-0.023593975","0.023593975","0.05482354"
"131","-0.25480843","-0.21302271","0.24286652","null","null","null"
"132","null","null","null","-0.014431266","0.019928891","0.057266932"
"135","null","null","null","-0.0046577104","0.016874656","0.056045234"
"136","-0.26548725","-0.19739556","0.271492","null","null","null"
"137","null","null","null","0.005726693","0.01565296","0.057266932"
"139","null","null","null","0.015500249","0.01137703","0.058488626"
"139","-0.26801348","-0.17929196","0.28944778","null","null","null"
"143","null","null","null","0.0264955","0.0052685575","0.058488626"
"145","-0.24961752","-0.16587853","0.28023148","null","null","null"
"146","null","null","null","0.03565821","0.0022143214","0.057266932"
"147","null","null","null","0.045431767","-0.003283304","0.057266932"
"151","null","null","null","0.053372778","-0.0069483877","0.057266932"
"152","-0.24603552","-0.1700747","0.23454666","null","null","null"
"153","null","null","null","0.060702946","-0.010613471","0.05787778"
"154","null","null","null","0.068033114","-0.013667707","0.058488626"
"155","-0.22977185","-0.18325567","0.18588829","null","null","null"
"157","null","null","null","0.074752435","-0.016111096","0.05971032"
"161","null","null","null","0.079715565","-0.016721943","0.060321167"
"162","-0.23760939","-0.1684382","0.1591692","null","null","null"
"162","null","null","null","0.08521319","-0.016111096","0.06154286"
"166","null","null","null","0.09009997","-0.016111096","0.060932014"
"167","-0.24063337","-0.17203999","0.14228344","null","null","null"
"168","null","null","null","0.0943759","-0.014278554","0.06154286"
"169","-0.23637414","-0.14393353","0.13035583","null","null","null"
"169","null","null","null","0.09681929","-0.011835165","0.062764555"
"172","null","null","null","0.098651834","-0.010002624","0.06398625"
"176","null","null","null","0.10048437","-0.0075592347","0.062764555"
"177","-0.2212776","-0.13405085","0.08530998","null","null","null"
"177","null","null","null","0.10048437","-0.0026724567","0.063375406"
"180","null","null","null","0.09926268","-2.2906772E-4","0.063375406"
"180","-0.19527388","-0.11476779","0.032291412","null","null","null"
"182","null","null","null","0.09804098","0.0022143214","0.06215371"
"185","-0.16093957","-0.113303185","-0.026283264","null","null","null"
"186","null","null","null","0.09498675","0.004046863","0.060932014"
"186","null","null","null","0.09071082","0.0071010995","0.060321167"
"190","-0.115936995","-0.09842539","-0.08923721","null","null","null"
"191","null","null","null","0.086434886","0.009544488","0.058488626"
"192","null","null","null","0.08093726","0.014431266","0.056656085"
"194","null","null","null","0.074141584","0.013209572","0.054212693"
"196","-0.10068071","-0.07960892","-0.14113331","null","null","null"
"197","null","null","null","0.06864396","0.01565296","0.051769305"
"199","null","null","null","0.061313793","0.016874656","0.04871507"
"200","-0.067572236","-0.06038165","-0.16663551","null","null","null"
"201","null","null","null","0.055205323","0.019318044","0.04741702"
"205","null","null","null","0.049707696","0.022372281","0.046195325"
"206","-0.04279363","-0.04073739","-0.1600399","null","null","null"
"207","null","null","null","0.044820916","0.025426516","0.04191939"
"210","null","null","null","0.03993414","0.0290916","0.04008685"
"211","-0.011916876","-0.03030634","-0.11922169","null","null","null"
"213","null","null","null","0.036269058","0.033367533","0.037643462"
"215","null","null","null","0.03321482","0.037032615","0.034589227"
"216","0.0060782433","-0.031498194","-0.085998535","null","null","null"
"217","null","null","null","0.029549737","0.039476003","0.03153499"
"220","null","null","null","0.0264955","0.045584477","0.02725906"
"220","0.04571414","-0.02409029","-0.023493767","null","null","null"
"222","null","null","null","0.023441264","0.049860407","0.023593975"
"225","null","null","null","0.020997874","0.055358034","0.021150587"
"225","0.067772865","-0.011760235","0.019373894","null","null","null"
"226","null","null","null","0.019165333","0.060855657","0.018707197"
"229","null","null","null","0.019165333","0.06513159","0.016263809"
"230","0.06526804","-0.035028934","0.06534958","null","null","null"
"231","null","null","null","0.018554486","0.07185091","0.013820419"
"235","null","null","null","0.01977618","0.07734854","0.013209572"
"236","0.07406676","-0.06881142","0.107313156","null","null","null"
"236","null","null","null","0.017943637","0.0846787","0.012598725"
"240","null","null","null","0.019165333","0.09139802","0.010766183"
"240","0.039530993","-0.09635854","0.12985039","null","null","null"
"242","null","null","null","0.022219568","0.09689565","0.010766183"
"244","null","null","null","0.022219568","0.104225814","0.008933641"
"245","0.026083112","-0.12267542","0.16522598","null","null","null"
"249","null","null","null","0.022830416","0.10972344","0.008933641"
"250","0.018066645","-0.117954254","0.14683151","null","null","null"
"251","null","null","null","0.023441264","0.11522106","0.010155336"
"251","null","null","null","0.024052111","0.12194038","0.012598725"
"254","null","null","null","0.022219568","0.12438377","0.013209572"
"254","0.0070312023","-0.146492","0.10360336","null","null","null"
"256","null","null","null","0.023441264","0.1298814","0.013820419"
"259","null","null","null","0.024662958","0.13476817","0.015042114"
"260","-0.03198266","-0.14989853","0.051198006","null","null","null"
"261","null","null","null","0.024052111","0.1390441","0.016874656"
