"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.18920994","-0.15003936","-0.2358634"
"4","-0.30758142","-0.4215877","0.96187496","null","null","null"
"4","null","null","null","-0.1873774","-0.15981291","-0.22547899"
"5","null","null","null","-0.1885991","-0.16714308","-0.21692713"
"7","null","null","null","-0.18676655","-0.17080817","-0.20532103"
"8","-0.33770514","-0.3563636","0.9941721","null","null","null"
"10","null","null","null","-0.18432316","-0.1738624","-0.19310409"
"12","null","null","null","-0.18371232","-0.17569494","-0.17966545"
"13","-0.39032507","-0.29756653","1.1556435","null","null","null"
"15","null","null","null","-0.18126893","-0.17630579","-0.16317257"
"18","null","null","null","-0.17760384","-0.17202985","-0.1466797"
"18","-0.41860986","-0.29260987","1.2908278","null","null","null"
"19","null","null","null","-0.1757713","-0.17141901","-0.12713258"
"22","null","null","null","-0.17271706","-0.16836478","-0.107585475"
"23","-0.4759791","-0.30539823","1.3987198","null","null","null"
"25","null","null","null","-0.16905198","-0.1622563","-0.08681667"
"28","-0.54274225","-0.26224214","1.4747066","null","null","null"
"29","null","null","null","-0.1653869","-0.15126105","-0.06543701"
"31","null","null","null","-0.16355436","-0.14209834","-0.04344651"
"32","-0.5793525","-0.19559652","1.5676718","null","null","null"
"33","null","null","null","-0.15805672","-0.13354649","-0.020845164"
"34","null","null","null","-0.15439165","-0.12071869","0.0011453386"
"37","null","null","null","-0.14950487","-0.10850175","0.022524992"
"38","-0.55972743","-0.115276635","1.6263742","null","null","null"
"40","null","null","null","-0.14400724","-0.09261972","0.042682953"
"42","null","null","null","-0.13667707","-0.07368345","0.062230065"
"42","-0.5076879","-0.040550232","1.6723776","null","null","null"
"45","null","null","null","-0.1281252","-0.055358034","0.08116633"
"46","null","null","null","-0.12079505","-0.037032615","0.09582666"
"47","-0.41612554","0.055674016","1.6617908","null","null","null"
"50","null","null","null","-0.11407573","-0.01809635","0.109265305"
"52","null","null","null","-0.10491302","-9.926268E-4","0.11964971"
"52","-0.2569363","0.18385291","1.6128988","null","null","null"
"55","null","null","null","-0.09575031","0.01977618","0.12820157"
"57","null","null","null","-0.08719844","0.041155834","0.1336992"
"58","-0.07804179","0.31261152","1.549715","null","null","null"
"59","null","null","null","-0.0762032","0.061313793","0.13614258"
"67","null","null","null","-0.06765133","0.08513684","0.13614258"
"68","0.11895096","0.45448577","1.4517584","null","null","null"
"68","null","null","null","-0.06154286","0.105294794","0.13431004"
"69","null","null","null","-0.053601846","0.12300937","0.12820157"
"69","0.32965326","0.6097704","1.2877216","null","null","null"
"69","null","null","null","-0.04566083","0.1388914","0.1208714"
"72","null","null","null","-0.040774055","0.15477343","0.11109784"
"72","0.5368581","0.7592253","1.0422258","null","null","null"
"73","null","null","null","-0.037108973","0.16882291","0.09521582"
"77","null","null","null","-0.030389652","0.18042901","0.07872294"
