"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.030418187","-0.0064632893","0.18657303","null","null","null"
"1","null","null","null","-0.010155336","-0.048027866","0.05505261"
"2","null","null","null","-0.0077119465","-0.04741702","0.053830914"
"5","null","null","null","-0.006490252","-0.048027866","0.053830914"
"6","-0.03020075","-0.013053596","0.21835518","null","null","null"
"9","null","null","null","-0.005879405","-0.046195325","0.05444176"
"10","-0.033382684","-0.01969257","0.21663189","null","null","null"
"10","null","null","null","-0.004046863","-0.04253024","0.053830914"
"12","null","null","null","-0.0022143214","-0.04314109","0.053220067"
"17","-0.03408882","-0.033592686","0.21255016","null","null","null"
"17","null","null","null","2.2906772E-4","-0.04253024","0.055663455"
"17","null","null","null","0.0038941512","-0.04314109","0.05505261"
"20","-0.022874236","-0.032244742","0.21800518","null","null","null"
"20","null","null","null","0.00633754","-0.040697698","0.053830914"
"23","null","null","null","0.0075592347","-0.04008685","0.053830914"
"25","null","null","null","0.009391776","-0.038865156","0.05444176"
"25","-0.015193492","-0.040570006","0.2222271","null","null","null"
"27","null","null","null","0.01305686","-0.03581092","0.053830914"
"30","null","null","null","0.016111096","-0.033367533","0.053220067"
"30","0.004534155","-0.032508403","0.23234653","null","null","null"
"32","null","null","null","0.019165333","-0.032756682","0.051387526"
"35","0.008864224","-0.029582947","0.25069046","null","null","null"
"35","null","null","null","0.022830416","-0.028480753","0.05077668"
"37","null","null","null","0.027106347","-0.026648212","0.050165832"
"39","null","null","null","0.03077143","-0.025426516","0.049554985"
"40","0.014571279","-0.037759244","0.2617588","null","null","null"
"43","null","null","null","0.03260397","-0.021150587","0.048944138"
"46","null","null","null","0.03504736","-0.021761434","0.047111593"
"47","0.008587837","-0.017621934","0.23474598","null","null","null"
"47","null","null","null","0.0381016","-0.018707197","0.0458899"
"50","null","null","null","0.041155834","-0.01809635","0.045279052"
"50","0.019426048","-0.025247127","0.21270752","null","null","null"
"53","null","null","null","0.042988375","-0.016263809","0.044668205"
"54","null","null","null","0.044820916","-0.016874656","0.04344651"
"55","0.037388414","-0.014029115","0.17542171","null","null","null"
"57","null","null","null","0.04665346","-0.015042114","0.04161397"
"60","null","null","null","0.048486","-0.013820419","0.040392276"
"60","0.04700023","-0.006654322","0.1610012","null","null","null"
"62","null","null","null","0.048486","-0.010155336","0.03917058"
