"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","1.1386981","0.8338895","-0.6170341","null","null","null"
"1","null","null","null","-1.0840248","0.31397548","-0.2716743"
"1","null","null","null","-1.0840248","0.33657685","-0.30954686"
"5","1.7543578","0.3679266","-0.16939557","null","null","null"
"5","null","null","null","-1.0840248","0.36223242","-0.35108447"
"7","null","null","null","-1.0876899","0.39460734","-0.3993414"
"9","null","null","null","-1.0980743","0.4343124","-0.4500417"
"9","2.4293466","-0.007789612","0.2716781","null","null","null"
"12","null","null","null","-1.1170106","0.46974155","-0.505018"
"14","null","null","null","-1.1493855","0.50578153","-0.5630485"
"14","3.0875735","-0.2880478","-0.048311353","null","null","null"
"16","null","null","null","-1.1939774","0.54182154","-0.6223006"
"20","null","null","null","-1.2458993","0.57663983","-0.6815528"
"20","3.6247349","-0.4545126","-1.0500504","null","null","null"
"22","null","null","null","-1.3063732","0.6029062","-0.74508095"
"24","4.022831","-0.5892134","-1.9852059","null","null","null"
"24","null","null","null","-1.3644037","0.62734014","-0.81166327"
"27","null","null","null","-1.4242667","0.6420005","-0.880689"
"29","null","null","null","-1.4737453","0.6407788","-0.9503256"
"30","4.3273573","-0.715271","-2.4421186","null","null","null"
"33","null","null","null","-1.5140613","0.62795097","-1.0230927"
"34","null","null","null","-1.5452145","0.599852","-1.0988379"
"35","4.641455","-0.9021044","-2.4334998","null","null","null"
"36","null","null","null","-1.5727026","0.56442285","-1.1776371"
"40","null","null","null","-1.6008016","0.5234961","-1.258269"
"40","4.9400826","-1.1462336","-2.0795357","null","null","null"
"40","null","null","null","-1.6301223","0.4831802","-1.3389008"
"45","null","null","null","-1.6612755","0.44042087","-1.4213653"
"46","5.238806","-1.4551182","-1.8943875","null","null","null"
"46","null","null","null","-1.6985371","0.40193748","-1.5007753"
"48","5.475657","-1.9054909","-2.2420683","null","null","null"
"48","null","null","null","-1.7437398","0.37139514","-1.5795747"
"52","null","null","null","-1.7864991","0.34085277","-1.6528764"
"54","null","null","null","-1.8280368","0.3115321","-1.7231238"
"54","5.49214","-2.5905242","-2.6687376","null","null","null"
"56","null","null","null","-1.8689636","0.28037888","-1.7890953"
"60","null","null","null","-1.9043927","0.24617144","-1.8483474"
"60","5.349205","-3.4187684","-2.7370183","null","null","null"
"62","null","null","null","-1.9343241","0.20952061","-1.8996586"
"65","null","null","null","-1.9538714","0.17042638","-1.9466939"
"65","5.0303626","-4.337985","-2.5806503","null","null","null"
"66","null","null","null","-1.9691424","0.12644538","-1.9894532"
"69","null","null","null","-1.9721967","0.08551861","-2.0230498"
"69","4.608714","-5.298248","-2.2295735","null","null","null"
"72","null","null","null","-1.9697534","0.03603999","-2.0456512"
"73","4.115838","-6.2278137","-1.5808632","null","null","null"
"73","null","null","null","-1.9581473","-0.018325418","-2.0639765"
"76","null","null","null","-1.9373784","-0.08124269","-2.0755827"
"80","3.5605178","-7.0670185","-1.0776572","null","null","null"
"80","null","null","null","-1.9105011","-0.15698774","-2.0804694"
"81","null","null","null","-1.8732395","-0.24189551","-2.078637"
"85","null","null","null","-1.8323127","-0.33963108","-2.0719175"
"85","3.1273541","-7.7527184","-0.7279558","null","null","null"
"86","null","null","null","-1.7797798","-0.44232976","-2.0566463"
"88","2.7149692","-8.267138","-0.32231188","null","null","null"
"88","null","null","null","-1.7290795","-0.549228","-2.0358775"
"90","null","null","null","-1.6698273","-0.6628456","-2.0077786"
"94","null","null","null","-1.6105752","-0.7764632","-1.9729602"
"95","2.2911901","-8.724205","-0.06383371","null","null","null"
"95","null","null","null","-1.5488796","-0.8864157","-1.9314227"
"103","null","null","null","-1.4816864","-0.9982008","-1.8807224"
"104","null","null","null","-1.4132715","-1.0996014","-1.8239136"
"105","1.7962265","-9.150314","-0.027913809","null","null","null"
"106","null","null","null","-1.3424132","-1.197337","-1.7567203"
"107","1.1928568","-9.482085","0.3457756","null","null","null"
"107","null","null","null","-1.2642248","-1.288964","-1.6834186"
"110","null","null","null","-1.1823713","-1.3677634","-1.6003435"
"111","0.4306593","-9.599798","0.9395981","null","null","null"
"111","null","null","null","-1.0956309","-1.4428976","-1.510549"
"113","null","null","null","-1.0015604","-1.5045931","-1.4152567"
"113","-0.4286723","-9.438942","1.6967585","null","null","null"
"116","null","null","null","-0.9049702","-1.5559043","-1.3126343"
"118","null","null","null","-0.8060129","-1.5962203","-1.2075686"
"120","-1.2784877","-9.008129","2.7813857","null","null","null"
"123","-2.000102","-8.353949","3.5518951","null","null","null"
"123","null","null","null","-0.7070557","-1.6206541","-1.1037246"
"123","null","null","null","-0.609931","-1.6310385","-1.0047674"
"125","null","null","null","-0.51402795","-1.6279843","-0.9069555"
"128","null","null","null","-0.42545512","-1.6102698","-0.81471753"
"129","-2.4576783","-7.3980236","4.1746936","null","null","null"
"131","null","null","null","-0.34176904","-1.5785056","-0.72858804"
"132","null","null","null","-0.26541314","-1.5381898","-0.64795625"
"133","-2.7322278","-6.281447","4.4113307","null","null","null"
"136","null","null","null","-0.19699824","-1.4899328","-0.57343286"
"138","null","null","null","-0.13896775","-1.4319023","-0.5056288"
"139","-2.8566554","-5.169295","4.1666207","null","null","null"
"142","null","null","null","-0.09009997","-1.3659308","-0.4421007"
"145","null","null","null","-0.051616594","-1.2926291","-0.3852919"
"145","-2.875691","-4.097506","3.7284925","null","null","null"
"145","null","null","null","-0.022295926","-1.2077214","-0.33336988"
"147","-2.8113499","-3.1234741","3.1141062","null","null","null"
"148","null","null","null","9.162709E-4","-1.1112075","-0.28755635"
"150","null","null","null","0.015576605","-1.0030875","-0.24662958"
"153","null","null","null","0.024128467","-0.88397235","-0.21058959"
"154","-2.7131948","-2.2709188","2.7036276","null","null","null"
"155","null","null","null","0.030236939","-0.753251","-0.17821468"
"158","null","null","null","0.035734564","-0.61397785","-0.1537808"
"158","-2.5624752","-1.56565","2.349119","null","null","null"
"160","null","null","null","0.03634541","-0.46432027","-0.13362284"
"164","null","null","null","0.040621344","-0.31336465","-0.118962504"
"164","-2.29019","-0.96524","2.360677","null","null","null"
"165","null","null","null","0.046118967","-0.1563769","-0.109799795"
"169","null","null","null","0.057725064","-0.0018325418","-0.106745556"
"169","-1.9824307","-0.49873066","2.5016377","null","null","null"
"170","null","null","null","0.07116371","0.1447708","-0.103080474"
"172","-1.692009","-0.1899643","2.8040369","null","null","null"
"173","null","null","null","0.089489125","0.2858765","-0.10246963"
"174","null","null","null","0.11270132","0.41537613","-0.10613471"
"177","null","null","null","0.14141114","0.5283829","-0.10796725"
"177","-1.4759154","0.010307789","3.0983324","null","null","null"
"180","null","null","null","0.17378604","0.6261184","-0.110410646"
"182","null","null","null","0.21043688","0.7085828","-0.106745556"
"183","-1.385437","0.060756207","3.252887","null","null","null"
"184","null","null","null","0.24892026","0.7776086","-0.0981937"
"187","null","null","null","0.29229042","0.83197397","-0.0865876"
"187","-1.4952264","-0.010225773","3.356323","null","null","null"
"192","null","null","null","0.3387148","0.875955","-0.069483876"
"192","null","null","null","0.38452834","0.9071082","-0.049325917"
"193","-1.7365737","-0.13606882","3.343918","null","null","null"
"194","null","null","null","0.434007","0.92482275","-0.024281178"
"198","null","null","null","0.48226392","0.92970955","0.0038177953"
"199","-2.026526","-0.21935129","3.276875","null","null","null"
"199","null","null","null","0.5311317","0.92115766","0.03436016"
"202","-2.2991867","-0.249053","3.1291533","null","null","null"
